BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.block.function.MinAndMaxBlocksTest.maxBlocks,3710789.47,3538747.74,3639118.68,3628058.31,3619700.85,3641078.71,3581008.04,3646848.57,3571282.19,3642455.54,3589262.16,3621055.93,3589972.89,3580714.15,3617408.07,3718519.21,3579226.27,3558843.48,3597367.25,3657494.72,3632360.68,3619156.09,3531934.93,3613283.81,3590910.81,3612514.62,3632300.26,3616570.36,3582163.69,3636345.68,1.3180806,1.31901028,1.29701945,1.28939105,1.30156139,1.29934109,1.29127615,1.31037105,1.28515028,1.29912056,1.31602548,1.31513551,1.36930778,1.2812275,1.29111379,1.34163694,1.37334543,1.37712917,1.37719806,1.37922622,1.38518207,1.30568756,1.33274274,1.32170744,1.38313746,1.38097959,1.37711521,1.31766769,1.32659409,1.36991279,8,3593796,3634166,1.312209,1.346498,3.65E-07,3.71E-07
org.eclipse.collections.impl.map.immutable.primitive.ImmutableObjectBooleanHashMapTest.anySatisfy,757792.847,734957.732,755320.667,741660.856,748595.722,745980.827,748072.292,752644.084,754747.824,748847.192,754907.907,746352.836,758694.769,753716.575,759546.938,756440.306,751793.751,757335.088,749777.609,742153.535,747084.845,746038.327,738452.26,723192.35,743727.213,729902.237,743322.806,743774.36,748592.867,749821.753,541701.258,532959.711,552715.076,547575.544,548789.152,547327.057,535691.814,543755.559,546815.198,547757.299,549860.63,550967.983,543000.037,553178.467,546410.129,548093.347,543533.9,549089.498,544432.129,545428.645,546733.196,546919.882,547887.96,549473.215,544096.088,546605.087,547567.775,542207.835,551953.72,550503.406,6,745027.2,752478.3,544159.1,548270.1,0.7286233,0.7304172
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.flatCollectWith,202189.299,203201.596,207205.261,208703.893,207563.622,208836.041,207653.309,206857.492,207341.74,209877.931,208421.021,207326.658,207700.448,206305.053,205491.181,205376.875,209833.102,210580.459,209075.589,208796.024,210081.58,209768.263,207312.418,209218.868,210809.904,210931.766,207810.196,202667.24,208528.708,207659.411,155912.301,154989.528,156145.938,157221.729,158221.314,158084.102,159437.441,159160.971,158666.81,158385.232,158537.53,158418.49,159053.574,159337.088,158749.257,156970.326,157537.725,155943.494,157821.891,159106.833,157079.194,159214.892,158534.227,158909.955,158976.465,159370.204,158705.054,159185.7,158068.169,156233.508,4,206744.6,208735.7,157485.1,158591.6,0.7597726,0.7617368
org.eclipse.collections.impl.map.immutable.primitive.ImmutableObjectBooleanHashMapTest.toList,737486.264,720450.236,754527.449,747912.657,748154.409,746235.589,745426.986,743297.344,742807.103,740440.123,730441.193,751994.063,753951.316,732211.93,724368.969,743476.822,749730.369,748115.727,748507.447,749922.654,748815.479,739855.677,738439.951,738449.828,735769.282,749447.069,744538.509,749877.628,740275.475,751140.207,582771.075,564081.437,586631.627,583942.869,586989.659,593358.094,556839.286,588758.702,600888.101,591211.481,586902.832,580720.797,588554.096,581033.515,574237.255,579601.955,577522.274,598808.683,590794.132,590677.908,589137.651,574971.096,585779.554,582366.922,573099.299,587519.426,576427.558,589147.99,578262.349,581258.111,36,738586.9,746677.5,579333,588075,0.7843922,0.7876565
org.eclipse.collections.impl.map.mutable.primitive.ObjectBooleanHashMapKeysViewTest.toSortedListBy,1002992.66,997857.239,1028142.17,1019931.64,1020513.03,1009323.86,1015713.99,1026530.34,1016359.85,1033036.96,1025759.58,989395.621,996000.6,1020381.89,1018282.9,1029195.69,1008405.06,1012135.7,986885.656,1021213.99,988970.098,995509.702,996989.598,995114.832,1009826.86,973658.728,988859.936,976664.53,1019035.97,984803.881,827373.149,820635.545,838244.197,840361.47,833706.081,829839.669,846524.816,860350.998,855917.547,848654.012,851148.776,843110.132,777187.556,800249.234,760696.714,758733.266,781053.537,788832.331,830369.12,854706.259,859508.66,854947.504,854253.035,856494.074,852300.942,861415.392,854583.926,851062.602,840930.44,862750.988,16,1001526,1016396,811913,842191.6,0.8106586,0.8286167
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.flatCollectDouble,292931.146,297624.066,308512.39,322553.11,325566.064,326886.771,321618.218,321918.895,320669.557,324712.457,315077.734,326232.402,326043.386,325800.296,326730.343,326310.564,325007.032,326201.563,326412.842,326199.516,326987.243,320120.829,323497.975,313744.456,327459.789,324349.784,324761.862,326580.73,327649.221,330090.106,253658.186,261203.966,263137.593,264971.111,268667.144,266057.442,268401.697,269603.733,268515.581,264863.832,261659.083,266352.102,262934.78,266898.67,268523.64,264568.253,268745.432,268829.407,265677.438,269174.899,269006.916,269047.742,269538.756,266082.209,265912.585,266454.019,262367.636,264185.24,269021.867,266072.499,4,317549.7,325028,264437.9,267508.7,0.8230266,0.8327937
org.eclipse.collections.impl.map.immutable.primitive.ImmutableObjectBooleanSingletonMapTest.toArrayWithTargetArray,995804.978,978043.017,991307.861,1008489.91,1002565.94,1008050.17,1008151.02,999192.351,1001285.92,988931.003,1001610.69,1013413.81,1012099.77,1012734.21,1005720.68,993702.392,987491.495,1000218.31,1011838.28,1001087.58,1007650.9,995698.207,1005354.64,1008057.46,1000930.8,996424.647,1004504.58,986790.779,996726.74,971142.813,857403.165,815488.404,840898.09,831596.265,837232.689,833255.029,822147.647,827846.151,836826.544,839218.848,839259.401,845141.659,844819.129,839551.567,850507.289,839034.701,834338.255,844918.727,824318.982,838647.973,826405.068,832445.454,837043.336,836682.035,838045.779,842503.472,833401.982,842545.124,848269.719,843877.068,32,996475.7,1005152,833314.3,841210.4,0.8360892,0.836877
org.eclipse.collections.impl.map.immutable.primitive.ImmutableObjectBooleanHashMapTest.toArrayWithTargetArray,1090992.16,1070166.86,1114033.91,1102157.24,1091893.65,1102697.85,1095091.71,1100265.41,1088161.04,1108362.88,1091891.04,1105204.31,1086558.97,1060641.73,1091376.59,1083986.23,1064124.65,1081733.15,1096612.1,1066362.98,1099784.32,1072885.68,1069668.38,1118156.62,1101832.5,1097702.72,1107003.71,1105380.85,1100929.84,1105708.08,902670.546,907713.682,919072.335,925611.258,916516.583,932494.345,920198.427,918815.101,914241.462,919259.556,918599.594,919098.783,921879.521,928905.703,936781.479,929974.94,930241.512,926364.102,913082.101,922912.47,922052.646,921779.844,921546.854,924495.121,902897.391,933575.63,915309.238,874406.195,919688.686,928013.197,32,1083200,1097151,915746.1,924886.8,0.8430121,0.8454596
org.eclipse.collections.impl.map.immutable.primitive.ImmutableObjectBooleanHashMapTest.noneSatisfy,581795.172,578530.41,594063.226,593615.734,598178.139,590441.877,594088.139,593777.48,601238.657,595759.437,596558.038,587811.863,589978.782,593960.586,596823.612,596649.873,598683.073,596488.638,593156.018,600935.203,596969.387,596005.594,594277.891,598797.848,594091.19,584495.56,587544.371,597960.186,599928.464,597813.859,508373.504,494821.78,513435.229,521102.75,511517.68,516391.009,509107.188,516783.848,521041.398,515999.592,526659.456,518422.535,524355.891,513017.945,525152.356,520454.807,513860.798,513524.5,515872.448,512191.184,521210.125,527748.766,512470.487,507832.989,508524.215,518326.724,500420.533,516648.892,517323.657,521303.81,8,591419.7,596279.3,512541,519185.2,0.866621,0.8707082
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.collectLongWithBagTarget,1119144.3,1100791.76,1126581.29,1119857.35,1123269.19,1129072.9,1128302.25,1129577.5,1117353.82,1115969.34,1127965.35,1128333.76,1131957.13,1127474.01,1136242.46,1110748.19,1132174.1,1127165.74,1126648.16,1128313.06,1131931.13,1128740.18,1126271.51,1130424.94,1127214.55,1134464.04,1135519.96,1124084.44,1106760.63,1127995.4,982493.825,974905.808,986567.497,987188.179,981359.946,999092.782,975745.224,1003822.82,1006208.88,1002304.51,1002778.46,964211.904,961055.695,981421.727,999792.235,988581.089,998343.181,977490.629,991096.63,975880.334,1001736.74,1000412.36,1008526.49,1004952.84,976345.498,986936.309,994080.85,965120.991,944671.996,955954.065,3,1121789,1128928,980547.9,994487.2,0.8740981,0.8809012
