BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.block.function.CaseFunctionTest.noopCase,1.56368834,1.45434248,1.49916635,1.53268456,1.49942639,1.50633685,1.50966299,1.50139394,1.52686523,1.52053074,1.52433184,1.52613681,1.49874027,1.54923861,1.52414452,1.5210045,1.53857185,1.52311366,1.49725982,1.48522974,1.43976817,1.38265371,1.41378486,1.39075131,1.35418839,1.53092183,1.52683946,1.51461062,1.51949617,1.54482245,1.4221787,1.4746683,1.47440942,1.5158317,1.51786758,1.5250645,1.53139929,1.53197628,1.52109638,1.54472266,1.56168421,1.51748141,1.51674425,1.53280905,1.51435728,1.55504745,1.52148654,1.51252091,1.52935957,1.51932188,1.55593288,1.54984357,1.54787561,1.53868621,1.52853964,1.52678526,1.51879353,1.48928742,1.52760054,1.51350578,1.474866,1.519366,1.508886,1.534223,1.009771,1.023121
org.eclipse.collections.impl.block.function.MinAndMaxBlocksTest.maxBlocks,3939639.13,3756574.3,3862331.22,3852263.21,3841072.66,3865823.73,3801637.11,3869403.88,3792823.91,3867287.09,3809391.49,3842253.72,3811106.64,3800045.04,3839890.98,3946410.4,3801193.89,3779090.84,3819826.05,3880825.98,3855005.55,3843440.08,3748076.12,3836767.94,3813153.41,3835826.86,3856388.47,3840270.44,3803256.97,3858443.87,1.40016462,1.40186314,1.3780886,1.37040353,1.38330563,1.38117151,1.37261977,1.39217299,1.36540071,1.38111743,1.39803337,1.39714786,1.45526522,1.36090911,1.37148512,1.42577144,1.45945511,1.46361869,1.46325779,1.46555814,1.47198978,1.38767194,1.41612273,1.40382361,1.47008424,1.46741408,1.46363589,1.39994893,1.40934298,1.45495173,3815168,3858696,1.395525,1.430058,0.0000004,0.0000004
org.eclipse.collections.impl.block.procedure.CaseProcedureTest.noopCaseAndThenDefault,2369461.85,2362949.07,2411943.25,2393231.22,2430701.97,2424559.28,2406188.79,2430405.74,2390938.15,2393038.81,2363763.47,2383393.7,2296064.15,2392217.22,2426593.42,2417595.77,2402691.68,2424572.28,2406024.25,2428618.97,2425205.52,2433343.86,2434000.24,2424703.59,2313834.82,2392274.43,2357796.27,2445715.77,2447820.85,2433915.92,2223360.67,2252020.02,2374196.59,2434997.63,2456035.04,2442349.77,2428656.72,2428348.57,2449959.45,2431129.24,2456448.01,2452010.62,2431733.97,2383129.78,2434708.4,2464095.14,2476497.39,2462418.96,2433327.33,2460053.04,2477706.13,2447840.51,2443731.04,2419201.33,2433917,2411357.78,2403151.85,2385087.64,2442388.62,2438047.61,2382353,2415427,2396165,2446911,1.005798,1.013009
org.eclipse.collections.impl.block.procedure.CaseProcedureTest.oneCaseWithDefault,658415.825,651732.945,668876.96,660373.268,664076.116,657646.241,660420.148,655766.071,648962.709,654128.028,663795.943,663477.981,666156.785,662490.809,658480.07,665987.042,668218.777,665961.475,658047.042,662731.525,655260.707,659961.301,656210.757,666702.688,665622.056,664627.889,666452.381,667471.936,666357.913,666423.708,657740.73,653332.802,661734.258,664660.594,664973.579,663011.196,658248.28,668513.48,663865.674,662885.038,657944.794,658538.096,646301.951,649685.214,657012.831,663827.245,663905.054,659245.779,662037.257,665536.802,660862.952,668199.527,666352.903,664071.148,653867.484,625085.621,584682.642,607702.277,649401.652,650500.954,658764.7,663553.2,649308.9,662061.8,0.9856491,0.9977559
org.eclipse.collections.impl.block.procedure.CaseProcedureTest.twoCasesNoDefault,368137.977,359169.399,380990.048,380234.078,381244.92,382630.803,379371.002,380687.733,383864.196,384181.35,384375.93,381892.267,376701.693,370825.789,376116.727,371273.384,380255.241,376256.85,382007.851,383229.381,380793.881,386820.862,385054.395,386948.55,384414.96,384461.699,383198.829,378542.809,380883.754,376573.695,377272.976,367705.9,368638.269,369610.582,373969.419,376409.501,377046.488,381049.946,382886.395,375522.261,378784.62,378324.511,382479.577,379099.416,377009.53,379653.226,368240.643,366117.932,378215.893,375506.349,378864.266,378093.459,382131.422,380744.244,376619.258,380767.713,379805.386,381476.316,380360.607,375292.425,376433.5,381957.6,374430.2,378705.2,0.9916426,0.9946704
org.eclipse.collections.impl.collector.Collectors2AdditionalTest.rejectWithParallel,81.8386816,83.0446148,83.0785711,84.2647527,83.0222806,83.0186759,81.8893261,80.641752,83.0886095,84.2305546,86.5406913,85.3925615,84.2128807,84.2182253,85.3739174,86.5431441,80.7080256,81.8165635,79.5883502,78.3467505,76.0597465,80.6887257,85.4075553,86.5423167,85.3688533,85.3860445,85.3617412,85.4586116,85.4322189,86.5492024,85.3528127,84.2352183,85.409196,85.3107399,86.5472597,86.5858434,86.5273098,86.5992626,85.3439322,85.4229157,85.3658817,86.5248948,87.7686035,87.7010155,86.5633979,86.5243986,86.5725428,86.5390235,86.5118881,87.7053203,87.6506691,86.6052444,85.433439,86.4915338,86.5763295,87.6474563,86.5398271,87.730624,86.4969054,86.6191127,81.95206,84.33729,86.00636,86.82773,1.029512,1.049497
org.eclipse.collections.impl.lazy.DropIterableTest.forEach,1197768.88,1157757.1,1179057.52,1200485.78,1196264.25,1173940.51,1186235.49,1162949.45,1176745.97,1179130.46,1201966.68,1187224.84,1197282.92,1191922.41,1190754.39,1187228.48,1191788.53,1186204.33,1167604.35,1184852.37,1173288.06,1173221.97,1152417.4,1205461.72,1203184.22,1202540.9,1196299.52,1188562.84,1205137.53,1180839.19,1182581.99,1170265.46,1190518.62,1201286.02,1186802.4,1179708.42,1174901.44,1140021.94,1172051.43,1182090.63,1173221.41,1157482.34,1166931.27,1198198.75,1194721.37,1202384.88,1193982.27,1190627.35,1194046.13,1193519.91,1174759.68,1196827.97,1186594.65,1201158.86,1182676.56,1178115.26,1197820.63,1208984.77,1186787.79,1193893.11,1178845,1191165,1176459,1190607,0.9979687,0.9995313
org.eclipse.collections.impl.lazy.iterator.DropIteratorTest.remove,400443.316,397807.084,406186.22,403917.639,404623.872,398424.499,386917.745,398159.351,401377.154,405384.505,402784.188,404281.432,408286.792,407258.705,408010.72,405566.524,408109.292,411018.279,408489.589,397764.235,403259.714,379497.942,406863.957,407575.348,406526.072,403541.33,403662.421,403150.118,407431.143,403136.278,404635.075,400541.808,409396.704,411180.438,412401.788,408599.492,407474.005,409249.954,407196.528,404710.963,400663.243,397938.864,397457.084,404821.479,408656.893,407700.478,410299.918,410538.64,408963.746,407133.158,410640.015,403708.839,404781.28,404568.885,388005.039,405849.273,402599.182,412144.698,407878.076,409160.536,399772,405761,403467.1,407953.8,1.005428,1.009243
org.eclipse.collections.impl.lazy.parallel.set.ImmutableUnifiedSetParallelSetIterableTest.asParallel_small_batch,146464.965,149234.742,151065.902,150851.492,150700.969,149829.03,152831.616,151358.268,151133.833,150581.314,153179.166,152182.896,151719.925,152379.341,150636.301,146442.175,148763.231,150187.464,151548.781,151135.238,152370.765,153372.871,152953.966,151307.804,149667.044,150924.966,149726.085,152059.9,151341.499,151744.903,149533.419,149384.156,151365.83,152853.483,152071.162,149931.47,150094.134,151191.831,151159.605,150180.428,151573.653,150975.41,152778.483,152255.64,149087.63,150415.466,150828.336,154209.425,153152.452,150622.921,150447.247,150872.009,151767.309,151781.984,151879.88,151479.008,151181.665,151477.356,149821.114,150007.263,150005.1,151646.8,150635.4,151776.7,1.000922,1.004257
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.aggregateByMutating,2213720.25,2241501.69,2302166.23,2294174.2,2284791.43,2279586.27,2274096.73,2278311.71,2291176.09,2303736.08,2282009.06,2304681.52,2268527.8,2257748.88,2289390.86,2265484.5,2291677.2,2296281.97,2251528.55,2285909.91,2297514.17,2321155.54,2319302.38,2292266.39,2294016.6,2298221.67,2285650.42,2278861.63,2292435.01,2301153.84,2087390.81,2047799.75,2054540.02,2102458.61,2104661.53,2104602.63,2104130.71,2118578.95,2108516.09,2103845.81,2122196.51,2120801.02,2146702.48,2112505.2,2124785.47,2106489.07,2107298.8,2070925.38,2107386.78,2064054.38,2100777.1,2115746.21,2124469.17,2134696.08,2098100.03,2092332.94,2097824.95,2101232.61,2122128.55,2101407.04,2272144,2293002,2093761,2114183,0.9213856,0.9220773
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.asLazy,1.49263981,1.43071085,1.47920583,1.47667778,1.47275039,1.43170761,1.4460544,1.44977211,1.48770321,1.49137245,1.46677598,1.49036176,1.48903094,1.47761679,1.44131826,1.45111262,1.48330124,1.48460259,1.50508134,1.4835176,1.44305552,1.47732109,1.47998439,1.45957218,1.47518518,1.47481229,1.43390075,1.4959413,1.49355439,1.49667393,1.54213877,1.47240289,1.53200562,1.50601899,1.51235782,1.51951451,1.49966317,1.48173478,1.43413523,1.49688525,1.48057387,1.46114532,1.46145027,1.49540577,1.50343903,1.49474869,1.49501434,1.50463171,1.50464865,1.50817185,1.49880535,1.49895652,1.47844208,1.50581263,1.49470768,1.51303576,1.49908828,1.49243494,1.52756453,1.50414342,1.461439,1.481038,1.484489,1.50487,1.015735,1.016262
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.collect,1454164.5,1439710.94,1490983.79,1494975.05,1467450.94,1479771.18,1474668.03,1485754.26,1472173.17,1489222.52,1485819.68,1466597.85,1434668.96,1435187.86,1438086.56,1412920.86,1479654.41,1498833.41,1493568.68,1502061.66,1500413.34,1489669.73,1488765.4,1496552.79,1497292.36,1488498.82,1463314.07,1446736.47,1473612.72,1503718.39,1491056.89,1443419.79,1496000.71,1494007.94,1509502.49,1502200.64,1488749.65,1504666.06,1494928.91,1472115.67,1483357.64,1504233.95,1530225.19,1488190.99,1460033.41,1504639.48,1457658.46,1497268.95,1504060.96,1498966.03,1513648.08,1503573.87,1507858.85,1513720.64,1502432.22,1495304.6,1493651.17,1474053.13,1469965.91,1454372.9,1460636,1484062,1483525,1501650,1.01202,1.015644
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.collectByte,513097.691,501730.324,506557.386,487572.308,517274.009,506681.229,519023.655,519096.394,522603.518,520491.053,523212.921,512363.754,519625.666,519795.753,519827.479,511231.677,517517.073,513512.546,519975.456,510382.778,519024.21,517458.991,513706.185,520575.304,523099.809,521815.002,513519.744,519758.982,514788.862,506548.145,521763.509,505582.846,529142.097,528229.254,525760.802,523361.839,511414.291,517457.612,505618.386,526057.87,529441.511,528481.021,526620.394,525595.618,528555.101,526674.928,531927.443,528754.997,524637.282,512276.843,511283.627,519446.766,526102.08,530033.996,527164.163,528876.811,527110.183,528670.006,528595.403,528466.776,511700.9,518457,519855.6,526692.1,1.015498,1.016037
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.collectByteWithBagTarget,1116602.93,1060573.32,977116.444,894294.796,846121.422,747811.868,942205.449,932843.99,1090912.51,1060221.6,1045586.3,1047513.51,1067463.94,1111997.61,1127177.94,1117274.73,1079516.2,1090486.7,1093381.22,1033659.45,1109062.9,1080415.48,1110311.59,1102082.81,1112930.55,1119161.2,1063399.37,1068073.77,1065450.19,1051562.42,1085193.88,1058192.15,1100046.29,1105485.67,1068419.91,1066091.67,1066750,1088830.82,1077390.9,1057183.23,1081846.6,1126772.89,1120890.2,1132171.8,1129727.85,1108473.79,1130819.12,1126458.9,1109959.56,1123258.46,1122102.7,1120871.19,1102925.5,1126661.33,1124201.1,1144215.08,1138309.17,1147768.67,1114120.42,1145175.6,1002301,1083481,1094059,1117688,1.031585,1.091697
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.collectDouble,444875.811,441728.636,451724.345,451128.979,451696.055,453886.168,447286.744,448493.774,454653.05,453636.971,451451.947,450055.213,449720.895,457526.595,450270.895,452017.843,454081.08,456670.078,453596.002,452479.553,451082.377,455826.705,452579.879,453497.636,450672.667,455358.616,450286.85,453100.283,455255.627,453829.218,408712.132,413582.293,423473.495,419180.721,420282.864,422797.926,420833.693,412739.329,421982.54,420765.296,422867.12,421258.458,424889.319,420642.46,419346.889,416055.787,415256.302,419012.235,421056.125,421029.007,421615.671,421131.697,419129.943,419593.61,422559.084,425557.551,424006.679,423706.505,425248.129,408565.593,450266.7,453360.6,417901.4,421501,0.9281432,0.9296991
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.collectDoubleWithTarget,894473.991,874103.46,891601.924,922559.806,903352.594,914026.663,892392.429,937221.713,935987.568,950594.179,951075.734,943024.822,949574.917,943654.541,945283.285,937879.743,944784.599,937447.821,945151.973,944175.919,941370.352,948894.9,945143.879,952828.547,941898.137,955372.675,945861.57,954989.771,944370.354,930890.531,1264317.34,1235760.63,1276216.79,1274490.29,1273324.86,1242828.55,1253188.38,1270780.67,1274749.92,1273546.93,1266387.21,1268038.76,1247732.1,1278388.86,1266407.79,1270787.21,1280344.69,1271573.92,1250934.92,1257848.76,1224901.19,1266758.22,1284035.41,1269714.01,1255549.11,1251009.86,1278420.34,1264707.28,1275904.14,1255272.61,923102.6,942880,1257316,1270240,1.34719,1.362054
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.collectInt,547254.72,546579.924,573263.308,573664.229,566480.693,571304.227,568230.39,570223.444,569027.534,572686.38,583322.017,570448.557,571322.898,573254.405,578232.487,535766.732,580604.248,575682.626,568061.025,575590.924,576151.715,578087.839,571274.212,571303.606,575790.373,571969.544,580470.048,578298.248,579063.229,579522.026,571228.132,562439.873,578992.066,579806.428,578934.119,579385.4,576370.455,582299.907,581621.056,580798.149,582437.984,582925.695,576261.381,579809.205,577531.576,581407.866,579358.815,584107.797,578816.185,573629.418,573019.697,578712.76,580751.252,581461.733,584036.302,581763.441,579761.611,578494.442,579741.42,580489.593,564989.9,574810,576658.1,580576.3,1.010047,1.020627
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.collectLongWithBagTarget,1258182.48,1237457.81,1266544.68,1258942.82,1262477.84,1269191.61,1267333.07,1268911.38,1255684.15,1253750.24,1267495.4,1268013.53,1272412.65,1267515.22,1276911.24,1248658.85,1271843.55,1267158.4,1265890.13,1268510.5,1272247.63,1268870.52,1265656.99,1269825.23,1266764.52,1274448.89,1275495.57,1263270.15,1243923.1,1267753.64,1105230.76,1096886.52,1110015.42,1110114.99,1103832.98,1124214.13,1097084.01,1129263.53,1132317.12,1127442.24,1128326.55,1084122.21,1080930.38,1104490.25,1124900.35,1111838.4,1122774.98,1099145.81,1115199.75,1097385.68,1126735.67,1124922.67,1134462.58,1130657.24,1098213.92,1110668.06,1118599.01,1085964.45,1062459.13,1075319.13,1260580,1268717,1103085,1118777,0.875065,0.8818177
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.empty,9744087.82,9321069.18,9453134.95,9199563.18,9532811.72,9560763.02,9876597.05,9845196.95,9915929.25,9850036.7,9756247.87,9865172.12,9837162.07,9615735.58,9840595.27,9540057.74,9471865.94,9396353.94,9835506.65,9655157.29,9862332.14,9561616.62,9619968.95,9603840,9762031.93,9766889.77,9377152.07,9206474.41,9149169.64,8769647.27,9705431.3,9399464.08,9697176.08,9736297.49,9364546.47,9320612.04,9133648.97,9125144.74,9260717.56,9389544.06,9490238.95,9519673.23,9362756.8,9698667.01,9637408.58,9667970.7,9723103.06,9773735.56,9624658.06,8909506.05,9481348.62,9245679.51,9520316.37,9759552.76,9686085.65,9826429.75,9770615.3,9725524.19,9739539.01,9791805.6,9533701,9741866,9399171,9614058,0.9859207,0.9871394
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.flatCollect,409246.507,408573.341,421288.367,411569.156,413913.637,397616.373,409507.446,417236.027,416922.783,418049.261,418048.248,415840.522,413261.86,417807.905,419194.957,411237.444,395893.267,367827.255,334927.969,375718.61,330635.072,411924.649,422767.056,417344.24,421404.587,420623.453,415975.459,418518.162,413011.798,414901.052,396523.722,392114.918,399568.67,403560.774,405581.562,405243.206,407154.299,405869.813,402222.83,403236.185,399233.533,396851.026,403500.294,409059.443,406429.641,407306.148,407559.247,402002.564,407042.243,407679.055,401232.919,399436.965,387355.753,402465.952,403351.851,397947.096,404748.184,405779.918,404429.584,403183.403,391423.6,413640,400326.6,404826.4,0.9786924,1.023117
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.flatCollectChar,443835.932,444952.433,452782.081,455320.329,456071.63,438574.027,457683.769,458640.391,458691.571,458725.385,456434.814,462721.448,462320.309,464831.461,464736.009,460756.031,461295.302,468514.355,465359.44,459128.29,462130.21,465779.86,466404.463,460387.24,464216.09,460486.205,461691.807,461909.494,463422.636,469642.182,453780.36,448253.489,459705.785,459823.821,459618.051,456266.263,461151.46,460149.019,458144.238,459830.034,457644.604,459827.001,459995.732,456625.367,457550.255,464283.218,455930.383,463527.003,457135.095,460322.957,460637.163,452097.185,458870.043,455613.764,462456.636,456782.393,456042.563,461531.795,462816.679,457030.891,455910.7,462446.7,456849.5,459928.4,0.994629,1.00206
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.flatCollectDouble,321050.013,326240.126,338237.606,353660.551,356884.484,358472.425,352713.666,352815.182,351433.523,355805.165,345362.812,357616.818,357489.865,357079.179,358310.772,357863.196,356281.228,357530.848,357761.524,357738.691,358318.358,350834.469,354569.623,343887.857,358902.375,355723.384,355930.362,357944.497,359250.689,361685.258,278456.53,286572.754,288745.379,290910.866,294848.824,291910.714,294556.685,295770.408,294780.857,290763.25,287000.297,292379.17,288553.341,293023.759,294776.422,290333.548,294917.114,295041.111,291472.892,295275.479,295172.729,295365.249,295648.542,291854.247,291831.928,292522.053,287982.995,289890.663,295320.585,292003.84,348120.6,356367.6,290125.6,293520.8,0.8237419,0.8333907
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.flatCollectInt,551418.789,538742.501,551696.918,555975.915,543763.046,543750.246,529523.041,534647.495,549584.704,537825.376,542394.522,546020.924,559438.955,549870.329,538038.899,536243.467,523290.371,542708.645,540529.007,552612.197,533347.104,540354.469,541406.576,538519.463,560179.115,563017.709,563742.204,567453.28,559972.617,563912.943,539607.909,546224.526,551648.925,549848.606,552502.313,552161.734,544604.602,557239.053,550157.645,553538.484,550247.1,554855.77,551669.014,553114.382,556552.102,554212.493,555703.118,555864.687,552518.366,551021.814,551639.653,551890.358,550669.2,550752.472,548985.477,553408.977,550772.485,550846.515,548811.972,547660.794,539860.6,549351.1,549863.2,553307.5,1.007202,1.018465
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.flatCollectLong,506426.599,504011.766,509546.024,517560.978,517183,516258.609,516405.041,517010.09,513805.655,511888.503,516807.837,513850.371,514149.278,510191.142,520430.378,519117.518,516751.848,515230.211,515369.653,520972.148,517665.675,517929.729,516153.025,512998.484,508214.569,511368.326,515124.927,515438.73,505895.191,506301.398,487488.054,492174.923,504628.075,503827.787,500832.7,504755.803,499811.021,496906.779,503489.622,500514.626,502490.45,499023.126,493882.51,498065.206,494783.118,501459.049,500778.992,498693.959,495354.865,497610.525,495330.688,501314.917,498884.637,496275.929,500144.341,489710.989,491438.513,496315.495,496572.903,498820.095,512555.9,516468.1,496257.9,500100.8,0.9681758,0.9683884
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.flatCollectShort,513079.55,510072.706,522633.575,520310.66,526610.078,518387.448,527924.691,522502.148,532537.856,526685.902,523215.883,522587.608,523767.096,526150.611,527505.57,522510.479,521644.616,513385.081,522213.139,518940.891,530173.757,526109.155,530042.418,530533.585,523181.125,523460.942,521164.731,526036.336,526530.729,532927.466,502075.014,495025.096,516707.705,522753.915,522244.898,517785.693,514174.926,509676.253,508071.201,520493.641,515236.756,517422.481,518900.562,522003.868,518261.08,521773.287,517510.774,517396.63,519201.308,523734.409,522654.354,519447.114,516203.647,520082.276,519619.751,521449.644,509562.559,515171.394,519538.139,518633.514,520907.4,525893.8,513799.9,519393.2,0.9863575,0.9879872
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.flatCollectWith,233066.822,234197.477,238766.613,240359.753,239199.179,240698.079,239289.609,238255.564,238815.322,241786.963,240017.758,238915.941,239308.088,237716.039,236855.994,236557.336,241745.308,242652.399,240908.187,240446.82,241945.049,241649.329,238911.743,241121.274,242779.611,243129.669,239322.644,233564.651,240235.47,239367.161,179768.133,178684.569,180095.692,181313.236,182442.043,182241.203,183948.655,183637.901,182989.664,182707.224,182882.325,182760.856,183514.684,183699.656,182995.54,180972.682,181608.918,179793.475,181995.248,183459.487,181193.838,183535.064,182892.604,183316.408,183391.704,183734.694,183032.015,183606.594,182291.292,180108.537,238210.3,240470.1,181617,182901.7,0.7606122,0.7624489
