BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.jmh.CollectorJoiningTest.parallel_lazy_makeString_ec_104,48779.8373,48644.4601,48616.2815,48412.962,49026.8891,48263.2277,48345.609,48896.3181,48448.1254,48641.739,47415.7667,47415.2541,48474.8904,48951.9384,47039.4177,48004.744,48755.1287,48754.2765,47916.0332,48553.3459,48891.6592,47676.6803,48060.2061,48942.6251,48087.7339,48074.8323,48550.7439,49051.8034,48753.7012,48804.4863,48779.6591,48681.9341,48628.4987,48404.0659,49050.2854,48289.8607,48352.9789,48946.098,48467.1959,48652.3072,47456.332,47437.9521,48505.6682,48994.2224,47052.821,48020.2014,48783.6691,48780.4858,47936.1338,48567.2392,48934.4254,47668.0466,48094.2235,48946.4341,48117.005,48090.9865,48555.5583,49039.8841,48758.925,48861.9892,48089.05,48596.09,48102.98,48611.25,1.000246,1.000568
org.eclipse.collections.impl.jmh.CollectorJoiningTest.parallel_lazy_mapToStringJoining_ec_105,51148.031,52888.9072,54192.4923,54075.9751,51368.9666,51870.5292,53916.8819,50967.1956,52675.3087,54018.6939,51978.074,52909.4933,53773.5964,52090.5956,53238.3627,52571.8529,52647.579,52915.2121,52874.7176,51489.7969,52368.2565,53439.2063,52082.1057,53717.1837,53451.3705,51989.133,52857.9735,54882.7357,52870.7743,50879.658,51146.3796,52900.5151,54200.0153,54102.6201,51363.4331,51906.0639,53892.5507,50998.2352,52694.6037,54024.3045,52029.2239,52979.0833,53803.0329,52113.9703,53270.6049,52609.0589,52667.1365,52929.4998,52888.9035,51513.0457,52408.8444,53454.613,52121.1721,53755.0334,53466.3833,52033.8894,52864.4289,54915.0119,52920.1734,50893.9119,52283.65,53169.03,52319.51,53178.16,1.000151,1.000707
org.eclipse.collections.impl.jmh.CollectorJoiningTest.parallel_lazy_mapToStringJoining_jdk_106,45639.818,46304.9058,48078.2938,48506.7241,45266.3127,47067.1302,46449.5548,47627.547,46779.975,46918.6315,46265.3137,47545.666,45545.3064,45470.0328,45648.4195,49772.6543,47605.1502,44896.5413,46854.1303,48005.3396,45463.264,45019.0813,46870.0256,46035.4936,47352.2086,47356.1547,45125.4744,46846.6047,48215.0318,45615.4705,45657.3085,46287.8463,48096.5118,48544.5349,45321.1374,47109.834,46498.4331,47628.1303,46810.1501,46920.4948,46293.23,47580.9296,45566.1228,45515.2949,45665.6352,49765.7122,47602.2393,44912.9988,46901.6811,47994.9105,45519.4847,45060.819,46873.6421,46040.3602,47373.502,47345.9746,45144.7656,46856.6896,48195.3945,45618.4805,46137.08,47258.67,46157.58,47270.2,0.9999696,1.000617
org.eclipse.collections.impl.jmh.CollectorJoiningTest.serial_eager_makeString_ec_108,1237429.64,1144274.57,1219274.19,1237785.04,1207472.11,1232146.51,1201142.83,1208256.66,1207534.55,1235907.48,1217105.88,1208712.99,1233590,1204846.82,1236286.16,1182101.85,1215500.79,1206237.98,1207196.67,1235169.55,1204485.28,1233557.03,1202016.39,1221886.71,1238208.69,1207870.65,1209441.88,1234985.62,1206900.2,1234604.65,1223359.02,1132229.5,1206533.75,1224613.69,1194096.06,1218170.13,1188332.6,1195476.5,1194872.32,1221530.13,1202840.23,1195030.76,1220679,1192175.14,1222312.91,1168897.91,1201602.77,1193836.73,1193352.34,1221619.16,1191367.04,1219907.17,1188426.56,1208202.37,1224263.11,1193755.96,1196853.46,1220663.8,1194654.27,1220469.78,1205031,1223567,1192287,1209739,0.988632,0.989411
org.eclipse.collections.impl.jmh.CollectorJoiningTest.serial_lazy_collectToStringJoining_ec_110,1290810.35,1308436.61,1315419.27,1279648.35,1294349.09,1281587.7,1292876.14,1289169.53,1317447.72,1284445.25,1323415.31,1283418.08,1298749.89,1319269.44,1274235.53,1319248.5,1284272.37,1323008,1283650.21,1325885.69,1284599.56,1288590.83,1296339.36,1285422.83,1287485.32,1328129.47,1285897.07,1292138.56,1300612.28,1321998.46,1275283.82,1292582.53,1300386.07,1264657.16,1279804.5,1266302.81,1277753.68,1274253.2,1301988.23,1269398.99,1306881.3,1267394.42,1283862.26,1304248.88,1259439.63,1303781.64,1269499.73,1306756.05,1269634.12,1310402.4,1270239.18,1273088.7,1281744.97,1270235.38,1271792.48,1311988.86,1271356.94,1276447.55,1285683.96,1305318.64,1290976,1306739,1275884,1291055,0.9879153,0.988276
org.eclipse.collections.impl.jmh.NoneSatisfyTest.process_none_serial_eager_ec_900,836.795885,835.982011,792.513227,826.966832,861.319025,870.410429,868.995142,868.872958,867.201875,855.010126,855.400159,855.95018,860.9501,863.717205,867.432912,856.352764,870.559359,850.818516,869.68032,870.627939,867.51554,874.688755,870.282541,865.377315,853.391369,863.486631,866.377599,852.713714,857.315227,874.023818,455.860422,455.530613,442.249395,453.040825,462.951458,465.568155,465.075701,465.056,464.652872,461.122194,461.352794,461.325436,463.052382,463.69535,464.962169,461.68953,465.77445,460.060669,465.359825,465.569138,464.730869,466.937152,465.473574,464.188402,460.886396,463.57102,464.626775,460.476851,461.757599,466.713162,849.8744,864.849,459.4046,464.013,0.536524,0.5406382
org.eclipse.collections.impl.jmh.NoneSatisfyTest.short_circuit_middle_parallel_lazy_ec_904,1282.09704,1282.77175,1280.97436,1284.39396,1285.57175,1284.23086,1282.30998,1284.17933,1284.08956,1281.27099,1276.1463,1281.87217,1281.27314,1280.57153,1285.06299,1285.85548,1283.86746,1286.03063,1283.41531,1281.17157,1282.69299,1285.65837,1279.7201,1282.91526,1281.50273,1285.10112,1283.55981,1284.91587,1286.13856,1288.00448,847.993592,848.479812,847.502803,848.885934,849.35539,849.056962,847.933629,848.804502,848.813824,847.481589,845.233541,847.559375,847.375496,847.377346,849.594827,849.767961,848.86325,849.686291,848.631902,847.582941,848.747731,849.841683,846.656087,848.317595,847.802378,849.715958,849.054726,849.545238,849.777298,850.587041,1281.773,1284.024,847.8437,848.8818,0.6611103,0.6614631
org.eclipse.collections.impl.jmh.NoneSatisfyTest.short_circuit_middle_serial_eager_ec_906,2074.85718,2064.4753,2082.44968,2076.11698,2060.127,2063.62767,2065.14544,2058.02088,2059.62779,2068.79003,2086.71899,2064.12603,2090.70575,2089.37859,2092.51859,2090.83076,2086.78184,2090.49411,2074.88425,2093.66693,1780.75674,1641.53035,1639.4838,1636.66758,1636.65761,1633.68924,1640.42486,1633.61044,1639.40825,1641.83371,2076.05023,2066.41085,2084.08538,2076.60551,2061.102,2064.75844,2067.14734,2059.0222,2060.08723,2071.73198,2088.57536,2067.01065,2092.95146,2092.8586,2094.63829,2093.62017,2088.34364,2093.28068,2075.74611,2094.88116,1782.42873,1642.0775,1640.27853,1638.1262,1638.54339,1635.21643,1641.10844,1634.88578,1640.78522,1643.45945,1893.48,2056.483,1894.128,2055.414,0.9990985,1.001769
org.eclipse.collections.impl.jmh.IntListJMHTest.sumECBoxedLazy_487,872.530552,859.285482,868.531297,881.561252,896.90745,836.408618,801.552653,856.730565,875.568883,853.246134,883.821865,893.019918,879.691798,880.293204,841.20925,886.381297,868.334271,885.311402,836.984889,846.272443,876.51729,875.332158,898.014603,842.995088,843.979121,853.88323,858.063808,873.378336,862.551827,835.235232,466.24754,462.447676,465.223031,468.767201,472.987883,455.839894,445.156072,461.83279,466.997376,460.600125,469.257864,471.95685,468.041012,468.305054,457.093584,470.115159,465.122621,469.675951,455.941218,458.671884,467.494234,467.077085,473.473256,457.474146,457.804908,460.770806,461.975797,466.520215,463.31585,455.199932,854.9572,875.5882,461.0649,466.9637,0.5333499,0.5393116
org.eclipse.collections.impl.jmh.IntListJMHTest.sumECParallelLazy_489,1879.54035,1913.99933,1880.46222,1865.44023,1911.50041,1811.29032,1920.57382,1919.96477,1917.73752,1911.57244,1909.06989,1883.68676,1916.05521,1883.5816,1899.68063,1887.38803,1902.43658,1904.6112,1845.30983,1882.51043,1908.58951,1913.69712,1922.92079,1883.90588,1868.08173,1908.04812,1870.31535,1827.34285,1822.10394,1781.91049,1073.53124,1084.85433,1073.98618,1068.90361,1084.2491,1050.75631,1087.10647,1086.35875,1085.54765,1084.04463,1083.03354,1074.71593,1085.31888,1074.61512,1079.94383,1076.30684,1081.20103,1081.27921,1062.11298,1075.07183,1082.94633,1084.68862,1087.58561,1075.33465,1069.62215,1082.64152,1070.50286,1056.02889,1054.8429,1041.00178,1876.066,1903.257,1072.23,1081.392,0.5681577,0.5715488
