BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.collectKeyMultiValues,25654.2758,27090.9271,26810.8201,27077.7001,26976.7266,26535.3015,27042.0913,26911.2114,27036.6971,26697.3138,25654.2681,27091.2278,26812.5333,27078.6398,26977.2229,26535.3228,27040.1739,26909.9573,27036.3105,26696.5022,25653.4934,27088.9846,26811.9864,27076.6333,26975.4074,26534.2428,27040.0117,26910.0407,27034.2016,26695.3088,25663.78792,27063.54698,27025.37496,26998.82645,26946.14641,26538.17323,26869.96112,27089.28415,27123.6238,26787.14666,25759.31412,27251.00254,26900.86928,26990.90319,27041.13956,26505.87003,26772.65251,27018.31575,27100.46586,26454.99259,25709.17241,27138.87967,26891.76432,27056.24777,26837.39278,26537.17665,26987.98001,26945.12514,27050.15435,26590.1741,26543.42,26947.3,26557.47,26957.11,1.000236,1.000691
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.isEmpty,300824.205,304949.324,305359.388,303991.452,303024.999,305251.848,302988.001,304449.434,302207.053,301767.318,300817.195,304959.754,305351.326,303986.497,303002.696,305249.773,302974.698,304461.066,302214.911,301764.844,300832.538,304933.344,305333.096,303974.55,303019.272,305251.513,302973.487,304468.19,302210.649,301776.342,300124.7226,304189.4071,303900.9067,301838.1283,301216.1071,307343.3002,300673.1855,305120.5952,301337.1778,301267.4385,299996.0717,304381.3558,303075.835,303530.2259,303872.7689,302628.4435,303103.1596,304768.3073,298803.7562,300741.5413,298651.1784,304837.2349,303881.9875,301923.5338,302346.1888,305027.6683,301062.5385,304401.2872,303255.3097,301938.934,302794.4,304194,301651.4,303526.1,0.9962126,0.9978159
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.keyBag,1148787.65,1154279.29,1158330.21,1151323.96,1148976.55,1145664.66,1147113.98,1146302.41,1150723.7,1153553.11,1148837.96,1154179.68,1158383.03,1151318.32,1148919.21,1145639.69,1147017.28,1146276.16,1150715.3,1153511.82,1148736.29,1154258.98,1158357.55,1151332.48,1148891.99,1145545.4,1147115.13,1146312.15,1150663.51,1153561.31,1133527.286,1144120.454,1146155.585,1138081.034,1146835.009,1124088.149,1136464.728,1128133.776,1134270.613,1140711.312,1128010.479,1138198.238,1140869.857,1133999.195,1126914.604,1130181.513,1131023.888,1123786.183,1130183.275,1131450.792,1146380.643,1138752.115,1148501.258,1143897.46,1128804.39,1138304.103,1138810.247,1135361.563,1144225.843,1151953.376,1148869,1152464,1132319,1139115,0.9855948,0.9884421
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.keySet,126046.431,127313,126086.298,124996.211,125384.187,126720.056,127255.507,119311.053,125825.102,125536.133,126049.079,127311.332,126092.213,125001.774,125379.56,126713.948,127259.401,119310.158,125830.034,125532.442,126049.671,127308.977,126086.538,124996.486,125385.554,126722.452,127257.352,119309.907,125833.055,125537.626,126135.3007,126068.8209,125061.1705,123904.8792,125992.8355,125780.6223,126482.3686,119714.8446,125913.1634,125881.7276,125585.8072,127736.8949,126184.2197,125368.4914,124629.1047,126437.1515,127234.9539,119124.333,125580.6449,124677.7303,127155.6998,127262.8531,125356.038,124655.2071,125201.9153,126802.7616,126247.6341,120090.4155,126210.7388,124930.9272,124359.4,126320.4,124178.4,126135.1,0.9983546,0.9987968
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.keysView,715954.472,719647.917,721041.955,717286.968,716127.25,721239.266,712521.358,714214.358,719971.118,714204.786,715910.153,719626.759,721006.983,717249.381,716088.864,721264.944,712555.491,714202.286,719990.774,714245.214,715957.765,719652.235,721050.03,717298.661,716094.45,721247.057,712525.92,714212,719960.606,714255.928,714634.7886,717512.6425,715964.2258,708425.5134,711693.6891,712339.2936,713791.0055,705905.3191,710070.1196,712017.2896,706341.9634,715044.7803,720510.383,719167.5556,715822.8399,717320.5971,701429.3224,709206.5869,715358.0497,704020.2206,706462.9443,711277.0145,718048.1899,714104.9356,711384.3691,720462.0212,706057.3884,702531.1171,713410.5848,713099.8922,715925.3,718636.4,709680.4,714637.2,0.9912776,0.994435
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.keysWithMultiValuesView,258730.785,258760.072,260799.585,258313.508,260789.226,257485.339,259508.45,259457.084,257485.262,260675.311,258719.97,258763.228,260804.149,258303.407,260776.16,257473.597,259523.01,259457.992,257471.82,260695.567,258721.573,258761.158,260796.534,258318.132,260779.289,257476.172,259522.958,259469.746,257485.751,260691.501,260660.4557,257361.6258,261534.5984,254763.5931,260934.3626,254993.9327,260053.4187,260973.6823,256969.8304,262917.4448,259176.8175,257616.5099,259596.4455,257609.8856,260588.6726,256194.5138,259954.646,259628.668,255616.4934,260193.914,258454.0971,258525.8129,261443.7063,257352.8413,259456.569,255417.1838,258823.4483,258545.522,255948.337,259838.361,258626.9,259769.5,257780.2,259736.6,0.9967369,0.9998743
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.keyValuePairsView,337320.693,333930.172,334842.02,336822.902,335913.22,336294.062,334180.223,333702.239,335544.04,334675.231,337333.917,333909.601,334827.22,336839.542,335893.871,336288.817,334193.926,333699.27,335547.966,334661.375,337297.35,333905.461,334833.147,336833.984,335900.59,336278.459,334199.742,333704.275,335534.41,334668.671,337186.0617,330388.0496,333750.6676,335356.7495,333533.5493,335742.0947,333476.7016,332391.5559,332010.7311,332023.3782,335170.6759,334691.2108,336519.3905,337375.6028,334360.1457,334947.8615,335358.0537,333954.3527,334592.0683,335301.7698,338044.8912,333450.874,331587.2982,334220.0941,335093.2478,336717.7691,334188.4217,335292.5073,334572.3418,332954.4352,334802.1,335905.6,333700.7,335360.4,0.9967017,0.9983671
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.notEmpty,2845635.27,2844651.78,2861812.85,2847450.81,2842225.01,2846675.95,2849322.36,2840953.02,2841768.59,2848728.48,2845782.41,2844665.44,2861750.17,2847494.39,2842189.76,2846579.45,2849426.09,2841095.37,2841779.11,2848897.7,2845831.63,2844517.23,2861717.26,2847336.07,2842337,2846510.55,2849581.39,2841180.04,2841842.48,2848884.31,2759506.344,2759054.443,2791413.877,2752979.642,2777248.241,2774499.941,2742388.999,2779241.16,2758879.658,2774387.378,2758068.79,2780591.008,2795111.452,2772291.274,2758250.517,2757959.809,2780044.348,2756060.79,2780663.617,2772260.771,2769442.53,2781717.442,2792799.743,2762434.395,2791274.262,2793520.983,2779824.614,2762258.481,2764125.564,2775375.654,2844687,2850035,2765131,2777528,0.9720336,0.9745669
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.put_createCollection,1188992.47,1197741.05,1191722.92,1190123.03,1188681.35,1191209.49,1200462.78,1189774.03,1189692.69,1185585.41,1188975.95,1197701.16,1191728.64,1190133.97,1188702.03,1191201.87,1200362.78,1189800.8,1189686.98,1185572.61,1189051.1,1197752.3,1191736.39,1190161.35,1188788.81,1191150.28,1200339.01,1189694.08,1189732.43,1185523.04,1183621.447,1180972.693,1182764.118,1174384.915,1170663.275,1190592.556,1187893.177,1176537.571,1183638.844,1178938.126,1171840.246,1178601.033,1172621.586,1181588.933,1172481.399,1174969.32,1186252.555,1177341.312,1180480.086,1172969.958,1173657.732,1186564.371,1176398.074,1186259.128,1170504.182,1182995.196,1174781.01,1167741.008,1172810.047,1177419.608,1189668,1193602,1175984,1181275,0.9884978,0.989632
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.putAllFromCollection,221094.814,220546.869,220811.191,221710.875,220517.349,221762.918,221424.212,219791.208,221171.178,220031.358,221093.488,220548.545,220790.987,221690.301,220513.402,221777.666,221443.921,219788.417,221161.158,220037.387,221090.281,220563.301,220798.495,221698.725,220507.337,221766.555,221433.403,219767.844,221166.554,220040.138,219750.5766,220402.1018,221177.3248,222148.0864,219639.9849,219474.2595,220375.8976,221130.5642,222267.6783,220537.5229,219204.2498,220718.795,221693.7971,221724.5799,221921.8818,223013.7473,221292.3096,218102.1481,219682.219,221322.3764,219961.9963,221766.4585,220511.9788,222353.877,218924.216,220655.3838,220801.2941,220393.3312,220918.696,219617.9656,220588.5,221181.1,220221.9,221321.7,0.9983482,1.000638
