BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.bottomOccurrences,64128.4304,64784.8351,64742.6098,64556.4688,65137.0611,63796.2908,64448.4409,64167.2207,65309.0511,64153.7894,63844.3665,64880.5564,64595.8296,64171.47,64529.415,64125.5824,64513.2831,63902.8531,65302.6515,64472.5851,64124.7296,64853.461,64462.5907,64527.6384,64725.6599,63903.6655,64275.3748,63669.5309,65347.1396,64082.4456,64562.4176,65255.88878,65791.4869,64806.64075,64706.85499,63841.22848,64858.29316,63909.49003,66231.07671,65299.16806,65051.91921,65657.64516,64982.65112,65246.98867,65184.45818,65134.18786,66217.66837,65085.06198,65139.95168,65326.86941,65321.19914,66340.97442,65071.2443,64275.88839,64996.48827,64469.51248,64965.90539,64648.73813,66336.05968,65301.93838,64264.65,64666.69,64868.59,65445.86,1.009402,1.011919
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.collectBoolean,598591.148,605757.612,601318.648,603767.781,599619.443,607339.645,597794.437,604338.413,598197.999,603909.767,600131.381,607946.554,604502.872,605898.29,598787.41,609541.083,598051.687,603496.702,597256.047,607231.533,600583.452,608443.073,604517.324,608818.37,597209.153,607587.862,601450.676,599376.2,600146.322,602992.269,604249.5509,599747.6205,599476.1865,609325.8829,599964.0065,606268.1146,600181.7356,604546.9586,602621.083,606825.1193,601565.1834,603190.6368,599556.5898,609554.4762,594400.8327,609048.9877,606439.2878,595815.1934,598269.9215,610961.5554,600203.8061,608933.2194,594410.4977,601881.1496,603363.0643,615135.6288,597856.6065,603899.6006,597724.3356,601826.4872,601140.1,604832.5,600731.3,605404.8,0.9992914,1.000944
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.collectBooleanWithBagTarget,2396839.53,2385020.39,2416704.4,2385217.43,2367249.39,2385490.36,2392734.51,2395698.42,2381159.27,2401635.37,2400706.32,2387647.42,2406095.51,2377181.37,2379887.06,2378275.37,2379166.74,2404694.89,2391085.56,2395547.79,2396156.44,2393183.54,2420377.35,2397953.87,2386721.01,2377552.49,2391588.64,2383618.01,2389476.79,2396770.92,2241559.742,2210210.733,2206137.288,2220406.105,2189222.202,2211419.395,2192966.176,2197608.388,2220459.024,2220175.116,2257032.835,2205649.305,2247521.324,2220553.821,2210978.308,2246086.071,2224905.795,2238823.919,2231411.579,2201731.293,2201880.021,2223410.146,2225575.143,2210570.989,2222830.044,2206822.251,2224682.339,2227677.576,2234805.068,2236681.284,2385964,2397079,2212778,2229045,0.9274123,0.9299047
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.collectDoubleWithTarget,383450.151,381391.192,383777.154,381532.544,385983.129,379588.394,378115.017,382385.5,382368.827,380307.982,381709.76,380787.267,380571.526,382279.082,384717.939,379268.632,379409.882,384233.573,380779.565,380635.808,382973.492,380843.301,382305.374,382734.333,386358.045,382083.531,378459.351,382580.433,382590.412,380582.565,383865.6976,383998.2033,385161.0959,384336.887,385971.5089,385460.548,380052.4574,381373.3489,386461.6636,378744.6628,387814.6432,379262.1635,382069.0039,386282.6961,382256.3308,380441.2591,378770.1725,381022.3098,385375.8082,382021.2988,379795.3921,384126.4997,377861.9389,378844.9019,387456.7234,383056.7259,381371.0358,381733.5165,388456.0091,384264.7555,380891.3,382693.5,381396.7,384146.7,1.001333,1.003794
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.collectIf,291959.59,289521.324,288730.699,291084.601,288595.611,290727.852,286309.533,292187.965,289453.966,291813.253,292343.935,288029.78,290220.696,288957.553,286742.116,290480.209,288632.937,289535.793,290094.682,290474.845,291159.257,290040.766,288577.218,290605.225,286299.573,290900.751,287854.88,291304.833,290811.23,290722.494,293163.1688,291130.9439,292740.8698,295903.7722,291534.7105,293161.5857,290871.925,297315.3272,291239.4395,294665.6731,292439.0623,289662.0589,288898.4299,292760.4874,287861.576,292247.4049,286884.2047,292330.9805,294427.2536,292329.8055,292724.6073,294188.7191,291524.2233,291432.9332,286602.7117,293535.3313,289553.6654,292429.1443,291260.0361,293780.0043,288990.2,290490.2,290757.8,293041.8,1.006117,1.008707
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.contains,554599.309,552705.166,558052.562,559007.672,554431.745,556399.932,553303.802,548548.821,557657.929,551694.076,553511.153,552278.185,558972.957,556010.427,555660.969,556666.571,552460.73,552773.781,557923.443,553049.948,556639.594,554491.459,559489.931,556684.116,554750.487,555090.511,554423.2,553908.304,560996.619,554515.916,550516.1227,547700.8973,547079.8478,555976.3333,555184.3405,552732.6467,552161.4613,553211.7954,550968.6161,546853.021,553168.5532,552376.9277,553218.7557,553986.1657,546006.9322,551788.6295,548153.1806,545060.7832,562526.3167,543770.1236,546278.1749,545436.604,552687.063,556706.6138,543723.0932,550475.1704,557235.0245,549306.7883,553724.7861,548796.0782,553818,556305.3,548804.8,553080.7,0.9909591,0.9941859
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.detectWith,520740.872,522250.319,526719.653,522536.108,521664.8,519777.191,522721.965,523284.289,521060.941,521614.083,521438.523,522262.411,525726.641,522616.44,524122.883,518916.615,523408.738,526115.834,520424.256,522448.554,523402.548,522121.881,527378.248,520801.819,525404.115,522262.804,522081.939,523369.419,521546.959,525229.211,514051.9823,523311.7654,523429.224,517762.4443,517626.1812,511462.0044,516620.2654,523217.5094,520369.0032,523435.211,514272.3449,513133.8866,521862.2099,513506.587,520663.4131,518142.0203,513109.763,518383.4754,510140.0274,515432.6546,524706.1617,522004.1762,522377.764,512068.0153,521636.1919,517586.4198,521184.8075,515272.7456,516323.8766,518153.9909,521750.4,523703.7,516018.9,519891.6,0.9889822,0.9927209
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.getFirst,716680.02,710977.366,719278.372,715934.091,718510.553,711053.47,715386.98,709089.486,716848.578,714885.104,714405.707,711473.308,715727.276,714960.518,713772.137,706733.457,714856.163,709003.001,718895.416,716127.741,717560.182,707698.069,716755.929,714852.055,716767.152,707166.344,716166.932,707973.314,717702.053,713161.473,723141.6404,704908.9047,720614.0173,710886.2574,724197.3449,719247.1931,720013.8274,713534.2905,723420.2527,700550.9208,717903.1353,714178.2905,718743.8485,710871.0142,726475.3335,718378.875,715880.1565,709336.8459,713993.8884,714129.2824,709867.5703,716016.5934,719903.2907,713870.0823,719899.7039,716968.4226,719782.7451,708352.3904,724649.5354,715591.0817,712244.3,715614,713216.1,718716.7,1.001361,1.004346
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.groupBy,57113.2098,57168.8849,57749.2969,57490.9209,58054.4203,57483.8452,57752.7458,56192.5239,57350.155,57484.1007,56991.2778,56953.4487,57747.2374,57134.6449,57533.2654,57343.7941,57774.163,56492.894,57828.2061,57802.7575,57371.1953,56967.0285,57398.0019,57397.1756,58097.3172,57298.0801,57338.5954,56123.3782,57759.7573,57421.534,57442.25496,57567.55667,57783.70497,57111.48448,58078.80684,57132.98342,57794.31011,56325.61603,57201.11658,57520.40171,56555.35733,57101.38697,57979.91596,57656.67591,57504.31847,57163.8441,57967.85622,57242.06746,57820.56839,56859.47715,57000.50619,57595.35433,57857.31801,58391.91636,58069.53456,58276.90533,57921.7511,56727.9985,57778.32956,58308.66087,57130.17,57558.63,57231.34,57701.84,1.001724,1.00251
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.groupByUniqueKey,1153605.46,1148790.66,1141189.36,1154391.74,1145571.19,1141243.58,1154044.88,1135755.54,1143272.07,1148156.95,1143357.9,1147062.62,1147026.94,1155084.15,1142274.68,1151295.11,1154864.71,1136622.64,1142007.31,1144137.05,1145371.94,1148697.23,1138334.6,1155137.6,1150535.16,1141011.98,1151359.52,1145075.59,1149668.52,1151573.2,1118208.052,1110043.356,1107736.016,1115942.564,1111523.11,1103873.181,1116923.174,1112063.096,1123565.551,1116866.31,1107105.266,1108584.123,1105188.008,1119387.082,1118070.732,1116509.294,1130622.123,1109014.913,1099673.627,1121555.181,1106215.41,1127775.998,1110585.877,1119946.262,1117310.466,1118824.948,1108368.796,1103697.785,1108287.383,1118344.948,1144012,1149310,1110469,1117549,0.9706354,0.972355
