BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl,1127156.395,1129285.868,1127212.071,1130278.398,1133222.083,1137339.634,1129669.755,1127902.656,1131203.426,1069910.294,1131368.932,1132821.298,1131446.443,1127565.203,1122200.66,1134921.474,1128824.152,1132666.652,1129617.564,1132517.777,1128245.944,1133891.019,1127155.938,1130072.03,1129972.059,1134241.269,1131846.369,1135836.551,1131519.568,1129806.16,1005401.165,1006458.247,1004476.662,1003664.429,1005263.472,1001056.616,1003596.376,1001373.767,1001252.648,1003449.101,1006528.84,1003655.107,1007021.611,997129.0396,988686.9195,1002514.81,1006219.57,1004383.352,1005210.426,1007025.858,1004742.271,999415.6916,1004993.263,1005134.822,1001043.821,1005738.304,1001398.767,1004378.16,998142.4935,1001897.799,1120598,1131708,1000871,1004644,0.8877228,0.8931591
org.eclipse.collections.impl.bag.immutable,1086561.96,1074084.794,1086736.935,1084643.788,1086336.721,1083727.491,1085343.428,1087027.822,1087949.063,1086668.134,1090569.784,1091509.245,1089654.733,1081051.97,1075339.024,1089210.411,1082073.952,1085293.363,1088407.324,1091483.489,1089318.397,1087600.529,1087767.223,1087695.858,1081539.541,1087347.353,1084764.601,1080867.823,1081742.308,1086977.416,1025246.253,1014157.718,1022429.83,1024433.538,1028758.995,1029943.362,1031097.286,1024907.81,1023465.575,1021089.089,1027401.314,1029038.745,1023901.814,1024903.265,1017114.543,1025519.288,1024969.351,1025449.359,1027586.308,1025829.909,1025010.363,1023016.965,1024456.727,1026341.812,1023485.786,1027213.404,1026400.232,1024272.578,1022986.226,1022523.234,1083720,1087702,1023091,1026339,0.9435738,0.94405
org.eclipse.collections.impl.bag.mutable,1215317.606,1213665.771,1214489.723,1211152.081,1205305.194,1207227.003,1212020.602,1209910.684,1211936.938,1216091.838,1210253.896,1212798.208,1211839.875,1208947.812,1187196.034,1201496.848,1202576.685,1209096.143,1209204.251,1209393.178,1207267.581,1206199.191,1216091.302,1217042.518,1211293.841,1212612.535,1210905.311,1207359.743,1210278.72,1219457.939,1144791.262,1146840.704,1154111.44,1147043.064,1146053.118,1148340.708,1141627.382,1141708.246,1147650.916,1143658.049,1143904.378,1153956.725,1148949.906,1146807.777,1133817.819,1149717.171,1148755.802,1149156.749,1150218.557,1145435.94,1149542.55,1148683.695,1140109.83,1152021.715,1152688.748,1150282.038,1141858.739,1145864.965,1148015.153,1152116.988,1205975,1211770,1144676,1148903,0.9481207,0.9491657
org.eclipse.collections.impl.bag.sorted,510398.9158,508258.3154,509434.6225,509836.3511,512027.0544,509754.3022,510349.5131,510063.6508,510185.2527,508706.3577,510300.6668,509113.9661,509696.5235,505274.7949,501775.7939,506913.4039,509040.3197,512303.2865,513297.6288,510915.4829,508973.2211,510481.614,508530.7084,509244.7183,509751.7532,511544.036,511080.898,509310.8457,510556.78,509080.5642,484853.186,483445.7845,481164.9195,482886.99,487138.4344,485894.1887,486057.0742,482956.7809,484868.2761,486618.7921,483356.4134,485029.3852,485258.6903,484952.6143,483446.4837,485088.083,487647.0943,486562.4406,488455.5734,488396.291,486585.8268,486732.8912,488125.1631,485885.8737,487494.6075,485339.5316,488371.2988,486284.3682,483881.5751,488186.9997,508179.8,510351.4,484741.8,486443.9,0.9531462,0.9538825
org.eclipse.collections.impl.bimap,1192616.284,1196982.489,1196206.96,1191193.755,1194178.456,1196984.381,1193803.567,1191301.61,1194132.967,1198378.611,1195692.417,1197653.485,1195096.272,1190406.379,1182877.082,1197015.294,1195810.764,1195849.741,1195074.218,1194563.069,1195045.112,1197054.993,1198028.349,1192151.917,1199490.625,1197570.085,1198667.251,1193891.975,1199615.983,1198786.448,1145331.101,1150617.137,1147980.599,1150147.618,1147259.853,1144899.446,1150936.786,1143710.041,1149646.414,1131357.318,1137876.996,1147247.687,1143517.807,1142491.773,1134940.154,1140264.254,1148417.706,1149493.909,1150588.567,1150507.352,1147359.564,1153721.218,1142931.326,1151532.918,1144688.714,1151328.334,1152972.314,1149457.499,1150840.151,1143584.858,1192965,1196236,1143206,1148290,0.9582871,0.9599194
org.eclipse.collections.impl.block,1206489.755,1208175.085,1204868.55,1206843.681,1208238.859,1208061.494,1205544.999,1203352.479,1202468.316,1200675.346,1208950.057,1213945.244,1210038.086,1206337.315,1199974.061,1206744.416,1211459.559,1217513.617,1205884.644,1215803.948,1205719.384,1206289.405,1203374.5,1201101.674,1205412.737,1206368.027,1202341.887,1204462.823,1205084.501,1202795.067,1170329.369,1167646.947,1165348.524,1163800.142,1161979.884,1171310.164,1170016.557,1166720.641,1164508.663,1166229.997,1167400.623,1166553.582,1169486.397,1166803.074,1162805.404,1173450.8,1170572.082,1171024.727,1168993.743,1164045.294,1163621.628,1170214.905,1166762.624,1169396.373,1166043.038,1160983.501,1169722.775,1172781.935,1167606.697,1174813.776,1204975,1209087,1166037,1169055,0.9668909,0.9676833
org.eclipse.collections.impl.collection.mutable,1499232.961,1495702.184,1502327.754,1485384.056,1497450.701,1498950.233,1499791.083,1504506.427,1502859.065,1501295.849,1501394.953,1500391.538,1502663.964,1493061.334,1485821.759,1506874.937,1501536.466,1501128.966,1503289.792,1507073.923,1504260.262,1502131.739,1499056.432,1498651.194,1502501.997,1506002.639,1500159.828,1500847.617,1496674.71,1496085.921,1459596.793,1450610.085,1463407.93,1465231.551,1470486.911,1462379.621,1461254.533,1466864.695,1469069.803,1464032.388,1466126.785,1459472.439,1468045.654,1465677.713,1448156.094,1465694.293,1460391.119,1468122.648,1467366.716,1465674.157,1469148.262,1453499.969,1459602.357,1459236.129,1462442.601,1468795.504,1466079.313,1470506.636,1461497.653,1472091.705,1497364,1502209,1460526,1465814,0.9753998,0.975767
org.eclipse.collections.impl.collector,1184758.623,1183600.232,1177920.525,1184500.358,1170741.762,1185602.151,1181823.242,1184034.443,1184658.17,1182913.283,1179035.166,1182591.475,1187004.075,1180911.96,1171397.244,1177473.671,1184123.611,1184326.961,1172280.157,1180780.938,1183372.532,1184464.09,1185032.513,1185985.811,1186413.225,1182732.263,1184624.058,1184273.073,1182248.016,1182266.624,1155600.913,1159202.057,1156815.137,1152668.382,1145970.67,1151527.068,1159460.76,1153549.462,1154453.509,1154832.461,1153406.636,1156325.233,1153390.244,1151443.583,1137395.881,1158619.649,1159237.473,1159349.533,1156913.997,1156215.555,1133645.774,1154300.754,1156402.608,1155371.447,1152587.15,1158890.381,1160234.543,1155531.785,1154847.992,1152843.755,1179512,1183621,1150477,1156260,0.9753837,0.9768827
org.eclipse.collections.impl.factory,1191769.521,1188144.093,1196681.191,1191869.42,1193477.504,1185225.071,1187874.474,1191365.563,1188222.186,1190407.501,1194614.507,1190953.388,1188926.519,1183957.353,1178457.692,1193487.682,1193245.229,1189439.32,1188823.871,1164653.054,1196568.591,1196879.973,1195407.966,1195762.132,1193077.357,1186672.755,1193371.624,1188758.492,1192180.098,1193171.173,1163486.659,1160558.129,1156098.853,1165472.973,1159508.838,1166891.061,1166508.214,1165138.21,1160142.765,1161638.062,1160556.287,1159997.914,1162853.362,1161551.741,1153379.739,1166975.036,1159855.363,1163519.162,1162904.702,1161292.205,1163421.855,1159566.205,1160303.329,1162505.604,1148097.193,1161779.235,1157049.263,1162140.21,1155754.29,1159811.44,1186125,1192312,1159378,1162953,0.9753763,0.9774495
org.eclipse.collections.impl.lazy,721131.3931,722838.3799,721752.9644,723236.6012,724820.7723,723088.202,724300.5157,726155.0552,727774.5004,724548.6167,726484.0707,724964.4687,726043.2309,723866.3514,718571.0265,723718.0603,721850.5982,721000.2825,724494.0865,722744.4334,723246.8467,728196.6983,727531.1646,728824.5296,723964.8043,722207.9953,721398.6403,719533.0708,722113.2608,721585.7702,712541.5617,710286.1261,706484.8712,712019.4282,708842.7167,709526.3455,711396.0633,711297.1595,710787.2525,707417.5077,707386.8545,710743.1372,711833.5077,708287.4448,703445.7979,710630.0203,708121.6839,709700.9497,712343.3925,712783.2009,712834.564,709600.0525,707753.8623,711702.7774,709217.8716,711554.322,707530.1136,711057.5128,710042.604,710867.4546,722746.8,725038.7,708714,710825.5,0.9803884,0.9806061
