BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.jmh.FunctionalInterfaceSetTest.serial_lazy_ec,10.8341397,10.740054,10.7294542,10.6664585,10.6946629,10.7197365,10.5949218,10.6831755,10.6899691,10.3631323,10.6205758,10.6090389,10.6731904,10.4764447,10.4427622,10.3539387,10.5535798,10.6429456,10.7702706,10.8297662,10.9671746,10.799221,10.919662,10.984207,10.5795445,10.571703,10.7302068,10.9755919,10.9269397,10.8988864,10.8197933,10.7293939,10.7114248,10.6531446,10.6845283,10.7078331,10.5879549,10.6702764,10.670302,10.3556654,10.6029555,10.6025975,10.6622241,10.4658844,10.4353818,10.3443405,10.5501587,10.6301732,10.7482068,10.8197973,10.9605342,10.7948084,10.906191,10.9641942,10.5639509,10.5541547,10.7183814,10.9607589,10.9165372,10.8769287,10.59329,10.74967,10.58507,10.7368,0.9987302,0.9993024
org.eclipse.collections.impl.jmh.FunctionalInterfaceSetTest.serial_lazy_jdk,6.99579652,6.3521292,6.90425995,6.42006704,6.76900657,6.9160739,6.81103445,6.48205342,6.74249892,6.36159447,6.9877979,6.69612874,6.449284,6.97480636,6.36868812,6.75961487,6.85786927,6.46125343,6.95226801,6.36993842,6.90498569,6.87890661,6.4432304,6.92772412,6.23029452,6.60803925,6.77994,6.40916325,6.82399855,6.39227958,6.98449854,6.34439781,6.89336556,6.41478331,6.75481149,6.90833303,6.80439277,6.47358292,6.7329928,6.35509564,6.98137253,6.69304541,6.43659336,6.96746121,6.3601217,6.75313475,6.8449062,6.45429507,6.95074848,6.36711325,6.89508747,6.87617798,6.43658805,6.92460583,6.22379112,6.60069497,6.77484214,6.40192069,6.82164143,6.38395242,6.567526,6.785935,6.560246,6.782827,0.9986864,0.9993845
org.eclipse.collections.impl.jmh.SumByBigDecimalTest.sumByBigDecimalAccount_serial_eager_ec,0.7574415,0.7732256,0.78437516,0.78862568,0.78665594,0.77065266,0.7724067,0.78367887,0.7568278,0.79715476,0.80824711,0.77984057,0.78300513,0.78211735,0.77366059,0.7737874,0.78507092,0.77694157,0.77586765,0.78310608,0.76268879,0.76691158,0.7763378,0.78338544,0.79347593,0.77049248,0.78959523,0.773705,0.77361944,0.78124046,0.75630135,0.77202819,0.78363114,0.78804841,0.78595508,0.76998323,0.77174074,0.78273049,0.75645584,0.7961467,0.80742077,0.77899911,0.78257312,0.7816785,0.77276144,0.77296198,0.78394781,0.77562255,0.77548307,0.78255356,0.76149036,0.76612434,0.77525892,0.78254844,0.79319681,0.76989088,0.78867144,0.77351374,0.77337796,0.78078961,0.7738426,0.7844427,0.7732354,0.783843,0.9989283,0.9992849
org.eclipse.collections.impl.jmh.SumByBigDecimalTest.sumByBigDecimalCategory_serial_eager_ec,1.85980977,1.86334766,1.85466919,1.86994662,1.85614516,1.86335993,1.87828594,1.87802113,1.87026023,1.865271,1.85404665,1.85499214,1.85311469,1.86701723,1.87392436,1.85717224,1.85212304,1.85270448,1.85497807,1.85624588,1.84881253,1.85556187,1.86204976,1.86779,1.85792826,1.86524349,1.85399786,1.86507472,1.85137877,1.86069682,1.85927711,1.86037985,1.85395293,1.8686997,1.85387542,1.86094668,1.87703126,1.87458019,1.86883089,1.86234512,1.85176563,1.8523199,1.85041239,1.86483174,1.87089519,1.85651699,1.84994282,1.85149282,1.85143648,1.85496095,1.8474499,1.85320137,1.85864155,1.86641053,1.85572424,1.8643587,1.85193654,1.86272664,1.84862383,1.85743431,1.85718,1.86487,1.855132,1.862543,0.9987847,0.9989375
org.eclipse.collections.impl.jmh.SumByBigDecimalTest.sumByBigDecimalProduct_serial_eager_ec,1.65001526,1.64469653,1.64865242,1.64804831,1.65363799,1.64726421,1.6470826,1.65470679,1.65133124,1.65120147,1.66443713,1.65371097,1.64739931,1.63886946,1.66444556,1.65010708,1.65590976,1.65179711,1.64178171,1.65549724,1.6542598,1.65981709,1.6613172,1.64967066,1.66099942,1.66299797,1.64615579,1.65363145,1.65438247,1.64846667,1.64943515,1.64377254,1.64672299,1.64737133,1.65166905,1.64546084,1.64592135,1.65326401,1.65042868,1.64874968,1.66178001,1.65323168,1.64590148,1.63743613,1.6621137,1.64739218,1.6537668,1.64997784,1.64028543,1.65458891,1.65229111,1.65716776,1.65967925,1.64753323,1.65863982,1.66111245,1.64467999,1.6506477,1.65301616,1.6456136,1.649268,1.655437,1.64753,1.653648,0.9988677,0.9990254
org.eclipse.collections.impl.jmh.SumOfDoubleTest.parallel_lazy_directSumOfDouble_ec,166.70215,167.451138,167.690724,163.481023,169.150725,167.928676,166.724748,167.171079,167.282419,167.618051,167.585602,166.758879,169.553475,167.239992,168.083967,166.732335,166.845402,165.616559,166.9903,164.724966,167.178967,167.249103,168.317764,166.262544,168.827864,167.552534,164.865186,168.792995,168.900914,167.334035,152.8405,153.418231,153.623783,150.071976,154.959532,153.898649,152.791983,153.234411,153.371824,153.592394,153.583504,152.931793,155.18604,153.25036,154.006775,152.891083,152.919452,151.947959,153.027152,151.140373,153.287374,153.253951,154.153029,152.43651,154.69505,153.515104,151.294863,154.518661,154.7046,153.308486,166.5647,167.7384,152.6987,153.7028,0.916346,0.9167714
org.eclipse.collections.impl.jmh.SumOfIntTest.parallel_lazy_sumOfInt_ec,75.0044217,76.3490501,77.3798572,75.9148991,76.183245,76.648058,75.675828,76.958506,76.3126584,76.7705012,76.7953037,76.4776317,76.2844888,78.0089955,76.1469545,75.7822139,76.3011632,75.6413092,76.9907206,76.4619543,76.7928174,76.9818889,77.3274042,76.3991707,76.3197756,75.9879125,76.4609765,76.1031631,76.9630083,77.1996978,72.6550296,73.93771,74.9042118,73.5232911,73.7785158,74.2277999,73.3270129,74.4708323,73.9572538,74.3338205,74.3943262,74.0207945,73.8633822,75.5301532,73.7241845,73.4405459,73.9062706,73.3230082,74.5527489,74.0417727,74.3032838,74.5193381,74.831541,73.9590205,73.8940601,73.622442,74.0369969,73.6879828,74.4980398,74.7608478,76.18758,76.76813,73.78894,74.32992,0.9682838,0.9685361
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_ec,9.176289,9.22724266,9.82104282,9.48958654,10.0652814,9.99446779,9.81135112,10.0604575,9.58169415,9.72190398,9.02818042,9.87195926,9.10594257,9.9594444,9.62393971,9.65282222,10.1182691,9.74496275,9.68975237,9.45787028,9.70341137,10.0133764,9.90335771,9.96111354,10.1037709,9.6043936,9.75787398,9.99165326,9.90365287,10.1687061,9.15942056,9.21479251,9.8008781,9.47671734,10.0509705,9.98202287,9.79180969,10.0390862,9.56262819,9.70629072,9.014847,9.85014682,9.09897569,9.94188715,9.61003322,9.63295399,10.1055665,9.72131771,9.6709562,9.43774268,9.68466184,10.0026734,9.87950291,9.94215679,10.0896853,9.59115599,9.74691856,9.96884513,9.88290648,10.1523818,9.558378,9.851392,9.546425,9.835291,0.9980704,0.9988519
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec,4.95853827,4.50191351,4.88755644,4.94401689,4.82267286,4.80235506,4.90816584,4.81339931,4.9218776,4.9894802,4.83563863,4.76343487,5.05360329,4.73710453,4.95605062,4.92116811,4.81811098,4.69938311,4.91052908,4.95964831,4.61510219,4.96974004,4.83638347,4.99935983,4.71806119,4.91024362,4.97702544,4.74802989,4.77672084,4.64562331,4.95198795,4.49689248,4.88172279,4.93676212,4.81488691,4.79724334,4.90077901,4.80976253,4.91605753,4.98096843,4.82622523,4.75537729,5.04663001,4.73274126,4.94841682,4.91841189,4.80955418,4.69334426,4.90347434,4.94870869,4.6114089,4.96459753,4.82788024,4.99245063,4.71179688,4.90085951,4.97097045,4.74391048,4.77411773,4.63653885,4.79533,4.90974,4.787903,4.901444,0.9981777,0.9989035
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec,4.99763098,4.92304435,4.77307145,4.73679474,4.74108804,4.95560728,4.86178588,4.81713176,4.90828527,4.81423337,4.90315022,4.7786454,4.82355232,4.78840472,4.84937391,4.76964061,4.96522512,4.78890431,4.90873606,4.7932649,4.78494876,4.77397915,4.85846528,4.10457351,4.78210031,4.79304251,4.82456262,4.94586602,4.85173779,4.74536115,4.99219773,4.91545198,4.76999914,4.73171869,4.73528784,4.94681787,4.85302179,4.81009697,4.90259458,4.80806419,4.89596633,4.77059944,4.81809707,4.78187366,4.84340264,4.76163089,4.96029016,4.78629398,4.90199395,4.7868535,4.78034289,4.76891749,4.85356356,4.10200229,4.77341824,4.78770456,4.81750004,4.9359546,4.84714886,4.74093925,4.73935,4.86746,4.733875,4.862056,0.9985302,0.9990802
