BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.collector.Collectors2Test.groupingBySumByInt1,7110.504,6997.831,7024.159,7077.31,7017.117,7085.03,7055.074,7108.432,7095.6,7137.832,7064.874,7088.559,7096.506,7088.45,7096.957,7088.843,7109.127,7057.585,7078.119,7056.521,7108.251,7070.546,7103.203,7107.27,7099.612,7104.229,7088.877,7064.189,7072.647,7110.693,5292.086,5328.952,5293.437,5294.839,5267.426,5304.711,5321.05,5303.733,5324.437,5305.08,5303.713,5311.812,5312.653,5290.302,5290.259,5306.998,5327.194,5311.302,5327.452,5306.846,5327.171,5319.788,5311.588,5337.062,5326.947,5293.921,5308.641,5307.527,5329.859,5329.423,320,7067.442,7095.546,5302.394,5316.475,0.7492786,0.7502538
org.eclipse.collections.impl.collector.Collectors2Test.countByParallel1,271.661,272.117,272.811,272.307,272.127,273.187,272.711,271.944,271.925,269.856,271.735,272.557,268.936,271.639,269.719,273.896,272.393,272.71,272.654,273.41,271.451,271.261,272.282,272.704,272.801,271.395,272.163,271.499,271.991,273.291,210.616,214.144,213.293,213.803,213.357,211.963,213.435,212.406,213.023,213.968,213.313,213.891,213.964,213.483,210.858,211.785,214.222,211.047,214.409,213.001,213.761,214.243,218.596,220.893,220.957,219.551,219.404,221.23,220.608,219.463,994529,271.3677,272.4692,212.9658,215.6307,0.7847698,0.7914008
org.eclipse.collections.impl.multimap.list.ImmutableListMultimapTest.selectKeysValues1,342170.381,342174.403,343636.901,341594.151,342539.4,340084.067,340004.612,340951.764,338497.622,341366.218,340191.887,341391.997,341186.164,340008.008,338187.108,341035.878,341976.555,341841.214,339402.739,339697.32,339055.089,339257.071,340937.152,343095.239,342178.275,342670.693,342349.531,342408.859,341638.321,343807.982,300480.871,299049.084,300460.079,299749.207,299108.748,299109.775,298882.884,298871.02,301015.73,299590.037,300167.912,300100.816,299922.084,299291.32,297718.879,299306.327,300200.511,299257.305,301141.108,300952.631,299931.56,297994.972,298999.252,300543.053,300087.871,300386.401,298159.657,299408.536,300882.997,299689.519,16,340267.3,341590.6,299236.6,300078.1,0.8784836,0.8794153
org.eclipse.collections.impl.collector.Collectors2AdditionalTest.sumByBigDecimalParallel1,522.736,522.008,521.749,522.822,523.677,521.774,526.359,522.636,519.115,524.927,526.439,525.203,524.862,522.142,519.07,523.293,524.522,523.812,524.963,524.128,523.992,525.67,525.453,523.077,526.372,523.849,520.55,524.189,522.784,526.015,460.097,464.412,462.349,462.7,462.229,461.532,463.092,458.98,464.208,459.049,456.306,462.362,462.053,460.936,458.071,444.922,458.401,433.164,460.77,463.321,461.098,459.461,462.978,464.074,462.453,462.064,458.52,461.33,462.438,461.604,15000,522.5914,524.4552,455.6498,461.7034,0.8719069,0.8803591
org.eclipse.collections.impl.collector.Collectors2Test.toImmutableSortedSetParallelWithComparator1,53.889,53.942,53.728,53.895,53.184,54.211,53.996,54.046,53.909,54.109,54.161,54.364,54.105,53.882,53.767,54.482,54.365,54.207,53.981,53.976,52.236,53.711,52.266,53.008,53.873,53.417,53.642,53.345,53.294,53.808,47.382,47.564,47.338,47.651,47.555,47.556,47.742,41.495,46.765,47.766,47.712,47.798,47.837,47.588,47.807,47.912,47.643,47.752,47.923,48.11,48.133,47.531,47.752,47.745,47.672,47.773,46.735,46.313,46.389,47.921,70,53.5577,54.05023,46.73287,47.76153,0.8725883,0.8837236
org.eclipse.collections.impl.utility.ListIterateTest.toArray_throws1,760983.372,762497.244,762163.292,763777.998,766073.633,767705.021,763519.431,761944.001,764097.41,723346.369,763751.092,766032.622,763803.417,762173.25,758547.108,767222.445,762414.056,765162.273,763255.111,765214.714,762862.344,766909.49,760907.034,763944.155,763570.992,766685.91,765373.359,767457.129,764999.248,763001.04,679121.375,679359.996,678972.036,677812.735,679843.935,675781.402,678309.152,676063.046,676657.391,677328.82,679815.128,678213.164,681032.937,674342.746,668432.762,676901.041,679198.889,678637.4,679536.002,680627.065,678879.913,675618.682,679185.339,679416.917,675840.288,679281.196,676012.378,678430.363,674825.499,677567.783,1143521,757382.3,764672.4,676293.1,678792.6,0.8876607,0.8929437
org.eclipse.collections.impl.map.mutable.ConcurrentHashMapTest.putAllInParallelLargeMap1,10235.513,10198.47,10181.246,10098.853,10145.82,10193.111,10197.767,10173.103,10178.112,10186.16,10183.328,10199.484,10188.978,10167.806,10113.777,10164.886,10197.63,10146.239,10230.29,10199.482,10175.952,10166.667,10206.887,10209.077,10235.206,10227.685,10195.176,10175.247,10204.743,10165.76,9134.544,9138.857,9141.869,9123.05,9143.335,9138.281,9140.782,9093.252,9103.235,9103.773,9135.094,9121.476,9132.829,9063.684,9098.406,9130.202,9111.982,9108.344,9104.935,9121.726,9111.691,9143.388,9155.043,9142.8,9104.107,9153.971,9130.992,9136.099,9127.093,9136.515,198,10167.35,10197.02,9111.579,9130.926,0.8954502,0.8961622
org.eclipse.collections.impl.list.mutable.UnmodifiableMutableListTest.sortThisByByte1,306779.836,317359.378,317871.903,318496.741,317168.445,318021.192,317579.759,316989.937,316413.383,317984.111,315257.512,318354.416,317369.771,316419.32,308029.578,316074.755,318395.341,312056.108,313244.973,315953.609,316874.453,319028.077,317004.403,318991.184,317994.005,314979.971,318246.675,318458.053,317649.395,316663.501,286791.837,286517.82,285217.048,286628.827,286643.29,282077.739,284816.681,286568.001,282048.751,283258.18,284256.481,284266.372,282425.849,286982.735,282281.553,285599.31,287276.747,286361.227,286203.146,285826.246,278077.499,281988.642,283960.572,286512.777,286689.081,286476.811,286871.522,286091.501,283233.248,287043.08,15,314591.7,317358.1,283701.7,285792.2,0.9004616,0.9018047
org.eclipse.collections.impl.collector.Collectors2Test.toListMultimap21,7401.761,7454.468,7370.717,7394.904,7432.753,7407.633,7433.377,7456.964,7452.172,7377.662,7413.429,7419.396,7415.858,7406.775,7363.795,7425.77,7394.979,7476.072,7392.594,7336.16,7429.653,7498.36,7427.604,7402.637,7472.131,7466.228,7424.95,7386.121,7396.425,7337.758,6722.152,6699.558,6704.99,6694.837,6733.167,6678.779,6717.024,6656.777,6696.898,6708.016,6681.44,6667.426,6660.067,6640.18,6634.704,6734.394,6684.315,6664.51,6697.264,6689.508,6713.349,6676.179,6727.66,6698.887,6732.124,6700.944,6710.189,6702.684,6708.497,6729.093,594913,7398.939,7433.262,6678.366,6703.904,0.9018686,0.9026113
org.eclipse.collections.impl.collector.Collectors2Test.aggregateBy1,7494.629,7475.945,7505.596,7462.616,7447.071,7483.001,7410.603,7480.313,7496.033,7481.828,7466.819,7477.059,7471.587,7457.701,7448.591,7492.451,7486.968,7510.576,7514.55,7462.106,7471.797,7474.489,7502.957,7409.686,7470.367,7452.148,7474.577,7455.263,7502.318,7463.626,6760.091,6750.142,6752.235,6728.535,6789.138,6777.74,6754.694,6743.001,6736.501,6729.613,6774.29,6794.261,6787.377,6729.97,6685.006,6758.673,6739.197,6760.218,6752.513,6753.772,6723.049,6782.165,6794.034,6787.019,6761.436,6743.178,6721.927,6728.83,6665.885,6784.158,50,7462.336,7485.874,6738.568,6765.686,0.9030415,0.9037669
