BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.AnagramTest.anagramsUsingMapGetIfAbsentPutInsteadOfGroupBy1,305888.305,309453.431,309422.527,309197.734,309814.75,308630.289,308295.623,309295.939,308824.994,309621.415,308098.835,308243.059,308800.832,305581.22,307372.39,310096.094,308646.269,309663.797,308481.2,307611.487,309915.103,308486.927,310699.045,308638.094,308553.01,310294.991,307707.512,307635.323,308345.74,307825.839,321213.107,322580.669,323991.679,321493.306,321596.436,321917.801,321717.296,322387.443,322717.599,324338.277,323278.365,325349.308,324306.674,322016.853,323329.107,322650.774,322799.016,321713.85,324397.809,320318.821,322777.676,323163.688,320838.249,323746.833,323212.102,325415.305,322862.351,323611.602,323492.612,322475.429,308061.5,309151.4,322268.6,323437.8,1.045965,1.04622
org.eclipse.collections.impl.AnagramTest.anagramsWithMultimapEclipseCollections11,295147.578,294945.709,294935.623,292232.051,292402.755,294107.503,295053.911,294554.17,293221.91,293502.07,295609.007,295541.141,293475.449,295457.795,292422.2,294256.439,291491.524,295095.02,295701.18,296296.722,295154.764,294209.541,293618.45,295579.519,291915.734,292401.444,295688.035,294146.305,292994.415,295497.965,298363.757,290660.03,294736.501,291844.4,297058.282,294342.087,292972.068,294131.162,295858.999,296260.289,296618.719,296086.777,296380.892,296609.305,292812.917,297159.311,296992.752,295250.895,296131.455,297985.805,296873.933,294537.493,297926.413,299075.244,295404.854,297117.391,297575.853,294470.878,295800.781,296237.44,293618.1,294838,294853.5,296572.8,1.004207,1.005891
org.eclipse.collections.impl.AnagramTest.anagramsWithMultimapEclipseCollections31,290437.166,289430.659,282934.655,290029.477,285472.017,289009.737,288065.37,288235.643,287592.186,286222.118,286619.754,286241.132,290778.136,288328.85,288613.626,287143.103,289455.282,289634.643,290341.349,287702.642,289496.25,288215.434,290780.842,289026.956,288338.165,289352.721,288217.614,288462.317,290123.468,289044.412,285746.394,281976.294,283106.231,283738.452,282483.178,283147.155,284935.909,285239.068,285365.33,282002.969,284871.223,285754.459,283134.296,283523.794,282996.158,282051.809,282765.487,283956.21,283508.15,285361.849,284744.982,284587.301,284609.679,285284.875,284912.573,283484.115,284813.478,284172.778,283724.366,285875.458,287556.6,289119.8,283390.3,284526.2,0.9841218,0.9855399
org.eclipse.collections.impl.AnagramTest.anagramsWithMultimapEclipseCollections41,284837.071,288732.15,287367.729,286176.533,284229.033,287257.678,288201.709,287948.209,287704.698,286883.845,286181.774,288002.052,287363.857,284593.71,284153.889,288771.402,287748.8,287867.528,289602.91,287556.111,282775.86,287555.618,288131.347,288799.442,287660.611,288827.67,288465.131,285167.652,286087.242,287146.208,287617.901,282328.495,283243.939,285910.655,283819.216,286666.154,283845.408,285363.652,285055.479,286026.3,284176.676,286348.674,285419.289,285510.899,283491.495,287793.648,287494.372,285801.256,283007.816,282834.432,287258.203,285973.371,286563.072,286120.042,286537.752,286107.798,285598.031,286778.404,285722.454,284992.394,286222.5,287745.5,284704.1,286096.5,0.9941968,0.9946736
org.eclipse.collections.impl.AnagramTest.anagramsWithMultimapInlined1,318739.676,314222.869,317058.021,316396.547,315492.289,317554.375,316162.45,316347.102,316889.632,318239.121,319113.436,318961.129,317359.291,315875.655,316894.271,311769.661,316645.354,315491.03,317992.249,317771.847,319559.598,318403.438,319726.361,318941.241,317873.251,317294.188,316389.37,316559.504,316484.113,318947.909,317427.188,315345.611,314464.504,314492.907,312802.237,313988.647,315566.324,314876.216,301129.143,316117.681,314186.467,314576.725,314442.834,315380.992,311470.411,314978.691,308988.603,314386.182,316783.432,318323.397,316330.757,316973.69,317544.404,317516.398,316745.634,312005.002,315683.579,316394.932,316283.861,313351.992,316214.7,317849.3,312652,315736.4,0.9887128,0.9933367
org.eclipse.collections.impl.AnagramTest.anagramsWithMultimapLazyIterable11,311428.986,312228.087,312513.254,312078.797,312743.394,313209.706,312280.581,309026.957,308801.61,310763.384,309872.943,311632.241,310512.744,311626.029,310039.882,312497.153,311660.182,313047.3,312255.203,313300.077,313522.503,313985.614,311179.309,312259.166,302798.772,311270.269,311086.973,309271.457,313597.68,310742.064,314813.019,312639.778,312407.875,313406.526,311930.119,313654.487,312735.24,315549.754,314398.338,312880.541,315128.934,314996.997,313209.953,313015.602,309732.578,315226.62,315374.08,314742.55,313284.976,311591.976,313591.639,315262.771,315715.396,312793.129,310571.473,312709.728,316490.451,313935.241,315176.25,311517.588,310460.8,312213.2,312878.3,314363.6,1.006795,1.007768
org.eclipse.collections.impl.PersonAndPetKataTest.howManyPeopleHaveCatsUsingStreams1,724272.473,726679.844,723149.289,718443.342,719922.292,720608.983,722088.489,718657.785,725296.014,718423.3,721938.962,728405.516,721884.857,720957.737,710300.697,720565.691,723867.547,722043.956,721290.551,718695.406,723039.415,717900.277,717887.525,719077.425,717865.641,713787.522,721741.555,729124.919,721334.979,724757.874,764116.091,758260.333,771258.759,770650.517,770988.233,774909.706,775982.846,765283.234,768994.564,766498.927,767356.607,771674.005,773473.151,768723.706,763178.824,763430.816,776639.904,772157.838,768568.825,767634.665,762413.248,770330.606,770488.977,757227.734,775133.186,768080.334,776734.462,770443.025,775459.578,773393.047,719105.3,722719.6,766565.8,771170,1.066011,1.067047
org.eclipse.collections.impl.PersonAndPetKataTest.testStrings1,580165.696,565049.434,571553.47,574986.722,575632.506,573318.122,577211.811,578838.67,573834.816,573615.911,579027.783,572484.57,572994.405,573045.12,570639.493,575765.315,576451.863,572318.764,577662.365,575444.873,577265.324,574783.955,572951.665,575796.589,576904.655,578530.425,577624.133,578115.435,574780.673,577013.215,549861.41,549465.003,553679.147,551671.198,553270.934,549017.114,551830.683,549171.325,552024.586,551092.766,551539.929,551339.38,554719.531,551179.77,548575.753,543548.069,550696.596,546381.063,550134.027,550104.798,551155.769,551291.54,552239.175,552399.146,549526.753,549797.443,552392.251,552279.932,550748.75,552875.937,573400.8,576284.3,549472.2,551603.9,0.9571792,0.9582689
org.eclipse.collections.impl.UnmodifiableMapEntrySetTest.collectDouble1,803849.819,806611.058,799463.959,808567.505,806477.69,802078.705,808222.568,813924.671,805176.848,803072.278,809242.372,806766.731,806572.442,806756.298,789973.934,807182.982,805847.647,810708.347,807458.889,805253.536,804253.516,811800.341,812780.413,799874.579,810570.013,812962.775,808258.674,804722.418,804473.102,798941.168,827069.472,820724.487,827462.509,822145.198,823492.409,822818.157,825431.961,824694.189,822498.264,824560.142,822286.409,820201.266,820731.395,825569.729,809686.988,819587.873,823852.601,825136.349,823912.827,826739.707,825474.082,823120.676,830423.225,822138.573,828737.172,824362.381,826604.019,828851.748,826875.164,827551.444,803596.7,808144.2,821460.5,825126.9,1.021073,1.022205
org.eclipse.collections.impl.UnmodifiableMapEntrySetTest.removeIf1,42139.3432,41695.8106,41762.6209,41198.3304,42360.1347,42185.652,42238.4081,42135.9719,42090.6571,40239.5306,41641.7357,42208.5114,42306.4967,42122.7264,42028.5788,42330.4485,40672.541,42105.0456,41580.2519,42278.9862,42476.8426,42656.7721,42039.4713,42216.7058,42060.4956,42230.0991,41699.282,41382.2735,41963.684,42489.2514,42560.8869,42382.3834,42497.5521,42551.3259,42607.4914,42575.4733,42616.1994,42063.3943,42758.4735,42440.1156,42714.0055,42766.4894,42402.6667,42372.6272,42277.8629,42552.2368,42294.8628,42370.432,42307.0782,42484.712,42097.8946,40364.8828,42777.2706,42541.1033,42585.2637,42382.8987,42541.5688,42492.8876,42470.9411,42335.7804,41646.71,42164.02,42161.95,42547.53,1.009118,1.012263
