BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.bag.immutable.ImmutableEmptyBagTest.collectDoubleWithBagTarget,770662.77,743865.965,766192.72,762317.771,760785.535,756424.664,750631.653,750834.692,754548.07,768753.478,760680.343,767317.611,763031.645,772486.985,775065.479,770108.859,756529.893,752937.628,747902.698,738899.151,748999.672,756696.314,746126.96,736219.348,751444.566,760591.59,754682.358,760126.536,764740.557,752813.189,728665.46,720648.464,722931.765,729887.988,729644.771,723832.919,733176.762,731180.544,738177.151,737040.701,743295.761,754772.146,743054.059,729283.172,723568.648,731196.05,710281.483,714936.194,737439.33,721808.546,732626.183,737795.949,742668.295,750121.992,726900.415,733773.091,725500.251,728152.391,721225.053,726697.675,753398,762592,726788.5,736086.2,0.9645812,0.9652746
org.eclipse.collections.impl.bag.immutable.ImmutableEmptyBagTest.collectTarget,120696.742,118886.118,124237.025,121422.371,123133.344,120371.006,120625.975,122965.733,122226.116,122179.443,123275.99,123523.288,121683.314,123002.194,124937.147,122390.279,121850.113,125071.015,121081.215,122695.012,123268.85,122280.452,121264.763,123984.366,122196.939,121634.537,123646.456,123704.941,123652.112,124707.803,122449.401,119993.361,123339.991,124608.585,122269.015,123547.134,122789.964,122612.9,122055.7,123122.259,121657.495,125065.411,120530.299,119050.049,123653.882,114042.331,109671.968,109543.811,109145.91,109644.129,110872.513,113487.219,121190.883,120671.833,123993.726,122788.051,122569.555,123384.156,121333.928,121478.307,121846.8,123138.3,116451.1,121501.6,0.9557195,0.9866769
org.eclipse.collections.impl.bag.immutable.ImmutableEmptyBagTest.flatCollectFloat,400215.457,396369.626,402913.867,403135.229,399905.246,403582.613,401412.986,402653.444,402096.233,405382.715,402349.943,403733.197,401220.043,403634.401,400857.253,406814.291,405409.714,409239.113,407728.915,406135.974,410000.533,404390.024,406565.697,409667.872,405049.589,406517.769,404979.907,407279.694,409491.973,405373.293,381313.448,382033.687,390755.633,392279.607,401619.638,393020.271,390577.269,400494.217,379047.25,387290.924,392575.97,398689.277,387498.74,389683.261,379103.6,386233.266,392582.307,399085.038,400640.787,406352.953,406046.568,407119.158,407380.645,409861.596,406522.575,403515.831,407517.786,408209.357,411072.219,410012.642,402796.1,405691.4,390601.1,399693.4,0.9697242,0.9852153
org.eclipse.collections.impl.bag.immutable.ImmutableEmptyBagTest.removeAll,319276.175,319226.684,329838.907,329634.839,331585.303,327862.559,327755.178,329053.143,328204.079,330678.361,328684.539,329859.857,329467.623,337573.894,331615.481,333091.432,334227.795,335115.018,336761.817,330758.406,334538.246,333450.588,333397.788,334360.399,330782.251,329184.513,331093.722,328844.303,329802.763,328754.303,316663.43,309324.207,325502.169,319682.703,317272.03,322931.127,319046.386,318624.14,320206.45,319066.805,317105.963,318007.274,326051.821,317562.244,320954.243,321694.409,324687.782,322452.824,318605.029,320223.069,318934.701,322248.137,316689.323,324425.093,323835.025,326561.814,323239.029,315701.093,319443.294,322507.779,328649.2,332562.4,318487.7,321861.5,0.9675804,0.968999
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.clear,264431.027,259966.465,261292.193,262397.865,267954.764,263139.197,268783.529,283287.045,271102.513,266524.792,266563.234,268860.475,274645.001,262695.254,260967.891,268426.754,268255.762,272406.501,273861.282,285074.799,281181.671,280927.754,291653.8,284166.824,280498.776,288140.974,286018.891,289059.083,285960.692,288069.672,254778.751,254313.318,262304.411,259231.128,262738.444,257196.217,261697.238,265301.421,264394.495,266997.325,269634.891,266464.688,270637.722,264618.942,266375.126,264632.868,266983.328,266494.975,263565.002,265138.784,264513.018,264729.102,265738.374,264898.707,263229.179,265975.587,266492.695,265333.725,266352.208,264749.449,268470.2,276821.1,262526.5,265986.8,0.9608474,0.9778626
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.collectCharWithTarget,355920.47,349956.209,368449.154,361230.489,370424.173,362156.394,361237.718,370207.371,365911.824,364755.292,372355.181,359455.469,346416.11,350899.822,365404.923,363635.472,359375.054,370089.402,366769.879,367680.951,369250.248,373943.192,368868.123,369254.244,371000.904,369169.469,366883.272,369824.758,369543.768,365746.493,333459.933,326508.922,338849.689,340648.752,341892.827,337356.808,338121.898,340051.356,336555.741,338244.069,338703.155,337148.436,343191.415,338186.336,334983.234,336195.948,333529.304,339446.256,333762.856,327975.88,340853.754,337478.768,336798.843,336157.783,335852.663,336692.968,334750.561,338547.899,327787.781,338207.914,360632.3,367191.4,334922.9,338377.7,0.9215424,0.9287025
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.collectDoubleWithBagTarget,774180.919,780528.169,775941.08,782150.7,800030.37,768309.051,769897.065,775925.52,747729.939,754250.011,758827.735,774593.835,770162.74,766510.524,772487.127,786882.593,743989.656,733580.415,715171.506,722167.307,726445.54,740840.383,744225.906,750244.747,732892.419,743552.547,752269.068,769105.261,739721.102,738148.749,752885.328,743693.255,763207.991,758421.643,740575.166,742943.577,748531.321,764123.42,761209.982,760196.724,771137.744,757386.661,772595.787,769427.728,760772.679,759665.134,764655.357,748264.545,751673.732,770858.224,762687.812,760469.045,746820.167,780175.245,768695.633,781473.219,776869.002,777693.049,777236.196,761749.639,747747.3,767932.6,755893.5,765901.9,0.997507,1.010876
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.collectTarget,100124.441,100174.604,101280.225,102570.586,104430.431,103141.95,101843.476,104330.768,104140.519,104463.197,103862.295,102079.9,102397.39,102028.517,103084.747,102940.537,102992.192,104107.721,104529.567,103687.079,103733.196,104255.852,104263.864,103774.154,104535.708,102751.546,103147.258,104711.859,103571.872,103305.827,110322.855,109109.853,111378.751,110083.938,111083.256,107179.025,102472.83,102447.309,100510.902,102312.267,100709.069,105874.268,110808.639,109661.198,109564.276,111858.049,111656.106,109570.47,110323.475,111007.161,110659.783,111209.479,110661.184,109492.735,110805.954,110535.06,111504.719,110018.048,110394.323,111228.058,102554.5,103690.9,106706.6,110035.1,1.040487,1.061194
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.detectWithOccurrences,572707.791,572020.304,580415.563,562227.591,574096.256,567091.785,568153.049,579355.168,583344.332,580099.803,572333.497,585812.103,585126.724,575360.502,573504.288,582314.935,579128.493,575592.273,579680.202,565397.601,575928.978,578624.06,580080.787,575362.726,586252.585,574324.909,584346.488,594779.871,580193.709,569950.317,578277.34,553960.86,581176.322,565514.504,578291.656,580918.017,593594.026,582813.91,576413.242,584663.444,598015.799,594813.039,585842.197,575817.18,589804.992,575787.929,581431.896,573869.825,574136.637,579840.689,603481.415,588507.089,586574.673,594601.842,583936.189,601591.941,605917.164,586569.591,572224.979,554521.62,573902.8,579949.1,577783.6,587950.8,1.006684,1.013926
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.empty,2498417.41,2432208.31,2457530.98,2520583.75,2509322.32,2502528.03,2483072.35,2513382.15,2505515.07,2508075.03,2507610.72,2475330.48,2469355.7,2478498.63,2427967.16,2421518.71,2515766.44,2446642.57,2519362.9,2527702.89,2546925.5,2499499.87,2476559.05,2512628.89,2500310.63,2485382.94,2506163.04,2445952.45,2481672.68,2512726.57,2181971.42,2195009.57,2204170.23,2195534.07,2292725.86,2245124.18,2211530.04,2098550.89,1902397.3,1772370.33,1802494.87,1787384.22,1685401.16,1662020.54,1947594.62,2216529,2288690.72,2265443.99,2291347.62,2273165.92,2338442.69,2326983.05,2309028.22,2311996.43,2304121.31,2286429.85,2338350.63,2327407.83,2332356.28,2312350.3,2472629,2502975,2005242,2219117,0.8109758,0.886592
