BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.multimap.set.sorted.SynchronizedPutTreeSortedSetMultimapTest.collectValues,150214.783,151451.648,149128.065,151852.608,150103.767,151867.558,149850.609,148695.338,155462.995,150266.387,148933.623,158900.623,151086.727,145351.594,146052.797,153463.003,155736.479,144067.892,152872.156,148645.03,156739.105,159606.616,154187.392,152291.653,152952.092,158494.527,153437.499,160553.211,154303.836,153930.472,111435.697,111337.115,121961.367,122265.36,120256.611,123576.388,121464.626,111554.261,128223.177,123884.339,130722.392,130560.995,130288.508,131317.35,132052.546,130923.874,132967.064,129784.013,133010.393,133524.593,134998.082,130171.345,138006.242,137304.522,112830.584,130844.972,133777.07,135173.557,135539.908,126443.851,3,149989.5,153745.9,123861.2,130825.6,0.8257701,0.8508522
org.eclipse.collections.impl.map.mutable.primitive.SynchronizedObjectBooleanMapTest.allSatisfy,1546746.27,1528590.97,1553796.43,1566837.18,1594130.78,1583429.22,1565937.76,1583430.16,1428792.67,1597849.98,1577109.76,1576327.2,1571800.61,1579586.29,1590748.42,1588472.57,1541576.11,1563270.93,1575117.93,1565315.48,1562543.81,1562150.92,1589299.67,1585111.14,1596393.82,1599456.99,1579577.26,1406014.27,1513982.28,1595887.66,1347807.16,1297840.32,1350999.76,1349623.11,1207050.88,1328617.63,1328418.13,1351467.73,1357688.52,1342719.16,1297614.98,1325646.07,1328110.65,1339917.35,1325563.36,1318515.14,1328141.28,1328586.11,1365681.86,1356813.62,1335559.1,1361796.09,1372304.73,1383710.55,1371912.83,1364321.55,1366382.05,1366481.08,1358157.28,1369094.37,12,1543915,1579164,1320516,1349872,0.854429,0.8554231
org.eclipse.collections.impl.multimap.bag.TreeBagMultimapTest.removeObject,1574634.73,1539430.93,1571551,1578394.01,1578214,1586419.32,1593543.27,1525138.76,1581796.39,1502639.75,1581305.23,1406458.54,1574499.92,1580466.43,1559178.7,1568900.12,1571037.32,1547226.73,1562673.81,1510562.13,1587501.24,1573874.89,1595126.38,1571952.7,1573265.57,1572675.51,1557579.02,1567222.38,1570780.62,1350608.76,1306641.04,1312972.7,1341582.44,1360387.23,1355412.33,1347796.95,1218919.47,1363158.54,1306980.08,1341136.45,1339612.32,1319066.29,1355788.27,1326597.74,1300536.11,1343049.01,1338620.96,1343107.02,1314589.09,1328316.5,1354627.59,1262461.07,1360093.31,1367041.56,1311878.67,1344065.6,1310975.71,1359165.51,1353086.46,1330518.68,1,1531375,1573180,1313557,1342584,0.8531574,0.8577348
org.eclipse.collections.impl.multimap.bag.sorted.TreeBagMultimapTest.removeObject,1384957.38,1507930.96,1427274.66,1499672.18,1503873.74,1474181.2,1523610.38,1511807.08,1546189.64,1538217.94,1549279.74,1402730.55,1498928.74,1548951.98,1506306.21,1548190.29,1537891.51,1531222.6,1511012.21,1514309.2,1505159.55,1566359.39,1551125.45,1466077.46,1543857.06,1520676.44,1532040.48,1549799.17,1553068.46,1520164.64,1427112.85,1380904.37,1421191.8,1396720.9,1419259.85,1430939.34,1423530.32,1438970.1,1440798.58,1424068.25,1434643.3,1406380.56,1410858.22,1410576.73,1406401.39,1418156.36,1424692.15,1402141.59,1407312.74,1367781.2,1401542.04,1395356.74,1431351.2,1426397.41,1396949.5,1403692.05,1423115.78,1374663.11,1404772.79,1435907.81,1,1488626,1530122,1404754,1421254,0.9288904,0.9436734
org.eclipse.collections.impl.bimap.mutable.HashBiMapInverseTest.detectWithOptional,1476438.16,1438270.26,1492791.33,1490001.25,1466967.18,1451062.41,1451621.74,1471162.43,1454442.71,1462510.4,1487292.8,1512799.19,1454301.58,1501835.56,1492180.2,1463084.78,1495498.69,1463505.87,1462666.5,1501524.95,1445719.1,1490449.93,1483042.1,1459153.73,1499149.96,1484220.1,1463144.06,1525363.6,1477855.71,1472981.58,1401643.6,1228746.9,1359047.95,1401148.68,1433788.69,1396669.94,1384412.86,1272727.25,1416637.12,1396046.91,1405597.77,1424104.64,1410080.22,1403080.1,1423702.3,1291646.8,1387614.84,1351752.14,1342256.76,1434806.15,1344757.13,1427551.93,1432425.68,1411132.96,1411007.52,1424336.83,1368178.1,1266936.62,1368687.91,1404558.79,1,1466447,1485893,1354775,1403344,0.9238693,0.9445327
org.eclipse.collections.impl.bimap.mutable.UnmodifiableBiMapTest.detectWithOptional,1352578.98,1325575.77,1372487.84,1242505.72,1385236.38,1335618.74,1389150.78,1400372.27,1384670.01,1368360.96,1383799.75,1360241.3,1367580.82,1339601.87,1388922.6,1400305.68,1364313.12,1388922.2,1363389.09,1383948.41,1362817.39,1379957.61,1395057.61,1372744.86,1386552.72,1418802.77,1392443.74,1353426.56,1348100.29,1358968.91,1182350.54,1133870.05,1245079.92,1250054.47,1262936.02,1348239.66,1308575.15,1231012.12,1283916.99,1210727.55,1290089.61,1282247.09,1292970.36,1131749.08,1276159.55,1147057.11,1199450.54,1338605.6,1341759.94,1371266.02,1368868.39,1348908.21,1383867.19,1341771.11,1331827.5,1351763.46,1369184.37,1369913.59,1355693.99,1384415.28,1,1353220,1381914,1243653,1313769,0.9190437,0.9506879
org.eclipse.collections.impl.map.immutable.primitive.ImmutableObjectBooleanSingletonMapTest.toList,610879.461,622603.202,638294.544,650904.289,638210.317,569086.676,641841.195,612684.954,605271.461,646629.705,628549.717,610034.311,621375.258,637995.009,643110.688,622469.961,636612.528,650449.992,656285.682,653544.968,653925.79,652039.8,657455.654,656016.797,641426.431,616596.551,632379.809,645332.758,646745.777,631210.516,607751.025,602184.808,604486.53,603299.023,608270.509,609167.467,602664.644,595937.401,609309.564,598634.868,612174.722,588715.925,586326.11,581779.663,603652.424,592226.349,601707.565,608970.235,596892.679,609032.799,611500.555,609073.41,610274.514,603190.848,596132.443,611930.259,608908.546,603289.467,596350.741,574994.247,8,623780,642325.1,597367.6,605522.3,0.942789,0.9577173
org.eclipse.collections.impl.map.immutable.ImmutableUnifiedMapTest.batchForEach,1445496.7,1429516.52,1429928.93,1437117.22,1422274.21,1432942.89,1416182.91,1457515.64,1469379.79,1472363.56,1453950.75,1467984.5,1465655.86,1464825,1466390.52,1447986.23,1465910.35,1464563.37,1439449.47,1457105.77,1420176.53,1459094.89,1474715.19,1476827.57,1482681.76,1449207.16,1457094.97,1475170.73,1467796.44,1456266.65,1362568.5,1362517.71,1374915.74,1391870.71,1398605.8,1409699.87,1407477.39,1402763.38,1404723.86,1394598.62,1386439.73,1397224.3,1418898.64,1395363.93,1423143.47,1376153.93,1395951.63,1380228.06,1383814.21,1250136.93,1404666.96,1399526.67,1389058.16,1396331.63,1420609.13,1407874.95,1416840.52,1390077.16,1395707.67,1368029.91,1,1445276,1462042,1371497,1401384,0.9489515,0.9584651
org.eclipse.collections.impl.lazy.parallel.list.ImmutableListParallelListIterableTest.asParallel_small_batch,141328.019,143154.852,130708.192,140584.074,144627.886,135144.472,144649.968,149225.651,143246.996,143233.107,148658.391,145493.545,140183.028,144397.16,143401.131,141786.893,144225.503,149992.952,123279.578,141735.204,138050.101,141610.124,143230.961,142322.177,140963.642,140206.435,141541.589,144542.405,135445.65,141169.089,130031.93,133627.968,141501.86,140802.492,136264.811,142109.895,140167.825,142587.627,144678.619,135165.301,113739.68,102306.161,119490.598,115706.911,121558.936,121188.55,131944.945,142422.895,142405.58,140177.946,141419.707,141517.343,142446.151,141438.715,144074.964,139580.646,140769.929,142342.219,137046.802,138913.106,1,139026,144172,127455.7,138208,0.9165499,0.9586523
org.eclipse.collections.impl.multimap.bag.sorted.mutable.TreeBagMultimapTest.removeObject,1577055.25,1425130.86,1459921.85,1457082.14,1444671.1,1438959.31,1437698.44,1433422.79,1455506.16,1463451.86,1271152.77,1453583.22,1458999.61,1457049.18,1467978.47,1453299.87,1456285.49,1457708.85,1459653.77,1445462.94,1466590.27,1459075.94,1476904.6,1444188.51,1463025.09,1451575.29,1429652.92,1441572.88,1461596.6,1456996.79,1332783.71,1344378.32,1396248.7,1372153.05,1387404.41,1415278.21,1372827.44,1394136.61,1417832.16,1393048.84,1407809.32,1389725.21,1426114.11,1402856.7,1418690.3,1396495.93,1260567.55,1391581.76,1404147.14,1394889.09,1387575.1,1364718.78,1438864.31,1397539.06,1396779.8,1407344.05,1408981.61,1410857.4,1414238.12,1410653.56,1,1425906,1469345,1372149,1403752,0.9553044,0.9622207
