BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.AnagramTest.anagramsWithMultimapForEachMultiValue,240481.749,238001.366,240565.795,248060.225,252359.369,253005.925,247656.24,247677.955,251353.242,251156.446,237100.757,243060.093,245111.017,253923.63,251425.522,248764.302,243392.204,242996.801,238338.187,245687.974,249956.829,252308.68,247043.324,241712.777,244484.413,251495.234,239153.851,244970.795,244835.69,247964.873,219471.752,241803.853,241368.874,230569.627,249527.059,249776.974,226406.764,249302.42,249701.99,255531.215,250393.572,252692.011,222474.985,239989.604,244452.878,243817.117,246275.298,250130.218,248318.254,249997.325,232543.974,256426.666,247309.486,245582.849,247697.866,247174.551,245128.178,247884.825,245949.776,249953.446,243992.3,248494.7,239225.2,248120.5,0.9804618,0.998333
org.eclipse.collections.impl.multimap.set.UnifiedSetMultimapTest.removeObject,2110535.59,2117669.96,2130681.59,2144544.6,2174071.25,2168274.65,2171571.3,2146119.01,2146816.22,2155532.46,2157291.42,2146579.59,2061256.05,1772157.74,1830004.07,1949510.09,1913058.34,1736241.8,1863281.98,2060744.16,2137590.79,2159877.98,2216439.56,2165051.43,2190055.59,2206401.25,2058496.81,2076558.63,2115647.62,2083572.63,2162653.19,2106784.14,2161024.96,2113415.74,1856611.56,1071146.21,1820833.82,2138152.08,1953663.09,2024009.2,2221611.71,2167079.89,1938285.38,2120655.92,2142925.77,1891747.23,2166323.35,2101703.2,2107135.55,2056200.28,2105902.39,1894030.32,2058006.62,2106022.32,2227332.68,2136972.22,2138302.03,2154614.3,2086379.45,1910174.63,1989777,2120752,1920656,2110387,0.9655535,0.9954263
org.eclipse.collections.impl.multimap.UnifiedSetWithHashingStrategyMultimapTest.removeObject,1917504.3,1919395.94,1936135.99,1960063.55,1973981.42,1963622.71,1970620.99,1948049.52,1961541.66,1970352.84,1981142.31,1955779.05,1986267.44,1970409.62,1971438.43,1949758.09,1947476.32,1927219.23,1945993.07,1956930.27,1964197,1926820.75,1930052.3,1945600.68,1957611.44,1942231.03,1947886.47,1929374.18,1962747.38,1960374.61,1747456.95,1910059.49,1953276.14,1971357.21,1924195.42,1958632.81,1965502.16,1923739.09,1767403.27,1948376.93,1872902.1,1902171.96,1940843.09,1955538.31,1912760.11,1932590.87,1949113.49,1942124.09,1957431.05,1958197.57,1781658.88,1888968.67,1961654.69,1956922.62,1914124.78,1927223.59,1943866.37,1917550.79,1908538.58,1736747.48,1945420,1961979,1882119,1938859,0.9674585,0.9882203
org.eclipse.collections.impl.set.fixed.FixedSizeSetFactoryTest.createWithDuplicates,165713.116,164229.216,168179.811,166310.938,166867.113,168290.174,165257.686,168234.728,167142.685,168554.861,165993.439,165225.926,163439.333,163964.303,165157.93,165951.938,166591.271,153128.947,167241.522,165726.564,165739.214,166425.769,164684.7,166647.301,168168.996,166046.079,166290.345,165117.393,165605.142,166881.211,167154.049,165278.25,169048.878,166841.53,150602.642,166921.457,168350.1,167851.446,168243.044,167984.292,159364.085,160368.827,142837.869,158681.034,158034.537,162025.448,168800.593,169068.783,168790.619,168398.806,165234.025,167677.031,167434.054,165006.786,150815.966,167904.325,169058.084,168804.774,167707.012,169509.673,163891,166678.6,160371.2,166649.2,0.9785237,0.9998248
org.eclipse.collections.impl.bag.immutable.ImmutableHashBagTest.topOccurrences,57018.8811,51657.0695,48838.7269,47563.0026,54099.8711,51065.8624,53467.5793,52483.7414,54032.1336,48268.4068,51955.0306,51739.334,47235.5158,47956.6066,57306.6256,57531.1103,60340.5603,57522.1379,61673.0973,61774.2917,56417.0778,60944.1957,60424.3324,54635.7753,59477.073,60721.389,56550.1274,60511.7267,60555.3572,59681.524,61206.5846,62762.8191,60126.619,59487.3513,56178.8689,61982.6072,61224.7251,62177.8434,59350.3623,61420.6877,62869.3415,60860.0183,61117.1988,61169.2927,62050.1432,63168.6183,57028.8297,61851.0573,61443.4231,60941.8406,62499.6539,62164.0244,62135.56,60113.3076,61203.3833,63064.1843,61675.1611,61603.8044,62454.4255,61491.5498,52787.43,57111.78,60316.36,61823.64,1.082541,1.142658
org.eclipse.collections.impl.bag.mutable.SynchronizedBagTest.newEmpty,1859242.17,1824688.89,2054211.94,2048258.74,1875825.02,2053085.58,2031049.3,1833514.74,2047508.15,2014522.51,1995590.97,2006903.56,1946485.76,1720682.3,1995112.54,2023508.6,1996551.43,2024451.94,2026252.92,2013785.47,2012858.18,1838654.26,2056592.61,2040627.79,1994620.06,1954503.01,1970894.34,1935478.42,2023046.07,2023372.56,2061617.35,2060504.71,2072349.67,2078434.04,2016508.78,2007403.12,2055552.02,1974236.86,2065295.23,2077443.9,2052783.5,2080962.27,2099665.51,2090109.41,2072758.64,2085836.54,2066933.35,2063941.17,1932973.08,1847879.08,1689287.01,1874082.17,1761009.75,1738035.96,1645095.2,2087696.92,1863753.96,2049704.75,2076417.59,2098718.67,1929158,2008768,1935186,2052354,1.002969,1.021383
org.eclipse.collections.impl.bag.sorted.mutable.MutableSortedBagFactoryTest.withElements,538104.803,484908.761,531562.253,534460.733,540979.983,518522.877,541697.674,547188.928,542183.401,530942.983,535993.49,531071.145,532694.451,543686.738,540138.563,548614.742,540504.039,546694.745,549829.656,549865.166,542400.1,526949.73,542301.477,547365.487,532985.927,474951.886,529180.97,535648.882,514975.448,536748.054,474758.323,487304.681,503001.07,495125.028,512642.917,516346.166,522320.799,537144.367,529349.366,522482.075,538089.506,538191.742,513940.945,498451.713,531586.171,545279.333,533705.845,546715.227,545386.653,526423.315,535724.55,538211.418,547297.022,540206.542,538702.613,540717.875,532518.014,539685.062,538755.615,529205.308,527640.1,541728.7,517081.7,534259.9,0.9800702,0.9862404
org.eclipse.collections.impl.bimap.mutable.HashBiMapInverseTest.detectWithOptional,1571881.45,1531484.28,1588871.03,1586161.66,1561476.03,1544571.49,1545033.11,1566720.51,1549079.77,1556331.93,1583114.45,1609822.95,1548717.24,1599219.78,1588976.17,1558301.45,1591901.43,1558516.28,1557598.11,1599205.7,1539099.27,1587418.78,1578927.15,1553611.48,1596311.34,1579994.13,1557327.9,1624327.73,1572682.59,1567613.85,1493333.79,1309165.98,1447680.56,1493101.25,1528215.17,1487699.9,1474882.24,1355873.47,1510136.98,1488445.34,1497924.21,1517811.44,1502051.35,1494656.83,1516911.77,1376777.17,1478796.29,1441022.21,1430743.63,1529581.76,1433101.59,1521618,1526462.74,1503414.6,1503154.41,1518501.6,1457360.39,1350169.57,1458046.16,1496854.54,1560977,1581671,1444014,1496420,0.9250555,0.9461228
org.eclipse.collections.impl.bimap.mutable.HashBiMapInverseTest.putAll,292464.459,290217.16,298654.203,297431.55,294957.33,302878.942,299423.367,298969.697,301165.03,300871.562,271862.972,286869.853,290742.253,292535.96,301274.271,302840.304,304515.687,299924.902,298305.008,272489.258,303299.467,298352.046,299906.713,297982.592,289757.229,293284.067,292292.756,287476.16,290566.491,301110.3,268362.708,295769.955,272485.191,293232.684,276810.179,285660.846,294395.174,288698.878,263148.967,289792.56,299306.634,293047.987,293206.133,295615.518,267324.691,290033.954,300373.815,291291.556,279583.049,272636.486,276678.37,279271.498,241670.409,273500.555,271238.848,274455.297,280398.772,273324.598,281288.348,288750.127,290737,298691.6,276283.9,288533.5,0.950451,0.9658814
org.eclipse.collections.impl.bimap.mutable.HashBiMapTest.detectWithOptional,1702726.72,1695010.09,1734459.05,1722878.77,1753619.45,1736870.4,1708526.21,1721672.03,1726945.16,1538397.56,1718356.5,1725191.12,1711456.48,1732113.97,1727982.43,1733161.24,1738248.98,1709134.57,1722417.29,1739044.63,1753996.05,1744504.58,1718466.6,1707160.94,1740384.85,1689699.91,1726183.98,1543415.66,1718192.15,1727274.87,1683093.59,1641780.27,1708946.28,1703383.94,1707737.73,1702681.51,1519469.42,1680925.46,1683318.82,1658824.03,1684501.92,1671396.15,1681039.39,1672065.53,1688130.14,1683989.11,1664120.77,1694472.56,1685358.41,1660934.25,1636146.7,1723795.61,1679467.74,1689357.89,1647352.02,1667781.92,1602300.92,1583641.83,1666673.2,1707334.7,1690206,1730074,1651093,1686951,0.974113,0.9768587
org.eclipse.collections.impl.bimap.mutable.HashBiMapTest.putAll,323796.889,321107.532,304442.68,328656.601,327066.68,333598.562,329157.629,327073.604,316788.545,333359.625,322420.651,330948.619,332178.036,319537.548,309810.296,324969.44,331109.593,324967.106,331237.449,335395.18,307453.069,328123.826,322872.409,327594.914,326714.227,333492.793,323515.516,326499.726,328196.702,326978.65,318105.482,322204.563,322890.711,325304.912,326720.807,326565.175,291410.327,317940.776,317616.687,327933.047,323721.848,322070.294,322294.876,319664.989,322459.093,318286.862,320166.985,317795.483,292162.767,328295.2,329751.903,326815.306,319256.46,329942.04,324767.102,320257.158,330445.203,322943.942,320928.572,330541.788,321164.6,328516.3,315740.6,324118.1,0.9831292,0.9870866
org.eclipse.collections.impl.bimap.mutable.UnmodifiableBiMapTest.detectWithOptional,1572393.14,1540736.33,1595198.91,1444996.24,1610466.44,1552017.96,1615495.21,1627518.68,1609740.34,1590738.49,1608824.23,1580777.04,1589300.63,1556488,1614604.53,1628554.63,1585645.17,1614374.35,1585300.98,1609219.19,1584902.51,1603452.26,1621115.45,1595965.92,1611541.72,1648993.47,1618600.15,1572762.51,1566691.76,1579847.77,1375455.64,1319836.29,1448291.59,1454196.25,1470012.08,1568196.48,1522977.78,1432462.23,1494536.07,1409516.91,1500555.41,1492415.95,1503929.44,1317402.61,1484285.12,1334507.64,1395696.39,1558031.77,1560760.13,1595540.52,1593470.85,1569787.24,1610799.94,1561795.45,1549035.37,1572202.57,1593783.1,1594129.41,1577397.52,1610403.22,1572880,1605967,1445915,1530182,0.9192826,0.9527782
