BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_eager_ec_1,8.709895,8.820298,8.726312,8.837556,1.001389,1.002228
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_ec_2,9.691133,9.776737,9.67779,9.773038,0.9985227,0.999583
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk_3,3.771626,3.812324,3.754994,3.791192,0.9946402,0.9957927
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec_4,3.732438,3.787245,3.740623,3.796034,1.001586,1.002738
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec_5,4.827692,4.865998,4.827213,4.866296,0.999735,1.000163
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec_6,4.797449,4.837513,4.787216,4.830888,0.9980389,0.9987506
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk_7,5.713894,5.778101,5.694999,5.763753,0.9964776,0.9976761
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec_8,4.543113,4.611291,4.579553,4.663463,1.008212,1.011171
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec_9,15.70448,15.78245,15.71078,15.78859,1.000389,1.000757
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_ec_10,17.17737,17.2205,17.20407,17.24902,1.001587,1.001739
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_jdk_11,31.73837,32.00403,31.69924,31.93135,0.9976104,0.9988747
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_streams_ec_12,34.82834,35.20622,35.00586,35.45942,1.004962,1.007288
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_eager_ec_13,14.51654,14.69857,14.54486,14.72788,1.001833,1.0024
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_ec_14,14.39149,14.51601,14.42015,14.55802,1.001998,1.002834
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_jdk_15,15.92977,16.13825,15.88879,16.07428,0.9956582,0.9972848
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_streams_ec_16,19.0601,19.27989,19.05474,19.27836,0.999121,0.9999596
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_eager_ec_17,17.2327,17.4223,17.29947,17.46043,1.002123,1.003719
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_lazy_ec_18,18.11092,18.15713,18.11279,18.16297,1.000106,1.000322
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_lazy_jdk_19,31.04719,31.35436,31.03401,31.36013,0.9995443,1.000426
