BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.add,242245.7,242759.5,242109.4,242746.7,0.9994375,0.9999585
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.addAll,242772,242943.3,242835.1,242991.1,1.000173,1.000279
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.aggregateByMutating,699550.3,700100.9,699746.9,700230.9,1.00017,1.000357
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.aggregateByNonMutating,501437.2,502834.5,501362.3,503085.4,0.9996704,1.000499
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.allSatisfy,559678.4,560143.8,559846.9,560211.6,1.000123,1.000369
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.allSatisfyWith,1153278,1154419,1153485,1154744,1.000072,1.000281
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.allSatisfyWithOccurrences,1067106,1068016,1067124,1068114,0.9999166,1.000095
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.anySatisfy,563361.8,564004.4,563470.3,563938.1,0.9997543,1.000193
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.anySatisfyWith,1159588,1160720,1159497,1160631,0.9999178,1.000037
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.anySatisfyWithOccurrences,1040247,1041197,1040372,1041048,0.9999069,1.000163
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.appendString,328740.6,329056.9,328794.7,329152.2,1.000129,1.00029
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.appendString_with_separator,538237,538833.5,538046.5,538739.4,0.9996462,0.9999399
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.appendString_with_start_separator_end,553783.5,554546,553917.6,554663.6,1.000101,1.000353
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.appendStringThrows,46224.35,46272.57,46213.64,46270.4,0.9996899,0.999953
org.eclipse.collections.impl.bag.immutable.ImmutableArrayBagTest.appendStringWithSeparator,1125590,1128690,1125809,1127701,1.000169,1.000405
