BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.list.mutable.CompositeFastListTest.parallelBatchForEach,0.6197649,0.621563,0.6191459,0.6209407,0.9986592,0.9990869
org.eclipse.collections.impl.list.mutable.FastListTest.sumDouble,1.192475,1.200703,1.192152,1.197985,0.9980443,0.9997297
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.injectIntoLong,1.226441,1.235687,1.227046,1.237439,0.9996455,1.001417
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.max_without_comparator,1.200124,1.206256,1.201008,1.207505,1.000795,1.001672
org.eclipse.collections.impl.set.immutable.ImmutableEmptySetTest.newWith,1.219771,1.226915,1.217506,1.226548,0.9977063,0.9997008
org.eclipse.collections.impl.list.mutable.FastListTest.summarizeDouble,1.221965,1.228404,1.220759,1.230378,0.9989907,1.001607
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.injectIntoFloat,1.189038,1.198778,1.187877,1.195306,0.9971806,1.000573
org.eclipse.collections.impl.list.mutable.FastListTest.max,1.266818,1.273753,1.264159,1.273515,0.9981293,1.000972
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.injectIntoInt,1.220132,1.228567,1.219024,1.226251,0.9984809,1.000066
org.eclipse.collections.impl.list.immutable.primitive.ImmutableBooleanArrayListTest.injectIntoWithIndex,1.216984,1.224198,1.214981,1.224741,0.9977064,1.000444
org.eclipse.collections.impl.set.sorted.mutable.SynchronizedSortedSet2Test.asUnmodifiable,1.21975,1.226476,1.21853,1.2236,0.9976552,0.9989999
org.eclipse.collections.impl.stack.mutable.SynchronizedStackTest.asUnmodifiable,1.236826,1.240441,1.235907,1.241034,0.9992572,1.000479
org.eclipse.collections.impl.list.mutable.FastListTest.injectIntoFloat,1.243053,1.248654,1.242762,1.248451,0.9993494,1.000176
org.eclipse.collections.impl.list.immutable.ImmutableSingletonListTest.sumDouble,1.22239,1.228404,1.224144,1.228657,1.00021,1.001653
