BENCHMARK,ITERATION_1,ITERATION_2,ITERATION_3,ITERATION_4,ITERATION_5,ITERATION_6,ITERATION_7,ITERATION_8,ITERATION_9,ITERATION_10,ITERATION_11,ITERATION_12,ITERATION_13,ITERATION_14,ITERATION_15,ITERATION_16,ITERATION_17,ITERATION_18,ITERATION_19,ITERATION_20,ITERATION_21,ITERATION_22,ITERATION_23,ITERATION_24,ITERATION_25,ITERATION_26,ITERATION_27,ITERATION_28,ITERATION_29,ITERATION_30,RSD
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_eager_ec_1,8.604209429,8.97417482,8.808492115,8.813749088,8.208648583,8.74325601,8.615144564,8.69425932,7.665375065,8.556329803,9.128107956,8.68812958,8.970672686,8.957919412,8.272825314,9.221464676,8.96595111,8.885130474,9.272615225,8.950216809,9.442928227,8.654271703,8.523150936,8.657868275,8.947076922,8.690074657,8.567206024,8.719933009,8.934197518,8.973606264,3.887936613
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_ec_2,9.171132076,9.222862726,9.813508009,9.487938493,10.06070581,9.9912576,9.801835507,10.05096141,9.578328329,9.71318155,9.021301687,9.86302435,9.105629342,9.953925944,9.621546837,9.646885528,10.11356129,9.736519245,9.680609041,9.452280204,9.697422243,10.01276665,9.895756782,9.956044918,10.10075482,9.599660971,9.7557843,9.983309215,9.899381293,10.16456508,3.158550002
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk_3,3.817807058,3.738063342,3.739976132,3.655924852,3.828030437,3.719264832,3.832587346,3.785335802,3.832626616,3.71330832,3.86489779,3.741355983,3.981900942,3.77814821,3.789945988,3.841816878,3.636209739,3.809616938,3.67404695,3.788999851,3.7162159,3.967876839,3.664970463,3.767683657,3.590567005,3.831202233,3.665460948,4.212537085,3.580972961,3.889441635,3.349640053
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec_4,3.928577124,3.792352309,3.970752032,3.676564253,3.733285142,3.744644351,3.803570725,3.505428554,3.686028925,3.641175417,3.594766007,3.424514206,3.490628625,3.819513953,3.715442966,3.593598859,3.988262428,3.845502838,3.676395597,3.574627541,3.809112908,3.643871277,4.454405223,3.777718467,3.901264047,3.860459909,3.816280538,3.798376627,3.833155983,3.722458033,5.070065843
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec_5,4.956794969,4.498640304,4.88407166,4.9392066,4.81921604,4.801227732,4.905511469,4.811494448,4.918648016,4.985747377,4.831828252,4.761168087,5.051001528,4.734870626,4.952458606,4.920757229,4.815628524,4.694731109,4.909288017,4.954989141,4.614219031,4.968698106,4.83291682,4.99491985,4.717671043,4.906242587,4.973473395,4.746715534,4.776543156,4.641875464,2.648775162
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec_6,4.995179352,4.918639718,4.772857629,4.736446147,4.739764698,4.952233328,4.857057544,4.815139745,4.906201614,4.813074385,4.900937454,4.775235409,4.822597933,4.785906003,4.845434572,4.766963968,4.964022835,4.788584915,4.907454728,4.789092169,4.78464016,4.770607763,4.856558603,4.103431121,4.779516027,4.789973096,4.822441234,4.941132423,4.85108872,4.744377644,3.148946949
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk_7,5.959629296,5.416626083,5.784913927,5.777616786,5.706264869,5.844757456,5.756888962,5.835635322,5.745522071,5.969588326,5.66222732,5.7976664,5.789379899,5.608049658,4.7279336,5.759871438,5.845836642,5.35595744,5.778919673,5.881307994,5.684761338,5.83771553,5.831810946,5.762658192,5.938848808,5.977581362,5.752619273,5.739332874,5.740410591,5.757697824,4.072608531
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec_8,5.281398627,5.245549414,4.38232725,4.741050349,4.498149434,4.419903986,4.659815105,4.49623441,4.325529596,4.448112211,4.464823829,4.612660144,4.819737109,4.499761197,4.572832158,4.50703332,4.610551505,4.698060187,4.464978838,4.339430071,4.762658446,4.640408861,4.788585369,4.430809289,4.308047966,4.29469186,4.505901963,4.864292026,4.267810485,4.92688975,5.498569779
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec_9,15.96510709,15.33829974,15.86387822,15.49643026,15.96606102,15.64936106,16.09742013,15.66235151,15.63400455,16.22421362,15.83133194,15.72774198,15.8828557,15.60170274,15.58938649,15.68037926,15.2905061,15.5000695,15.93199912,15.44459731,16.35540171,15.68477388,15.55502584,15.77227791,16.14376873,15.89608769,15.62415457,15.5139208,15.64096478,15.73981016,1.609457656
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_ec_10,17.19642635,17.26394039,17.40456597,16.98556266,17.10372017,17.27710635,17.43773369,17.43757695,17.08536041,17.1134006,17.3610652,16.81184629,17.12046029,17.04322892,17.31573835,17.36399128,17.09412291,17.26690973,17.18013345,17.45730133,17.28160191,17.26404652,17.26035128,17.0588078,17.23157293,17.03708492,17.42902768,17.13449587,17.23236063,17.01224965,0.917827903
