BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.core.EachTypeFlatMapPerf.bpRangeMapRange1,13300000,13300000,13300000,13300000,13300000,13400000,13300000,13300000,13300000,13300000,13400000,13300000,13300000,13400000,13400000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13200000,13400000,13300000,13300000,13300000,13400000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13200000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13300000,13200000,13300000,13300000,13300000,13300000,13296670,13340000,13280000,13300000,0.9970015,0.9987475
io.reactivex.rxjava3.core.EachTypeFlatMapPerf.bpRangeMapRange2,8421.34661,8428.45169,8470.6642,8484.01932,8478.12733,8478.28496,8478.03535,8470.94268,8476.85062,8442.36407,8473.51804,8476.82924,8468.77984,8463.73055,8475.45462,8476.52763,8478.52269,8466.35495,8457.81369,8388.61859,8417.75372,8420.81094,8421.69396,8465.65755,8475.71589,8471.71183,8476.05253,8469.00961,8467.20009,8471.88624,8458.40092,8450.63184,8452.46363,8454.50227,8453.48633,8418.08739,8421.37878,8427.57699,8334.21708,8413.9861,8426.50116,8431.81997,8443.40746,8393.47719,8393.9207,8409.77704,8463.94677,8429.82568,8473.20874,8460.81308,8466.99208,8466.09067,8448.69139,8446.26433,8437.99168,8462.79026,8461.80016,8456.29874,8466.11024,8464.24279,8447.527,8470.348,8419.832,8448.457,0.9967227,0.9974161
io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf.flatMap1,27200000,27100000,27100000,27200000,27100000,27000000,27100000,27100000,27200000,27200000,27200000,27300000,27300000,27200000,27200000,27200000,27300000,27300000,27200000,27300000,27200000,27200000,27200000,27200000,27100000,27200000,27200000,27200000,27200000,27200000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,25500000,25600000,25600000,25600000,25600000,25600000,25500000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,25600000,27160000,27230000,25576670,25600000,0.9401396,0.9416963
io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf.flatMap10,878605.3023,879328.5749,879328.393,879031.8199,878745.3467,878577.3316,878364.0336,878169.4399,879511.9018,879128.7272,879620.373,879366.7878,879081.7196,878907.7786,878842.2644,879295.4261,879247.3561,879073.2901,878686.6192,879031.0155,878067.0215,879080.2837,879673.2712,879506.7362,879164.2866,879002.04,878352.1388,878304.5483,878455.6257,878456.104,877447.1563,878168.7226,878040.3376,878453.0493,878253.1693,877271.9246,877923.012,878196.4268,877610.8829,877711.7701,877538.1819,878638.9256,878649.9245,879049.6124,877500.3991,877879.0472,878025.5369,878103.2252,878893.2868,878634.6569,878087.0075,878272.6817,878358.9505,878488.1484,878522.5168,878084.3615,879952.1198,878026.2707,877840.6844,878688.4683,878774.8,879174.3,877944.9,878432.6,0.9990562,0.9991565
io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf.flatMap11,101037.7728,100976.7632,101023.9515,100651.1183,100509.3699,100795.5717,100465.9196,100315.7146,100249.4466,101028.235,101089.5258,101075.0767,101072.9043,101179.3886,101067.6394,101024.6518,101079.0225,101010.9794,101016.7815,101083.9597,100996.7886,101065.9101,101110.5059,101059.7494,100027.6587,101090.9835,101160.8802,101099.6425,101041.4641,101063.9908,100534.5192,100718.2675,100519.7221,99954.58979,100648.903,100309.087,101001.7982,100581.0525,100913.3963,100923.8921,100972.4305,100968.4472,100934.2647,100958.9261,100884.096,100966.3894,100978.7815,100722.2986,101019.9328,100940.6196,101006.6592,100901.2443,100945.4778,100950.7758,100947.6315,100976.0104,100901.1681,100947.7052,100975.8604,100637.9397,100771,101036.2,100706.6,100923.9,0.9988868,0.9993604
io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf.flatMap12,101955.9252,101808.3441,101904.1562,101888.06,101983.3838,101826.9721,101946.573,101817.7649,101875.405,101967.8032,101882.601,101909.4322,101849.5799,101918.7618,101914.5355,101849.1083,101875.2915,101862.8762,101906.4681,101817.6525,101880.7308,101742.4762,101866.5202,101961.6917,101949.6565,101911.162,101947.5625,101873.9164,101856.011,101923.5966,98341.57198,98298.65293,98424.65194,98326.11643,98417.91937,98353.44951,98289.6046,98329.59411,98291.62005,98372.54664,98329.50193,98381.80114,98352.76703,98330.29789,98355.90711,98352.08651,98447.35953,98299.7312,98228.8872,98323.82632,98314.95172,98366.64201,98298.92634,98426.0551,98505.78171,98170.51186,98284.98397,98269.11251,98432.78215,98226.6808,101860.9,101911.1,98312.1,98370.69,0.9651596,0.9652596
io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf.flatMap13,101774.7484,101705.3318,101722.1593,101781.0881,101735.3495,101716.7453,101604.8231,101746.7658,101709.2059,101736.5638,101668.9926,101706.1084,101654.1337,101682.7006,101448.3831,101702.6616,101751.6739,101504.1624,101762.8665,101590.8034,101656.3266,101607.1118,101722.173,101659.2843,101772.5596,101629.7756,101739.0585,101566.0481,101661.2258,101691.4595,100138.1654,100099.115,100150.601,100062.1737,100114.3761,100120.2107,100135.8747,100103.6988,100099.7134,100124.6081,100095.1853,100038.9223,100020.2127,100203.6238,100152.7175,100135.2524,100009.7614,100025.9212,100049.0681,100082.2566,100126.5859,100067.0674,100019.8558,100132.0618,100074.7762,100054.6667,100008.5287,100100.2763,100108.3308,100115.2015,101636.1,101713.3,100069,100116.4,0.9843,0.9845814
io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf.flatMap14,99171.00316,99160.93167,99131.18121,98920.47716,99185.15255,99324.26852,99315.20015,98769.75396,99202.24948,99183.05986,99279.56762,99301.02683,99270.29519,99348.39654,99314.61179,99348.26931,99378.28485,99321.51191,99311.51022,99305.53457,99194.48188,99209.09835,99309.85416,99310.93535,99241.53373,99327.62441,99248.42897,99291.29594,99275.58836,99309.56834,97646.37442,98849.01677,99057.7852,99139.07772,98673.66363,98751.55098,98581.59118,99204.82909,98626.90739,99117.82893,99142.59151,99051.67574,99088.19355,98747.21836,98916.64476,98995.43223,99000.75052,99202.41592,99181.4659,99272.46132,99266.79458,98858.78084,99167.41425,99175.28652,98740.01952,98987.20455,99139.00889,99244.66726,98806.23804,99115.46893,99175.53,99294.58,98791.81,99081.83,0.9961306,0.9978574
io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf.flatMap15,101353.9679,101497.4062,101391.3949,101447.6506,101393.6739,101511.0564,101368.2905,101493.6598,101443.53,101260.1981,101387.2136,101331.9829,101372.3754,101413.1429,101137.3442,100841.1733,100537.5112,101430.6891,101412.8942,101488.3388,101466.5393,101398.7777,101440.4532,101421.8782,101485.259,101437.6467,101503.2413,101313.085,101187.0107,101091.3379,100546.5347,100204.2246,100510.3403,99872.44292,100475.0967,100613.5954,100484.42,100519.8404,100644.0808,100760.8528,100737.0357,100735.0397,100743.2837,100766.8269,100696.9897,100720.7074,100688.8203,100746.177,100713.4163,100736.353,100655.5546,100739.4517,100776.0546,100744.9748,100745.3647,100678.2149,100697.9776,100710.7166,100780.5021,100805.3481,101212.6,101418.4,100543.4,100711.4,0.9930317,0.9933877
io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf.flatMap16,10146.38332,10132.49368,10133.6297,10166.64161,10172.36825,10179.36777,10165.67837,10161.21639,10173.96826,10170.7445,10170.63544,10169.48635,10175.37456,10181.37733,10173.51953,10172.31581,10167.88743,10175.41113,10175.89309,10173.22605,10180.61494,10170.20623,10170.55333,10169.73808,10168.12367,10169.47624,10173.35085,10168.83321,10162.9522,10169.29385,10164.92194,10159.07323,10157.70336,10163.79385,10161.36889,10170.81149,10158.52011,10167.22318,10152.61575,10151.16674,10166.65665,10166.97653,10161.98922,10172.39446,10157.03173,10165.34535,10167.83668,10165.13041,10125.56864,10173.47181,10161.28054,10169.60955,10147.62472,10158.11827,10164.92871,10158.69652,10169.63275,10168.64229,10166.51802,10152.74382,10162.82,10173.19,10156.38,10165.47,0.9992403,0.9993675
