BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableTest.andThen,22832.05565,22862.56539,22822.89619,22843.50492,22803.0858,22863.04824,22603.52473,22870.74387,22812.03336,22833.9275,22842.06913,22873.41036,22829.86763,22883.25775,22820.76075,22816.17329,22815.53094,22820.87828,22841.08633,22853.16944,22835.93742,22939.75433,22861.6776,22875.8876,22829.24826,22896.66265,22905.75948,22911.36907,22829.42318,22895.01232,22709.95227,22696.76467,22732.25894,22603.668,22718.58784,22584.25277,22747.0512,22697.07379,22749.50147,22618.12412,22731.00387,22539.09663,22752.79462,22712.34402,22740.11296,22687.15727,22728.64613,21893.80992,21906.80465,22676.15147,22692.55571,22529.17421,22755.34489,22709.02816,22754.43173,22721.5254,22803.9668,22103.39799,22447.20512,22712.34277,22809.79,22860.96,22487.12,22705.38,0.9858535,0.9931947
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableNormal,18038.17614,18101.49893,18289.57888,18225.8323,17965.84299,18237.90574,18268.54081,18074.75298,18426.24485,18194.0484,18224.34058,17961.91317,18235.7913,18146.46594,18356.65678,18097.64832,18326.17057,18113.14872,18277.88198,18227.89765,17507.80085,18206.46358,18144.94267,18196.14575,17963.24796,18064.91431,18268.53183,18166.07127,18174.61213,18281.84703,17538.65166,17605.08634,17594.10663,17622.67152,17628.13656,17599.74685,17604.01628,17609.70195,17371.63807,17584.27876,17571.06888,17624.37473,17597.99087,17541.21642,17586.52032,17636.13252,17581.34827,17535.06225,17540.23989,17615.50201,16760.35344,17503.31092,17515.86053,17594.56787,17568.12474,17570.20082,17597.98728,17569.67899,17560.57787,17519.48939,18069.97,18230.79,17450.53,17592.22,0.964973,0.9662417
io.reactivex.rxjava3.completable.CompletableTest.concatIterableOneThrows,26182.81709,26230.28264,26191.65643,26239.95613,26293.53371,26272.08854,26297.41447,25851.5374,26157.71367,26244.62557,26294.89871,26277.18672,26243.58534,26224.00218,25876.75005,25317.34971,26273.75716,26179.94467,26162.4656,26283.62497,25926.31584,26056.00673,26293.95912,26287.13285,26274.80199,26260.97842,26269.45583,26276.36188,26167.20623,26127.73956,26451.11571,26372.45791,26462.21275,26551.33841,26428.08822,26468.36827,26543.11836,26442.87008,26417.65439,24706.42643,26240.65196,24408.81863,26448.7752,26424.39098,26404.68272,26471.47965,26468.40911,26467.2443,26439.76068,26447.20298,26473.12693,26457.67885,26485.83272,26437.9196,26506.54386,26417.55077,25507.35814,26593.67888,26530.15825,26453.43923,26032.67,26235.6,25977.14,26460.51,0.9978667,1.008595
io.reactivex.rxjava3.completable.CompletableTest.concatObservableSingleThrows,24911.38733,25072.82866,25089.15777,24906.95872,24451.14885,25030.84798,25144.7173,24390.19242,25101.12406,25218.8701,25071.09493,25158.12897,25193.09946,25228.10846,24198.29903,25182.61674,25113.17263,25056.12763,25111.2229,25202.37781,24802.76049,25170.74601,24206.48198,25182.25444,25189.21963,25160.11573,25187.12602,25185.03799,25138.11234,25137.62057,25002.30704,24946.51048,24957.06397,24971.84688,24993.09395,24944.42003,24975.91172,24953.20459,24991.4066,24849.82607,23248.12582,24967.90097,25027.22953,24645.62487,24955.75552,24916.32749,25022.43864,24811.23835,24909.34176,24902.59157,24946.81792,24922.08073,24917.78344,24880.77754,25005.3745,24948.62695,23538.69825,24929.20914,24952.91002,24923.05589,24841.58,25118.96,24612.58,24956.11,0.9907816,0.9944692
io.reactivex.rxjava3.completable.CompletableTest.createOnSubscribeThrowsRuntimeException,34424.88201,34463.89276,34502.97802,34537.63264,34489.29545,34583.71064,34124.82856,34570.70557,34333.72643,34530.64247,34509.52451,34465.41381,34386.31774,34512.16097,34414.6126,33094.62125,34486.31083,34510.98124,34462.7372,34460.53859,34086.62065,34530.9156,34380.05178,34488.23542,33738.09914,34457.76149,34226.88928,34509.53802,34488.01365,34500.67064,34598.00475,34565.9116,34288.21554,34562.84522,34601.90795,34565.60916,31593.16814,34616.80716,34628.00148,34595.79917,34592.18913,34546.86396,34558.70998,34534.64342,34522.01609,34529.30774,33375.73978,34475.6924,34618.73691,34359.69634,34494.66812,34519.5834,34596.69538,34242.85615,34625.58297,34555.5378,34575.11986,34524.72848,34572.52492,34561.90929,34190.02,34479.04,34040.55,34561.66,0.9956284,1.002411
io.reactivex.rxjava3.completable.CompletableTest.fromCallableThrows,40718.82749,40698.29162,40709.66216,40676.40212,40906.23848,40794.56996,40902.24845,40785.24087,40700.26768,40612.73748,40825.38459,40855.27989,40913.03353,40680.15529,40839.62854,40768.76609,40940.35113,40763.40216,40846.66856,40805.03585,40713.17618,40566.85523,40861.06652,40827.25691,40814.72796,40786.22255,40834.22093,40630.48047,40916.99141,40795.0356,39525.24373,39304.56293,39513.29423,39950.33537,39747.75332,39956.64907,39549.50699,39217.8212,39508.41181,39619.89084,39567.7962,39602.01701,39160.18018,39059.27994,39180.10622,39955.60243,39629.73097,39237.80486,39542.72093,39346.79072,39526.23034,39465.96901,39488.20294,39924.54353,38075.6367,37215.08652,38564.68084,37278.69368,39321.35219,39626.99421,40738.95,40826.86,39085.98,39584.4,0.9594253,0.9695676
io.reactivex.rxjava3.completable.CompletableTest.fromSingleThrows,38795.75509,38627.7639,38211.84086,38746.64853,38695.03806,38652.16896,38748.12345,38696.61638,38735.84186,38699.65723,38755.83275,38657.06815,38751.80731,38728.42968,38752.19759,38719.92566,38726.83465,38431.82627,38743.27088,38686.2665,38744.56925,38682.16835,38687.28682,38710.15635,38690.19206,38678.76994,38682.44013,38570.75233,37156.94781,38706.02279,37856.99169,37667.94469,37909.64686,37936.43419,37938.00678,37940.47215,37809.69263,36216.79657,36060.38954,38008.01758,37979.63655,38037.44011,37795.59516,37924.48246,37834.56797,37686.84385,37857.5454,37917.38542,37876.34127,37939.54709,37918.03925,37990.55497,37911.48552,38001.052,37975.03659,36591.32656,37893.14024,37458.32064,38013.87022,37965.11803,38536.96,38723.58,37460.63,37915.8,0.9720701,0.9791398
io.reactivex.rxjava3.completable.CompletableTest.mergeIterableManyOneThrows,20474.31748,19024.38438,20173.60993,19941.02787,20404.43943,20464.85155,20530.69796,20498.86151,20507.37118,20504.22206,20498.10913,20391.84923,20502.97694,20495.59386,20509.53883,20493.0195,20506.5305,20500.09573,20525.83748,20495.55007,20505.53692,20437.10218,20165.99672,20383.26514,20515.13506,20469.33669,20551.92346,20493.56668,20450.9379,20476.22672,20351.93002,20429.6748,20435.46288,20467.14532,20506.09119,20488.28478,20471.02436,20340.15797,20470.16758,20472.53828,20368.83149,19520.35395,20447.3415,20428.50331,20417.69354,20207.13154,20474.08142,20426.57974,20446.60435,20473.50394,20452.55946,20477.57559,20463.80957,20468.59587,20465.08613,20456.83047,18972.09023,20238.81973,20412.09967,20444.05133,20244.93,20491.35,20209.19,20449.77,0.9978486,0.9982353
io.reactivex.rxjava3.completable.CompletableTest.mergeMultipleOneIsNull,26699.6203,26762.95042,26772.35047,26764.30196,26187.71847,26784.4983,26737.40367,26729.81706,26659.18553,26810.73398,26776.8841,26881.15237,26821.01625,26835.85118,26779.51797,26824.04131,26482.17404,26841.24827,26820.39767,26844.98187,26820.90742,26825.85138,26777.38891,26798.51918,26737.04257,26764.44202,26726.23969,26768.21749,26671.19573,26769.97474,26697.28558,26619.39977,26735.19657,25759.84004,26664.61482,26675.18441,26602.48645,26594.38855,26533.2416,26636.57262,26627.4211,26630.11745,26707.53171,26440.71095,25900.75015,26540.66368,26723.41465,26538.11444,26714.49036,26515.76684,26656.72309,26621.61374,25792.2039,26624.18121,25651.16495,26631.87475,26479.73425,26577.56327,26719.41433,26715.1121,26682.04,26802.26,26361.25,26626.14,0.9879754,0.9934291
io.reactivex.rxjava3.completable.CompletableTest.retryBiPredicate5Times,11156.76195,11186.03978,11139.53168,11188.47883,11129.17554,11207.12476,11126.05334,11207.85947,11082.7805,11183.96566,11150.97551,11170.05963,11094.22252,11187.41569,11028.18463,11150.14048,11155.3189,11123.46722,11182.58965,11141.82809,11155.2617,11174.36949,11168.64373,11110.5108,11151.57163,11178.62227,11141.85081,11177.85976,11184.38241,11190.39001,9800.711985,9772.870706,9750.964593,9507.285808,9783.693758,9748.586835,9643.470845,9759.9311,9760.522725,9782.181272,9805.075568,9781.068278,9801.516511,9718.927147,9641.876618,9692.169159,9766.954136,9726.706056,9776.586268,9735.992117,9812.11831,9727.316165,9729.798351,9777.161004,9678.544599,9549.689367,9760.516431,9747.10984,9765.966989,9783.592189,11129.71,11168.09,9702.805,9765.616,0.8717933,0.8744211
