BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableTest.andThen,24992.6534,24979.6877,24840.9712,25053.6015,24857.9391,25098.8507,24748.6803,24908.0268,24933.9264,24903.4712,25058.9637,24901.9154,25029.6766,24923.6147,24961.327,25022.7754,24842.3711,24968.8952,24974.0418,24976.5653,24962.7847,24968.4977,25101.575,25050.8791,25083.4199,24958.2245,24938.0951,25013.8569,24957.1041,24920.9211,25183.3315,25190.9075,25201.9561,24876.0444,25147.621,24963.5927,25027.4142,25097.6873,25042.7599,24909.4181,25187.9352,24911.5982,25231.5176,25100.5181,25112.7162,25167.4746,25216.3073,24284.2623,24121.939,25154.6774,25040.0889,24798.8804,25076.0791,25137.3263,25032.2958,25045.7681,25204.324,24514.5767,24753.3496,25027.5729,444013.2,445209.6,443065.9,446319,0.9978666,1.002493
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableNormal,18894.7251,18862.9123,18940.9739,19016.1652,18632.4923,18846.3643,19156.8258,18673.2525,19037.043,18798.1845,19187.1963,18616.734,18924.7486,18855.0175,19181.6924,18746.4623,19220.3887,19041.155,18889.045,19196.2192,18215.215,18798.5871,19041.0245,18959.2519,18623.4985,18796.9701,19182.0047,18824.7739,18893.2926,19248.3591,18792.8588,18817.4851,18822.8469,18817.8047,18725.9253,18847.7637,18560.8437,18837.8509,18381.5309,18768.1771,18772.1099,18817.7224,18562.7078,18733.3142,18634.1738,18943.8533,18520.3213,18755.9518,18756.2041,18922.0586,17916.4745,18470.7928,18732.5497,18709.5084,18766.6737,18530.4628,18876.627,18858.0226,18783.7729,18498.9615,18799.41,19011.45,18590.35,18780.6,0.9878734,0.9889315
io.reactivex.rxjava3.completable.CompletableTest.concatIterableOneThrows,28068.5158,27963.5057,28092.5249,27877.8352,28045.0156,28087.6822,27917.585,27522.6104,27908.0061,28149.1911,28042.1477,28006.9839,27917.5948,28254.7843,27663.2037,27236.1755,27855.4626,27996.6737,27712.2401,27906.0974,27649.7357,27701.34,28322.9914,28008.231,28222.4138,28156.9899,27996.5913,27855.5977,28188.4719,28158.9893,28590.9448,28548.5188,29026.3419,28933.6753,28686.6771,29070.8093,28703.2923,28848.8313,28974.5547,26663.3588,28295.8768,26761.5742,28538.9805,28562.2176,28952.1962,29068.9604,29025.2416,28572.0598,28755.6725,28929.1658,29096.2372,28890.6231,28806.3598,28759.5626,28824.4383,28509.8375,27979.9596,28892.4994,28934.6815,28903.8466,1740.072,1859.022,1846.938,1975.308,1.057931,1.0626
io.reactivex.rxjava3.completable.CompletableTest.concatObservableSingleThrows,26582.7549,26294.1259,26363.6294,26151.6407,26101.8425,26481.9533,26606.9859,25620.5738,26298.4278,26433.8862,26275.2089,26381.5141,26400.7662,26465.5818,25566.9867,26811.5517,26579.4805,26748.0274,26607.6903,26877.6421,26174.4638,26383.7287,25374.6493,26754.1773,26875.0855,26622.1803,26903.8114,26481.7826,26635.32,26746.0442,27122.3548,27160.429,26922.8379,27029.8376,26975.6136,26730.5822,27005.1973,27063.6417,27186.3744,26831.5569,24910.9557,26795.1903,26899.454,26824.8644,26785.6384,26687.9228,27108.4259,26704.5283,26920.0733,26997.6179,26915.935,26646.6325,26946.2519,26627.7108,27101.9836,27110.0773,25173.3103,27114.146,26891.7003,26724.5769,602614.2,604713.3,605177.1,608153.5,1.004254,1.005666
io.reactivex.rxjava3.completable.CompletableTest.createOnSubscribeThrowsRuntimeException,38706.656,38822.2972,38644.7444,39061.4898,38910.4893,38950.7157,38742.0109,39206.1334,38591.893,39124.5606,38676.4699,39225.1556,38510.3055,38699.6378,39183.3598,37473.5037,38625.9664,38954.7622,39195.4119,39117.3454,38400.3138,39151.7778,38706.1109,38927.8374,38090.0329,38788.3003,38950.1127,38756.3793,39125.9009,38808.0937,40110.6976,39509.9642,39646.3581,39888.2433,39500.9026,39573.8072,36341.2841,40107.3877,40040.9982,39917.7172,39671.4496,40068.5385,39747.5911,39680.8009,40043.9849,40069.1197,38627.7846,39520.2847,39817.7753,39185.1181,39956.5061,40051.1734,40205.8233,39186.2494,39496.1012,39591.0549,39470.7278,39468.9788,39824.3045,39632.6067,996024.6,1002598,1008617,1012886,1.010271,1.012611
io.reactivex.rxjava3.completable.CompletableTest.fromCallableThrows,42480.9974,42544.9146,42958.5773,43063.8523,42520.764,43006.0798,43486.2869,42885.0864,43291.2701,43019.6021,42429.6874,42870.8983,42568.0026,43378.2358,42781.9483,42636.9887,43420.1044,42291.7146,42376.9718,43576.5526,42501.8138,42167.682,42589.4861,42437.7485,43492.3631,43120.2493,42614.9267,42855.0312,43242.5261,43033.2974,42793.9899,42467.7232,43010.0809,43819.9908,42725.9583,43671.4064,43054.3186,42559.1079,43150.8146,42488.1445,42914.6188,42981.7057,42994.5842,42014.8753,42838.1544,43765.5205,42676.8427,42405.6184,42977.5956,42550.2116,42362.8518,42223.4405,42586.3902,43201.9013,41180.2722,40108.5458,42294.5205,40788.9483,42569.8861,42539.4492,42653.9,43031.35,42351.03,42983.98,0.9928839,0.9988923
io.reactivex.rxjava3.completable.CompletableTest.fromSingleThrows,43551.4875,43482.9944,42508.4728,43582.1275,43442.7841,43344.9441,42959.3366,43336.3256,43518.1748,43019.519,43566.2961,43246.5211,43745.7993,43740.3262,43370.038,43521.3331,43461.3385,43053.2952,43382.7067,43243.3519,43466.9884,43354.4804,43373.8804,43341.2694,43360.4474,43661.8677,42888.8623,43074.5456,41626.9547,43395.0741,42906.3892,42740.7041,43686.9973,43356.2556,42977.2139,43231.862,43218.6114,41308.4902,41539.8886,43652.6294,43346.1607,43045.3707,43373.2408,43320.5962,43129.2577,42642.6869,42786.2568,43392.5761,43398.5734,43527.271,43223.6517,43484.207,43247.9125,43190.5257,43476.0924,41771.8058,43264.641,42972.0116,43314.5429,43557.4275,43152.41,43470.32,42755.13,43301.47,0.9907711,0.9960898
io.reactivex.rxjava3.completable.CompletableTest.mergeIterableManyOneThrows,21820.9951,20551.3918,21572.1234,21319.4394,22134.3945,21930.2904,22285.2867,21874.1305,22113.6786,22201.325,22040.314,22093.7898,22177.4283,21866.2425,22035.4889,21846.883,22150.3319,21869.5164,22193.0862,22177.4461,21917.0661,22107.9202,21639.8718,21842.2434,21866.9198,22158.8407,22164.4713,22173.8583,22007.0598,22158.9058,22251.9205,22349.9487,22528.9714,22543.1707,22498.4389,22286.3161,22569.2087,22445.4519,22598.7221,22381.4378,22347.6904,21582.4994,22430.5286,22573.4084,22214.8777,22341.4662,22314.8201,22336.3021,22590.5845,22389.7637,22641.9255,22506.3739,22566.4786,22340.1849,22585.0574,22607.8371,20740.8148,22137.5389,22635.3782,22358.8503,1324581,1330082,1334849,1341430,1.00779,1.008597
io.reactivex.rxjava3.completable.CompletableTest.mergeMultipleOneIsNull,30935.9636,30877.068,30928.2488,30966.5528,30412.4576,31176.4709,30894.093,30896.4575,30905.723,30908.2612,31046.378,31115.91,31161.851,31057.4709,31054.5975,31036.9146,30601.5768,31064.0639,31177.9799,31013.858,31165.8585,31013.5731,30946.9809,31120.5823,30977.3658,30981.4304,30804.9669,30953.8382,30981.0856,31030.4544,31218.3163,31187.2625,31156.3707,30025.1332,31309.1663,31148.712,31086.3861,31036.0972,31038.7334,31037.8497,31272.949,31024.6919,31315.6767,30978.5204,30158.1829,31146.7676,31283.24,31032.7898,31378.8069,30876.2438,31244.598,31016.4956,30124.33,31301.4056,30055.5044,31262.4085,30866.3816,31218.5449,31209.414,31340.1119,1028654,1038126,1031449,1036412,0.9983729,1.002759
io.reactivex.rxjava3.completable.CompletableTest.retryBiPredicate5Times,11478.0479,11861.032,11954.3372,11998.7839,11851.7924,11904.5508,11453.2193,11880.8889,11522.5101,11793.8106,11779.0423,11811.7206,11604.4581,11942.4316,11378.3675,11688.673,11848.0551,11632.9236,11831.5423,11713.0991,11825.1278,11910.5821,11692.6289,11431.4861,11457.5903,11937.9415,11654.0136,11903.9404,11914.975,11631.2923,11100.261,10668.669,10624.8775,10385.4548,10888.299,10764.1486,10862.1203,10809.8627,11053.2358,10754.6565,10918.8029,10603.7406,10968.7196,10971.581,10478.3474,10748.166,10979.6005,10904.12,10562.6782,11012.0706,10629.7281,10537.7495,10997.0794,10806.1143,10765.9171,10467.4494,10865.8547,10998.0202,10632.9299,10854.624,11654.5,11818.44,10700.11,10881.23,0.9181092,0.9206705
