BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapHidePublisher158,143916.44,144395.67,144094.32,144405.51,143629.39,144519.25,143667.51,144175.96,144451.95,143721.31,144188.95,144426.43,144328.16,144122.67,143728.19,143784.53,144615.7,144249.59,144274.72,144355.78,144149.27,144564.5,144067.2,143972.91,143745.92,143997.44,144359.24,144092.03,144270.26,143890.1,133913.19,134328.02,134067.19,134336.54,133664.63,134434.96,133697.64,134137.86,134376.73,133744.23,134149.1,134354.64,134269.6,134091.73,133750.19,133798.98,134201.59,134223.34,134474.12,134043.71,133962.08,133765.54,133983.32,134296.49,134065.21,134219.48,133890.39,134328.02,134091.73,134149.1,144011.3,144280.1,133976.9,134198.5,0.9301254,0.9303201
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapHidePublisher185,12887830.12,12999488.94,13040378.29,13146606.47,12853086.16,13023747.07,12811147.47,12838363.44,12772142.98,12767938.3,13123512.52,12850713.91,12928307.44,13056762.39,12821024.54,12922043.49,12819242.56,12958557.59,12776475.58,13169711.24,13078565.99,12753513.61,12880587.58,13140687.31,12748014.98,12987409.83,13124991.22,13033519.44,12989260.9,13105367.09,5441268.56,5461073.12,5468276.26,5486867.61,5435065.63,5465349.64,5427552.37,5432431.3,5420539.28,5419781.8,5482840.77,5434641.4,5448470.76,5471155.16,5429324.39,5447357.91,5453836.21,5421319.51,5417180.98,5439977.13,5485836.28,5416188.66,5458940.21,5483098.85,5467069.83,5459267.22,5479670.99,5461073.12,5471155.16,5482840.77,12873590,12996900,5438692,5459759,0.4200817,0.4224691
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapHidePublisher60,172.24,172.64,172.67,171.9,172,172.73,173.16,172.79,172.37,171.88,171.91,172.15,173.18,172.08,172.87,173.01,171.96,172.72,171.99,172.56,172.38,172.08,172.93,173.05,172.43,172.03,172.86,172.14,173.03,173.18,172.24,172.64,172.67,171.9,172,172.73,173.16,172.79,172.37,171.88,171.91,172.15,173.18,172.08,172.87,173.01,172.72,171.99,172.08,172.93,173.05,172.43,172.03,172.86,172.14,173.03,173.18,172.64,172.08,171.91,172.266,172.674,172.2877,172.7047,1.000126,1.000172
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapPublisher163,171075.59,171514.72,170857.36,171437.07,171026.84,170259.85,171481.35,170980.2,170321.61,171094.52,171145.23,171644.41,170215.13,170590.19,171354.14,170918.54,170947.52,171721.98,170990.81,171067.9,171116.58,170778.89,170273.42,171657.64,170896.73,171074.58,171663.33,171409.38,170351.42,170595.04,168018.67,168442.23,167808.17,168367.34,167971.65,167231.76,168410.05,167926.66,167291.34,168036.93,168085.85,168567.32,167188.62,167550.44,168287.35,167867.18,168642.13,167936.9,167732.47,167244.85,168580.08,167846.15,168017.7,168585.56,168340.63,167320.1,167555.12,168442.23,167550.44,168085.85,170809.4,171217.2,167751,168168.4,0.9820949,0.9821923
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapPublisher181,12285104.98,12268410.11,12183323.19,12274753.48,12228882.44,12237564.32,12229517.27,12244972.75,12174906.63,12270544.48,12232022.65,12193020.16,12210463.55,12261903,12195773.96,12156691.13,12234363.42,12268021.53,12170872.61,12187599.02,12254160.39,12237349.56,12163589.41,12161854.97,12262228.98,12203443.55,12296668.89,12216123.03,12260062.29,12266054.48,20655.36,20655.32,20655.07,20655.33,20655.2,20655.23,20655.21,20655.25,20655.05,20655.32,20655.21,20655.1,20655.15,20655.3,20655.11,20655,20655.31,20655.04,20655.23,20655.02,20655.01,20655.3,20655.13,20655.4,20655.17,20655.29,20655.31,20655.32,20655.3,20655.21,12205740,12242530,20655.14,20655.25,0.001687172,0.001692249
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapPublisher64,173.62,173.13,172.58,173.83,173.79,172.66,172.93,173.68,173.62,172.76,173.67,173.63,173.45,172.87,173.5,172.97,172.61,173.57,172.73,172.99,173.2,173.45,172.78,174.03,173.53,174.01,173.09,173.91,173.64,173.72,173.62,173.13,172.58,173.83,173.79,172.66,172.93,173.68,173.62,172.76,173.67,173.63,173.45,172.87,173.5,172.97,173.57,172.73,173.45,172.78,174.03,173.53,174.01,173.09,173.91,173.64,173.72,173.13,172.87,173.67,173.0777,173.4833,173.14,173.5433,1.000338,1.000371
i.r.r.core.BinaryFlatMapPerf.singleFlatMapHideObservable159,144274.59,144212.5,143750.17,143698.03,143974.78,143967,143272.74,143773.43,143739.87,143815.27,143809.45,143859.99,143538.4,143178.71,143224.89,143134.06,143513.25,143999.63,143316.73,143985.72,143437.12,143217.43,143771.79,144062.18,143613.68,143410.85,144004.52,143630.39,143289.67,144267.79,934.18,934.18,934.16,934.16,934.17,934.17,934.14,934.16,934.16,934.16,934.16,934.16,934.15,934.14,934.14,934.13,934.17,934.14,934.14,934.16,934.17,934.15,934.15,934.17,934.15,934.14,934.18,934.18,934.14,934.16,143509.8,143817,934.1497,934.1627,0.006495498,0.006509311
i.r.r.core.BinaryFlatMapPerf.singleFlatMapHideObservable186,13111665.02,13041777.88,13115033.05,13130870.47,13062811.14,13109812.17,13106852.64,13111920.44,13140304.76,13049846.57,13069397.73,13054692.22,13065317.91,13079031.77,13066823.62,13081134.11,13076973.55,13086432.98,13089097.68,13141636.97,13087301.38,13073057.94,13127714.9,13055321.05,13096069.73,13110854.7,13108002.12,13085435.5,13133102.81,13058981.44,13198555.82,13127741.83,13201968.64,13218016.85,13149053.51,13196678.33,13193679.45,13198814.63,13227576.82,13135917.27,13155727.38,13140827.06,13151593.49,13165489.16,13153119.15,13167619.39,13172988.57,13175688.64,13159436.11,13214819.26,13141464.22,13182753.27,13197734.72,13194844.21,13171977.85,13220278.92,13145173.08,13127741.83,13165489.16,13155727.38,13076490,13102260,13160950,13186800,1.006451,1.006465
i.r.r.core.BinaryFlatMapPerf.singleFlatMapHideObservable62,172.33,171.97,171.94,172.69,172.82,172.1,172.1,172.25,172.87,171.78,172.03,172.91,172.1,172.95,172.39,172.59,172.55,173.1,173.06,172.62,172.82,172.05,171.86,172.34,172.66,171.79,172.86,173.05,173.06,172.78,172.33,171.97,171.94,172.69,172.82,172.1,172.1,172.25,172.87,171.78,172.03,172.91,172.1,172.95,172.39,172.59,173.1,173.06,172.05,171.86,172.34,172.66,171.79,172.86,173.05,173.06,172.78,171.97,172.95,172.03,172.276,172.6607,172.241,172.6463,0.9997949,0.9999208
i.r.r.core.BinaryFlatMapPerf.singleFlatMapHidePublisher162,170044.22,171421.54,171215.8,170323.55,171502.91,171477.18,171392.65,171239.87,170159.37,170812.88,171035.88,170767.32,170241.8,170811.03,170359.89,171509.84,171175.3,171179.78,170535.87,171320.04,169959.32,170773.44,170736.93,171117.84,170141.93,170026.71,171543.77,170502.19,171127.25,171328.25,8900.39,8904.13,8903.58,8901.15,8904.35,8904.28,8904.05,8903.64,8900.7,8902.48,8903.09,8902.36,8900.93,8902.48,8901.25,8904.37,8903.48,8901.73,8902.38,8902.28,8903.31,8900.65,8900.34,8904.46,8901.64,8903.34,8903.88,8904.13,8902.48,8903.09,170612.6,171076.8,8901.985,8903.199,0.05204213,0.05217669
