BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.internal.operators.single.SingleConcatTest.concatObservable,2739.957033,2742.547078,2739.151882,2740.20642,2746.101846,2742.34938,2740.11866,2729.787357,2741.869401,2739.918225,2735.301306,2743.179734,2743.394909,2747.415182,2744.745188,2746.101972,2746.155615,2744.419418,2744.889473,2743.532066,2745.716024,2746.636413,2746.289969,2744.804808,2744.696184,2745.364196,2743.918188,2745.732611,2744.91153,2745.142126,0.095112245,0.095186745,0.09517254,0.095157087,0.095097831,0.095095388,0.095145757,0.095109836,0.095122745,0.095086535,0.095142601,0.095132655,0.095123481,0.095140838,0.095154969,0.095164946,0.095169658,0.095124987,0.095148298,0.095092143,0.095140037,0.095090546,0.095102982,0.095153889,0.095140634,0.095153893,0.095121896,0.095152947,0.095145286,0.095119397,8,2740.975,2744.576,0.09512073,0.09514558,3.46668E-05,3.47032E-05
io.reactivex.rxjava3.internal.operators.single.SingleZipTest.zip9,813772.7397,809199.7268,809272.2138,811827.926,807541.8779,817554.3613,808560.9225,806152.5976,814466.2413,813284.7174,811527.5716,813186.5518,808587.3837,815137.9077,810293.8351,810489.2528,816020.7576,813631.299,815594.792,816382.4319,816525.941,812038.5208,814291.0182,808430.9377,816444.1005,813949.3199,812934.7893,813712.9787,813814.8177,816348.5645,104.4755432,104.6118619,104.5564484,104.6293339,104.6025888,104.653649,104.4850291,104.6351515,104.4697208,104.564035,104.6391959,104.6001199,104.6086526,104.6370919,104.6307305,104.6787937,104.6461364,104.5695344,104.6066622,104.5622578,104.6451174,104.5616302,104.6364687,104.6343753,104.6177667,104.6632317,104.6191941,104.666853,104.6449396,104.6363858,8,811116.9,813973.2,104.576,104.6268,0.000128539,0.000128928
io.reactivex.rxjava3.internal.operators.single.SingleZipTest.zip8,860490.4837,860932.034,859358.2374,866087.6588,856157.4988,859877.1069,867551.0276,866681.07,864461.6986,867248.9451,869717.5633,867698.0677,867006.4344,867037.7531,866551.3942,868339.911,866026.8411,862994.3605,860957.138,865913.4553,867555.1779,867417.0235,867657.8252,866816.7089,866762.6458,867517.9293,867778.2534,867860.4871,867074.9824,865393.2316,117.6324088,117.6861812,117.6291426,117.7286203,117.5842734,117.580006,117.6885608,117.7078766,117.6650114,117.609994,117.655858,117.6890176,117.6422855,117.7043742,117.6169598,117.584725,117.5090485,117.6998558,117.723365,117.6720755,117.765298,117.7543758,117.6817593,117.5780914,117.64626,117.7190683,117.7258048,117.5888296,117.7159419,117.6893533,7,863806.3,866800.4,117.6296,117.6871,0.000135772,0.000136176
io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMapSingleTest.normalDelayError,521417.813,520200.9704,522717.1618,521484.5061,521823.6201,522183.2389,521845.3225,520868.8916,522095.4409,521930.8085,522362.4452,521304.5659,520878.178,518966.0386,515165.405,518973.932,519906.0291,520238.7383,519824.7141,520573.9578,518675.5202,522131.5123,519486.7016,520636.655,520674.7165,518654.8999,518817.9215,518411.7008,521285.8591,517683.709,85.49158309,85.50915216,85.55153781,85.53540291,85.59480966,85.517059,85.58953621,85.51552037,85.56523023,85.58507321,85.60152098,85.54102782,85.5689844,85.56474557,85.55176368,85.5677246,85.58309505,85.54448273,85.58961151,85.54790856,85.61562582,85.53206187,85.59249013,85.47926043,85.59814896,85.57534212,85.59840277,85.52730215,85.44899438,85.47050492,11,519562.9,521151.6,85.53917,85.57323,0.0001642,0.000164637
io.reactivex.rxjava3.internal.operators.single.SingleSwitchOnNextTest.normalDelayError,824513.5321,819711.6602,800136.0491,821919.0464,824150.5668,806420.1958,770580.0097,825688.2681,825818.2338,825654.2698,823035.0681,823335.6197,804128.5262,825523.6482,820363.9171,823525.4143,823725.8332,821459.1072,822513.549,822963.1477,822900.0238,821775.3689,822478.5387,822530.1364,822698.263,821185.9869,801961.4302,764042.5911,823469.3909,823928.665,134.5388765,134.4794269,134.3594458,134.3967951,134.5275696,134.5503634,134.4338665,134.5239705,134.5748224,134.5373652,134.5994498,134.5980696,134.5600928,134.3394195,134.4191511,134.5361085,134.552196,134.4942797,134.4889125,134.3862182,134.6196832,134.4378073,134.3902784,134.5110223,134.5904685,134.5211696,134.5289938,134.4635117,134.1778973,134.3479107,12,810771.7,822805.6,134.4509,134.5319,0.000163504,0.000165831
io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMapSingleTest.normal,525393.2977,526903.3674,527245.8088,526725.7323,526590.041,512018.3626,526514.1966,526894.7187,526763.4043,527582.2932,526965.8905,526597.805,495642.9326,526283.1963,526883.3254,526265.3177,526808.4501,526400.6793,507863.3967,478585.3348,526919.263,526094.5485,523822.5349,503337.1075,489760.1977,518145.6632,526510.6977,526815.4989,486225.1319,436479.3877,85.42509195,85.4742812,85.54248934,85.57197753,85.58046914,85.57859508,85.56087626,85.50049627,85.06650232,85.35521112,85.48048407,85.45725032,85.46911237,85.4533464,85.50401625,85.5389695,85.54409029,85.55654103,85.48606436,85.50791223,85.53495704,85.56626588,85.59602332,85.63703061,85.43310012,85.39896397,85.60155404,85.60997968,85.61714129,85.54413062,5000,510333.7,524995.4,85.43882,85.53867,0.000162932,0.000167418
io.reactivex.rxjava3.internal.operators.observable.ObservableFlatMapSingleTest.normalDelayError,537884.7013,541546.8957,546636.2116,543786.0011,533873.7555,535629.8004,543453.327,543882.2688,544473.6077,543888.8744,543770.7941,543316.2067,545151.1593,547371.3344,544650.1772,543956.0886,546636.0123,547797.9969,544718.864,545757.4734,545857.1613,545357.527,545537.4283,544787.0993,545985.7289,545969.225,543051.3213,546825.437,545607.19,544945.5488,94.07245565,94.15053434,94.16069861,94.16787092,94.03850435,93.71538759,94.08325828,94.10024526,94.22628265,94.15205548,94.21933982,94.13519558,94.1807937,94.13393093,94.16263821,94.20321807,94.18818712,94.19313165,94.16990211,94.18090621,94.13781444,94.07518011,94.20419714,94.18970733,94.17406828,94.20135731,94.12224391,94.15983122,94.15639523,94.20470803,10,542470.4,545344.8,94.09138,94.17507,0.000172689,0.00017345
io.reactivex.rxjava3.internal.operators.mixed.ObservableConcatMapSingleTest.take,898216.1619,892015.1492,898539.8879,894739.6668,898308.4926,902511.1211,885385.009,872053.3329,897018.3191,896475.4802,902454.6558,901718.8783,899221.4797,900465.3704,899113.931,900959.9193,901934.5618,897408.929,900900.4541,894656.5975,887939.9553,897442.6064,895145.243,901130.0455,898527.3877,898202.9507,897288.2334,898704.4722,894986.9011,900852.5509,156.9939039,156.8586528,156.9182368,156.9554385,156.9063398,156.9232357,156.9597365,156.9270492,156.9628522,156.8958461,156.9591829,156.8926677,157.0062821,157.022045,157.0234428,157.0444787,156.9459852,156.9811007,157.0190285,157.0123877,156.9546365,156.9686201,157.0388175,157.0622771,156.9915087,156.9920949,156.9719259,157.0490632,156.8421483,157.0482758,10,893488.9,899305,156.9454,156.9948,0.000174574,0.000175655
io.reactivex.rxjava3.internal.disposables.ListCompositeDisposableTest.constructorAndAddVarargs,1136612.306,1239018.93,1235481.491,1236975.317,1215119.519,1213268.862,1238297.5,1233224.178,1227150.203,1234933.698,1233855.782,1239120.297,1241056.224,1162425.891,1134880.041,1230875.876,1239137.983,1145263.438,1230723.444,1237910.678,1171636.255,1241437.816,1188723.991,1238793.762,1223892.47,1233832.685,1240131.882,1234667.211,1235502.007,1240265.822,235.3880396,235.450359,235.334656,235.3593683,235.448983,235.5059617,235.4285812,235.4898618,235.4364262,235.5352564,235.5188313,235.4829898,235.4758416,235.5597746,235.5322927,235.4743553,235.402205,235.5030417,235.46383,235.4919107,235.4159486,235.2821957,235.2183145,235.3508759,235.5564119,235.2149391,235.181926,235.4580232,235.3513934,235.2752672,2500,1197882,1230251,235.3918,235.4783,0.000191407,0.000196507
io.reactivex.rxjava3.internal.disposables.ListCompositeDisposableTest.constructorIterable,908150.4192,1183750.943,1201158.925,1202730.248,1189595.217,1200494.906,1199781.645,1198053.865,1188756.592,1192824.148,1201123.745,1110084.87,1199988.592,1201245.074,1195277.257,951142.9782,1154644.542,1200078.707,1185205.114,1196070.983,1196499.487,1198618.067,1201281.05,1198531.489,1200418.55,1200392.062,1200152.311,1194539.875,1198226.377,1198990.067,235.3275771,235.137561,235.5309256,235.3163662,235.5995785,235.4952132,235.4685141,235.5246246,235.4556057,235.3897786,235.4566915,235.4029992,235.4948541,235.2937836,235.5273353,235.3540996,235.401649,235.2768929,235.273168,235.4857152,235.4290514,235.2401951,235.4228235,235.4362789,234.5431676,235.4816127,235.363906,235.4885749,235.3976335,235.5345414,4799,1131829,1196159,235.2941,235.4506,0.00019684,0.00020789
