BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.internal.operators.single.SingleConcatTest.concatObservable,3223.7407,3144.66283,3217.13586,3130.56229,3225.98528,3089.55385,3120.86228,3194.48483,3119.04106,3169.66553,3106.46144,3132.00162,3227.95961,3165.17623,3213.84888,3156.59957,3124.8782,3152.28031,3122.96578,3231.05768,3225.66299,3157.69171,3182.22305,3189.09836,3099.28294,3103.26149,3095.86933,3233.54983,3174.14527,3246.97997,0.11398058,0.11481296,0.1160957,0.11581553,0.11457116,0.11362783,0.11468231,0.11424135,0.1164388,0.11582565,0.11498091,0.11341987,0.11765633,0.11401702,0.1179143,0.11600981,0.11743705,0.11609693,0.11387257,0.11320736,0.11454008,0.11379704,0.11650014,0.11645286,0.11390798,0.11772668,0.11545861,0.11463867,0.11708608,0.11636096,3143.8050000,3186.5720000,0.1146617,0.1160122,0.0000364,0.0000365
io.reactivex.rxjava3.internal.operators.single.SingleZipTest.zip9,871766.256,868377.23,859613.045,846058.023,870951.766,853255.828,863324.624,873753.195,857018.185,858951.515,844989.891,876819.591,860268.649,887579.557,848980.649,871853.756,888495.482,854991.943,875839.126,883352.791,849347.616,845439.139,853003.48,851515.918,890377.924,878080.392,878804.582,885191.025,867252.733,861356.121,115.957175,117.397485,120.152661,117.569341,116.950319,115.860736,115.902706,119.739801,119.572392,118.979847,119.15884,117.722479,119.491027,117.12829,119.039654,120.308911,119.492931,117.54083,119.766282,115.437868,118.740951,115.629529,115.932228,119.982194,119.068155,119.649807,118.535169,118.532754,115.450786,117.406998,859068.0000000,871933.6000000,117.3906000,118.8750000,0.0001363,0.0001367
io.reactivex.rxjava3.internal.operators.single.SingleZipTest.zip8,985595.714,1026197.85,1022373.19,998430.694,1017631.57,995459.506,998448.263,1017990.59,1000159.43,989079.695,1021073.72,1033860.57,1007541.08,1013456.94,1016016.83,997610.543,1009158.63,982318.622,980956.439,1006848.6,984140.782,1019780.63,1016718.5,1026224.7,1025166.29,1023133,1035230.11,987495.036,1017083.16,1013260.16,143.999765,146.504481,142.725662,142.858135,141.500315,145.183683,142.091384,141.193946,146.104022,141.315548,141.937386,144.779524,144.579011,144.253769,146.836988,142.719162,143.219397,141.849182,145.327266,141.789811,145.111471,141.720232,145.898112,140.389613,140.774992,142.245546,146.929215,146.74764,142.204869,146.350294,1000539.0000000,1015314.0000000,142.6649000,144.4854000,0.0001423,0.0001426
io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMapSingleTest.normalDelayError,622421.74,599459.877,623090.726,599789.336,611302.022,616628.845,622622.945,622000.992,623031.18,606233.614,620419.619,620634.356,611465.535,608769.325,606068.206,620044.529,597150.639,621802.763,617951.818,604009.172,612831.294,594962.516,593690.878,595308.698,603523.871,592137.595,596864.243,618425.502,615395.088,589291.956,102.388382,105.736879,107.219145,103.785281,103.335027,103.108694,102.694207,102.7792,105.242545,103.860325,105.395631,104.804024,103.955054,103.580349,102.888391,103.280686,106.846966,105.393475,105.566777,102.565654,103.00963,102.475717,102.524102,105.161524,106.661252,102.788254,103.869956,102.84216,105.983271,105.303416,605859.9000000,615465.8000000,103.5090000,104.8096000,0.0001703,0.0001708
io.reactivex.rxjava3.internal.operators.single.SingleSwitchOnNextTest.normalDelayError,903657.665,916016.359,868877.797,904497.043,911187.531,916830.864,875532.952,903547.676,928602.05,933006.061,914647.438,922703.737,894408.585,901785,936207.711,898307.279,940096.432,928594.55,914685.843,917627.752,912402.708,894225.368,936997.801,909601.59,915927.653,934816.406,901772.748,840015.385,937981.944,932261.866,158.330372,154.155352,155.260303,156.069867,159.269864,157.593512,156.302799,156.627802,161.061174,158.474472,158.084165,160.526991,160.948769,157.724437,154.938355,159.787605,154.62522,156.755621,156.311996,155.980948,159.260111,160.072237,157.389789,157.277229,155.449142,160.457388,161.275213,154.575025,156.072935,154.119246,902587.1000000,921053.9000000,156.6472000,158.6436000,0.0001723,0.0001736
io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMapSingleTest.normal,587276.623,606998.625,606560.499,589491.204,589604.152,573972.876,578760.441,589295.614,591898.532,578102.379,604398.137,594611.847,547069.017,583804.57,579740.339,599040.256,583653.59,601075.795,570006.429,545365.588,603165.006,580996.911,574913.462,579964.89,539504.92,578749.383,576846.269,594955.947,534575.684,480066.798,98.9459949,100.811497,103.283192,98.8999832,101.544702,100.239551,100.897933,100.387197,98.9184137,99.5279808,101.734694,102.989991,102.032793,101.621083,99.4553199,103.474252,100.417351,101.614483,99.3519906,101.242478,102.500609,98.8688728,103.196696,99.1787401,98.6258589,99.4286079,102.678511,101.689334,100.66379,100.492593,570900.4000000,590375.9000000,100.2099000,101.6136000,0.0001721,0.0001755
io.reactivex.rxjava3.internal.operators.observable.ObservableFlatMapSingleTest.normalDelayError,607480.199,611244.275,645226.565,620861.972,608374.114,607445.218,627800.489,641157.983,641569.006,634035.419,634443.273,633538.874,639298.275,637198.417,618722.446,619878.65,629509.237,634162.343,626791.892,626415.554,639521.992,632596.025,644875.198,622907.765,638765.058,625260.366,638244.284,641426.729,620798.426,624666.025,113.304752,113.389975,111.54982,112.834256,113.239049,114.036758,111.432988,115.742768,114.328935,115.634369,114.717878,115.990324,114.247144,116.849862,113.533892,113.661136,115.212962,116.817281,114.006849,115.603678,116.119127,114.693746,113.173117,115.810378,112.002515,113.060153,115.515054,114.736253,113.326294,115.83593,623935.4000000,634167.8000000,113.7304000,115.0884000,0.0001815,0.0001823
io.reactivex.rxjava3.internal.operators.mixed.ObservableConcatMapSingleTest.take,977497.417,968967.26,957441.282,951578.829,953751.474,980992.432,957195.091,931747.702,987246.867,973096.125,957266.15,984147.14,985184.622,999088.4,995371.097,977491.135,979694.163,969242.156,969865.484,991534.229,951669.697,985448.321,950937.989,955880.626,956909.476,997574.741,969636.453,950638.202,981842.107,958021.346,175.08415,181.422616,177.043653,179.202543,181.202606,180.818146,176.4597,180.631105,176.576795,181.208036,179.454468,181.206842,182.828667,176.570427,183.046645,182.915924,177.968455,180.082148,182.146191,175.343908,175.801294,176.12909,175.299131,180.326304,181.335279,176.292538,175.310258,176.092933,182.691527,181.632976,963822.4000000,979638.1000000,177.9177000,180.4713000,0.0001842,0.0001846
io.reactivex.rxjava3.internal.disposables.ListCompositeDisposableTest.constructorAndAddVarargs,1311396.89,1445949.94,1431385.57,1446656.29,1430761.71,1371697.04,1395421.96,1454781.37,1432301.36,1422858.12,1405995.36,1423223.38,1446663.62,1328531.75,1326685.22,1448834.84,1426756.38,1333676.94,1455254.3,1426174.76,1332045.66,1444181.62,1374898.82,1422357.87,1428351.26,1410883.06,1460507.77,1410943.06,1405533.5,1429573.95,279.422143,286.546269,285.101933,285.766945,290.812839,284.840976,283.473184,284.722523,288.348609,285.927571,279.800081,284.754051,290.323186,292.330329,287.023786,287.372317,285.547111,285.835595,287.413951,289.821502,287.493778,281.501287,287.172339,291.621501,283.137108,290.676323,282.518558,282.972375,286.099867,288.910443,1384151.0000000,1426556.0000000,284.7507000,287.8995000,0.0002018,0.0002057
io.reactivex.rxjava3.internal.disposables.ListCompositeDisposableTest.constructorIterable,1070711.11,1374193.32,1403537.42,1380738.58,1403598.35,1380632.28,1350585.81,1404999.14,1343942.58,1403536.76,1380938.78,1255815.28,1364912.15,1400383.37,1395583.42,1110534.2,1359624.82,1372706.88,1353393.31,1370195.86,1381063.1,1392244.97,1417364.68,1373646.35,1409944.44,1376187.13,1371419.36,1412303.24,1413976.89,1358986.57,283.326625,286.577032,291.684977,280.324357,283.733195,284.292378,278.430011,279.986998,290.040915,279.323662,289.944251,278.842717,289.690927,292.086182,282.197868,288.775797,288.524532,287.402509,287.355255,282.485173,292.065886,280.647766,291.857425,286.219679,290.094173,284.778466,280.916613,285.965626,288.854903,291.544883,1310519.0000000,1384652.0000000,283.7020000,287.8803000,0.0002079,0.0002165
