BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable,920787.8734,919483.5382,922758.637,923073.9677,924051.0239,922414.3425,922328.3793,922465.6813,923073.5623,920035.0325,923220.659,923297.3553,924844.3664,921327.0217,922876.4283,922864.6774,923111.5435,921675.2152,922230.8257,923627.7672,925221.8648,922588.9502,922540.7006,923162.0097,923698.8622,922569.4898,922614.1414,923906.455,924073.6904,923815.4385,857267.2715,855357.7067,855913.7245,856474.6446,855372.0341,856946.1775,857104.6477,857302.0758,856202.0989,855227.7532,855759.2928,857818.6048,856982.1232,855763.8253,855122.6211,855401.3012,857015.9682,855387.7384,855005.1958,855252.4225,852373.2549,855354.411,856721.8984,856933.9031,855371.3132,856061.6552,856188.5403,857046.938,856324.4794,856338.2526,922120.4,923285.9,855460.9,856470.6,0.9276365,0.9277148
io.reactivex.rxjava3.core,901417.506,901131.2059,903346.3417,903835.7332,902443.7068,903009.7413,900760.1543,901616.2234,903563.9689,899510.221,902624.7078,901526.6708,902767.1329,902757.316,902739.4091,903360.2306,902969.4753,902015.396,902468.7094,903745.4955,905033.777,903179.8089,904488.3851,902206.3942,903905.8031,902529.3848,904109.103,902572.8573,903188.1772,903567.8083,838142.8126,837949.8972,838242.7408,836279.9259,836289.4456,838331.4703,837816.1697,838260.5744,838022.7836,836650.3989,837254.1765,836420.1035,839540.6587,838347.4407,835794.5741,837657.5163,838483.8028,837643.9669,837437.1485,835754.2907,836028.8167,838198.0191,838531.1024,836979.4748,836707.3453,838555.7394,838176.9976,837592.3824,837638.8677,837318.0834,902105.8,903182,837059.9,837964.6,0.9277916,0.9278907
io.reactivex.rxjava3.disposables,91.25700455,91.26761819,91.1769876,91.32722905,91.41837305,91.3000726,91.46447341,91.38286095,91.51722185,91.2865286,91.32857105,91.42205335,91.24475431,91.40551763,91.41829915,91.16147218,91.19251017,91.1635037,91.15690061,91.19308574,91.73302325,91.48730269,91.53922426,91.63334534,91.59862107,91.3717694,91.29707521,91.45769841,91.46060216,91.54609126,85.87903367,85.96570153,85.77885353,85.94076877,85.86011282,86.01604546,85.83593779,85.7965511,85.88630755,85.98149442,85.95145135,86.03122947,85.83104598,85.87512657,85.77870643,85.95389304,85.84919148,85.93642425,85.95755098,85.97525715,86.02816388,86.06039315,85.97160784,85.93053636,85.88972425,85.8648466,86.05877376,86.00392781,85.97276139,86.04368638,91.28854,91.4292,85.88422,85.95937,0.9401747,0.9407995
io.reactivex.rxjava3.flowable,285984.7571,286071.3041,285994.1692,285182.0939,285251.1846,284959.3779,285666.727,285708.6117,285398.7268,285359.2555,285571.3049,285634.8042,285801.6899,285649.5056,285532.3062,285872.8063,285667.6505,285808.5481,285632.9382,285434.5559,285053.7827,286038.4355,285810.5849,285630.7825,285923.9558,285653.6301,285839.4741,285497.1176,285516.5521,285605.966,269504.6322,269421.9954,269403.2653,269578.4166,269422.2297,269810.7792,269899.4355,269664.6519,268784.8665,269424.0514,269733.2048,269917.1051,269345.9949,269786.7529,268905.7461,269599.0584,269385.8879,269554.5342,269369.7918,269160.5235,269817.9837,270005.8212,269490.4632,269538.6673,269178.466,269671.5522,269309.1228,269715.5979,269222.0812,269552.1031,285489.5,285745.6,269363.9,269638.6,0.9435139,0.9436285
io.reactivex.rxjava3.flowable.Flowable,994214.1956,997354.2725,1001063.758,999263.5931,999646.525,997737.7319,999835.1708,997519.5338,995147.8183,993955.7815,999369.7132,996942.2858,997967.2666,996359.241,997506.4888,995815.3028,997376.5108,996862.9107,998316.9579,995045.6212,997003.3776,994676.2591,994943.1003,994137.6601,994992.5685,996802.9842,996186.3228,996269.9047,997926.875,994128.8885,943167.4468,947812.3048,947682.6792,949400.9091,949137.994,948586.717,947911.7116,949455.5596,948694.3068,947314.6361,949387.7493,949021.6145,945436.8644,940387.2438,944631.9172,948882.7442,948205.1959,943909.1703,944908.1132,943019.9829,944881.4778,944717.8977,938871.287,950773.3505,947034.9664,944079.7518,935165.5095,945256.2427,944523.5577,943360.6691,996072.9,997780.7,944535,947535,0.9482595,0.9496426
io.reactivex.rxjava3.internal.disposables,1770890.188,1769005.259,1773845.253,1769338.953,1777871.131,1774577.589,1760693.73,1773427.274,1773116.498,1771877.506,1774000.648,1777461.078,1784898.381,1781645.106,1776206.427,1781628.979,1785439.65,1783924.174,1784049.845,1781463.85,1783389.077,1784445.918,1778726.106,1781033.828,1780288.427,1779616.042,1774818.183,1781392.715,1779787.006,1777403.786,1708109.991,1698362.521,1702783.348,1697240.187,1688734.714,1699615.95,1695735.753,1685533.403,1692720.874,1701273.996,1699863.787,1695238.239,1688828.329,1672660.563,1687508.911,1669851.79,1710041.551,1696095.459,1702367.773,1687933.819,1685293.928,1696702.915,1704137.721,1693274.103,1699644.238,1697093.344,1693057.707,1702236.68,1702838.471,1699736.204,1774801,1780316,1689394,1698376,0.9518785,0.9539747
io.reactivex.rxjava3.internal.fuseable,1010759.705,1003081.408,1011158.904,1011517.508,1005236.667,1011983.341,1014743.436,1013951.432,1015217.867,1012117.261,1014610.365,1013484.179,1014147.78,1015276.363,1013271.576,1012751.711,1010402.402,1004515.705,1009315.378,1006116.269,1007091.185,1010085.631,1000854.465,1015697.441,1005844.805,1012608.151,1011650.519,1013839.027,1011230.908,1008742.879,966909.5019,963610.5427,967620.2139,963773.3628,967769.2797,970199.8061,967286.9605,970285.0054,968936.8776,967754.0855,965600.9158,965887.6636,960843.2583,962357.1229,967793.0976,968555.9254,967957.4906,970416.2147,968933.7053,967165.5408,970293.1003,967859.2646,967163.7657,962355.3924,965819.5698,963198.5363,967168.5581,968543.7198,969899.1009,968765.8393,1008972,1012579,965693.1,968114.5,0.9560921,0.957107
io.reactivex.rxjava3.internal.jdk8,1415091.467,1417315.075,1414031.678,1405626.142,1394551.088,1390988.333,1378992.684,1410329.141,1402275.306,1402860.682,1409065.531,1415284.562,1414742.43,1407412.149,1412870.565,1412653.889,1412036.386,1400952.198,1404439.748,1406455.435,1404330.954,1400043.458,1404429.334,1403199.913,1401823.145,1410521.409,1408539.394,1401531.928,1404632.132,1404335.468,1343423.645,1347161.436,1338106.861,1345721.33,1336831.216,1346729.221,1352525.834,1350551.951,1354398.664,1348895.937,1345351.478,1344768.872,1336420.281,1354061.624,1352519.494,1353700.852,1347196.433,1355087.799,1352515.938,1355436.365,1351017.827,1344219.831,1344567.307,1342173.082,1342513.896,1349891.815,1345765.293,1346415.966,1351907.27,1348678.424,1401988,1409615,1345296,1350380,0.9579779,0.9595625
io.reactivex.rxjava3.internal.jdk8.FlowableFromStream,10.58101328,10.70134976,10.70524515,10.67799992,10.64818094,10.66674973,10.67983177,10.67008896,10.62557651,10.59179687,10.60098935,10.69194053,10.71148026,10.70091548,10.67949601,10.61329093,10.6946289,10.67781174,10.6773871,10.72344413,10.66005483,10.71589873,10.70195338,10.70386175,10.7148615,10.70648374,10.66793252,10.72852118,10.71492311,10.72319788,10.12431235,10.1764454,10.11056388,10.14212997,10.12810294,10.14068657,10.1258357,10.15173818,10.18237892,10.19866227,10.20779352,10.18934813,10.22557173,10.32564672,10.288047,10.34568112,10.27711838,10.31838993,10.32398069,10.30390629,10.32700331,10.33014916,10.30968011,10.30468756,10.30297686,10.32252992,10.3328609,10.31916814,10.3136529,10.33540757,10.65414,10.69133,10.20696,10.28129,0.9580284,0.9616476
io.reactivex.rxjava3.internal.jdk8.MaybeFlattenStreamAsFlowable,1135571.24,1129699.78,1140741.639,1135495.613,1131388.892,1135261.574,1142618.233,1142393.56,1141292.519,1137733.083,1133899.776,1135766.51,1135245.786,1136296.365,1125745.576,1139408.365,1140986.694,1139689.808,1142774.457,1139839.732,1137784.99,1135024.98,1135869.264,1140042.21,1144639.507,1136099.453,1139906.812,1139121.982,1137524.68,1136306.892,1095641.608,1097383.431,1079091.941,1072055.837,1098370.85,1098374.324,1097470.797,1099343.96,1100500.825,1095746.599,1093302.236,1097359.586,1094318.166,1098324.671,1093798.94,1099131.086,1097970.654,1099597.435,1094030.756,1095418.525,1097732.779,1096357.829,1087655.357,1091310.396,1094793.492,1099024.564,1093430.699,1095361.702,1094287.908,1090865.293,1135256,1139210,1091903,1097211,0.9618119,0.9631357
