BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.core.ToFlowablePerf.flowableInner3,3608.302815,3610.262968,3608.399966,3613.370045,3610.472005,3609.944893,3610.413553,3612.13281,3609.325202,3612.767025,3609.260672,3613.204004,3610.017371,3610.636851,3608.875936,3610.808614,3613.628176,3610.991847,3610.340214,3612.543997,3615.236448,3611.461961,3611.329994,3610.548029,3615.404724,3612.722689,3605.709805,3612.812512,3611.642546,3616.075521,3105.602144,3106.737521,3101.593452,3104.185676,3104.830566,3088.147554,3081.732674,3080.965036,3081.723914,3078.777787,3080.217465,3080.815254,3082.109233,3077.13614,3077.259285,3082.164659,3080.128656,3083.154621,3075.898096,3083.108217,3081.354653,3085.933073,3084.622167,3082.097318,3084.049064,3080.112312,3082.365107,3081.760032,3082.508183,3080.818309,842000,3610.442,3611.894,3082.044,3088.376,0.8536471,0.8550572
io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapSingleAsFlow163,657771.6773,657234.1381,659179.5993,659800.369,658915.8275,658670.0499,658674.2438,658970.4296,659602.1788,656576.8299,658586.9277,658905.0437,659415.6366,658683.6109,658802.1148,659057.4745,658443.3042,658932.5446,658868.0777,659470.4697,659948.5093,659321.8605,659221.3121,658808.4157,659455.5036,658846.4575,659999.731,658812.7262,658997.8243,659011.2581,611660.7917,610786.8842,611061.452,611034.24,611224.5875,611431.6909,611605.8467,611869.1303,611573.1479,611366.1145,611746.0346,611687.2783,611640.7326,611871.6918,611046.3213,611428.8685,611298.201,611419.174,611268.0894,610955.7564,609447.4867,611578.8685,611332.7337,611361.8153,611163.2862,611962.2357,611502.2763,611870.7548,611538.0287,611547.9626,2000000,658600.8,659108.6,611180.4,611510.5,0.9277841,0.9279969
io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybePerf.flowableConvert84,71.20906968,71.24584429,71.25339616,71.32088432,71.42776815,71.32823949,71.39236672,71.40715226,71.4335294,71.410404,71.32194018,71.47351636,71.384871,71.46057591,71.42060406,71.26978186,71.27979275,71.26424224,71.18785133,71.28023408,71.61629301,71.43158984,71.48642224,71.48843221,71.52565559,71.42705608,71.27593973,71.38706424,71.4750451,71.45606762,67.05275803,67.12714075,67.00138265,67.05403123,67.13192473,67.16644826,67.14659279,67.11577921,67.07186311,67.11933698,67.14286513,67.14473918,67.06225918,67.07652733,67.08839285,67.10451786,67.18384501,67.03054236,67.17450115,67.1816221,67.20950572,67.18764274,67.19892212,67.15338963,67.14162667,67.03500701,67.18637847,67.17715668,67.25362938,67.1746279,1400000,71.33499,71.40759,67.10363,67.14405,0.9402935,0.9406834
io.reactivex.rxjava3.xmapz.FlowableSwitchMapSinglePerf.flowableDedicated120,214854.2347,214983.7443,214839.8154,214723.1428,214818.1465,214662.8375,214593.8354,214797.0382,214435.4426,214684.7279,214801.2324,214720.0989,214781.111,214752.5934,214685.9466,214877.6468,214551.6788,214850.675,214847.5918,214569.6693,214454.9111,215045.0012,214809.2636,214931.9517,214937.6023,214863.1795,214809.5704,214723.9126,214867.4371,214762.8686,202696.0125,202694.6004,202619.7414,202812.2262,202451.6664,202662.5363,202749.3955,202694.5893,202458.1473,202351.827,202604.268,202762.7256,202698.1978,202705.3497,202549.198,202685.8512,202748.4965,202814.5889,202614.7239,202639.7043,202728.7422,202829.3695,202563.6393,202599.9815,202632.9106,202558.0075,202508.3738,202651.802,202523.9078,202792.5108,543,214703,214807.4,202608.1,202690.5,0.9435924,0.9436667
io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybePerf.flowableDedicated87,10382.15259,10376.63174,10392.13848,10390.01529,10377.31996,10390.68329,10386.63519,10378.62523,10379.06767,10376.12781,10386.30192,10385.29286,10388.8534,10379.83018,10379.93238,10389.46312,10390.81746,10383.33533,10367.87291,10392.26519,10378.86687,10392.08866,10390.11846,10377.83493,10383.79691,10391.69206,10379.51653,10388.9139,10386.22758,10383.8667,9809.539042,9812.920475,9816.455535,9810.477187,9812.491162,9822.604394,9790.037137,9805.954586,9810.499533,9822.808119,9804.511115,9807.124603,9805.514302,9809.956164,9793.610815,9807.780735,9793.6694,9815.873607,9817.862573,9809.220647,9818.793452,9805.312031,9805.720474,9808.638551,9814.598436,9807.908783,9811.060157,9808.198028,9814.256203,9808.761954,2700000,10381.68,10386.16,9806.034,9811.756,0.9445507,0.9446957
io.reactivex.rxjava3.xmapz.FlowableFlatMapSinglePerf.flowableConvert93,729.7220861,730.5076101,729.6572253,730.3700544,730.5146753,731.4861675,729.1482564,729.4005203,728.9074465,729.7899949,729.5655423,729.9102958,728.4807404,728.9296419,728.7171648,730.0507931,730.2388633,728.7146317,728.076939,728.6795916,730.3770359,729.0958286,730.4108112,729.0597404,727.743653,729.6043509,728.8411425,730.797816,730.7125516,729.7665929,689.9379709,691.7939263,688.890711,687.6098048,690.8338655,688.8047321,692.3620853,687.4864696,690.5979573,689.5677886,689.8148951,689.9322278,690.2761336,688.4762912,689.1540489,692.276672,692.4514019,692.3834748,692.3085084,691.9626124,692.2314023,692.3307135,692.8313053,690.3997899,692.3916612,691.9885556,692.4599989,691.4438247,692.497256,692.1865507,1293630,729.2017,729.804,690.1946,691.3472,0.9465072,0.9473054
io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow153,71.61762199,71.49356653,71.54635696,71.55003379,71.41649184,71.492509,71.59671112,71.51429394,71.4676138,71.55055014,71.43687015,71.55124896,71.4621014,71.25840015,71.46597919,71.46908674,71.41388319,71.42650856,71.45367825,71.45920191,71.35836556,71.58121197,71.5359955,71.4928053,71.47605656,71.61104646,71.55379675,71.56549681,71.57778597,71.33658983,67.87747098,67.75680376,67.75801782,67.69371828,67.64801352,67.65905722,67.75349962,67.75188994,67.89182209,67.74524199,67.85192688,67.80579829,67.75538301,67.50789981,67.46515072,67.86602934,67.75112822,67.69144756,67.82345243,67.82029007,67.79632175,67.73515514,67.7267593,67.83274392,67.89094664,67.84305635,67.75532023,67.86920383,67.82567614,67.74853809,1440000,71.45352,71.51167,67.71357,67.79039,0.947659,0.9479623
io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow154,7.154403565,7.043093949,7.068810388,7.043241112,7.119205762,7.146610121,7.135870788,7.129157029,7.125812086,7.118844841,7.151534259,7.136969373,7.091808482,7.135701691,7.145325585,7.092755507,7.142535914,7.086157607,7.141335382,7.137306173,7.133237507,7.137202872,7.140874358,7.158424793,7.14581717,7.151392215,7.12774747,7.147329463,7.148543631,7.149620448,6.720909643,6.770323321,6.671966311,6.741032375,6.745706957,6.77457268,6.760231718,6.758925524,6.743167556,6.752384809,6.770134791,6.7597338,6.770685115,6.744986937,6.745543768,6.771890861,6.764506929,6.762234937,6.772151943,6.766266954,6.764831778,6.771729947,6.764781034,6.760853658,6.760906217,6.77136292,6.771486013,6.776029006,6.778649984,6.720443166,1234640,7.113194,7.134402,6.749133,6.763362,0.9479931,0.9488159
io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybePerf.flowableConvert85,7.138478923,7.130458098,7.116799882,7.108430929,7.09982562,7.135541276,7.092174482,7.11761641,7.080778071,7.127121083,7.112070956,7.145008652,7.115013598,7.089497326,7.073540044,7.097603312,7.114372871,7.1317823,7.147079178,7.127998582,7.125395604,7.114222037,7.112575372,7.128057952,7.114558516,7.094739536,7.120419423,7.085154757,7.12079635,7.082324158,6.73023608,6.679282604,6.667509402,6.707345581,6.758866769,6.760322292,6.755970332,6.77365848,6.771672228,6.776682407,6.767690307,6.757686663,6.780734238,6.773148331,6.716182219,6.771171247,6.764512976,6.779066534,6.735352385,6.767938364,6.766181473,6.792125676,6.777661,6.764289178,6.757945692,6.768954485,6.74808077,6.75839416,6.723880402,6.728889127,1265800,7.107149,7.121082,6.744103,6.764659,0.9489181,0.9499479
io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybePerf.flowableConvert82,7088.96589,7085.344793,7088.246247,7086.588118,7080.605015,7094.314951,7094.544724,7096.871377,7086.253288,7084.413644,7091.778824,7083.045802,7091.042326,7085.486696,7091.115461,7090.523257,7090.219029,7090.703982,7081.662147,7089.347459,7092.134535,7086.00371,7090.099414,7089.580007,7092.116001,7089.312517,7091.315458,7092.961512,7079.893675,7087.923288,6746.449295,6755.851208,6752.169311,6752.789961,6759.074548,6750.201098,6743.368611,6753.822127,6747.828852,6745.874572,6749.682759,6756.175441,6755.328225,6744.450678,6754.072232,6744.772188,6747.222512,6749.814915,6764.510834,6750.340118,6753.674787,6754.160849,6755.104632,6741.79936,6733.716628,6715.743666,6737.155401,6742.524891,6732.600111,6751.112362,1515700,7087.346,7090.215,6746.283,6752.075,0.9518772,0.952309
io.reactivex.rxjava3.xmapz.FlowableFlatMapSinglePerf.flowableConvert95,7.190241929,7.141931988,7.165959961,7.175577938,7.114927122,7.177209523,7.171348668,7.172871653,7.168023112,7.183323814,7.181740174,7.181876373,7.18545348,7.184916296,7.184008387,7.17168053,7.167001414,7.187352199,7.173067033,7.184310815,7.155197616,7.178883073,7.183076451,7.169242933,7.177897414,7.165319306,7.188438725,7.1897234,7.188654423,7.184733503,6.816799568,6.815428365,6.829693879,6.818509536,6.820439164,6.822533088,6.837064541,6.795576296,6.813828118,6.834184005,6.785414931,6.791770741,6.826218432,6.813449722,6.843431084,6.83158326,6.855099075,6.845990971,6.847990398,6.855592504,6.855662104,6.850580227,6.852000671,6.853287528,6.854982053,6.843513938,6.829711831,6.803883541,6.839643699,6.851224811,1500000,7.168776,7.179304,6.822835,6.837383,0.9517388,0.952374
io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapSingleAsFlow165,731.0752257,730.8360143,729.3782634,730.7412263,730.0903534,729.9199681,730.5151038,729.9347879,729.8251514,730.8287895,730.3432585,729.5961306,730.0895717,729.2041575,728.4677298,728.7745164,729.3570812,728.4223465,727.9312477,726.7628914,725.3441308,730.6338188,729.7527109,730.1030472,729.3077491,728.9863707,729.7577445,729.7737315,729.0974423,729.362167,695.9644988,694.5539658,694.4585605,693.5123831,694.168016,694.2582011,695.6195566,695.1392799,694.9618327,694.4899673,695.2370823,694.5426173,695.3069945,694.6193437,695.1250503,694.1119982,693.6826118,693.3463013,695.270286,694.4738,694.3799291,693.4398511,694.7044512,693.5476155,695.2206479,694.7741859,694.9819376,694.3958804,695.1825835,694.8590395,1490000,728.9541,729.8423,694.3521,694.8238,0.9520192,0.9525321
io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert75,11629.50216,11597.08484,11638.26972,11624.17436,11656.14805,11636.0662,11627.46259,11634.30438,11659.39494,11616.49942,11629.64154,11614.97545,11671.88552,11691.95469,11660.14589,11678.33705,11630.34834,11645.30999,11643.42348,11626.62927,11619.13313,11648.81077,11636.13481,11638.7604,11656.73167,11654.64516,11669.55595,11647.75413,11638.29685,11633.41571,11095.73448,11104.70676,11102.12393,11084.0089,11096.56105,11079.91168,11104.88295,11116.47328,11094.61611,11083.70825,11102.84093,11087.74474,11141.50984,11088.61219,11113.78052,11093.96688,11095.43949,11092.99504,11080.19581,11078.87855,11112.33608,11094.90871,11089.19623,11099.89161,11097.10848,11103.46462,11085.47775,11092.83042,11092.9634,11084.34469,2852000,11634.68,11649.96,11092.51,11102.43,0.9529985,0.9534009
io.reactivex.rxjava3.xmapz.FlowableSwitchMapSinglePerf.flowableConvert114,9614.961532,9620.986039,9613.211318,9606.746766,9608.726171,9601.011016,9610.524784,9620.285357,9613.365526,9610.326205,9606.535176,9609.488783,9617.570102,9603.904178,9609.288682,9608.177838,9609.769592,9619.68636,9612.720084,9617.833246,9605.06819,9608.33047,9618.810518,9606.358206,9615.070236,9610.049304,9616.86744,9621.763228,9610.572196,9610.437535,9180.947471,9181.484613,9195.887318,9182.302137,9176.62031,9179.084316,9193.713974,9187.141708,9197.072553,9186.487335,9192.421542,9187.273711,9187.552142,9196.88159,9184.343475,9181.075215,9183.834379,9198.125845,9174.073151,9187.123355,9196.653592,9198.040652,9188.179711,9185.574445,9158.720472,9188.851734,9121.462869,9191.702323,9168.396466,9143.881655,3835039,9609.734,9613.628,9180.274,9189.131,0.9553097,0.9558443
io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybePerf.flowableConvert109,9487.087868,9499.934163,9487.745683,9486.553585,9495.757955,9481.267905,9501.75711,9487.96966,9494.335966,9488.944932,9472.468378,9493.023752,9490.971324,9485.955814,9503.694287,9486.570867,9502.074395,9491.146047,9481.672566,9490.409803,9500.714879,9499.671972,9499.138653,9496.329415,9505.199297,9489.897314,9502.166063,9488.25862,9470.439556,9486.129601,9087.919148,9077.767305,9081.311494,9074.563905,9076.298267,9072.621249,9099.055223,9082.237201,9075.328406,9079.967994,9080.285224,9078.16818,9096.811007,9082.853168,9076.223175,9081.605356,9079.786614,9087.758603,9093.855987,9076.929952,9089.030153,9090.319618,9084.870987,9082.426333,9097.831884,9082.404076,9089.557923,9076.934997,9080.917428,9079.710651,3944400,9488.819,9494.722,9080.779,9085.846,0.9569404,0.9569985
io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapSingleAsFlow164,70859.60964,70858.62645,70914.51259,70813.32924,70845.34504,70846.58088,70801.6592,70825.98621,70819.78854,70838.63737,70834.37552,70901.91491,70939.77446,70857.36234,70866.55786,70738.32634,70838.82171,70798.29339,70876.1517,70912.06791,70957.27914,70885.83497,70850.06302,70832.41703,70859.88277,70845.98641,70819.57288,70769.08341,70905.14607,70842.42163,67958.18316,67923.58164,67883.07822,67896.89185,67936.49036,67896.90679,67894.27188,67890.11592,67798.7365,67874.36034,67825.88346,67812.57636,67946.41769,67832.87548,67926.47337,67932.13452,67846.65038,67930.38724,67870.45495,67915.01007,67881.7016,67971.69882,67867.92548,67892.66817,67903.95804,67931.49336,67887.78913,67904.6481,67894.21957,67933.1341,1588000,70835.88,70870.05,67876.06,67908.03,0.9582017,0.9582172
io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapSingleAsFlow167,7.257839445,7.151213809,7.160395573,7.222351476,7.154697336,7.169530729,7.228396503,7.210708045,7.169126506,7.092515645,7.231091594,7.250112287,7.254932598,7.267650231,7.258453893,7.270331685,7.23137618,7.263547951,7.265486251,7.252210315,7.25036444,7.247091333,7.258250461,7.269413134,7.262772982,7.255476849,7.27516401,7.271705043,7.259770562,7.276509404,6.931954445,6.939162853,6.930855903,6.940424045,6.938539486,6.93888888,6.898557172,6.897318991,6.923226096,6.900934511,6.881920443,6.907734359,6.929543568,6.938815826,6.901253313,6.930742099,6.932477695,6.922017027,6.940146807,6.934520368,6.936331304,6.909653564,6.941560226,6.927524831,6.932173603,6.933403199,6.944170033,6.939938841,6.938655953,6.919055902,1256400,7.213525,7.245844,6.918144,6.930095,0.9564261,0.9590525
io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybePerf.flowableConvert111,9.211932487,9.304599444,9.307047415,9.291720599,9.268554856,9.270798777,9.297034375,9.269066842,9.244258498,9.210267357,9.212727649,9.30664428,9.309677126,9.307940001,9.299533152,9.239110735,9.308983964,9.277630927,9.276333881,9.31355441,9.271469407,9.320039048,9.306047264,9.30305379,9.327528346,9.312779692,9.285747318,9.327287868,9.316398014,9.331984077,8.806391793,8.850855256,8.789161447,8.806029474,8.815860046,8.807416339,8.805960045,8.813491536,8.848933798,8.868407641,8.863928434,8.866508394,8.893581555,8.965370164,8.955977252,8.992647845,8.938413074,8.974308117,8.980966628,8.974271696,8.97551476,8.97915078,8.965835987,8.971360376,8.956423382,8.977015698,8.97522154,8.989363345,8.979165588,8.98731174,3492129,9.270968,9.295167,8.882191,8.933398,0.9580651,0.9610769
io.reactivex.rxjava3.xmapz.FlowableFlatMapSinglePerf.flowableConvert92,7291.014314,7301.850883,7305.208989,7296.939964,7295.756271,7293.692137,7294.80748,7298.457909,7299.744963,7302.159359,7288.284083,7292.299254,7302.700813,7301.009436,7298.488595,7300.694906,7293.141525,7302.485282,7292.021783,7292.979487,7295.703422,7296.971384,7293.687581,7293.980644,7300.327451,7303.785768,7298.352412,7298.905639,7297.545643,7302.064325,7012.882616,7016.714117,7011.653819,7024.430489,7019.022075,7014.637344,7022.62021,7027.600559,7017.070565,7021.186849,7023.850055,7026.254973,7015.984689,7022.731231,7019.992912,7019.715013,7024.955396,7019.079432,7011.829852,7016.896102,7024.639903,7017.784639,7026.512853,7019.090569,7033.48683,7025.313103,7022.753953,7019.796028,7032.093374,7022.71657,1430000,7295.709,7298.792,7018.869,7022.442,0.9620537,0.9621372
io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybePerf.flowableConvert108,93714.70673,93665.29005,93641.97056,93642.20491,93660.97633,93641.80727,93638.42928,93641.83414,93651.25415,93680.04796,93684.05725,93674.95584,93657.51558,93618.03933,93705.39264,93683.89636,93694.64561,93566.42785,93682.85689,93600.50021,93712.39643,93680.09593,93674.2155,93698.88324,93749.37948,93803.11974,93729.4783,93672.82595,93700.77994,93671.23426,90289.84094,90361.71707,90366.13884,90317.58838,90205.97006,90284.285,90291.60544,90373.86047,90079.46408,90257.41851,90372.38823,90460.86572,90295.10701,90321.04254,90301.74913,90379.04109,90324.36136,90364.4116,90180.46546,90289.65838,89949.28244,89969.69118,89730.0803,89911.80679,90295.72088,89909.45226,89842.35343,90132.3,90126.57862,90261.62909,4000000,93654.61,93684.72,90168.23,90291.03,0.9627741,0.9637753
io.reactivex.rxjava3.parallel.ParallelPerf.parallel71,926.6211815,958.0255998,947.7008004,911.9117847,911.0881092,931.6887321,916.7766265,913.827886,913.9588163,924.8167771,899.6362132,949.0028192,930.2200709,947.7376255,910.5730924,960.4206503,937.0400175,942.1376285,913.5450701,908.3394029,913.1036418,909.1029027,893.0969745,890.6644253,891.261637,941.6239079,932.7472964,904.1839839,870.3845067,907.1928406,852.2752694,851.3064338,860.307076,894.9965907,896.728337,893.4183266,904.1435609,891.9770192,898.161716,906.1231736,914.2700705,901.1357351,892.111219,878.689053,892.9586192,895.6834565,904.381226,918.5470406,920.4485188,909.1284604,885.0513833,921.4748496,890.4008261,907.3271199,861.6654076,907.8533368,868.1139456,825.3679671,849.9816115,869.6431428,1315,915.769,930.2911,885.0531,900.0485,0.9664913,0.9678459
io.reactivex.rxjava3.xmapz.FlowableFlatMapSinglePerf.flowableDedicated97,104464.0435,104338.5131,104285.7682,104316.8981,104382.4727,104458.1293,104356.8527,104342.9454,104132.4678,104396.299,104426.3594,104308.5909,104379.9899,104185.4058,104322.9538,104281.391,104326.9465,104346.1634,104347.7828,104332.9873,104353.4142,104315.5849,104318.5059,104404.3997,104306.4132,104286.5717,104398.6738,104333.2248,104362.9555,104321.1377,101024.0747,100980.9376,100944.888,101017.9977,101068.1717,100902.143,100923.7945,101020.932,100977.543,100908.115,100965.2851,100997.6844,101085.5891,100962.0548,100977.8204,100965.8128,100897.9769,100940.4951,100916.3728,100984.7761,100956.2597,100994.1773,100988.7197,101016.8604,100971.5574,100998.082,100982.2412,101089.6253,100971.7722,101000.9887,262,104308.6,104359.2,100960,100994.1,0.9677563,0.967897
io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybePerf.flowableConvert110,92.97859345,93.11801484,92.74678449,92.57726527,92.88088036,92.76674766,92.63657578,92.8396456,92.0568372,92.83204094,92.9630274,92.31463244,92.86686421,92.48579857,92.93395463,92.76844486,92.79657247,93.12534165,93.17995194,93.08069217,93.04776637,93.10907234,93.10122304,93.02177511,93.01171859,93.12604171,93.0641158,93.06532659,93.00610164,92.929506,89.83830148,89.80174415,89.83673485,89.76863221,89.84540427,89.92736737,89.95607553,89.8379677,89.70762178,90.00315467,89.98399608,89.70400218,89.94485948,89.69273261,89.73122179,89.87815461,89.81633969,89.99362799,89.83936461,89.78060708,89.71311334,89.73069781,89.72134676,89.97791789,89.60688064,89.70661899,89.95460225,89.95274324,89.8564605,89.83640037,3867100,92.75482,92.94384,89.79218,89.86809,0.9669071,0.9680598
io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybePerf.flowableDedicated88,1019.516522,1019.847324,1020.640682,1019.261339,1019.234291,1019.448997,1019.731232,1008.893232,1018.919859,1019.639766,1019.060373,1019.883349,1019.140996,1018.301513,1018.907582,1019.673718,1018.317365,1019.046195,1019.918974,1019.778883,1018.631862,1019.514096,1018.973881,1019.085073,1019.146651,1019.147594,1019.743391,1020.540731,1018.668103,1019.170119,988.5371788,989.4954207,987.7381072,988.1984732,985.608735,987.0283249,988.087134,984.9617115,988.7386724,984.2304637,983.9372612,983.8193078,982.6064553,989.1380809,986.3111317,990.2527157,985.451671,984.4054762,987.5817512,990.5059238,989.614378,988.6706323,989.0139165,988.2510846,988.9357617,989.2253525,989.4809984,989.7545033,989.0433024,988.9216423,2696700,1018.048,1019.454,986.3859,988.0687,0.9688215,0.9692133
io.reactivex.rxjava3.core.ToFlowablePerf.flowableInner47,3.106925645,3.103804297,3.105306563,3.103056864,3.105503626,3.105626534,3.107298309,3.101608211,3.101173178,3.104859468,3.103870462,3.104934829,3.104694526,3.105853563,3.103566344,3.106933801,3.105138486,3.110608628,3.106259316,3.104346258,3.106786435,3.103376499,3.10695763,3.102347668,3.106030354,3.105065472,3.102788909,3.0946537,3.102249712,3.102881755,3.014878042,3.015809834,3.006812036,3.0083824,3.015888627,3.017666722,3.012769665,3.014957936,3.016345276,3.017550476,3.017690777,3.016870185,3.017065461,3.0170709,3.015749662,3.013345097,3.015446299,3.017964615,3.015882924,3.01315092,3.016122422,3.015087721,3.009940563,3.015617444,3.015620279,3.013037883,3.011164484,3.016972787,3.016593081,3.01189357,832534,3.103981,3.105676,3.014032,3.01593,0.971023,0.9711019
io.reactivex.rxjava3.xmapz.FlowableSwitchMapSinglePerf.flowableDedicated121,22002.23053,22003.79416,22017.46466,22003.15576,22020.32457,22002.71785,21995.82191,22014.53479,22020.78527,22003.85222,21985.25215,22023.28844,22013.45468,22026.19061,21985.823,22001.58813,22015.62695,22000.24082,22018.47235,22009.70281,22005.69158,22002.41971,22017.99312,22018.69266,21976.61556,21968.17466,21981.00867,21976.2832,21896.40078,22001.93095,21429.43643,21407.95413,21437.13401,21425.39154,21405.79985,21382.66251,21388.62723,21418.28151,21406.21441,21412.91576,21425.19705,21407.47894,21420.57023,21422.96657,21416.02461,21396.98192,21429.39603,21417.81318,21423.69951,21410.01992,21408.36156,21413.28535,21421.4482,21397.54288,21407.94237,21429.9358,21439.49925,21428.08437,21403.89027,21407.67288,5,21996.95,22010.38,21409.69,21419.05,0.9731349,0.9733028
