BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.internal.operators.observable.ObservablePublishTest.observeOn1731,0.382300141,0.487691697,0.57389245,0.359684787,0.410553479,0.415924697,0.484857277,0.422039557,0.381746141,0.355878959,0.446322911,0.406637555,0.451578543,0.309469298,0.436775335,0.396819883,0.542772959,0.364239507,0.41195871,0.361935484,0.436657914,0.380875218,0.466677141,0.404013787,0.341575013,0.353867714,0.377878216,0.362791938,0.428308851,0.407417567,0.281796234,0.363207287,0.264221662,0.28038469,0.278696632,0.266657333,0.264601196,0.292790359,0.253828315,0.35109005,0.3299562,0.319060992,0.295365174,0.334036346,0.289211584,0.308921488,0.267472072,0.297274203,0.238625299,0.28120182,0.413113962,0.270418752,0.286703557,0.342193793,0.284230829,0.309860756,0.293947887,0.249545209,0.349160979,0.294581778,3,0.3882641,0.4428855,0.2821721,0.3176326,0.7171682,0.7266704
io.reactivex.rxjava3.flowable.FlowableBackpressureTests.firehoseFailsAsExpected93,205.95875,187.180487,164.6577491,134.0923956,140.8832017,238.9208832,139.7442938,147.7743734,193.9389019,212.9308665,292.7510543,185.9701892,164.6640055,204.7780114,271.51506,289.0305609,247.5852071,201.7721978,180.2305637,231.6729702,227.5502226,228.2063215,193.1153594,262.4490418,230.9318215,154.8936969,175.510378,149.7903737,136.1306,142.9263644,181.7263604,201.9981559,166.5048921,136.9662265,121.348216,138.2600444,164.9773508,133.5070157,172.9501605,123.5036032,170.9677737,156.1665322,153.2549367,162.8608084,136.1632225,205.8691753,230.0235676,148.1363199,125.4271413,150.0460085,136.2750146,162.8639029,105.5295777,238.6019658,136.2043713,112.5382079,166.9113244,116.5119344,103.7165195,144.1618966,100,183.983,226.6353,142.2108,172.4832,0.7604303,0.772608
io.reactivex.rxjava3.internal.operators.flowable.FlowablePublishTest.observeOn1603,0.308755166,0.349403052,0.346801332,0.351838097,0.316439579,0.355615765,0.332187304,0.292637177,0.339104436,0.318680691,0.324097817,0.37849067,0.321783171,0.341056832,0.335332081,0.287321738,0.350868881,0.332667875,0.307753098,0.467145875,0.315652358,0.346844307,0.320379558,0.342477473,0.301467084,0.370489999,0.404503742,0.451657713,0.334659749,0.316183451,0.264803973,0.267664618,0.2651913,0.258390839,0.27971279,0.280657219,0.288189844,0.248591969,0.224854623,0.281379362,0.346996146,0.266297514,0.258768876,0.370624267,0.274479675,0.279185392,0.260092094,0.304905705,0.250449478,0.195261902,0.218195854,0.298707774,0.273305244,0.354269749,0.293253048,0.23078984,0.292921161,0.258587601,0.318205069,0.236269065,4,0.32377,0.3591536,0.2577949,0.294487,0.7962174,0.819846
io.reactivex.rxjava3.internal.operators.single.SingleConcatTest.concat296,1040288.796,1030429.207,1014687.334,1026528.779,1047955.282,1041123.487,1034487.02,1037334.163,1032652.278,1032299.644,1046071.149,1044369.032,1035757.046,1045095.219,1043968.123,1045711.506,1045036.253,1042533.539,1046014.634,1051786.107,1045448.961,1045606.139,1043727.401,1037680.293,1039059.704,1038305.169,1036753.917,1040846.603,1037979.631,1036828.24,900884.6339,899946.1955,901285.0674,901601.8084,898782.6532,900163.4423,899380.6983,899517.3784,898416.5891,901240.3426,900130.3064,895049.1137,894095.5801,896141.6163,891735.6817,897418.6643,899112.0324,899750.0198,899072.5653,902056.9775,902813.6373,902399.9096,900331.3357,901562.7186,901062.0819,903583.1554,901280.1869,902679.4861,902113.2743,902002.7099,99,1036392,1043267,897904.5,900551.6,0.863203,0.8663756
io.reactivex.rxjava3.internal.operators.flowable.FlowableDoOnEachTest.onErrorAfterCrashConditional2249,17151.61173,17145.95928,17164.56399,17156.8841,17144.12978,17199.99158,17166.18833,17109.46505,17143.83453,17164.75389,17115.54276,17178.07596,17121.68613,17172.24697,17155.55281,17154.63706,17186.92304,17154.47644,17163.12799,17199.66774,17173.37587,17185.78853,17172.65413,17186.0064,17127.9229,17170.55697,17082.69472,17113.78174,17115.78506,17138.41257,14918.64946,14907.75949,14890.17137,14903.64459,14908.74067,14921.20078,14885.85899,14937.93489,14911.13565,14889.78268,14883.44154,14875.53822,14880.41139,14852.42597,14859.23887,14936.75262,14894.6076,14917.35497,14878.96605,14879.73594,14875.2074,14874.11479,14866.6462,14911.88239,14887.96006,14877.89334,14862.25831,14882.52678,14880.17193,14884.4867,1,17144.35,17168.73,14881.58,14902.68,0.8679683,0.8680234
io.reactivex.rxjava3.internal.operators.observable.ObservableConcatTest.concat1613,8206.233904,8218.023007,8226.278372,8243.57877,8253.920945,8282.329603,8252.592727,8226.743207,8233.721653,8259.278029,8268.413101,8287.451841,8272.412927,8229.463715,8220.676249,8271.209564,8260.809919,8295.559401,8259.309798,8295.287828,8278.304394,8284.945665,8268.253431,8282.527194,8234.519631,8223.546053,8246.183753,8226.341076,8225.082799,8265.98234,7146.645503,7182.864601,7169.363428,7178.861554,7158.042204,7163.497951,7169.355852,7170.019612,7170.369616,7143.376768,7155.327027,7162.865223,7172.361029,7160.176239,7167.014836,7154.050643,7188.537226,7172.266391,7202.31998,7173.833631,7188.811532,7163.573947,7161.624488,7139.571015,7152.077879,7169.932928,7158.163895,7154.12858,7162.048292,7155.155449,4,8243.537,8267.386,7160.415,7173.377,0.8676744,0.8686108
io.reactivex.rxjava3.internal.operators.observable.ObservableStartWithTest.runSingleError2157,53571.97848,54416.25046,54241.03564,54191.18665,54342.36272,54293.74724,54247.62091,54375.62782,54349.54538,54194.31546,54024.83674,54255.1483,54240.93584,54245.81063,54223.78884,54283.81603,54417.59243,54460.62015,54428.00453,53341.43698,53954.81058,54423.39138,54359.1449,54347.70871,54312.60979,54430.93301,54324.03985,54339.81202,54172.0034,53236.19852,47143.43173,47258.65389,47349.79085,47384.01271,47439.89132,47180.7105,47170.85147,46818.7752,47367.68451,47165.86907,47186.91724,47275.37308,47202.39497,47355.93451,47390.11189,46954.29986,47364.01831,47413.46766,47309.00079,47381.02511,47031.95311,47320.6639,47191.1545,45974.37241,47448.51255,47025.80049,47395.813,47167.23305,47404.71466,47003.92001,2,54074.72,54322.06,47070.79,47308.82,0.8704764,0.8708929
io.reactivex.rxjava3.internal.operators.observable.ObservableZipIterableTest.dispose1870,91762.74102,91910.31465,91606.64084,91839.22417,91125.03081,92033.62201,91947.97871,91757.68417,89477.7052,91080.12197,91076.80167,91817.17481,92069.39973,91830.44772,91825.72598,91868.20101,92045.77624,91582.84641,91775.49101,91809.37767,91512.55044,91760.32568,91692.87352,91775.07341,91535.56306,91927.37674,91654.12305,91668.31953,91797.388,92069.11928,80001.98709,80344.56157,80107.89592,78113.94157,79472.4923,80133.28583,80244.39208,79421.45101,80371.81221,80294.74245,80224.66939,80317.69172,79562.33737,80157.65268,80192.42647,80232.15245,80250.1294,80242.15455,80252.83108,79999.8317,76964.61008,80316.84817,80291.94152,80058.08376,79445.7905,79949.398,80224.63482,80247.93442,79932.77436,80277.7742,2,91357.42,91821.82,79529.48,80183.98,0.870528,0.8732561
io.reactivex.rxjava3.internal.operators.flowable.FlowableDistinctUntilChangedTest.conditionalAsyncFused1320,18819.8281,18788.50581,18811.30149,18883.20306,18889.18134,18798.63707,18839.3339,18840.52547,18822.91001,18765.74296,18757.43035,18759.0773,18742.71041,18790.57251,18747.99224,18837.45366,18864.22474,18815.18376,18841.77437,18822.20445,18827.92232,18763.09743,18803.93157,18800.2551,18729.43216,18807.35769,18829.16028,18825.98615,18773.32215,18873.08187,16413.44531,16433.3445,16467.80378,16461.29792,16480.655,16540.66082,16487.98409,16484.41609,16477.10353,16482.89531,16449.99538,16509.18242,16439.71456,16470.86839,16417.47919,16452.89891,16429.58617,16433.86315,16405.04598,16414.70324,16436.92554,16438.00347,16427.22634,16484.47552,16465.47102,16510.31762,16395.37126,16467.3341,16444.86556,16438.94822,8,18787.66,18825.9,16440.17,16471.04,0.8749137,0.8750514
io.reactivex.rxjava3.internal.operators.flowable.FlowableDistinctUntilChangedTest.conditionalSelectorCrash1703,18212.85499,18284.94289,18270.20166,18232.49513,18249.74937,18238.23205,18229.39003,18189.29179,18218.87191,18242.2509,18218.7432,18250.77905,18264.35988,18255.8382,18238.88505,18205.85607,18236.71637,18226.98626,18193.48615,18216.78222,18159.33123,18188.84184,18120.34236,18207.00873,18233.26229,18256.01832,18227.48364,18200.00865,18181.38613,18180.95985,16032.19773,15995.18319,16023.1264,16042.79943,16073.42243,16067.58754,16024.01514,16048.5804,16056.27621,15990.14563,16072.13869,16057.1591,16056.50028,16034.64961,16057.86388,16001.5409,16055.49125,16037.17595,16006.06374,16030.69176,16046.05128,16019.27665,16043.32036,16042.11784,16068.98207,15996.88515,16086.52202,16048.22812,16044.19402,15973.50478,3,18207.15,18238.6,16026.53,16049.89,0.8799973,0.8802289
