BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.internal.operators.observable.ObservablePublishTest.observeOn,0.42916725,0.54262297,0.63479607,0.40376107,0.45517945,0.46248753,0.54015947,0.46838191,0.4242737,0.39857994,0.5121002,0.46915857,0.51945585,0.35285198,0.48133223,0.45039108,0.60939259,0.4095685,0.45539722,0.40823047,0.49858793,0.43638785,0.52578834,0.46709707,0.37857252,0.39256271,0.41700572,0.40926679,0.4928696,0.45109426,0.33602662,0.42801282,0.31798602,0.33798599,0.32700836,0.31325367,0.3072117,0.3518686,0.30692283,0.4076951,0.38632493,0.38716526,0.34626931,0.4005692,0.3389801,0.36268766,0.3146796,0.35149526,0.27728414,0.33177145,0.49719124,0.3273939,0.33386668,0.41547029,0.34166444,0.36884476,0.34881938,0.30173009,0.42135478,0.35414355,0.4371568,0.4978128,0.3349245,0.3769718,0.7575023,0.7663399
io.reactivex.rxjava3.flowable.FlowableBackpressureTests.firehoseFailsAsExpected,218.334798,198.828859,171.618592,141.495281,149.856362,260.906947,146.257344,160.957068,210.333658,223.242379,307.641569,200.476783,179.782719,219.262279,290.189172,309.974692,260.741547,211.858315,193.0552,246.93396,246.04325,241.227903,208.3348,277.489866,252.034638,166.223523,187.303026,158.028018,145.370959,150.487875,206.037485,228.439792,191.300108,150.877055,133.679751,152.646203,181.052762,148.398666,194.418412,140.187028,190.838105,178.557686,173.786534,186.622211,156.435693,232.289464,256.015566,164.114724,139.553843,165.353657,149.553951,185.38296,120.551286,267.077273,152.912764,127.414131,190.727109,132.545612,116.646427,165.351166,195.5163,241.1889,159.3695,193.6508,0.8018819,0.8157442
io.reactivex.rxjava3.internal.operators.flowable.FlowablePublishTest.observeOn,0.36409259,0.40834454,0.40966567,0.41455637,0.3663869,0.42284678,0.39428014,0.33392074,0.40180827,0.37077267,0.37499958,0.44293354,0.38256387,0.3914728,0.38711781,0.33250623,0.4004201,0.3964041,0.35556395,0.54010501,0.3634048,0.40151009,0.36549758,0.39058236,0.35561661,0.43819462,0.47804491,0.52143303,0.3976993,0.3608027,0.32261163,0.32999914,0.33321476,0.31608175,0.35100413,0.34312354,0.35641769,0.30339017,0.28084895,0.34994466,0.42614052,0.33217283,0.31883067,0.46050088,0.3349207,0.3453133,0.31476059,0.38254618,0.31310876,0.24099871,0.26584062,0.36989767,0.33101291,0.4280644,0.36518547,0.27734665,0.36676586,0.32078194,0.39958674,0.29574772,0.3764725,0.4182663,0.318325,0.363731,0.8457784,0.8698804
io.reactivex.rxjava3.internal.operators.single.SingleConcatTest.concat,1194499.03,1191345.64,1163213.97,1188760.69,1212351.04,1152472.35,1184658.76,1184592.75,1169170.55,1161905.29,1169522.57,1205943.69,1176170.48,1153551.72,1184978.24,1212908.05,1204615.66,1203530.19,1211382.63,1189219.26,1159729.67,1175881.14,1186914.92,1190067.61,1160607.89,1203678.48,1155123.84,1190302.26,1203330.12,1196361.26,1051167.71,1051076.72,1047194.58,1048886.02,1081126.89,1094305.94,1060155.63,1051954.07,1063013.67,1094156.91,1045775.7,1056057.93,1060335.38,1073158.46,1051424.25,1045504.75,1047689.61,1070753.05,1069454.19,1082145.96,1054130.64,1066655.85,1057973.57,1063909.98,1096005.04,1049859.26,1053047.45,1087094.08,1054689.82,1074861.07,1175626,1192952,1056105,1069879,0.8967995,0.8983343
io.reactivex.rxjava3.internal.operators.observable.ObservableConcatTest.concat,8508.80278,8603.06689,8532.3876,8564.4613,8524.30935,8513.88379,8695.03848,8667.0689,8595.48896,8581.04248,8763.63982,8481.26642,8602.69065,8362.01636,8568.23198,8547.4947,8753.81664,8701.44692,8342.11967,8374.13893,8713.28682,8781.19863,8652.33947,8645.74015,8522.1649,8617.22101,8708.29682,8704.87113,8554.29829,8491.50162,7897.73865,7667.93107,7928.38654,7715.89743,7820.77195,7827.54012,7612.81758,7912.89441,7681.24508,7684.47201,7951.12464,7638.15613,7984.81868,7628.02334,7939.20454,7843.6847,7785.85315,7733.68472,7790.01154,7780.67841,7823.63703,7779.7418,7699.58545,7580.73278,7812.11668,7845.39932,7690.09647,7659.73672,7764.97387,7727.509,8528.332,8638.609,7729.546,7835.118,0.9061434,0.906922
io.reactivex.rxjava3.internal.operators.observable.ObservableStartWithTest.runSingleError,56804.4331,55049.1582,54776.6773,57106.1033,56380.733,57639.31,57582.5642,55962.8238,56780.7534,56686.3339,56186.1804,56834.5097,54901.3414,54771.1687,57618.8288,57023.4234,55896.6996,57779.1519,57069.1289,54524.5361,54698.1496,57016.3095,55581.9221,56608.779,55133.3056,56906.65,55358.7896,56478.576,57010.7122,56145.2285,51337.6607,51514.347,51576.6701,52247.4525,52728.1472,51246.3604,52191.7342,51430.6926,51620.9332,51786.2881,50235.4388,51761.4319,51136.7784,50446.7192,51842.5422,51882.3622,50424.7114,51194.6482,51054.3938,52753.8443,50016.9066,52771.6077,52222.7693,49451.7221,51108.3655,50370.4725,51469.9802,50701.7483,51061.4614,50226.0496,55806.43,56749.71,50988.61,51748.99,0.9118616,0.9136227
io.reactivex.rxjava3.internal.operators.flowable.FlowableDoOnEachTest.onErrorAfterCrashConditional,19196.621,18803.9135,18788.1339,18699.4481,18816.3131,19376.0673,18613.4405,19207.6713,19056.2524,19051.0122,18497.3594,18758.6754,18600.2679,18845.4859,18524.128,19197.6152,18619.6608,19128.7806,19322.0622,18750.1387,18701.0232,19065.1608,19359.297,18483.5017,18487.5736,18755.9327,18885.4568,18802.2875,18453.111,19349.6278,17643.9571,17043.1227,17145.1279,16905.6891,17551.5431,17345.8633,17474.3627,17376.0009,17475.2139,17287.9157,17304.7088,17573.5195,17597.5667,17537.4565,17423.2805,17258.475,16926.9712,17406.6838,17597.1035,17157.4081,16940.5049,17594.8,17528.8305,17272.8922,17129.3993,16843.996,17244.0164,17234.7808,17564.577,17296.8193,18744.85,19010.25,17223.93,17436.57,0.9172195,0.9188099
io.reactivex.rxjava3.internal.operators.flowable.FlowableDoOnEachTest.doOnNextDoOnErrorCombinedFused,17496.5622,17078.4366,17491.2237,17424.5862,17481.1122,17240.9113,17451.2013,16885.3183,17061.5598,17366.1128,16644.446,17337.3867,17293.0255,17257.5083,17487.4786,17127.8727,16906.2602,17216.3796,17269.3111,17405.1924,16867.5348,16870.2552,17360.7216,16666.9238,16731.1461,17405.2384,17156.7945,17143.4565,17330.9531,16732.9263,16222.7211,15555.3482,16047.2225,16179.4226,15806.5483,15682.4896,16184.5675,15631.2777,16202.5252,15792.4316,15357.7039,15598.7986,15829.8475,15760.1878,15464.1887,15618.2443,15999.837,15776.0224,15752.2497,15630.9588,15559.1884,15949.2499,15971.9426,15950.1428,15659.0001,15987.9107,16051.3958,15411.2231,15692.0819,15720.734,17058.3,17294.16,15684.8,15906.9,0.9190506,0.919745
io.reactivex.rxjava3.internal.operators.observable.ObservableZipIterableTest.dispose,95720.9133,99619.5,96476.3449,96472.4144,98244.1575,98452.1911,97591.9108,98280.2046,97425.1072,99919.2268,99843.1108,98237.5339,98791.0033,96182.8227,97597.3707,98993.3425,98041.8452,96293.3035,98993.9432,100003.993,96106.858,98331.9773,98530.1088,96421.2806,95688.5911,97200.5605,99525.9622,99124.3931,95896.8229,99850.1483,90699.1933,89996.4745,88597.6085,87093.0342,91470.2237,91536.7256,89169.0168,89954.7748,89522.4573,90850.9451,90583.746,90493.5539,90377.8044,91587.2874,91857.323,91693.2747,88167.52,89950.0722,90775.0543,92129.4215,86277.1921,91190.3759,90740.9612,88211.885,89988.4358,91675.3981,90900.5641,88767.1314,91314.6968,90703.7125,97332.59,98551.25,89531.92,90836.96,0.9198345,0.9218456
io.reactivex.rxjava3.internal.operators.flowable.FlowableDistinctUntilChangedTest.conditionalSelectorCrash,20533.5463,20571.1275,21185.5324,20147.1518,20645.1946,20266.5781,20839.4858,20981.4752,20828.6069,20175.0247,20394.0553,20729.1082,20845.0088,20696.2569,20761.008,20706.0041,20857.2398,20500.8183,20327.5451,20398.335,21031.6571,20672.597,20020.977,20139.5435,20165.8316,20233.2354,20484.3222,21055.7266,20537.5492,20723.7078,18646.6641,19040.1016,19529.1714,18864.3609,18891.9935,19474.6767,18859.555,19231.1933,19011.321,18970.6951,18949.1702,18739.87,19312.5472,18976.8066,19153.6653,18819.202,19455.6724,19427.5005,19471.6069,19168.9202,18719.6723,19125.0833,19001.0437,19196.1231,18995.7839,19411.8854,18957.9301,18782.4975,19233.6345,18926.813,20458.06,20722.89,18967.53,19206.38,0.9265308,0.9271503
