BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.internal.jdk8.ObservableFromStreamTest.closeCalledOnCancel,1138294.239,1139770.041,1138717.033,1135183.843,1137979.534,1137854.242,1139579.032,1137648.556,1139040.623,1138920.849,1139533.882,1139897.772,1138557.119,1137395.488,1131513.383,1139454.107,1137792.125,1130631.634,1135743.03,1131049.892,1139784.611,1136508.849,1139417.428,1139176.484,1140399.628,1136368.229,1139603.858,1138711.649,1138597.554,1138659.776,1118768.178,1118332.897,1118828.712,1120160.131,1119576.033,1115272.52,1113215.438,1115418.222,1119782.438,1120053.061,1116337.608,1113723.855,1092083.897,1121389.165,1118875.026,1119077.214,1120069.351,1119624.512,1119488.835,1119382.798,1118516.505,1038248.269,1105935.415,1116896.229,1109884.812,1117598.96,1114874.432,1119618.18,1120226.232,1116326.438,1136097,1138648,1104961,1118502,0.9725941,0.9823075
io.reactivex.rxjava3.internal.jdk8.ObservableFromStreamTest.manyConditional,1137373.412,1137945.849,1137655.836,1139713.316,1079536.57,1059716.196,1119488.478,1138266.545,1138967.193,1139704.669,1140602.187,1140291.625,1137684.697,1137639.688,1137860.231,1139250.215,1139232.595,1137772.111,1139114.802,1066388.154,1117072.135,1135872.095,1138839.996,1139572.702,1139255.539,1138319.522,1137825.338,1139195.54,1138961.342,1138901.147,1141101.675,1134578.386,1137586.161,1135654.563,1141683.012,1141537.332,1143630.536,1142565.867,1142406.213,1140306.179,1137564.086,1141642.801,1142534.601,1141983.183,1144796.172,1143313.879,1144195.725,1142822.205,1143219.761,1133656.616,1132697.689,1139408.971,1141340.572,1142245.003,1143911.006,1141856.081,1142626.16,1140539.673,1142027.582,1140579.643,1118200,1138121,1139239,1142226,1.003607,1.018816
io.reactivex.rxjava3.internal.operators.flowable.FlowableCreateTest.createNullValue,43118.59555,42568.66531,43209.2476,43144.79264,43193.59417,43184.90957,43126.81619,43126.26668,43060.40395,43256.11925,43123.56943,43197.77139,43254.82635,43213.95576,41272.15851,43293.96642,43206.73101,43199.15753,42608.78223,43214.99143,43115.3232,43210.55612,43096.06386,43129.56688,43159.10386,42615.7021,41107.97102,43143.61171,43163.65076,43216.21093,43708.54695,43628.43797,43353.58988,43172.40615,43611.26786,43551.14239,43553.14865,43744.22442,43489.25509,43590.00302,43051.83373,43632.07149,43004.46685,43267.78765,43397.20061,43683.7033,43574.13579,43722.48356,43674.0429,43571.94274,43545.01652,43713.98683,43727.50069,43580.93088,43636.83839,43546.80015,43753.37905,43734.3651,43621.10701,43640.87012,42725.77,43175.16,43424.4,43617.01,1.010238,1.016353
io.reactivex.rxjava3.internal.operators.flowable.FlowableCreateTest.createNullValueErrorSerialized,187037.7792,187930.3665,187406.277,187247.063,188303.7628,188539.5239,187640.0996,184236.8694,187678.5075,187726.9816,188306.0895,187878.2297,187272.4652,188210.5795,187877.9885,187333.0637,187203.9467,187538.8767,188129.314,179161.4947,186273.0219,187076.4196,187803.593,186906.722,187369.2657,186998.8719,188024.7158,187677.7626,185038.9029,187333.5554,188055.7855,187992.1676,187857.4495,188300.8246,188048.0225,187976.2863,187893.9912,187846.2632,187900.3296,187421.0676,187958.0653,187937.3396,188168.5885,188298.1662,187446.1988,187912.9473,188040.7262,187218.6458,187764.0917,187936.0417,185835.4387,185800.0349,187671.8852,186272.9367,187822.4269,187278.651,187339.0393,187471.2524,186053.3892,187138.5964,183730.7,184544.2,183530.8,183962.4,0.9968527,0.9989132
io.reactivex.rxjava3.internal.operators.flowable.FlowableCreateTest.serializedCancelOnNext,1217849.466,1220433.932,1212263.209,1213379.547,1212326.358,1199879.173,1189524.268,1205891.566,1216250.422,1216390.398,1214557.553,1198318.152,1211533.059,1216712.556,1205685.146,1214286.442,1220933.92,1214484.251,1217548.823,1215874.859,1216440.202,1211945.726,1212582.353,1209273.738,1192373.724,1211188.747,1200116.117,1216518.528,1210967.424,1213472.383,1200479.954,1199623.591,1204140.683,1196937.439,1193151.276,1199334.294,1196658.671,1198184.193,1207842.716,1200591.755,1207988.418,1207662.004,1204882.851,1206290.834,1204016.827,1197275.616,1194720.023,1194960.522,1196908.225,1194462.595,1195997.623,1195850.215,1203437.094,1201634.939,1201995.373,1202965.549,1197881.988,1196360.039,1199601.337,1190381.375,1207458,1214529,1198019,1202378,0.9899967,0.9921833
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromIterableTest.hasNextThrowsSecondTimeSlowpath,402167.772,402807.3096,403316.6495,402874.2742,402554.7769,402874.5443,402526.2163,402989.0898,402835.414,402853.8117,402846.5581,402811.7991,403025.4346,402876.8017,402037.788,401718.5202,403008.4224,401934.0536,402838.1726,402401.2569,402209.8385,403279.1989,403034.1125,402288.4357,403251.0107,402342.4006,403211.9558,402606.1678,401130.9731,401342.1818,391362.7068,407320.4115,407208.8387,407444.6948,407363.2307,407390.9692,406760.5623,406937.1922,406873.4245,407377.4621,407250.3919,407511.2522,407151.8498,407103.936,407362.2502,407628.8033,407336.9601,407444.7525,407011.9378,407845.3123,407373.7098,407155.6734,407352.1793,407770.3747,407378.3138,407527.3304,407303.5754,407254.672,404812.5221,407586.2342,402406.4,402849,405103.1,407401.6,1.006702,1.011353
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromSourceTest.errorBuffered,403780.0722,403098.8659,403394.9544,403248.2937,402969.1912,402661.1216,402029.8361,400575.2475,403308.1315,402161.538,400732.6616,399364.7555,401876.8994,403605.2246,403756.7887,403510.6964,405546.7892,403027.0302,403473.3891,404039.5027,403643.6926,404531.2366,404511.8868,403896.3363,403059.8343,404444.5865,403585.6909,403345.0977,403586.8281,403344.6096,402002.6226,400855.4134,402388.3853,401002.4753,399167.4285,399346.3366,399443.0562,402345.3441,403369.0737,401262.9228,385044.3002,401827.0371,396456.2141,402359.0503,400010.8225,402007.8532,400816.679,402323.7287,402997.836,403100.6799,403367.8201,403752.8514,403602.5651,404127.9217,402999.1533,403721.2491,403506.6801,404515.1769,403677.9624,402718.9596,402377.1,403635.1,398919.6,402438.6,0.9914073,0.9970361
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromSourceTest.takeOneNoCancel,985903.3231,961896.6162,981493.4228,971637.7229,984512.6336,978881.4792,982946.5367,984922.5098,963379.1389,981879.3654,972752.303,982889.2424,980719.412,979543.4061,984722.1159,970848.0857,977774.7423,984112.5047,978685.5283,977970.2683,980604.3224,977000.4451,985120.5008,985800.0562,983915.2259,985319.8624,985209.0713,982466.5161,981755.9647,970732.0751,977854.282,980123.4478,977897.707,978552.2706,978133.7406,978687.5817,979070.7331,979913.7145,978854.3267,979206.5762,978961.8857,980760.1814,978211.5736,979611.3013,976951.9276,979400.9601,978356.8212,978790.5397,978524.1604,976395.5912,973718.7183,977176.6049,972806.0194,976449.0976,970398.9209,968684.1033,975252.7349,977821.4663,979242.5747,979747.7287,976142.9,981947.2,976482.6,978779.1,0.9967741,1.000348
io.reactivex.rxjava3.internal.operators.observable.ObservableCreateTest.onErrorRace,21.44872966,21.01153119,21.93855736,21.74340686,21.80749028,21.33121488,21.42919092,20.64317605,21.6432213,21.29053005,21.15025149,21.47415651,20.47567926,20.23758078,21.0144744,21.85531628,21.21032067,21.49299718,21.22939389,21.49883874,21.68342986,20.66328477,21.76180594,20.94515311,21.6434431,20.60001539,21.15707546,20.44000321,21.41935602,20.96963345,20.75906781,20.18585517,21.72084713,20.9060897,21.70743411,21.3897127,21.81606483,21.6739094,21.23303668,21.82507815,21.54515521,21.64618493,21.19351381,20.38043425,21.75039991,21.26460678,21.54875407,21.39797593,21.54412403,21.63078383,21.33160043,21.8351885,21.32837907,21.63282919,20.81031795,21.69637085,21.72734266,21.81036907,20.64452681,21.67598736,21.02718,21.45272,21.17008,21.56971,1.00546,1.006871
io.reactivex.rxjava3.internal.operators.observable.ObservableTimerTest.withMultipleStaggeredSubscribers,359701.0205,358836.6655,360023.5464,359502.3949,359464.4947,359647.9309,359679.2238,359206.146,360235.3675,359103.9876,359415.3771,358557.3494,359890.9129,357719.7791,359522.8568,359180.2654,359271.8015,360154.8397,359552.935,359264.7413,359584.6517,359706.931,359195.9593,357945.0547,348386.7613,354864.8193,354809.7657,356914.613,355445.8561,348666.284,352566.2435,349012.9348,352891.4181,353374.3259,352438.2117,353120.2136,351428.5646,353987.915,352743.4734,353050.9442,352520.3667,353549.3959,353560.7999,352992.4418,352394.4494,353285.3277,353087.0414,353624.555,353414.5249,353574.8734,352691.7476,353349.7381,353272.0283,352963.3116,352410.0259,352660.5772,352829.4531,352290.0437,352790.8419,352677.4188,357431.8,359478,352404.9,353211.5,0.9825674,0.9859373
