BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.internal.jdk8.ObservableFromStreamTest.closeCalledOnCancel,1276194.86,1279850.34,1277894.28,1270472.91,1267616.33,1267036.08,1270794.46,1255816.86,1278170.75,1263213.11,1257560.29,1268054.32,1265970.09,1253211.74,1260677.19,1270632.1,1258597.44,1263274.26,1276357.48,1270131.18,1280235.37,1276894.44,1280236.32,1258256.57,1267136.73,1263571.12,1268769.54,1258506.29,1272632.58,1270770.37,1273055.31,1265805.73,1263014.95,1276743.17,1272991.85,1267888.68,1255923.35,1268229.07,1265446.01,1269609.11,1260580.71,1269858.68,1243424.42,1284542.79,1277480.43,1276177.1,1276858.49,1278183.02,1283127.56,1264788.94,1276854.24,1175393.96,1249670.33,1268150.29,1271231.92,1262267.94,1270187.45,1276247.27,1268459.39,1261681.59,1264205,1271537,1255826,1273198,0.9933651,1.001273
io.reactivex.rxjava3.internal.jdk8.ObservableFromStreamTest.manyConditional,1265838.46,1273590,1250096.39,1272654.96,1208853.92,1180433.75,1248268.09,1274193.11,1273032.91,1254385.16,1255188.99,1268190.69,1261100.71,1252530.29,1271926.43,1266024.24,1268584.93,1270655.57,1262947.93,1181543.21,1235460.85,1259349.66,1256798.37,1257738.07,1266635.74,1270612.86,1255417.82,1253355.04,1265519.62,1253113.31,1303449.75,1288412.72,1295259.33,1296812.28,1283381.3,1299300.84,1284466.57,1293989.55,1290688,1285037.12,1290379.41,1300280.07,1281010.91,1292970.55,1301021.74,1296280.16,1300988.58,1294253.75,1290478.72,1277849.51,1284515.03,1291833.66,1295007.41,1287340.77,1303865.56,1298968.16,1286477.01,1284894.58,1295465.67,1296755.33,1241878,1264039,1289150,1295417,1.024843,1.038067
io.reactivex.rxjava3.internal.operators.flowable.FlowableCreateTest.createNullValue,45194.1835,44670.1887,45264.7536,45372.5907,45140.478,45484.0048,44998.1038,45293.8725,45309.1204,45204.9485,44913.9711,45561.8369,44804.3187,45489.1037,43351.6228,45038.6866,45306.5642,44988.5625,44887.1134,45582.3507,44758.2124,44963.6702,45510.3427,44709.8948,44939.6864,44242.8582,43185.7077,45236.3069,44862.8073,45102.0795,46761.0657,46927.845,46287.4606,46437.946,46689.4064,46766.172,46325.112,46341.7873,46021.8081,46112.2863,45889.6988,46341.3511,45909.5682,46429.0006,46753.693,46739.0929,46514.3551,46375.4426,46391.7424,46830.9643,46134.2927,47022.1958,46279.3421,46199.4572,46964.4358,46778.3752,46875.8561,46750.2353,46799.4977,46515.4605,44739.07,45224.8,46319.61,46619.89,1.030832,1.03533
io.reactivex.rxjava3.internal.operators.flowable.FlowableCreateTest.createNullValueErrorSerialized,211659.569,213728.984,212905.862,212075.977,213645.814,214342.613,213690.771,208526.788,213827.805,214265.515,214058.79,212758.39,212746.276,214139.803,213782.365,212076.989,213665.057,212186.152,213600.414,203508.163,211176.741,212007.346,213750.296,211931.73,211821.873,213164.787,212516.591,212152.721,210038.786,212789.931,216259.164,214587.18,215072.025,214947.197,214711.723,215344.667,214628.694,215117.324,215345.071,214788.534,215402.894,215387.208,216332.999,216745.323,215350.234,216527.334,216548.387,214121.342,215087.754,216592.987,212415.772,212706.525,215831.784,212656.135,215627.169,214570.812,214643.871,214134.957,212826.209,214481.776,211301.4,213308.6,214570.2,215651.5,1.010939,1.015521
io.reactivex.rxjava3.internal.operators.flowable.FlowableCreateTest.serializedCancelOnNext,1320399.5,1318672.16,1307692.92,1315245.93,1303942.48,1295046.06,1282492.76,1301536.49,1311329.36,1313207.98,1312096.61,1294612.44,1307431.64,1312322.44,1302519.13,1312107.53,1316021.75,1316666.1,1317085.31,1308858.59,1315952.28,1303311.22,1307903.98,1307718.92,1286583.64,1300466.48,1294148.78,1319112.83,1300639.5,1309946.77,1303521.79,1302290.36,1318722.42,1298684.92,1302681.35,1303602.52,1299368.23,1311947.83,1319720.23,1310775.17,1322589.66,1319527.5,1313625.37,1310856.82,1310609.76,1306387.71,1299301.39,1297763.17,1305044.21,1300048.92,1299121.14,1300248.83,1308851.47,1315704.06,1314787.99,1307566.82,1303618.97,1300957.82,1302699.94,1296211.36,1303238,1311539,1304138,1311172,0.9995168,1.000678
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromIterableTest.hasNextThrowsSecondTimeSlowpath,425830.099,426874.644,423554.478,424549.369,426769.573,423843.396,423830.743,426841.998,426394.136,424496.92,423555.896,423127.919,425961.015,424494.872,422390.03,424459.813,425809.489,423935.715,424077.664,423702.2,423256.306,425194.643,425676.623,424255.362,425554.343,426017.86,423888.898,425387.336,423372.643,424348.629,417913.967,434763.772,434558.191,432538.33,432145.455,436055.409,431712.556,433669.618,431905.429,434145.894,434972.066,434572.942,434768.984,435495.339,434211.324,432376.265,432710.594,435016.514,433725.277,435686.108,433871.823,435213.102,434509.566,436237.182,435504.089,435410.203,433124.525,435602.26,432065.406,432806.362,424133.4,425265.9,431830.4,434653.1,1.018151,1.02208
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromSourceTest.errorBuffered,474134.256,470517.05,470505.079,473653.171,473561.801,469869.96,468814.425,467084.239,473786.582,472386.133,468196.604,468140.914,468377.2,470726.315,473599.263,472264.456,474996.807,472874.551,471304.556,474434.186,472034.639,475694.804,472118.925,470283.959,470429.591,472859.702,472863.7,470566.454,470023.623,473025.761,472995.693,474506.203,477248.991,475555.685,471462.068,470053.506,470833.466,473841.605,477421.42,473319.509,454202.336,473277.173,467214.337,477176.204,471383.509,476584.223,472090.601,474556.284,475399.095,478021.276,475257.804,478985.242,476852.345,476687.963,478036.558,479074.463,475142.832,479188.163,477594.381,473952.903,470562.3,472646.6,470936.3,475690.5,1.000824,1.006441
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromSourceTest.takeOneNoCancel,1172479.36,1144195.43,1168220.66,1160161.49,1170933.53,1168210.64,1168476.07,1168096.33,1150884.88,1163678.74,1154986.81,1168000.18,1165370.53,1172067.77,1174430.33,1154396.92,1169301.06,1168911.18,1170919.83,1169628.97,1167625.8,1161939.02,1169269.84,1172393.59,1174355.74,1176645.83,1176857.78,1171037.85,1167359.06,1160315.14,1173559.04,1179045.7,1172489.18,1175077.64,1181439.02,1176929.13,1179144.23,1182096.01,1173875.93,1182498.39,1179272.03,1180457.73,1180152.94,1174216.71,1175561.34,1179826.61,1178062.57,1176451.39,1175058.87,1168395.9,1169058.02,1178919.05,1174397.79,1177965.51,1164020.53,1165637.05,1177793.48,1176143.36,1172829.57,1180272.83,1162603,1169521,1174246,1178253,1.007474,1.010027
io.reactivex.rxjava3.internal.operators.observable.ObservableCreateTest.onErrorRace,22.4757326,21.8449574,23.1955442,22.9854728,22.5125552,22.1975749,22.0446037,21.5542415,22.6014593,22.3449957,22.3354926,22.3810975,21.5308656,20.9170182,21.6103858,22.6816564,22.3291662,22.5559008,21.9102363,22.3826915,22.889777,21.8720236,22.5188646,21.540113,22.9137658,21.2412951,22.1754606,21.6126042,22.312729,22.1603855,22.5438698,21.6092035,23.0608862,22.6007361,23.0844925,23.1763197,23.2166318,23.0817306,22.5800164,23.8073994,23.4626956,23.2732003,22.9548305,21.6638262,23.7257701,22.8639642,22.854357,22.6845685,23.0637399,23.4783824,22.8807392,23.279574,22.8743254,23.1381918,22.6415669,23.4299456,23.5707351,23.1172414,22.1574027,23.4137953,21.91092,22.4313,22.72246,23.20439,1.034353,1.036478
io.reactivex.rxjava3.internal.operators.observable.ObservableTimerTest.withMultipleStaggeredSubscribers,397679.931,400207.987,399131.93,400028.856,398440.727,398008.062,400718.774,399300.757,400313.363,399620.27,397129.68,396342.103,400197.344,395652.206,398302.626,398485.757,398302.133,398537.578,399796.925,400253.552,400106.625,399158.622,400362.499,396389.671,387907.668,392139.905,394352.694,397526.791,395003.486,385744.096,397228.251,392810.924,395657.884,397068.635,394509.999,397851.136,393661.248,396662.596,393955.913,394465.836,395379.985,394594.845,398259.217,396151.764,395607.601,394917.488,394607.993,398336.595,394589.094,397472.984,395036.257,397176.535,397923.652,396144.707,396192.687,395008.937,397026.672,396473.813,395154.845,394161.966,396627.7,399169.9,395137.7,396537.1,0.9933347,0.9962432
