BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.observers.TestObserverTest.myBenchmark.benchmark_createDelegate31,153036.7653,152075.1972,153028.4046,151892.3636,153493.8318,152160.7754,153118.3904,153215.4842,152852.2546,151892.0476,153342.9749,152762.2214,153719.0877,151915.0804,151362.9866,152338.0007,153247.8106,152239.1925,153296.266,153544.7083,152753.1729,153097.186,153467.7949,153038.8008,152585.9474,153476.5771,153146.8653,152380.648,151951.8612,150778.8429,130112.4958,129023.9462,127720.8191,127508.5078,128845.2082,127923.3758,128290.759,128422.7394,128137.1561,128009.3837,127095.5072,127829.8514,128777.6256,127492.4152,128420.2746,131648.7373,128989.8847,127952.3551,130716.1911,129304.8955,127313.2533,130530.3944,130776.6364,128194.3147,127817.2452,128165.8824,129506.2124,131638.0103,128362.646,127820.246,1,152420.7,153045.9,128184.2,129318.8,0.8409899,0.8449672
io.reactivex.rxjava3.testsupport.TestObserverExTest.myBenchmark.benchmark_assertValuePredicateNoMatch132,452693.5912,452039.9866,452576.0831,453285.875,453334.1354,452660.6658,453159.7657,452414.9108,453748.0439,452792.2462,452073.5217,451879.1205,452013.8198,450039.6257,449604.5019,452634.1261,450878.8538,449457.4853,452746.868,451276.6917,452351.8749,452561.5145,452251.9098,452942.0497,452556.4323,452615.8864,452277.9695,451428.0099,451129.4837,451276.5232,382344.1123,382953.5322,382660.7556,382801.728,382838.3964,382315.2862,383320.3255,385064.8255,384737.027,382931.9418,382461.9328,382277.935,382311.4588,383087.3876,383715.7695,382257.5397,382260.6949,381065.4757,382723.361,381061.8383,378092.6538,380617.551,381291.7477,382760.7046,382243.1865,381142.1159,383517.4926,379580.0588,380693.4769,382138.952,1,451489.1,452530.7,381674.7,382947.5,0.8453684,0.8462354
io.reactivex.rxjava3.observers.TestObserverTest.myBenchmark.benchmark_assertValueAtPredicateNoMatch21,426208.8292,426514.6084,424321.5312,427407.4672,427175.5969,427780.4998,427599.2119,427173.2874,428283.5123,427518.2147,427900.6804,427664.7975,427685.1478,427707.1278,428108.2077,427904.1723,427867.649,427233.5126,427135.9387,427439.0982,427808.3849,428194.9973,427962.7241,427266.4162,428125.7032,427104.3436,428000.6294,427211.0165,428108.9686,427455.2175,376425.3503,376413.6409,376215.289,375921.9912,376209.1715,375378.791,373530.3199,375729.3157,375671.4283,374793.3267,376485.5876,376551.1102,375662.4132,376193.0896,375633.7428,375629.5671,375586.8453,375404.3739,376186.7825,376091.6861,376007.1048,375394.4259,376372.5265,374568.9333,375731.8877,373899.6793,376014.6041,375943.2111,375433.8472,375047.5758,3,427086.7,427765.6,375364.6,376006.6,0.8788771,0.8790015
io.reactivex.rxjava3.testsupport.TestObserverExTest.myBenchmark.benchmark_assertValueAtIndexEmpty117,454262.8132,448387.5716,459483.5934,460734.3455,460886.0839,459249.1352,461020.8126,460713.0243,460200.9389,461782.6865,462387.2015,461331.932,460559.1785,460362.1387,460371.5459,461369.0618,460292.1574,460305.1953,460321.0435,461080.9686,460940.8296,461235.1244,461315.6711,460731.5839,460627.3993,461501.2622,456460.6741,460924.2102,460416.0636,460724.4973,403227.9501,403426.9544,419075.486,411102.8158,423081.3235,409181.2577,408552.2901,402734.5455,404713.8935,407585.9633,404523.9808,400940.8754,415226.1032,402935.8167,402957.374,406161.2459,410357.0292,405382.0016,402724.0952,399965.2362,401164.6458,405667.5557,406608.2362,402767.9732,404840.2474,404300.5765,402998.9084,405997.7115,399163.1411,400918.6444,3,458661.1,460971.2,403979.4,408885.5,0.8807777,0.8870088
io.reactivex.rxjava3.testsupport.TestSubscriberExTest.myBenchmark.benchmark_createDelegate171,127472.988,127566.6748,127585.4446,127466.1238,127461.9522,127723.4039,127573.8212,126781.7361,127136.6318,127080.2342,126607.3087,127017.6107,127217.5441,127729.8085,127401.079,127663.0893,127830.9467,127376.5966,127359.9314,127689.8424,127643.077,127651.5647,127748.0566,127624.0391,127549.7258,127663.2028,127738.1593,127551.1256,127834.3999,127614.0036,113248.1198,113237.0758,113402.8666,113274.0496,113213.1209,113306.4156,113523.5255,113388.3272,113386.5343,113406.4351,113411.3398,113497.5063,113384.6719,113117.8706,113002.9419,113231.2608,113422.8583,113433.215,113184.0259,113180.4378,113273.963,113381.9976,112426.1703,113294.4771,113416.8047,113430.9219,113467.0355,113347.0826,113194.7628,113239.3166,1,127287.9,127576.2,113184,113368,0.8886301,0.8891997
io.reactivex.rxjava3.testsupport.TestSubscriberExTest.myBenchmark.benchmark_assertValuePredicateEmpty163,440787.5113,440888.5899,441313.0955,441768.5052,440545.4904,441940.7214,441822.6143,441955.7765,441126.861,442021.0478,441676.7854,441357.2731,441620.468,440713.7152,440628.4028,441275.5638,440810.0624,441454.6822,440890.3845,441009.9877,441380.1037,442448.9971,442211.757,441920.6797,442557.924,442273.1057,441877.1846,441996.8486,441396.7028,441089.0248,395697.1329,394007.1507,394206.194,394195.1896,393873.8358,394196.1102,394857.9403,394663.3863,394313.4701,394443.5363,393990.3175,395201.7848,394929.1334,394092.3814,394163.0512,394179.3886,394935.511,394728.5688,394646.5806,395261.4505,394498.5885,394514.9172,394800.1979,394804.5685,394557.7083,395163.0344,394366.2995,394457.3683,394687.6347,394377.228,1,441177,441694.6,394366.2,394767.4,0.8937577,0.8938937
io.reactivex.rxjava3.testsupport.TestObserverExTest.myBenchmark.benchmark_assertValuePredicateNoMatch131,429844.9244,430520.4157,425085.7783,429739.8983,433170.5362,428540.3026,429252.1274,429997.9257,432980.6148,432133.4987,433230.4445,430676.5664,433471.402,430980.4816,432267.1299,431811.6242,432964.5259,426890.6949,430836.0803,431119.3377,432937.6274,430658.9038,432176.0933,428506.1225,432365.0903,425814.9832,433956.5185,433260.8659,433308.1006,430480.8995,387952.6344,389052.276,388957.9376,389566.2231,388839.5168,387331.1038,388080.7812,387926.0984,384175.5196,384486.7405,385646.5906,387036.1573,386346.8951,388543.2986,388717.0222,388919.3919,389442.8292,389141.2416,389665.607,388941.5336,389323.5212,388632.3404,388958.038,388844.7003,388263.5576,387323.7367,388283.0244,387890.2702,388143.1727,388793.4114,1,429934.7,431933.6,387312.8,388670.9,0.8998399,0.9008627
io.reactivex.rxjava3.testsupport.TestObserverExTest.myBenchmark.benchmark_assertValueAtPredicateNoMatch125,432006.807,431968.0004,432887.5163,432222.8657,431990.4595,430118.722,431281.672,432060.8845,431781.6787,431797.8777,431549.4956,431516.9136,430794.3363,431224.3199,430497.8047,432063.6784,430904.0523,432336.8204,431785.7028,431591.8801,432050.2908,429709.0195,429387.8023,430572.2779,428439.9572,429877.7909,428173.1136,430069.2231,431036.701,426058.6943,388454.831,386515.2249,389635.549,388083.6979,388952.7426,389713.4868,387864.8465,388674.6421,388070.9995,390399.7381,387118.8866,388344.569,389538.4857,385867.0273,389313.8045,388408.1852,389346.1125,389818.7946,387385.345,387682.4288,385889.0002,389161.7585,389028.7824,388498.5302,388876.4515,387952.1787,387706.5156,389334.9893,386864.5367,388099.0285,3,430589.1,431668,387825.7,388911.1,0.9006553,0.9009489
io.reactivex.rxjava3.testsupport.TestSubscriberExTest.myBenchmark.benchmark_assertValueAtPredicateNoMatch161,420542.8592,418748.8393,422657.9505,418305.3145,422470.7299,419820.3735,422008.8414,419112.0958,420874.7371,420375.2117,422070.9667,421156.8692,420841.9291,423129.3154,422861.2401,422344.1324,422701.9337,422129.4752,422568.0856,423269.3166,422363.504,421383.842,422556.6769,423089.2348,420542.7711,421099.0508,420798.4466,422485.4455,422819.0336,422665.3188,380194.026,379459.0899,379562.6174,380411.5266,379926.1586,379958.2955,380213.8031,380050.9905,379852.391,379769.3794,380279.7721,379806.9658,379994.2995,379889.0223,380336.6807,380297.7718,380981.3154,379545.3954,380546.0632,380189.7206,380853.7146,380040.6996,380902.1917,379334.4346,379567.401,378141.6064,378540.0981,378635.1194,376730.714,376881.1751,3,420946.7,422188.8,379532.4,380233.3,0.9006237,0.9016162
io.reactivex.rxjava3.observers.TestObserverTest.myBenchmark.benchmark_assertValueAtPredicateNoMatch20,425823.7007,424592.8669,424836.9483,425475.9353,424641.3503,424396.4534,423876.1324,424629.3986,425330.8884,425722.3341,425148.2982,424156.2875,425636.088,425732.716,425232.3638,425320.6519,424765.2787,424855.3753,425424.6629,425730.6279,425432.6907,423336.7737,422631.6833,422070.6233,423421.8204,422863.73,422548.1451,422847.9713,424144.5493,422589.5738,384439.1283,384641.0057,384189.8261,384240.7729,384382.5587,382472.3483,381649.1084,379175.9913,383912.9034,383786.6633,384093.5123,384222.1717,383889.8563,384210.9706,384127.6561,383099.5809,383039.8573,381657.4807,381369.9894,383365.8053,383674.3619,384242.2147,384532.9064,383551.0436,384047.982,383978.8054,384140.6687,384164.5066,383946.6207,383484.8799,3,424182.3,425125.8,382805.2,383938.5,0.9024549,0.9031163
