BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.observers.TestObserverTest.createDelegate,174973.365,178577.367,178199.828,176094.19,178287.082,177527.367,174801.912,180822.046,179858.138,173098.933,175742.437,179089.815,174303.776,178227.278,174520.211,176360.174,173531.582,177837.714,174377.032,180073.995,179368.473,175259.279,176538.54,179444.112,176739.038,174200.981,176180.573,171592.445,178967.759,175086.296,160909.562,155287.814,158394.063,153378.921,157501.845,153891.816,157967.265,152948.299,154271.97,154570.51,157276.837,152546.124,159704.412,153215.637,152313.908,157077.644,159202.733,157073.42,157918.239,159341.666,157238.116,157374.56,160748.883,158765.778,152263.875,157866.958,158744.285,159267.195,156331.317,152413.348,175631.4,177785.2,155243.6,157652.7,0.8838479,0.8867574
io.reactivex.rxjava3.testsupport.TestObserverExTest.assertValuePredicateNoMatch,521946.163,512715.577,516788.612,523260.61,524180.728,520845.401,517913.526,526440.235,514137.568,510245.181,514129.889,523833.774,524897.432,509253.28,498632.965,510895.307,519896.425,513656.126,520466.801,507227.375,512439.074,507169.943,523850.538,527176.516,516580.413,509250.873,518525.778,525554.648,518637.727,508864.582,454173.847,464668.187,455944.386,465592.407,458549.064,451664.087,468557.857,462445.694,467579.438,467300.416,460506.064,449069.257,448149.433,466049.5,452332.937,454081.123,457783.385,449209.731,462616.244,447523.352,460976.445,462542.961,445913.041,464079.085,452061.811,466203.205,466255.85,450285.524,459390.718,452007.034,512698.9,519564.6,454777.2,461212.3,0.8866635,0.8878019
io.reactivex.rxjava3.testsupport.TestObserverExTest.assertValueAtIndexEmpty,514376.536,520330.303,532080.896,532339.056,516410.382,525284.939,519853.082,533400.66,511598.355,526927.598,518603.886,513199.067,517748.899,520936.777,513371.225,525900.57,523837.764,531233.69,510030.365,521158.938,518926.654,519066.251,518796.19,534606.871,527431.599,521933.63,520639.946,536895.49,534694.843,534708.15,482115.743,478588.299,496411.03,499037.439,502692.043,479897.757,476710.441,486974.955,491671.737,497733.702,480926.27,480643.774,486867.557,472108.441,484184.8,475513.759,488782.788,489035.924,472190.523,481494.481,477230.561,482203.222,487961.897,476825.469,478526.902,476801.506,475990.725,481284.87,477964.452,489866.154,518751.6,525348.1,480231.4,487684.7,0.9257106,0.9281425
io.reactivex.rxjava3.observers.TestObserverTest.assertValueAtPredicateNoMatch,440317.2,436240.092,434708.455,431353.821,446563.139,445066.548,437149.738,434140.906,438926.074,444438.66,431206.501,446350.555,434873.093,432472.543,437423.113,435148.201,430515.744,441783.071,444042.603,443081.404,432006.788,437585.511,444800.72,444965.49,447040.549,436567.497,435578.982,433306.726,442593.313,434173.71,406660.242,409864.239,399367.624,412067.325,415802.536,412634.618,408452.828,407714.705,410488.334,412734.808,402593.482,399692.907,397832.589,408356.524,415028.743,399139.649,407590.835,398217.686,411827.885,403579.005,412344.452,414096.216,412517.069,410300.465,409917.969,404963.269,408536.861,398789.427,399459.915,413782.757,435938.2,440882.3,404719.2,409907.3,0.928324,0.9298073
io.reactivex.rxjava3.testsupport.TestSubscriberExTest.differentError,136854.476,134445.535,133734.077,132652.253,132347.524,133072.206,136037.613,130583.67,133709.245,134509.043,133264.128,131383.99,137296.566,131489.706,135469.375,131908.276,133837.228,137083.104,135874.957,133918.472,131696.662,136858.017,134213.82,130948.314,131274.694,137020.712,135043.665,134097.722,132476.695,134571.412,125557.092,123970.33,127218.778,125981.26,125922.026,124949.39,125949.262,124397.264,122990.736,126114.052,123563.002,127352.868,123833.752,126175.489,125209.774,127311.083,127443.264,126675.683,126121.83,123268.636,122587.152,122598.853,124961.86,127484.078,125233.052,126661.845,124234.972,123845.834,126727.842,126590.34,133005.9,134894,124639.1,126043.5,0.9344167,0.9370631
io.reactivex.rxjava3.testsupport.TestSubscriberExTest.assertValueAtPredicateThrows,478110.545,465773.052,481879.03,466321.041,476804.55,468147.064,461188.269,462715.675,476719.906,475328.658,476454.652,480819.614,468211.081,480139.157,481899.642,478001.032,478454.499,468488.086,469803.258,481546.839,472085.788,474931.563,474365.329,473843.384,476386.384,464042.01,464681.718,476659.206,478045.888,476358.086,439477.036,441936.204,439310.797,443943.083,444968.462,440404.971,455872.914,438239.098,447682.605,442853.17,437551.199,447804.779,439283.169,436004.725,450778.122,436923.642,456683.993,448201.562,436898.165,452382.618,438080.882,441364.925,438430.063,443717.099,454720.971,441725.99,447791.41,452906.068,451522.865,432073.357,470915.9,476539,440987.5,447053.3,0.936128,0.938121
io.reactivex.rxjava3.testsupport.TestSubscriberExTest.assertValuePredicateMatch,450221.099,465344.512,465843.176,471438.566,448908.445,471524.013,451658.49,463919.6,455425.027,453837.656,461836.606,458970.691,455404.626,457932.981,448998.451,455282.52,457207.349,457519.953,464425.006,464484.457,455749.148,464018.898,450420.866,473103.622,454938.972,470680.674,468365.366,462046.899,471749.009,458606.012,438047.668,431254.429,441602.139,422811.363,434355.909,436483.542,440793.006,435095.814,437242.694,429162.349,436983.544,426329.469,427232.153,441631.033,427396.193,435279.225,437275.873,422868.225,433851.286,424092.92,423986.96,434866.149,433436.644,426289.814,435041.162,430901.72,430230.177,425149.57,440418.664,438423.524,456324.8,462893.2,429747.6,435101.4,0.9399792,0.9417018
io.reactivex.rxjava3.subscribers.TestSubscriberTest.assertValueAtPredicateNoMatch,430043.054,436460.063,432437.188,437185.791,445687.274,447238.473,434048.374,430169.764,445880.97,432556.853,432119.874,446992.303,428837.126,436965.028,434575.187,445935.901,440026.01,438542.704,435308.399,446954.847,442316.594,431121.658,445013.694,429692.114,444993.299,438011.125,442419.837,435624.144,446756.496,428250.439,417210.304,413102.493,404274.787,407583.54,420523.245,425081.469,418376.823,407199.691,420925.411,422083.291,416570.239,406564.359,406682.973,415317.849,410820.154,412261.486,421860.795,406799.749,406378.406,417576.375,413099.445,405195.231,406129.289,409475.926,409345.26,416448.804,420266.509,414978.277,411120.627,419530.498,435216.8,441101.1,410407.8,416151.4,0.9429775,0.9434946
io.reactivex.rxjava3.testsupport.TestObserverExTest.assertValueAtPredicateNoMatch,489110.701,500350.299,503858.906,480925.993,498709.421,492177.181,498558.726,497882.523,491385.703,502369.898,497825.919,491477.243,487511.98,478558.753,497930.013,503112.556,486592.831,483776.106,498953.058,479736.413,486851.992,497406.479,488346.238,499535.672,496809.825,476586.622,493653.819,491525.747,487409.303,485410.334,470238.441,468573.759,472123.278,462773.118,460813.067,461955.295,465355.573,464629.356,467546.358,467372.804,458030.507,458979.451,454843.952,468856.662,471014.215,461641.92,458676.739,472662.291,464651.116,458571.048,453646.101,475465.178,454555.747,463305.669,475203.76,467935.996,470850.952,459217.286,452846.963,465980.735,488772.1,496023.9,461334.3,467145.3,0.9417799,0.9439011
io.reactivex.rxjava3.testsupport.TestObserverExTest.assertValuePredicateNoMatch,499059.738,496637.137,493302.16,508044.719,494421.248,491726.312,487736.145,511244.138,512801.705,489405.846,513460.349,499261.531,495136.434,506152.491,499630.229,493055.619,508154.412,497462.203,506616.208,495580.062,489566.03,497501.402,504288.557,506167.129,493209.055,486278.728,505274.777,506692.008,496295.992,498747.63,466696.88,480655.649,475480.557,471524.401,463630.717,463988.039,464922.509,465662.984,476814.06,479398.865,481668.578,476141.816,479122.936,478196.21,468136.437,471524.605,486013.901,478019.87,484566.471,464622.083,477871.847,481835.292,482015.25,465088.487,472237.228,477626.689,480078.064,463288.838,473646.25,473645.488,496030.5,503167.6,471399.2,477819.7,0.9496533,0.9502286
io.reactivex.rxjava3.testsupport.TestObserverExTest.assertValueAtPredicateNoMatch,489764.775,475398.713,478764.526,495702.317,488775.64,492832.51,477931.094,474505.346,478283.844,471309.649,478527.812,493188.468,475709.859,479140.544,495085.829,492928.905,495024.011,491293.831,490347.512,493506.271,488924.615,472166.513,477540.391,472843.098,471903.155,489745.556,491657.306,489648.507,475692.487,473802.706,466869.457,463627.747,461109.253,466036.154,460454.838,465484.188,466025.449,471738.458,469498.099,465278.575,454379.049,454771.856,467857.994,467462.225,449611.227,455604.166,459579.693,457350.605,471320.458,450144.13,464814.374,464641.053,450183.816,449782.772,466827.241,463265.13,457189.471,452161.953,461629.53,467935.681,480256.5,488281.4,458162.2,464510.8,0.9514069,0.953986
io.reactivex.rxjava3.observers.TestObserverTest.assertValueAtPredicateNoMatch,457666.421,461916.44,452846.677,457625.013,457286.48,451557.916,461901.589,452589.007,453139.785,462681.612,467405.1,460539.985,454089.608,472334.59,471934.353,456837.667,464600.971,451021.486,464333.595,462557.658,461591.514,455285.397,455200.248,460862.185,465208.972,462714.122,454223.792,452921.192,448766.64,459300.177,447336.458,437624.011,433063.696,439433.411,434782.816,429433.736,444915.291,436292.341,437712.585,443743.589,443826.473,439429.477,427776.942,434975.334,444834.259,443178.467,446706.16,433693.655,444012.565,439841.858,439616.068,427753.306,446607.438,433529.017,433587.305,430391.939,444483.843,436728.196,440322.173,435100.499,456877.4,462576.3,435932.4,441442.3,0.9540655,0.9543416
io.reactivex.rxjava3.testsupport.TestSubscriberExTest.assertValueAtPredicateMatch,462350.541,470483.157,479642.675,482124.522,465850.026,478614.033,464822.644,473333.997,481909.661,482383.35,484364.183,469947.968,467431.67,462661.003,467928.062,484248.577,468352.057,467353.369,480855.133,471852.056,483116.462,477149.96,465213.271,461674.47,468379.299,479010.841,475932.475,478859.681,481803.317,462720.229,447833.681,449143.525,461661.241,451662.144,462881.532,463468.146,444634.723,446265.637,463675.857,462335.974,443859.259,455472.446,452152.798,457608.311,446788.652,459190.886,464276.043,462077.322,444723.252,447341.28,452942.058,453071.022,463056.864,451491.637,447375.719,441727.859,444585.657,465078.09,460986.982,448125.515,469992.6,476833.1,450586,457518.9,0.958757,0.9596782
io.reactivex.rxjava3.subscribers.TestSubscriberTest.assertValuePredicateEmpty,482242.995,479531.41,479104.079,469566.557,489271.275,486225.066,486509.431,475851.82,481574.957,467693.625,490596.206,479083.713,489939.662,466948.109,467116.187,471623.96,482942.869,487534.445,476154.379,477088.969,475089.799,472698.759,470074.867,485802.154,484111.694,491182.652,486167.747,471602.24,477125.237,479404.266,463975.884,468720.401,457271.577,461725.959,463127.38,474390.348,452881.525,466069.264,452888.662,451530.53,456835.772,462151.392,470891.266,460587.121,458038.261,461390.183,452860.264,452981.095,471602.931,457672.589,453052.142,457514.876,455488.322,455283.751,466837.417,460552.616,469170.134,468147.143,461237.866,458234.615,475474.3,482536.8,457645.6,463444,0.9603018,0.9624491
io.reactivex.rxjava3.testsupport.TestObserverExTest.assertValueAtIndexInvalidIndex,498879.187,490133.434,488473.591,494428.84,502358.216,491504.311,490196.265,486860.071,497967.425,495693.734,507069.527,487830.519,489210.298,490060.489,499186.689,486557.58,487625.485,505437.971,485524.411,502544.327,502022.8,506987.643,489549.402,508600.779,496982.402,495503.246,496516.374,487540.859,491845.285,501809.087,480779.098,488273.046,474856.219,487695.986,469657.522,475170.818,475546.543,477137.734,476205.98,476819.692,476710.572,476658.159,488566.656,472656.359,477711.921,491030.157,478883.366,479839.844,473974.152,487380.131,480454.784,477083.981,475251.637,468980.373,480587.411,485129.762,472865.863,481003.764,478784.717,479897.078,491778.8,498444.5,476356.1,481571.5,0.9661486,0.9688006
io.reactivex.rxjava3.testsupport.TestSubscriberExTest.onSubscribe,359372.71,356900.297,349362.458,353720.804,350452.163,356550.328,357453.976,354772.948,349148.875,353107.947,357207.825,349841.682,352778.473,351894.919,353066.438,357397.158,354683.104,351373.119,359226.846,357341.332,354657.291,351963.771,351879.362,359827.619,358813.483,356000.146,353475.282,354241.579,355284.904,353078.641,342099.712,342634.684,342561.708,344639.28,344842.052,346562.644,346736.948,343093.424,340480.482,340836.177,342245.933,346067.771,346869.862,343721.221,345958.21,341315.869,349908.345,341098.026,342270.118,344627.521,349991.001,342357.601,346722.421,344865.797,341260.493,349468.064,349390.78,343352.439,343718.06,340472.418,352962.6,355826.2,343018.9,345653.4,0.9713761,0.9718528
io.reactivex.rxjava3.subscribers.TestSubscriberTest.createDelegate,170066.666,170134.618,170836.906,172618.106,171602.157,171393.907,168127.459,168317.029,168027.495,168823.853,171284.037,169724.205,169039.274,170007.298,171029.379,170531.995,168819.147,171710.83,170123.065,170528.286,172573.724,169472.156,168003.432,169018.849,172165.378,169376.252,170966.83,170472.766,168877.102,172164.072,164315.038,164367.127,165440.741,166208.571,166586.275,167276.304,168143.87,164691.541,163785.376,166710.472,166795.548,166702.263,168002.787,167107.084,167005.459,163211.094,163257.673,164062.751,165173.116,167817.143,164375.852,165279.401,164672.833,167296.344,163605.007,163679.965,163493.88,164701.677,163694.764,165202.394,169537.6,170780.9,164841.7,166315.5,0.9723067,0.973919
io.reactivex.rxjava3.testsupport.TestSubscriberExTest.noError,161127.345,162662.141,163192.072,164235.167,163915.096,162101.643,161783.069,162963.172,161343.925,160395.734,164808.572,161763.994,161707.847,159950.29,162885.811,161951.643,161997.65,160942.612,163945.808,164813.516,163733.177,161657.401,164472.303,162537.172,165033.684,164338.14,161145.395,162380.547,160959.699,163263.181,158933.088,156332.503,157720.703,158327.725,160427.486,160223.298,156127.886,158252.511,158077.017,157804.929,156956.489,157877.492,157126.066,157828.826,160029.542,157147.616,159997.398,159104.004,156500.832,159699.179,158268.699,158651.55,156613.043,159204.517,160018.739,157924.047,159658.729,158364.603,160242.219,159467.048,161891.9,163190.7,157737,158914.3,0.973755,0.9743437
io.reactivex.rxjava3.subscribers.TestSubscriberTest.assertError,68998.9655,68217.4496,69853.3487,68309.1265,69043.321,67904.3373,67640.2902,70523.6005,68847.9806,68664.0912,69753.8529,69269.9097,69334.8743,68285.2544,69546.6125,67268.6174,68064.4443,69244.9748,69816.4148,70414.6381,69317.8123,67892.9096,67425.3123,69478.5142,69473.207,67982.7868,70026.4325,70396.3991,68882.9804,69397.0373,67334.8015,65993.234,67126.5125,66684.4836,66215.8481,68819.8277,66796.2301,66307.6365,68080.2696,67441.353,66246.8145,66620.5702,67578.2703,68144.0467,66595.2434,66611.9212,68321.253,68379.5325,66945.8449,66269.1924,65760.1428,68830.8673,67113.976,66271.9502,67443.982,67484.1358,68932.183,66951.3142,68036.5089,66558.7302,68530.59,69347.6,66772.86,67592.51,0.9743676,0.974881
io.reactivex.rxjava3.observers.TestObserverTest.assertError,67288.3508,66357.0816,66700.5067,66967.2549,66483.5325,66684.2919,66629.4947,67019.6064,64371.7002,63983.5309,67014.0759,66158.5234,64316.2774,66961.1594,65693.0231,64592.3269,64747.7022,64100.8565,65808.6971,64708.0226,66234.7082,66334.8001,65170.1842,65483.1402,64114.0851,64986.7676,65145.5084,65803.5964,65546.1973,65867.4944,64395.9748,64077.8332,63423.1324,65553.7614,65416.7748,65875.7863,63234.5021,64679.3956,65708.9455,64160.9581,65663.9038,63426.1224,63669.7565,62926.0462,64008.9849,63125.2666,65815.9974,65312.7316,63267.7499,64283.5894,63281.3524,63112.8493,63582.5049,63097.9951,62968.0404,63966.9295,65396.023,63731.2788,64064.108,64573.5783,65182.42,66177.13,63755.42,64673.39,0.9770627,0.9780626
io.reactivex.rxjava3.testsupport.TestSubscriberExTest.createDelegate,519246.112,522022.119,521621.053,529005.932,521296.159,530683.798,517884.743,524203.584,519160.326,515567.245,532301.714,529049.15,522392.051,531328.044,517411.2,532224.338,518727.013,538170.829,529325.596,520156.683,537357.778,538076.85,522316.714,538478.058,540316.586,536378.92,520311.811,519836.213,531769.341,542452.463,530154.314,525773.939,523808.441,528556.271,518837.701,507530.922,516762.995,506968.278,513474.982,507374.899,517276.859,527290.882,520733.139,523251.957,507524.161,525428.485,515932.073,513660.797,514945.621,515032.701,505410.106,508655.001,510560.565,506039.096,516775.855,512406.104,504365.802,512660.872,507820.112,505211.853,523232.8,530484.4,512396.1,519464.6,0.9791132,0.97938
io.reactivex.rxjava3.observers.TestObserverTest.assertNotMatchValue,398963.079,399727.329,403697.887,402093.157,400721.062,398588.045,399892.522,398702.434,400163.975,397114.383,401205.307,397502.906,398997.425,396215.343,394997.106,397967.828,400645.926,403057.762,400308.623,403635.665,400213.588,398924.42,402128.697,397958.319,399508.055,397532.745,399696.497,396601.571,392888.24,396450.293,392548.517,390458.89,394356.849,389369.316,391743.027,389202.304,387664.162,394531.284,390294.79,387629.715,393689.13,395559.772,391806.027,388303.524,389265.174,391992.301,388624.514,391647.059,389006.82,394172.649,394317.959,388618.532,389293.751,390739.422,392489.085,392267.243,391350.665,391255.513,393601.14,387188.874,398271.4,400472.7,389991.7,392221.9,0.9791717,0.9794548
io.reactivex.rxjava3.testsupport.TestObserverExTest.assertTerminalEventNotReceived,468056.198,449486.389,448560.382,462679.074,466488.552,464533.795,454786.912,459347.72,458134.823,447680.414,456082.624,454459.979,452155.213,450642.63,460950.732,448995.28,462676.848,446668.216,467400.953,458914.159,456168.913,452556.559,457313.317,454057.658,457846.023,459109.016,458114.253,468543.806,458601.915,448653.521,450331.766,451620.915,451070.57,449193.863,435286.624,441402.344,449386.868,441922.26,444302.918,446753.535,442591.452,436456.426,453823.904,445527.319,433078.952,452683.417,453383.041,461212.713,446894.151,452776.178,455018.874,439866.224,458327.257,448136.381,450015.462,443756.008,457093.204,444750.166,455029.913,441944.915,453754.8,459621.4,444198.9,450928.1,0.9789385,0.9810871
