BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
BinaryFlatMapPerf.completableFlatMapObservable_1,14158640.0000000,14163460.0000000,14158030.0000000,14162650.0000000,0.9999401,0.9999620
BinaryFlatMapPerf.completableFlatMapObservable_1000,118315.3000000,118362.0000000,118325.1000000,118372.4000000,1.0000800,1.0001020
BinaryFlatMapPerf.completableFlatMapObservable_1000000,116.5643000,116.7481000,116.6140000,116.7875000,1.0003440,1.0004300
BinaryFlatMapPerf.completableFlatMapPublisher_1,8651363.0000000,8656659.0000000,8651759.0000000,8657166.0000000,1.0000330,1.0000760
BinaryFlatMapPerf.completableFlatMapPublisher_1000,129066.5000000,129110.5000000,129076.7000000,129118.9000000,1.0000600,1.0000900
BinaryFlatMapPerf.completableFlatMapPublisher_1000000,128.3433000,128.4192000,128.3744000,128.4491000,1.0002330,1.0002850
BinaryFlatMapPerf.completableFlattenAsObservable_1,18335840.0000000,18343020.0000000,18335660.0000000,18342310.0000000,0.9999637,1.0000000
BinaryFlatMapPerf.completableFlattenAsObservable_1000,185396.8000000,185472.3000000,185375.2000000,185456.1000000,0.9998943,0.9999176
BinaryFlatMapPerf.completableFlattenAsObservable_1000000,171.5290000,171.6326000,171.5247000,171.6337000,0.9999533,1.0000170
BinaryFlatMapPerf.completableFlattenAsPublisher_1,13506140.0000000,13513210.0000000,13506830.0000000,13513730.0000000,1.0000330,1.0000610
BinaryFlatMapPerf.completableFlattenAsPublisher_1000,182184.1000000,182261.8000000,182193.1000000,182268.8000000,1.0000420,1.0000670
BinaryFlatMapPerf.completableFlattenAsPublisher_1000000,172.8489000,172.9401000,172.8603000,172.9496000,1.0000560,1.0000930
BinaryFlatMapPerf.maybeFlatMapHideObservable_1,12930050.0000000,12957040.0000000,12934210.0000000,12961020.0000000,1.0002140,1.0003290
BinaryFlatMapPerf.maybeFlatMapHideObservable_1000,144100.0000000,144158.9000000,144117.6000000,144169.7000000,1.0000750,1.0001170
BinaryFlatMapPerf.maybeFlatMapHideObservable_1000000,172.4518000,172.5337000,172.4555000,172.5444000,1.0000130,1.0000540
BinaryFlatMapPerf.maybeFlatMapHidePublisher_1,12223950.0000000,12232380.0000000,12222430.0000000,12230400.0000000,0.9998244,0.9998762
BinaryFlatMapPerf.maybeFlatMapHidePublisher_1000,170964.6000000,171048.1000000,170969.3000000,171062.6000000,1.0000400,1.0000830
BinaryFlatMapPerf.maybeFlatMapHidePublisher_1000000,173.2655000,173.3564000,173.2987000,173.3894000,1.0001580,1.0002060
BinaryFlatMapPerf.maybeFlatMapObservable_1,17221390.0000000,17231850.0000000,17224740.0000000,17234430.0000000,1.0001540,1.0001950
BinaryFlatMapPerf.maybeFlatMapObservable_1000,173019.4000000,173073.9000000,173002.6000000,173057.5000000,0.9998994,0.9999147
BinaryFlatMapPerf.maybeFlatMapObservable_1000000,173.2282000,173.3173000,173.2035000,173.2973000,0.9998568,0.9998846
BinaryFlatMapPerf.maybeFlatMapPublisher_1,12563440.0000000,12572830.0000000,12566550.0000000,12575370.0000000,1.0001930,1.0002670
BinaryFlatMapPerf.maybeFlatMapPublisher_1000,183240.3000000,183312.3000000,183249.1000000,183330.5000000,1.0000500,1.0000860
BinaryFlatMapPerf.maybeFlatMapPublisher_1000000,198.8928000,199.0097000,198.8671000,198.9890000,0.9998759,0.9999164
BinaryFlatMapPerf.maybeFlattenAsObservable_1,27409550.0000000,27445960.0000000,27409830.0000000,27449190.0000000,1.0000330,1.0002610
BinaryFlatMapPerf.maybeFlattenAsObservable_1000,159992.8000000,160522.4000000,160048.1000000,160551.9000000,1.0000880,1.0002650
BinaryFlatMapPerf.maybeFlattenAsObservable_1000000,184.7147000,184.7837000,184.6615000,184.7315000,0.9997120,0.9997353
BinaryFlatMapPerf.maybeFlattenAsPublisher_1,11831070.0000000,11836140.0000000,11830720.0000000,11836200.0000000,0.9999674,1.0000060
BinaryFlatMapPerf.maybeFlattenAsPublisher_1000,143824.6000000,143898.6000000,143838.9000000,143917.5000000,1.0000820,1.0001300
BinaryFlatMapPerf.maybeFlattenAsPublisher_1000000,138.9939000,139.0662000,138.9878000,139.0584000,0.9999368,0.9999850
BinaryFlatMapPerf.singleFlatMapHideObservable_1,13089150.0000000,13094480.0000000,13088260.0000000,13094050.0000000,0.9999304,0.9999740
BinaryFlatMapPerf.singleFlatMapHideObservable_1000,143669.1000000,143728.4000000,143642.2000000,143710.5000000,0.9998138,0.9998776
BinaryFlatMapPerf.singleFlatMapHideObservable_1000000,172.4479000,172.5439000,172.4328000,172.5151000,0.9998478,0.9999123
BinaryFlatMapPerf.singleFlatMapHidePublisher_1,11211940.0000000,11221520.0000000,11209330.0000000,11217630.0000000,0.9996563,0.9997613
BinaryFlatMapPerf.singleFlatMapHidePublisher_1000,170801.1000000,170908.7000000,170785.6000000,170892.4000000,0.9998961,0.9999374
BinaryFlatMapPerf.singleFlatMapHidePublisher_1000000,171.5885000,171.6893000,171.6504000,171.7506000,1.0003340,1.0003890
BinaryFlatMapPerf.singleFlatMapObservable_1,17191590.0000000,17202460.0000000,17189590.0000000,17199080.0000000,0.9998001,0.9998905
BinaryFlatMapPerf.singleFlatMapObservable_1000,173547.2000000,173629.9000000,173581.0000000,173657.8000000,1.0001700,1.0001910
BinaryFlatMapPerf.singleFlatMapObservable_1000000,172.8507000,172.9279000,172.8515000,172.9422000,0.9999913,1.0000800
BinaryFlatMapPerf.singleFlatMapPublisher_1,12551000.0000000,12556940.0000000,12550320.0000000,12556100.0000000,0.9999071,0.9999514
BinaryFlatMapPerf.singleFlatMapPublisher_1000,182742.7000000,182866.9000000,182733.3000000,182841.5000000,0.9998765,0.9999652
BinaryFlatMapPerf.singleFlatMapPublisher_1000000,196.8848000,197.0215000,196.8597000,196.9880000,0.9998284,0.9998629
BinaryFlatMapPerf.singleFlattenAsObservable_1,62679690.0000000,62702330.0000000,62675950.0000000,62700810.0000000,0.9999275,0.9999721
BinaryFlatMapPerf.singleFlattenAsObservable_1000,202340.5000000,202383.9000000,202335.4000000,202382.8000000,0.9999682,0.9999979
BinaryFlatMapPerf.singleFlattenAsObservable_1000000,181.8489000,182.7460000,181.5607000,182.3339000,0.9978381,0.9984271
BinaryFlatMapPerf.singleFlattenAsPublisher_1,11574550.0000000,11583940.0000000,11574920.0000000,11584180.0000000,1.0000240,1.0001050
BinaryFlatMapPerf.singleFlattenAsPublisher_1000,147075.9000000,147192.5000000,147089.7000000,147211.0000000,1.0000360,1.0001260
BinaryFlatMapPerf.singleFlattenAsPublisher_1000000,139.0157000,139.0889000,139.0236000,139.1111000,1.0000540,1.0001690
BlockingPerf.flowableBlockingFirst_1,16705010.0000000,16712810.0000000,16704560.0000000,16712550.0000000,0.9999652,0.9999940
BlockingPerf.flowableBlockingFirst_1000,10858670.0000000,10868190.0000000,10859110.0000000,10867610.0000000,0.9999245,1.0000410
BlockingPerf.flowableBlockingFirst_1000000,10951990.0000000,10955220.0000000,10951210.0000000,10954410.0000000,0.9999224,0.9999376
BlockingPerf.flowableBlockingLast_1,16209400.0000000,16216360.0000000,16207780.0000000,16214560.0000000,0.9998816,0.9999097
BlockingPerf.flowableBlockingLast_1000,792187.5000000,792546.4000000,792159.4000000,792523.7000000,0.9999605,0.9999881
BlockingPerf.flowableBlockingLast_1000000,751.8102000,752.4095000,751.8584000,752.4108000,1.0000020,1.0001030
BlockingPerf.observableBlockingFirst_1,16345990.0000000,16358670.0000000,16350380.0000000,16362510.0000000,1.0002350,1.0002930
BlockingPerf.observableBlockingFirst_1000,17146440.0000000,17162130.0000000,17147190.0000000,17163640.0000000,1.0000320,1.0001090
BlockingPerf.observableBlockingFirst_1000000,17341870.0000000,17363690.0000000,17350850.0000000,17371890.0000000,1.0004430,1.0005170
BlockingPerf.observableBlockingLast_1,17566990.0000000,17575350.0000000,17565130.0000000,17573780.0000000,0.9998938,0.9999204
BlockingPerf.observableBlockingLast_1000,624471.4000000,624694.9000000,624455.5000000,624700.1000000,0.9999722,1.0000070
BlockingPerf.observableBlockingLast_1000000,839.5228000,839.9436000,839.5208000,839.9934000,0.9999975,1.0000400
EachTypeFlatMapPerf.nbpRangeMapJust_1,18913630.0000000,18929540.0000000,18916350.0000000,18931230.0000000,1.0000820,1.0001500
EachTypeFlatMapPerf.nbpRangeMapJust_1000,34986.1300000,35003.3100000,34987.8900000,35005.1800000,1.0000310,1.0000580
EachTypeFlatMapPerf.nbpRangeMapJust_1000000,37.5360500,37.9195300,37.7038000,38.1247700,1.0044960,1.0054200
EachTypeFlatMapPerf.nbpRangeMapRange_1,14144160.0000000,14150240.0000000,14146280.0000000,14151720.0000000,1.0001000,1.0001540
EachTypeFlatMapPerf.nbpRangeMapRange_1000,6812.1570000,6815.0410000,6813.0460000,6815.8040000,1.0001100,1.0001360
EachTypeFlatMapPerf.nbpRangeMapRange_1000000,7.0339180,7.0371550,7.0348180,7.0379910,1.0001190,1.0001500
EachTypeFlatMapPerf.singleJust_1,32775550.0000000,32793140.0000000,32776170.0000000,32794520.0000000,1.0000100,1.0000580
EachTypeFlatMapPerf.singleJust_1000,37528410.0000000,37549930.0000000,37536340.0000000,37557510.0000000,1.0001930,1.0002260
EachTypeFlatMapPerf.singleJust_1000000,36461530.0000000,36477800.0000000,36461490.0000000,36476410.0000000,0.9999490,0.9999989
EachTypeFlatMapPerf.singleJustMapJust_1,13619270.0000000,13631170.0000000,13619460.0000000,13632860.0000000,1.0000260,1.0001350
EachTypeFlatMapPerf.singleJustMapJust_1000,12544700.0000000,12548520.0000000,12545420.0000000,12548890.0000000,1.0000230,1.0000570
EachTypeFlatMapPerf.singleJustMapJust_1000000,12536430.0000000,12543680.0000000,12538580.0000000,12547070.0000000,1.0001790,1.0002570
FlatMapJustPerf.flowable_10,162.0999000,163.0218000,161.8903000,162.7859000,0.9983030,0.9986277
FlatMapJustPerf.flowable_100,160.1841000,162.8096000,161.3107000,164.0328000,1.0070630,1.0079850
FlatMapJustPerf.flowable_1000,172.9855000,178.4196000,173.0042000,178.1670000,0.9990669,1.0019490
FlatMapJustPerf.flowable_10000,162.9240000,165.1212000,163.4149000,165.6746000,1.0022740,1.0034640
FlatMapJustPerf.flowable_100000,183.1147000,186.2353000,183.6505000,186.6287000,1.0026140,1.0038410
FlatMapJustPerf.flowable_1000000,186.2254000,188.1330000,186.2627000,188.2196000,1.0000860,1.0006960
FlatMapJustPerf.observable_10,202.2407000,205.9111000,202.2535000,205.7389000,0.9986470,1.0004890
FlatMapJustPerf.observable_100,184.8546000,188.4496000,183.7921000,187.5911000,0.9941000,0.9963203
FlatMapJustPerf.observable_1000,196.0729000,199.0443000,194.9033000,197.8548000,0.9933839,0.9942810
FlatMapJustPerf.observable_10000,203.7802000,208.6706000,204.7525000,210.1522000,1.0045850,1.0068210
FlatMapJustPerf.observable_100000,175.3400000,178.8300000,176.5542000,179.7710000,1.0042990,1.0062770
FlatMapJustPerf.observable_1000000,191.4016000,195.6534000,191.3183000,195.7284000,0.9993949,1.0004520
FlattenCrossMapPerf.flowable_1,145.8459000,145.8885000,145.8463000,145.8916000,1.0000030,1.0000400
FlattenCrossMapPerf.flowable_10,87.8101200,87.9444400,87.8257500,87.9592900,1.0001530,1.0002550
FlattenCrossMapPerf.flowable_100,88.6979500,88.7232000,88.6995500,88.7250000,1.0000120,1.0000340
FlattenCrossMapPerf.flowable_1000,92.4644400,92.6055200,92.4497500,92.6188500,0.9998518,1.0001430
FlattenCrossMapPerf.flowable_10000,91.8490700,91.8605900,91.8515000,91.8627900,1.0000200,1.0000280
FlattenCrossMapPerf.flowable_100000,83.4590000,83.5381700,83.4804700,83.5643600,1.0002210,1.0003060
FlattenCrossMapPerf.flowable_1000000,46.9903600,47.0025600,46.9851200,46.9974000,0.9998775,0.9998957
FlattenCrossMapPerf.observable_1,165.8412000,166.2161000,165.9567000,166.2924000,1.0004600,1.0007000
FlattenCrossMapPerf.observable_10,205.1339000,205.1733000,205.1285000,205.1759000,0.9999739,1.0000110
FlattenCrossMapPerf.observable_100,202.1199000,202.4692000,202.1000000,202.4803000,0.9998756,1.0000550
FlattenCrossMapPerf.observable_1000,203.4810000,203.4992000,203.4878000,203.5058000,1.0000310,1.0000370
FlattenCrossMapPerf.observable_10000,193.5844000,193.9771000,193.5225000,193.9310000,0.9996805,0.9998630
FlattenCrossMapPerf.observable_100000,182.3155000,182.3375000,182.3095000,182.3322000,0.9999620,0.9999709
FlattenCrossMapPerf.observable_1000000,96.6652700,96.8174100,96.6801700,96.8430000,1.0001600,1.0002980
FlattenJustPerf.flowable_1,16180050.0000000,16183660.0000000,16180450.0000000,16184070.0000000,1.0000240,1.0000440
FlattenJustPerf.flowable_10,3621301.0000000,3627449.0000000,3620976.0000000,3626974.0000000,0.9998200,0.9999025
FlattenJustPerf.flowable_100,562355.0000000,562433.1000000,562370.7000000,562443.3000000,1.0000190,1.0000310
FlattenJustPerf.flowable_1000,58228.6300000,58338.8600000,58268.9900000,58381.0800000,1.0006930,1.0007730
FlattenJustPerf.flowable_10000,5897.0340000,5898.5690000,5896.6820000,5898.1360000,0.9999303,0.9999432
FlattenJustPerf.flowable_100000,585.9796000,587.0767000,586.2509000,587.2685000,1.0002980,1.0004630
FlattenJustPerf.flowable_1000000,59.1062600,59.1362900,59.0951800,59.1293500,0.9997945,0.9998839
FlattenJustPerf.observable_1,34371830.0000000,34416540.0000000,34387210.0000000,34429420.0000000,1.0003720,1.0005440
FlattenJustPerf.observable_10,12082030.0000000,12083360.0000000,12081340.0000000,12082820.0000000,0.9999393,0.9999557
FlattenJustPerf.observable_100,1329335.0000000,1331274.0000000,1328684.0000000,1330770.0000000,0.9994705,0.9996384
FlattenJustPerf.observable_1000,136380.6000000,136502.1000000,136376.6000000,136494.5000000,0.9999328,0.9999716
FlattenJustPerf.observable_10000,15297.3000000,15326.0100000,15290.3400000,15323.1600000,0.9994363,0.9997712
FlattenJustPerf.observable_100000,1327.0820000,1327.1850000,1327.0360000,1327.1360000,0.9999592,0.9999663
FlattenJustPerf.observable_1000000,138.3522000,138.6319000,138.3821000,138.6919000,1.0002300,1.0004210
FlattenRangePerf.flowable_1,12415030.0000000,12436830.0000000,12415180.0000000,12438430.0000000,0.9999798,1.0001330
FlattenRangePerf.flowable_10,2060008.0000000,2064420.0000000,2059639.0000000,2063560.0000000,0.9995948,0.9998342
FlattenRangePerf.flowable_100,273584.1000000,273690.9000000,273567.3000000,273674.9000000,0.9999398,0.9999528
FlattenRangePerf.flowable_1000,28581.8900000,28620.2200000,28563.6200000,28605.7100000,0.9993933,0.9994953
FlattenRangePerf.flowable_10000,2777.0520000,2779.0470000,2776.6320000,2778.4500000,0.9998054,0.9998880
