BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingPredicate_1,171524.9000000,172069.1000000,171550.4000000,172081.3000000,0.9999583,1.0001790
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingRetryAmount_2,236127.1000000,236685.0000000,236057.9000000,236579.8000000,0.9995597,0.9997152
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithNotMatchingRetryAmount_3,240905.8000000,241644.1000000,240650.4000000,241386.3000000,0.9988801,0.9990951
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithZeroRetries_4,373827.8000000,374841.3000000,373326.1000000,374487.0000000,0.9986432,0.9990548
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseEmpty_5,1140157.0000000,1140727.0000000,1140038.0000000,1140629.0000000,0.9998929,0.9999346
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseError_6,389060.3000000,390007.0000000,388983.1000000,390011.1000000,0.9998129,0.9999981
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_7,1168800.0000000,1169289.0000000,1168640.0000000,1169148.0000000,0.9998479,0.9998830
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_8,1167240.0000000,1168374.0000000,1167377.0000000,1168474.0000000,1.0000800,1.0001200
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueError_9,458905.4000000,460779.0000000,458968.3000000,460861.5000000,0.9999558,1.0002720
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFires_10,15250.9200000,15303.3700000,15272.1800000,15318.1700000,1.0010240,1.0014750
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_11,14827.6900000,14887.5100000,14838.6700000,14897.0900000,1.0006230,1.0009440
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_12,14712.4100000,14768.8900000,14683.0900000,14741.3000000,0.9979643,0.9982441
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFires_13,15382.4100000,15444.0300000,15403.2600000,15460.0300000,1.0010750,1.0014200
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_14,14691.1500000,14735.6000000,14705.0000000,14751.1900000,1.0007970,1.0011150
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_15,38331.7600000,38788.0800000,38377.8000000,38842.1500000,1.0009260,1.0017560
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleError_16,43187.9600000,43331.8800000,43204.3800000,43356.8000000,1.0003170,1.0005750
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_17,41744.0400000,41902.2100000,41701.7600000,41886.2300000,0.9989872,0.9997263
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_18,42906.0700000,43087.2500000,42866.4500000,43038.6200000,0.9989606,0.9991573
io.reactivex.rxjava3.completable.CompletableTest.ambIterableEmpty_19,38615.4200000,39042.9300000,38797.5400000,39199.3700000,1.0040520,1.0050310
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorHasNextThrows_20,39236.0500000,39356.7500000,39195.5700000,39333.6500000,0.9989234,0.9994006
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNextThrows_21,22124.3200000,22186.2700000,22116.2800000,22184.5700000,0.9996503,0.9999233
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNull_22,28088.1900000,28329.1300000,28014.3800000,28257.2900000,0.9970038,0.9977887
io.reactivex.rxjava3.completable.CompletableTest.ambIterableManyOneThrows_23,29298.7600000,29411.9200000,29292.4800000,29407.0600000,0.9995764,0.9999459
io.reactivex.rxjava3.completable.CompletableTest.ambIterableSingle_24,40045.9000000,40196.0500000,40045.4400000,40206.4200000,1.0000390,1.0002800
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_25,39827.9400000,39984.8700000,39763.4900000,39924.0300000,0.9982651,0.9985162
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_26,39795.5300000,39984.7800000,39813.2000000,39993.7400000,1.0001740,1.0005940
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_27,40529.6800000,40690.8200000,40467.9400000,40637.4800000,0.9984639,0.9987966
