BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingPredicate_1,0.1566892,0.1566928,0.1566897,0.1566942,1.0000030,1.0000090
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingRetryAmount_2,0.5438806,0.5439045,0.5438822,0.5439067,1.0000020,1.0000120
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithNotMatchingRetryAmount_3,0.2234691,0.2234782,0.2234705,0.2234791,0.9999965,1.0000070
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithZeroRetries_4,0.5820406,0.5820662,0.5820407,0.5820635,0.9999951,1.0000020
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseEmpty_5,0.2117610,0.2117668,0.2117607,0.2117665,0.9999935,0.9999995
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseError_6,0.8338327,0.8338716,0.8338457,0.8338851,1.0000140,1.0000220
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_7,1.1199440,1.1200290,1.1199700,1.1200260,1.0000050,1.0000230
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_8,2.2563140,2.2563900,2.2563390,2.2564140,1.0000050,1.0000120
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueError_9,0.8322224,0.8322485,0.8322222,0.8322468,0.9999950,1.0000010
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFires_10,2.1994640,2.1995820,2.1994940,2.1996510,1.0000140,1.0000320
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_11,2.1295090,2.1296090,2.1295210,2.1296460,1.0000050,1.0000180
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_12,1.9231410,1.9232370,1.9231380,1.9232200,0.9999880,0.9999981
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFires_13,2.1159150,2.1159780,2.1159210,2.1159810,1.0000010,1.0000060
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_14,1.9202300,1.9203200,1.9201950,1.9202930,0.9999798,0.9999856
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_15,2.0389960,2.0390650,2.0389960,2.0390680,0.9999968,1.0000030
