BENCHMARK,ITERATION_1,ITERATION_2,ITERATION_3,ITERATION_4,ITERATION_5,ITERATION_6,ITERATION_7,ITERATION_8,ITERATION_9,ITERATION_10,ITERATION_11,ITERATION_12,ITERATION_13,ITERATION_14,ITERATION_15,ITERATION_16,ITERATION_17,ITERATION_18,ITERATION_19,ITERATION_20,ITERATION_21,ITERATION_22,ITERATION_23,ITERATION_24,ITERATION_25,ITERATION_26,ITERATION_27,ITERATION_28,ITERATION_29,ITERATION_30,RSD
StrictPerf.internal_100000_1000,3.81,3.81,3.81,3.81,3.81,3.81,3.8,3.81,3.8,3.8,3.81,3.81,3.81,3.81,3.81,3.8,3.81,3.8,3.81,3.81,3.8,3.81,3.8,3.8,3.8,3.8,3.81,3.81,3.81,3.81,0.125953582
StrictPerf.external_1000000_100,3.77,3.79,3.78,3.77,3.77,3.78,3.78,3.78,3.78,3.78,3.77,3.78,3.78,3.78,3.77,3.78,3.77,3.78,3.78,3.77,3.77,3.78,3.78,3.78,3.78,3.77,3.78,3.77,3.77,3.77,0.147246911
StrictPerf.internal_1000000_100,3.9,3.89,3.89,3.9,3.89,3.9,3.89,3.89,3.89,3.89,3.9,3.89,3.91,3.9,3.89,3.89,3.89,3.89,3.89,3.9,3.9,3.89,3.9,3.89,3.9,3.9,3.91,3.9,3.89,3.9,0.161426551
FlowableFlatMapCompletableAsyncPerf.flatMapCompletable_1000000_32_100,1.47,1.47,1.46,1.47,1.48,1.46,1.46,1.47,1.47,1.46,1.48,1.46,1.46,1.46,1.47,1.46,1.46,1.47,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.47,1.46,1.46,1.47,1.47,0.42931968
StrictPerf.external_10000_10000,3.8,3.8,3.8,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.78,3.79,3.8,3.79,3.79,3.8,3.79,3.79,3.8,3.78,3.78,3.8,3.79,3.78,3.8,3.8,3.8,3.79,3.79,3.8,0.179021857
ParallelPerf.flatMap_10000_10000_2,6.82,6.81,6.81,6.81,6.82,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.81,6.81,6.81,6.8,6.8,6.81,6.81,6.81,6.8,6.81,6.8,6.8,6.82,6.81,6.82,6.8,6.81,6.81,0.10316046
FlowableFlatMapCompletableAsyncPerf.flatMapCompletable_1000000_32_10,1.42,1.43,1.44,1.43,1.42,1.43,1.42,1.44,1.43,1.43,1.44,1.44,1.44,1.42,1.44,1.43,1.43,1.43,1.44,1.44,1.42,1.44,1.43,1.43,1.44,1.43,1.43,1.43,1.43,1.44,0.498871669
FlowableConcatMapSinglePerf.flowableDedicated_1000000,9.95,9.95,9.97,9.95,9.94,9.95,9.95,9.95,9.96,9.95,9.95,9.95,9.95,9.96,9.95,9.94,9.96,9.96,9.95,9.96,9.96,9.95,9.94,9.96,9.95,9.94,9.95,9.96,9.96,9.95,0.073141847
ParallelPerf.groupBy_10000_10000_4,6.95,6.94,6.95,6.96,6.94,6.96,6.95,6.96,6.96,6.94,6.95,6.96,6.95,6.96,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.94,6.94,6.96,6.95,6.94,6.96,6.96,6.95,6.96,0.105058513
FlowableFlatMapCompletableAsyncPerf.flatMapCompletable_1000000_128_10,1.45,1.45,1.46,1.46,1.46,1.45,1.45,1.47,1.46,1.45,1.46,1.47,1.45,1.46,1.47,1.46,1.45,1.46,1.46,1.47,1.45,1.47,1.46,1.46,1.45,1.46,1.46,1.46,1.45,1.47,0.500660473
