Mutation Operator,Hitting Ratio,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
EFL,1,447.3852,448.0678,445.7926,447.0434,0.9964394,0.9977184
,10,446.3776,447.3974,446.9272,447.5317,1.000303,1.00124
,100,447.6553,448.1565,446.7312,447.6698,0.9979327,0.998914
,1000,446.4948,447.0558,446.0112,446.4992,0.9987542,0.9989232
,10000,435.3898,436.0124,428.4577,430.2878,0.9840801,0.9868705
,100000,348.5325,349.357,337.2378,338.1271,0.9675775,0.9678453
,1000000,122.1153,122.4543,107.9496,112.6621,0.8839969,0.920033
HWO,1,447.1778,447.9058,392.049,393.5933,0.8767228,0.878741
,10,447.5943,448.136,392.0076,393.3952,0.8758112,0.8778472
,100,447.078,448.0264,386.0742,387.4055,0.8635387,0.8646994
,1000,447.0838,447.612,366.2399,367.3755,0.8191758,0.8207454
,10000,440.1149,441.025,352.0957,353.0715,0.8000086,0.8005706
,100000,393.5193,393.998,302.7545,303.7943,0.769351,0.7710597
,1000000,194.1625,194.6162,160.1602,160.4865,0.8246289,0.8248737
PTW,1,448.1292,448.5198,447.6926,448.1281,0.9990245,0.9991263
,10,447.7344,448.3792,447.4175,448.0061,0.9991561,0.9992749
,100,448.0003,448.3775,447.4878,447.8731,0.9988556,0.9988925
,1000,446.1164,446.9643,444.787,445.4436,0.9965984,0.9970181
,10000,441.3679,441.8559,422.6581,423.1913,0.9576064,0.9577554
,100000,394.5757,395.2866,289.9943,290.9831,0.734951,0.736128
,1000000,197.6243,198.0696,74.86792,75.14162,0.3788341,0.3793693
SOC,1,351.6486,352.7257,296.693,297.4714,0.8433415,0.8437283
,10,351.5729,352.4641,298.1837,298.5432,0.8470155,0.8481472
,100,351.3498,352.4738,297.6507,298.2086,0.8460381,0.8471616
,1000,351.7536,352.6364,298.1593,298.4383,0.8463058,0.8476399
,10000,345.908,346.9531,295.5364,296.0246,0.8532133,0.8543747
,100000,327.5271,328.5045,275.4203,275.7744,0.8394849,0.8409097
,1000000,199.8455,200.476,165.2311,165.5946,0.8260019,0.8267973
STS,1,446.5638,447.3075,446.6361,447.5473,1.000186,1.000529
,10,445.6566,446.5507,446.3546,447.3733,1.001571,1.001866
,100,446.7567,447.4917,445.9426,446.6419,0.998103,0.9981996
,1000,441.8349,442.9646,437.5501,438.1784,0.9891932,0.9902876
,10000,405.8187,407.0141,378.5773,379.5791,0.9325904,0.9328731
,100000,204.3684,206.8437,196.0604,197.7226,0.9559479,0.9593345
,1000000,18.80585,20.62195,12.82741,14.1864,0.6815923,0.6878825
