Benchmark,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30,Iteration_bug_1,Iteration_bug_2,Iteration_bug_3,Iteration_bug_4,Iteration_bug_5,Iteration_bug_6,Iteration_bug_7,Iteration_bug_8,Iteration_bug_9,Iteration_bug_10,Iteration_bug_11,Iteration_bug_12,Iteration_bug_13,Iteration_bug_14,Iteration_bug_15,Iteration_bug_16,Iteration_bug_17,Iteration_bug_18,Iteration_bug_19,Iteration_bug_20,Iteration_bug_21,Iteration_bug_22,Iteration_bug_23,Iteration_bug_24,Iteration_bug_25,Iteration_bug_26,Iteration_bug_27,Iteration_bug_28,Iteration_bug_29,Iteration_bug_30,iteration_mutant_1,iteration_mutant_2,iteration_mutant_3,iteration_mutant_4,iteration_mutant_5,iteration_mutant_6,iteration_mutant_7,iteration_mutant_8,iteration_mutant_9,iteration_mutant_10,iteration_mutant_11,iteration_mutant_12,iteration_mutant_13,iteration_mutant_14,iteration_mutant_15,iteration_mutant_16,iteration_mutant_17,iteration_mutant_18,iteration_mutant_19,iteration_mutant_20,iteration_mutant_21,iteration_mutant_22,iteration_mutant_23,iteration_mutant_24,iteration_mutant_25,iteration_mutant_26,iteration_mutant_27,iteration_mutant_28,iteration_mutant_29,iteration_mutant_30,Lower_CI_original,Upper_CI_original,Lower_CI_bug,Upper_CI_bug,Lower_RCI_bug,Upper_RCI_bug,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI_mutant,Upper_RCI_mutant
com.pushtorefresh.storio.sqlitedb.operation.delete.PreparedDeleteTest.deleteOneObservable,5955.47376,5957.69153,5940.15438,5968.64917,5961.87515,5957.67556,5960.07795,5958.67316,5966.85117,5961.08094,5951.90713,5971.04597,5970.04797,5956.08994,5967.85596,5986.606,5974.83358,5979.62279,5966.66096,5980.6134,5967.05996,5974.43488,5976.02998,5980.0145,5969.65077,5971.24527,5974.23538,5981.8112,5975.03198,5979.62279,5437.2956,5438.77637,5427.10621,5454.77505,5438.78463,5438.76178,5443.13196,5446.74619,5445.50357,5444.04796,5434.03929,5454.2392,5450.60173,5440.57764,5451.87026,5463.53234,5452.78852,5464.25784,5444.24026,5464.07081,5446.23901,5459.51707,5454.42611,5458.06284,5451.32935,5448.42318,5456.607,5458.61023,5457.33458,5462.07367,5426.49614,5424.71696,5416.86749,5442.85208,5428.52631,5430.67377,5429.60524,5426.15371,5433.60087,5426.17367,5418.9077,5444.49367,5438.68788,5422.17324,5436.69097,5457.04509,5439.23666,5450.13475,5433.97132,5454.30729,5432.15988,5442.68434,5442.5039,5453.2162,5443.22151,5442.49905,5447.40183,5448.31403,5441.05057,5444.68625,5962.471,5972.154,5444.718,5453.245,0.913108,0.9131636,5431.478,5441.565,0.9109481,0.9111841
com.pushtorefresh.storio.sqlitedb.design.GetOperationDesignTest.getListOfObjectsWithRawQueryBlocking,179.37054,179.604216,179.388504,178.588532,179.424432,179.64018,179.37054,178.463358,179.406468,178.463358,179.37054,178.588532,180.367043,196.409394,67.8368952,260.347891,120.709769,221.46751,148.627723,201.495303,163.508328,191.38606,170.470276,186.346061,174.61521,182.615901,176.381031,181.618,177.626395,180.439298,159.663254,159.903234,159.535519,159.046657,159.695252,159.951245,159.775029,158.855743,159.807032,158.776307,159.583414,159.078453,160.453932,174.987427,60.3776754,231.535104,107.533458,197.075921,132.324586,179.428939,145.47103,170.477903,151.61945,165.905558,155.33712,162.730875,156.892287,161.760796,158.189801,160.743093,163.194158,163.504843,163.161519,162.482675,163.308513,163.570284,163.292113,162.287572,163.210516,162.498736,163.292113,162.401401,164.084375,178.62487,61.7931741,236.892331,109.790699,201.555121,135.372662,183.451995,148.941052,174.282845,155.15862,169.727166,158.788218,166.180081,160.426094,165.172811,161.720478,164.396456,159.2183,192.6986,142.3875,170.921,0.8868673,0.8952592,145.4916,174.9113,0.9060668,0.9117141
com.pushtorefresh.storio.sqlitedb.design.GetOperationDesignTest.getCursorWithRawQueryObservable,12166.5258,12158.9956,12168.7418,12171.179,12172.3976,12159.9924,12158.5541,12156.3401,12177.3871,12171.7346,12163.2037,12159.5507,12160.3261,12165.4184,12162.9828,12161.7651,12161.7651,12172.7322,12171.5133,12161.7651,12162.9828,12164.2006,12161.7651,12173.9512,12160.5473,12165.4184,12164.2006,12165.4184,12160.5473,12175.1702,11219.4338,11218.0961,11214.7445,11214.7458,11220.3586,11206.681,11210.9615,11201.0729,11222.7119,11235.4614,11218.6136,11217.4869,11205.8671,11224.0218,11222.8963,11212.8007,11206.0717,11216.177,11213.9314,11215.0437,11208.3153,11207.1941,11216.1652,11235.2622,11211.6779,11220.6563,11210.5592,11210.5597,11209.4352,11236.3872,11175.1791,11171.6153,11186.1626,11182.8093,11192.8797,11168.0604,11170.0921,11181.4664,11194.1098,11186.6762,11187.7796,11175.4783,11185.1328,11189.8167,11183.1046,11181.9849,11183.1028,11189.8308,11178.6414,11187.5742,11168.5709,11176.3976,11173.042,11187.5944,11171.9233,11190.9349,11173.0433,11177.5165,11176.3943,11189.8337,12162.56,12167.72,11212.2,11219.69,0.9218634,0.9220926,11178.16,11185.04,0.9190583,0.9192476
com.pushtorefresh.storio.util.QueryUtilTest.nonEmptyVarargsToList,26109411.3,26811906.1,26713904.6,26671973.1,26691413.4,26695561.4,26648087.7,26746335,26785864.1,26940789,27119447.4,27030927,27093185.2,27068939.2,27174574.2,26796485.9,26726448.6,27132986.7,27231265.6,27082633.7,27189355.6,27274284.2,26984737.2,26884041.5,26925823,27127247.1,27112606.6,27116487.8,27202384.8,26809744.8,24031650.4,24707878.9,24585577.9,24571556.2,24582089.4,24580991.5,24525004.7,24632670.8,24651804.3,24839056.2,24956312.5,24907222.5,24949615,24944741.7,25017055,24696137.1,24602046.3,25001263.7,25091821.3,24947382.6,25025653.7,25101311.4,24844775.8,24764447.8,24780612.5,24968487.8,24979987.3,24968576.1,25055186.4,24683660.8,24008376.1,24632160.8,24578958.2,24503604.1,24553357.7,24539997.2,24515951.9,24581754.2,24630394.4,24757994.7,24919685.2,24870644.6,24903024.1,24888202.3,24995318.3,24650013.6,24568390.4,24919656.4,25019930.3,24875900.3,25008914.2,25064469.5,24793421.5,24691018.6,24751666,24956773.4,24895954.6,24909488.3,24993394.8,24642496.5,26810500,27039530,24689480,24900650,0.9207578,0.9209427,24648880,24855380,0.9191671,0.9195657
com.pushtorefresh.storio.sqlitedb.operation.delete.PreparedDeleteTest.deleteMultipleBlockingWithTransaction,4191.3964,4192.76064,4206.23916,4204.35743,4203.51572,4211.87311,4191.29161,4198.48381,4194.12454,4197.90669,4202.89469,4205.46632,4194.91388,4128.07459,4139.63122,4156.08527,4180.33008,4186.35465,4172.45337,4180.58926,4162.8266,4196.90909,4200.10475,4201.58421,4183.52129,4187.4084,4164.24129,4187.3056,4186.19511,4194.96445,3900.92431,3902.194,3909.65232,3911.42285,3913.76767,3916.84783,3901.60648,3909.08261,3898.0018,3905.0311,3913.18946,3912.06331,3905.36858,3843.14273,3850.05125,3865.74086,3890.6249,3891.94867,3879.41309,3892.03268,3868.52643,3900.58975,3908.63848,3911.9693,3892.8167,3893.3178,3875.65109,3895.16962,3896.47285,3905.41566,3883.79401,3880.01008,3897.54747,3895.02507,3895.0239,3901.20762,3881.36786,3886.47286,3880.8838,3887.10499,3892.5022,3894.10493,3883.16824,3822.44308,3830.46035,3850.68941,3873.53984,3879.50999,3867.78691,3871.0697,3858.86308,3889.29082,3893.03024,3892.45588,3874.55956,3880.4865,3852.84673,3880.77904,3880.91296,3882.43802,4174.942,4194.803,3883.951,3902.443,0.9302575,0.9304836,3866.382,3884.996,0.9261388,0.9262816
com.pushtorefresh.storio.sqlitedb.operation.delete.PreparedDeleteTest.deleteMultipleObservableWithTransaction,4023.2855,4013.93005,4016.14983,4017.90009,4016.14983,4022.50037,4035.29766,4041.28327,4045.89605,4042.09266,4040.04012,4041.28327,4039.63563,4042.49735,4044.89805,4041.28327,4040.04012,4038.04652,4040.04012,4041.28327,4044.89805,4036.83365,4039.23114,4040.87857,4039.63563,4041.28327,4038.82665,4042.90205,4043.68336,4038.45081,3773.963,3762.55141,3766.516,3767.40361,3768.39982,3774.73597,3783.33796,3793.49931,3792.13594,3792.74228,3788.92133,3790.0872,3788.54198,3790.08812,3795.37461,3788.19159,3793.0904,3790.08219,3789.67934,3791.22457,3792.71838,3789.32251,3787.40478,3794.63576,3788.92095,3794.63667,3791.57221,3795.77738,3796.89029,3791.97709,3780.24486,3769.19281,3775.0489,3775.93943,3770.52291,3777.61835,3786.60485,3798.67351,3803.00937,3798.2955,3794.09031,3798.29398,3791.81359,3795.63867,3801.69142,3795.25778,3797.12559,3789.94274,3794.46972,3797.53493,3799.03236,3793.35369,3789.53725,3796.01618,3794.84856,3795.6373,3789.91636,3796.39833,3794.47375,3792.21849,4031.9,4040.517,3781.97,3790.4,0.9379966,0.9381141,3787.173,3795.348,0.9392461,0.939324
com.pushtorefresh.storio.sqlitedb.operation.delete.PreparedDeleteTest.deleteMultipleObservable,4105.65423,4120.91895,4123.32734,4116.75412,4112.52475,4119.33574,4114.69368,4107.23706,4126.32104,4113.8035,4113.8035,4101.02052,4111.35253,4128.48797,4118.33784,4123.6712,4107.71117,4098.26494,4101.84187,4102.25255,4108.77011,4109.12016,4113.97635,4105.65423,4102.01712,4112.35043,4118.61526,4120.67869,4082.67279,4108.64524,3860.81373,3877.88293,3879.76123,3874.35116,3871.53194,3873.29166,3873.18653,3867.71372,3883.7431,3869.25134,3872.34859,3858.38612,3868.49377,3886.94826,3873.12853,3884.35372,3862.74801,3853.09371,3860.31698,3861.47561,3870.31742,3869.87372,3869.41391,3861.9729,3858.16562,3871.36783,3876.10271,3878.82026,3840.35547,3870.58647,3862.89526,3876.09516,3876.80989,3871.01669,3869.35954,3870.73333,3864.43727,3864.77062,3877.685,3863.60123,3865.92171,3855.45116,3866.32404,3882.43825,3871.34435,3873.25645,3861.74118,3850.54887,3856.60896,3859.69471,3863.50926,3862.67949,3868.40473,3863.66722,3854.07426,3869.58213,3871.60513,3871.60785,3837.81827,3864.16436,4107.979,4116.228,3865.37,3873.932,0.9409255,0.9411381,3862.037,3869.775,0.9400691,0.9401394
com.pushtorefresh.storio.sqlitedb.operation.delete.PreparedDeleteTest.deleteMultipleObservableWithoutTransaction,4223.17971,4231.67488,4227.83473,4231.25121,4223.17971,4229.40636,4238.38387,4237.2585,4235.41339,4240.37887,4239.08387,4242.50225,4233.56869,4241.22822,4239.08387,4236.98275,4240.50624,4235.98605,4235.41339,4236.4102,4240.50624,4241.07967,4239.23282,4236.98275,4244.80956,4247.80027,4250.06078,4246.94977,4244.53132,4252.48226,3981.11216,3988.72173,3980.72063,3984.33605,3976.73557,3981.00502,3995.44484,3991.98878,3994.24073,3995.72752,3997.7022,3995.33023,3991.70336,3998.52573,3994.50723,3987.73726,3998.64408,3994.78077,3991.84658,3992.78606,3996.64655,3993.19142,3990.25436,3994.12403,3996.7033,4005.92227,4002.8488,3999.51864,3996.44132,4008.33449,3982.30578,3987.52572,3979.92401,3982.34289,3982.30578,3981.40348,3989.85457,3991.19038,3989.45243,3994.92854,3996.10472,3997.32869,3984.92289,3996.12829,3993.30912,3991.72899,3998.64408,3988.79459,3988.65438,3994.78165,3999.04358,3998.38568,3991.45251,3991.32982,3996.30339,3998.31862,4006.85285,4004.72009,3998.04085,4008.73513,4234.457,4240.004,3989.442,3995.511,0.9421452,0.9423401,3988.966,3994.986,0.9420288,0.9422161
com.pushtorefresh.storio.sqlitedb.design.GetOperationDesignTest.getListOfObjectsObservable,12144.2384,12129.6526,12145.2362,12145.2362,12145.4542,12130.6492,12146.4521,12141.5882,12135.5083,12141.5882,12147.6681,12146.4521,12135.5083,12131.864,12147.6681,12141.5882,12147.6681,12144.0202,12145.2362,12146.4521,12147.6681,12141.5882,12147.6681,12131.864,12146.4521,12142.8042,12134.2935,12147.6681,12135.5083,12133.0788,11483.3793,11461.5626,11478.5835,11467.1049,11476.4938,11472.8226,11470.5489,11486.6109,11480.859,11484.3159,11476.2896,11478.5847,11475.1243,11468.2385,11477.4377,11477.4308,11486.6224,11488.9117,11469.4006,11475.1408,11484.3262,11470.5457,11491.2147,11463.6521,11468.253,11476.285,11475.1224,11486.6224,11457.9202,11467.0934,11529.5781,11507.672,11522.4565,11529.3727,11520.3579,11512.0715,11522.4573,11520.148,11515.531,11520.148,11522.4579,11536.2912,11518.9864,11505.1643,11537.4461,11524.7574,11535.1402,11524.7606,11535.1363,11537.444,11522.4579,11535.1286,11540.9049,11522.4358,11539.7496,11518.9967,11522.44,11517.8461,11509.7721,11509.7709,12139.29,12144.64,11472.97,11480.09,0.9451132,0.9452831,11520.1,11529.34,0.9490089,0.9493481
com.pushtorefresh.storio.sqlitedb.design.DeleteOperationDesignTest.deleteByQueryObservable,14795.3961,14778.6229,14780.1028,14784.5426,14817.8847,14820.8528,14804.5345,14824.3068,14825.3048,14805.0204,14821.339,14821.339,14805.0204,14803.5379,14821.339,14802.0555,14822.3368,14803.052,14823.8208,14819.3688,14804.5345,14825.3048,14819.3688,14808.9821,14819.3688,14823.8208,14820.8528,14810.4647,14803.052,14820.8528,14188.5785,14188.0845,14176.7475,14189.5138,14201.6178,14217.2554,14200.1819,14203.5075,14225.7917,14206.3276,14210.6144,14220.5648,14210.5873,14212.004,14217.7218,14200.6433,14208.7279,14211.5375,14205.8853,14220.0957,14201.6017,14205.8856,14200.1975,14207.2885,14212.9892,14215.8374,14215.8339,14200.1881,14195.9204,14222.9411,14170.3782,14131.6824,14134.5122,14141.5881,14176.3166,14173.4822,14174.8798,14182.4606,14180.5776,14158.3414,14178.2027,14189.551,14176.7619,14158.3405,14189.551,14175.3396,14181.9945,14155.0422,14181.9956,14190.5014,14172.046,14184.8343,14186.2464,14160.7127,14197.5931,14184.8332,14194.7594,14162.1303,14170.6268,14172.0637,14804.9,14816.99,14201.55,14211.98,0.959159,0.9592479,14165.12,14180.09,0.9567757,0.9570236
