Benchmark,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30,Iteration_bug_1,Iteration_bug_2,Iteration_bug_3,Iteration_bug_4,Iteration_bug_5,Iteration_bug_6,Iteration_bug_7,Iteration_bug_8,Iteration_bug_9,Iteration_bug_10,Iteration_bug_11,Iteration_bug_12,Iteration_bug_13,Iteration_bug_14,Iteration_bug_15,Iteration_bug_16,Iteration_bug_17,Iteration_bug_18,Iteration_bug_19,Iteration_bug_20,Iteration_bug_21,Iteration_bug_22,Iteration_bug_23,Iteration_bug_24,Iteration_bug_25,Iteration_bug_26,Iteration_bug_27,Iteration_bug_28,Iteration_bug_29,Iteration_bug_30,iteration_mutant_1,iteration_mutant_2,iteration_mutant_3,iteration_mutant_4,iteration_mutant_5,iteration_mutant_6,iteration_mutant_7,iteration_mutant_8,iteration_mutant_9,iteration_mutant_10,iteration_mutant_11,iteration_mutant_12,iteration_mutant_13,iteration_mutant_14,iteration_mutant_15,iteration_mutant_16,iteration_mutant_17,iteration_mutant_18,iteration_mutant_19,iteration_mutant_20,iteration_mutant_21,iteration_mutant_22,iteration_mutant_23,iteration_mutant_24,iteration_mutant_25,iteration_mutant_26,iteration_mutant_27,iteration_mutant_28,iteration_mutant_29,iteration_mutant_30,Lower_CI_original,Upper_CI_original,Lower_CI_bug,Upper_CI_bug,Lower_RCI_bug,Upper_RCI_bug,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI_mutant,Upper_RCI_mutant
com.pushtorefresh.storio.sqlitedb.operation.delete.PreparedDeleteTest.deleteOneObservable,8585.66643,8626.80102,8584.97623,8630.33528,8627.19112,8589.41208,8621.82712,8610.9643,8614.68161,8601.93077,8575.51879,8649.46803,8641.08615,8596.90032,8630.93505,8622.28496,8631.08815,8632.78838,8614.70787,8627.30642,8632.22155,8587.91056,8597.27518,8584.20109,8643.60848,8647.08707,8597.4893,8634.00472,8632.93178,8629.58306,8046.84678,8099.96959,8055.06046,8106.52707,8109.24,8046.32775,8079.92913,8080.25234,8095.86494,8083.88201,8042.96831,8129.36792,8114.19311,8076.73465,8107.09044,8102.20138,8109.66374,8083.72152,8079.7237,8085.87353,8083.19075,8043.30961,8059.34031,8063.99837,8106.82955,8102.79012,8079.70803,8092.96156,8100.86592,8091.24606,8053.17734,8084.48688,8037.24848,8092.65019,8071.11232,8034.15898,8070.94051,8083.36,8069.90106,8056.34481,8027.59102,8100.86698,8102.73126,8043.57937,8085.93525,8088.33255,8099.82502,8071.4962,8055.39833,8084.96051,8079.05337,8034.36366,8052.78995,8041.34808,8109.95513,8102.68756,8051.37958,8080.72227,8101.55517,8083.0517,8606.203,8625.877,8074.37,8096.361,0.9381911,0.9386102,8059.5,8081.659,0.9364733,0.9369013
com.pushtorefresh.storio.sqlitedb.design.GetOperationDesignTest.getListOfObjectsWithRawQueryBlocking,262.133682,269.546411,251.586413,274.637315,253.753474,256.880391,256.784248,254.897982,247.043998,241.872946,260.714672,269.910904,272.55734,305.693505,96.2988348,407.048449,188.320609,324.481173,210.740987,287.137921,215.417989,270.371461,252.814647,281.966401,264.210133,252.6187,261.166357,260.274126,253.435533,254.250297,241.868983,248.832914,231.673186,253.330041,234.089832,236.856025,236.720027,234.793144,227.330871,223.174538,239.886644,249.094743,251.135023,282.286807,88.7655032,375.618391,173.276012,298.618784,194.371573,265.178482,198.864031,249.021239,233.316989,259.44061,243.395167,233.206026,241.024596,239.649265,233.539507,234.243426,245.19897,252.738415,235.521507,256.920537,237.930272,240.645776,239.906662,239.003413,231.592922,226.745287,244.40858,252.625363,254.668557,286.316708,90.1046532,381.247132,176.612836,303.457852,197.678811,269.125457,201.31977,253.486707,236.671313,263.460072,247.487551,236.369634,244.318587,243.751933,237.537256,238.372313,232.6373,283.5233,213.9702,261.4298,0.9191183,0.9250655,216.8603,266.2682,0.9294019,0.9380411
com.pushtorefresh.storio.sqlitedb.design.GetOperationDesignTest.getCursorWithRawQueryObservable,17559.0909,17509.84,17518.6488,17557.976,17558.1013,17545.6977,17691.2318,17501.5873,17666.0124,17641.325,17499.5482,17623.4187,17603.6012,17506.8882,17562.1113,17476.8049,17508.1612,17578.5089,17563.9176,17556.3715,17604.0669,17632.167,17594.2276,17506.9946,17570.3678,17577.4344,17489.619,17566.6566,17586.8105,17551.8691,16555.846,16535.8744,16559.0875,16611.1883,16554.9129,16596.2571,16743.9433,16559.4936,16681.6911,16665.0453,16501.3584,16666.4428,16636.0609,16524.8178,16621.7367,16501.375,16537.5968,16614.0082,16560.3969,16553.2819,16648.1419,16666.3879,16642.1609,16561.3021,16621.252,16579.7833,16548.1695,16614.4224,16623.5158,16592.1462,16531.7828,16516.7702,16482.1485,16562.1762,16568.9139,16517.5194,16704.5488,16495.7889,16630.7837,16634.147,16518.6077,16617.263,16625.1241,16485.9345,16580.9745,16462.5473,16526.7379,16599.7696,16523.0835,16535.8414,16574.1275,16643.7926,16576.472,16509.1358,16557.3045,16585.5011,16459.7816,16527.3159,16587.7177,16546.4897,17539.45,17590.21,16567.75,16623.04,0.9446244,0.9450138,16530.63,16586.58,0.9424982,0.9429495
com.pushtorefresh.storio.util.QueryUtilTest.nonEmptyVarargsToList,38712381,40556122.1,38171009.2,37639900.7,38626826.6,38192090.5,38558926.6,37852030.1,40253302.7,39169068.4,37477647.1,38958562.3,38675514.8,38124772.8,40559114,38234638.3,38001271.3,39882973,38664215.6,40789456.5,40398177.4,37768581,39292573.9,40344078.8,38200289.1,40527984.4,39314209.4,40709977.2,38523059.9,36945364.6,36516972.5,38279123.3,35966667.6,35487548.2,36469085.5,36076660,36445016,35723277.9,38012304.1,36958852.8,35320421.9,36763902.6,36536958.5,35937496.5,38339375.9,36055495.4,35824667.5,37670121.1,36478838,38480105.7,38164366.8,35719390.4,37134733.6,38101834.7,36044739.4,38317601.3,37077248.5,38370540.9,36389297.2,34867602.1,36516810,38187177.6,35937785.1,35490964.6,36345090.3,36033227.1,36386595.9,35687415.5,37981720.3,36862684.7,35373298.2,36785748.7,36416419.4,36005648.5,38254982.7,35976069.1,35849612.5,37636048.2,36424001.4,38429949.8,38126034.7,35583819.9,37023359.3,38021743,35968952.4,38156863.6,37110444,38293675.4,36301917,34773401,38500500,39476230,36333900,37252380,0.9434659,0.9442833,36266020,37219300,0.9421541,0.9430457
com.pushtorefresh.storio.sqlitedb.operation.delete.PreparedDeleteTest.deleteMultipleBlockingWithTransaction,6045.80556,6070.34728,6095.95406,6055.05336,6070.12789,6082.90626,6046.70318,6075.92458,6048.72805,6059.65109,6055.98062,6057.32207,6076.56477,5956.79358,5982.10999,5992.87337,6049.65459,6060.30564,6059.27898,6040.50044,6018.7268,6060.32863,6085.62103,6095.46556,6056.55655,6035.04276,6007.41217,6071.42596,6034.50818,6045.86236,5741.52145,5768.28931,5787.40802,5757.78444,5775.58009,5790.05072,5736.05285,5762.61817,5745.44651,5758.12536,5759.2417,5744.97491,5785.74696,5660.95209,5675.34665,5692.39238,5751.50088,5765.65853,5749.71008,5733.03903,5724.95725,5761.64885,5781.06803,5802.58464,5762.09172,5730.7268,5717.62032,5761.81345,5742.26228,5741.00083,5734.11387,5749.33805,5782.83214,5738.86889,5742.80369,5771.60726,5729.8089,5759.22595,5742.04373,5738.63334,5743.19056,5727.81876,5756.954,5651.38412,5664.06647,5670.85067,5740.63048,5749.58904,5751.4856,5730.79926,5711.28252,5731.8102,5767.26377,5767.3526,5739.71974,5723.90595,5689.16184,5750.93495,5718.25302,5730.73068,6030.311,6062.323,5730.377,5761.487,0.9501081,0.9504072,5715.666,5745.178,0.9476849,0.9478251
com.pushtorefresh.storio.sqlitedb.operation.delete.PreparedDeleteTest.deleteMultipleObservableWithTransaction,5823.0728,5793.36894,5774.11382,5814.37243,5799.09492,5827.86614,5829.33953,5853.3757,5849.61629,5846.62467,5841.99528,5845.2665,5825.22897,5818.646,5856.61209,5833.07185,5842.93367,5854.1554,5857.52198,5844.02415,5835.41578,5835.35276,5812.27295,5855.70652,5844.20918,5833.91748,5831.32568,5855.80646,5837.32346,5853.94882,5574.16096,5542.95755,5522.32666,5547.48909,5546.21843,5561.47773,5570.68585,5602.60894,5600.12905,5578.81987,5593.39158,5580.8768,5573.44047,5569.92339,5588.34982,5579.2714,5578.64949,5600.55693,5605.45763,5597.0102,5589.88143,5572.5272,5549.3756,5594.76329,5577.07374,5582.86888,5569.79647,5607.73468,5582.77997,5590.84534,5570.49828,5532.10608,5518.69109,5561.61902,5538.68346,5579.54423,5583.74336,5603.40683,5588.61507,5587.99436,5594.74808,5596.20317,5562.52932,5555.68654,5598.66061,5573.92494,5586.70266,5606.39356,5606.81565,5583.27244,5573.93159,5593.41121,5569.06403,5597.79493,5596.30915,5581.98886,5575.60372,5612.45664,5587.48164,5598.91494,5825.003,5842.324,5568.286,5586.797,0.9559408,0.9562287,5569.566,5589.495,0.9561989,0.9566333
com.pushtorefresh.storio.sqlitedb.operation.delete.PreparedDeleteTest.deleteMultipleObservable,5905.19127,5959.00359,5943.34021,5950.05906,5958.3407,5938.90811,5964.06614,5919.75428,5943.88288,5949.44856,5963.19948,5937.18798,5960.00152,5984.51729,5953.51476,5941.03784,5926.77933,5913.73254,5925.65009,5923.66947,5932.9138,5929.80102,5932.27996,5957.17955,5918.16075,5925.33299,5954.34721,5945.12679,5893.19353,5932.29986,5661.39403,5698.71081,5693.9818,5703.83935,5719.77078,5681.2002,5717.83825,5679.32617,5702.47481,5700.40391,5706.15157,5693.77635,5700.80724,5744.89927,5710.57462,5681.52981,5683.79443,5655.41722,5681.00821,5686.48777,5680.5821,5686.12408,5685.09078,5719.2269,5680.06553,5673.89145,5702.24495,5686.00977,5637.46932,5686.81505,5656.63644,5709.32482,5687.48933,5689.9312,5705.26689,5682.67942,5708.46508,5670.58648,5691.99224,5705.29671,5711.63211,5687.28638,5709.71031,5739.49927,5701.21593,5690.9742,5664.83199,5658.59002,5671.69542,5668.09823,5689.4405,5675.66845,5669.52154,5704.72541,5654.89446,5683.87272,5711.70459,5698.87547,5638.93715,5671.24448,5931.978,5950.28,5684.166,5702.807,0.9581817,0.9584026,5679.103,5698.548,0.9573104,0.9577448
com.pushtorefresh.storio.sqlitedb.operation.delete.PreparedDeleteTest.deleteMultipleObservableWithoutTransaction,6078.96767,6109.53365,6133.03728,6103.52924,6099.12144,6111.61827,6130.02169,6098.82062,6117.24469,6113.07125,6144.2602,6118.99674,6102.69708,6133.24083,6151.75103,6138.49103,6122.73761,6120.68891,6113.8446,6120.17752,6141.43689,6120.31618,6154.98339,6129.1063,6123.09401,6129.37954,6133.81987,6145.0359,6139.79335,6149.92939,5825.89991,5854.02181,5885.36346,5852.95041,5853.40208,5870.66955,5870.12634,5849.60467,5873.72794,5863.27297,5883.76117,5861.32897,5849.81178,5889.67538,5908.04036,5881.17955,5860.80277,5862.36301,5859.91114,5864.80736,5899.90144,5867.28763,5907.60365,5885.70505,5866.42793,5883.02887,5880.82118,5882.73634,5879.48371,5901.57341,5824.73415,5859.87993,5874.77828,5847.68328,5843.46024,5848.9871,5866.01191,5839.07854,5859.06415,5850.37764,5880.22632,5873.06337,5852.73757,5873.20899,5898.6026,5879.41378,5863.73817,5863.53677,5868.1183,5873.02302,5876.93546,5857.89809,5894.61991,5886.29274,5871.71194,5871.86228,5886.70258,5882.73634,5889.49185,5907.47026,6114.711,6131.297,5862.584,5879.9,0.9587522,0.95901,5858.974,5875.029,0.9581545,0.9582866
com.pushtorefresh.storio.sqlitedb.design.GetOperationDesignTest.getListOfObjectsObservable,17514.7589,17570.1099,17567.5153,17587.5126,17525.0504,17511.6527,17509.3794,17546.6725,17456.344,17587.5323,17561.6827,17516.3327,17500.2653,17552.684,17574.9775,17590.5926,17534.1043,17601.0549,17551.6644,17600.9965,17448.8453,17558.069,17641.8429,17549.0214,17622.5958,17471.7554,17493.8161,17502.4204,17495.7501,17549.8597,16864.9579,16876.0442,16914.0689,16907.9706,16869.8153,16798.0194,16856.4128,16865.336,16770.1274,16902.9191,16894.9521,16849.6406,16834.1847,16869.4274,16916.1868,16919.3836,16844.8309,16905.7668,16861.7007,16917.5506,16739.4484,16872.9154,16921.2087,16894.5765,16931.5373,16774.859,16826.2999,16844.6675,16789.4901,16868.3995,16853.9922,16919.109,16901.3719,16937.5621,16889.2318,16844.252,16869.0666,16920.2165,16838.1604,16934.1908,16927.9203,16852.1301,16882.213,16948.0062,16927.1841,16942.2237,16887.8174,16986.2287,16931.7968,16959.0297,16844.3812,16943.0521,17030.6929,16937.7042,16979.8413,16826.0827,16832.1534,16852.2406,16840.7594,16919.907,17524.24,17568.06,16842.4,16886.99,0.9610932,0.9613532,16886.93,16932.03,0.9636326,0.9637941
com.pushtorefresh.storio.sqlitedb.design.DeleteOperationDesignTest.deleteByQueryObservable,21344.304,21342.2649,21282.645,21332.3833,21452.7601,21361.4255,21533.1564,21440.4487,21424.5228,21496.209,21436.2895,21414.9124,21494.2049,21461.3271,21402.1244,21409.3654,21298.7019,21373.4501,21391.0228,21399.5597,21411.6891,21463.0596,21486.9155,21431.6114,21380.6388,21361.0568,21414.3661,21406.3603,21415.1303,21385.8493,20686.1123,20762.8775,20644.9519,20715.9829,20799.5554,20754.556,20921.408,20793.864,20822.101,20906.3812,20833.5369,20798.2065,20833.4777,20843.2846,20810.7222,20817.7632,20718.4292,20718.5099,20779.1586,20743.8195,20788.8394,20878.3091,20903.6013,20814.4246,20758.6923,20747.9758,20826.784,20812.7627,20758.913,20726.3765,20664.1568,20730.4634,20629.2226,20712.5925,20798.2744,20736.649,20838.6408,20809.2037,20795.8237,20848.734,20769.8369,20753.2768,20809.281,20798.2575,20759.5582,20758.2793,20628.2674,20717.2398,20779.8975,20784.0412,20793.7458,20818.6639,20835.5541,20819.3265,20686.8967,20730.0782,20800.4978,20715.9343,20736.8786,20739.6251,21382.92,21437.74,20765.57,20824.17,0.9711288,0.9713804,20733.46,20787.37,0.9695964,0.9697469
