BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,9.64214586,9.63844358,9.63862848,9.63854566,9.63442594,9.64467636,9.64259026,9.62780278,9.63084358,9.63330694,9.63115174,9.63754991,9.62634054,9.63840795,9.64444018,9.63867277,9.63052387,9.63097359,9.63728798,9.63350339,9.64564807,9.63089847,9.63588681,9.63486411,9.63506152,9.63056624,9.62690523,9.63742087,9.63144642,9.62661278,9.62453036,9.61152646,9.61210892,9.62003359,9.61539124,9.62840684,9.62471028,9.61037519,9.61432533,9.61738563,9.62048533,9.6150087,9.60394121,9.62003455,9.6225849,9.6175817,9.61507791,9.6119955,9.61481071,9.61673204,9.62819709,9.616189,9.61853228,9.61975582,9.61564498,9.62062854,9.60516348,9.6131854,9.61406293,9.60178566,1.00E+05,9.632977,9.637941,9.61407,9.619512,0.9980308,0.9980838
zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,2.46177858,2.46235618,2.46125189,2.45169368,2.4510116,2.46063517,2.46100146,2.45087906,2.45098392,2.46200268,2.46166886,2.46156185,2.46242752,2.46023173,2.46083763,2.46147427,2.46235741,2.4616081,2.46066616,2.46129912,2.4613894,2.46193651,2.46106124,2.46093996,2.46232224,2.46017195,2.4603289,2.46211707,2.46033554,2.46067576,2.34279487,2.3436774,2.34436794,2.33537259,2.33480773,2.34324541,2.34410133,2.33475429,2.33543405,2.3440924,2.34434961,2.34298148,2.3436669,2.34299779,2.34407765,2.34324295,2.34301679,2.34345236,2.34272737,2.34321703,2.34392479,2.34242723,2.34456057,2.34356097,2.34326016,2.3435413,2.34400189,2.34261987,2.34354778,2.34316451,2000001,2.458197,2.461439,2.3408,2.343524,0.9520932,0.9522541
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,1.34102657,1.34113323,1.33064092,1.33109339,1.32077827,1.3306227,1.33029153,1.33048505,1.33035896,1.33056817,1.33124261,1.33052322,1.33047959,1.34100982,1.3306763,1.33015547,1.33034367,1.34025714,1.34010974,1.33008871,1.33129661,1.33099018,1.33082819,1.33064558,1.32120713,1.33125458,1.33080531,1.33098114,1.3404564,1.34061117,1.33629057,1.33530213,1.32578814,1.32603342,1.3159675,1.32622948,1.32590258,1.32594531,1.32523369,1.32621863,1.32644605,1.32559869,1.325704,1.33556404,1.32561814,1.32522125,1.32552236,1.33623779,1.3364,1.3255897,1.32620884,1.32537485,1.32528356,1.32548624,1.31604957,1.32630343,1.32631362,1.32554062,1.33587846,1.33587992,2000001,1.330005,1.334685,1.325133,1.329872,0.9962181,0.9963867
zipkin2.SpanBenchmarks.buildClientSpan_clear,6725340.84,6440172.55,6525406.1,6461661.61,6679033.87,6653177.51,6569703.19,6480925.47,6621941.9,6642899.97,6722471.2,6650104.85,6559402.72,6471606.89,6615719.32,6875630.84,6375295.37,6389572.31,6625539.95,6717201.73,6524782.84,6631461.4,6654832.02,6608810.74,6584001.61,6652996.97,6595835.12,6647325.72,6479391.35,6633825.71,6708217.31,6425949.85,6509470.97,6450838.55,6666194.47,6640791.1,6554695.64,6461695.02,6609625.88,6629319.13,6700793.14,6637639.07,6544911.78,6457427.24,6603544.62,6853743.65,6363498.97,6374077.68,6610646.59,6705287.28,6505955.56,6614237.17,6641082.79,6591005.57,6569808.53,6637546.16,6580594.01,6637492.47,6459261.65,6621096.48,2000001,6537526,6647127,6525481,6633989,0.9975394,0.9981995
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,473482.139,472637.226,472961.306,473092.42,473185.147,472602.789,472290.378,471753.153,472951.922,472625.32,473183.382,473341.025,472543.693,472940.402,472573.533,472115.166,473921.018,473000.391,471829.167,471772.19,470932.171,472053.628,472508.433,472601.456,472370.767,472139.919,473441.472,472833.394,472910.236,472609.06,472732.496,472291.228,472440.221,472456.257,472767.69,472287.929,472156.921,471512.23,472497.242,471934.246,472347.556,472733.571,472254.328,472575.193,472193.863,471596.705,473542.678,472517.72,471043.734,470897.923,470346.101,471623.37,471904.247,471958.241,472069.726,471752.719,473307.242,472409.739,472496.425,472203.875,1,472329.1,472927.3,471808.8,472441.8,0.9988918,0.9989798
zipkin2.SpanBenchmarks.buildClientSpan_longs,8127471.58,7959457.27,7760498.75,8055118.73,8183164.05,8025840.7,8166089.49,7890980.34,7927387.7,7957807.64,8078393.78,8092542.91,7923137.89,7932592.95,8138427.99,7947390.35,8003104.66,8213145.12,7872489.68,7876644.8,7893546.24,8085734.38,7831314.82,7904117.62,7936763.63,8012727.23,8168431.84,8082499.31,8137209.6,8156865.27,8119902.49,7951048.91,7753230.33,8046975.51,8174173.54,8013167.94,8153481.79,7886752.08,7919215.28,7951957.95,8067048.32,8086165.45,7912100.17,7926247.65,8126815.73,7942767.91,7999191.79,8201226.29,7861852.11,7864937.14,7881204.12,8082408.77,7819409.93,7894601.43,7922932.53,8001761.36,8166376.08,8071745.65,8128751.43,8147174.22,10,7950133,8057419,7938612,8048328,0.9986464,0.9989932
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute,73681.8693,73645.6425,72819.0455,73873.6238,72993.7078,72923.3983,73686.7597,73170.4897,72079.9531,73737.1736,73243.8465,73740.8383,73892.2266,72651.9184,73418.3809,72742.2452,72801.5575,72646.6526,72454.2637,73717.4413,72231.1863,74111.6533,73282.7217,73821.1487,74690.7278,71901.7555,74252.1573,73642.7643,73774.1099,74292.2884,73579.9797,73573.9747,72733.3026,73810.9902,72943.8615,72831.113,73610.9388,73157.3785,72049.1944,73680.4073,73134.8661,73712.1364,73756.1832,72571.0811,73361.6111,72681.7915,72745.4072,72552.6268,72377.8611,73614.6842,72127.9413,74002.6565,73172.7356,73802.5755,74617.9194,71785.8285,74235.0973,73540.3033,73713.3458,74200.5589,10,72953.46,73544.92,72864.3,73468.18,0.9988771,0.9990582
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute_overCapacity,73163.6803,72905.0187,72790.7503,73979.9109,73147.1293,73137.9467,72637.007,72801.0298,72420.7069,72990.8776,73467.5753,74058.6668,73470.8491,73291.1967,72775.3632,73289.0876,72716.0599,72901.271,72564.156,73548.6361,73692.6606,72646.5767,72584.5361,72057.7333,72991.4722,73615.4732,72715.7376,72404.9287,72333.243,71989.5751,73125.2825,72860.4586,72693.7649,73904.9364,73099.8536,73130.2876,72548.2672,72712.2955,72347.6706,72877.0195,73388.5214,73938.4843,73378.6062,73211.7715,72666.5875,73249.1399,72583.3372,72829.7543,72470.8703,73483.3762,73660.0102,72569.7403,72555.6565,71986.5135,72906.694,73508.1588,72641.1177,72353.0739,72203.6001,71899.9127,2000001,72811.88,73264.24,72735.16,73189.76,0.9988816,0.9990757
zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder,956.570286,944.51001,936.169805,949.153109,937.640245,933.929691,928.578343,941.994703,932.012097,942.463306,954.520883,948.243236,936.011002,956.412658,955.533595,947.951133,923.931497,922.028458,931.566402,944.141098,939.610562,926.055978,938.90595,945.965477,950.34713,919.56784,930.602985,939.273594,905.112646,946.678598,955.894135,942.959041,935.726241,947.898794,937.358728,932.719875,927.724257,941.013383,930.751541,942.045869,953.891959,947.278908,934.621946,955.860835,954.364806,946.51146,922.949884,921.047295,930.759235,943.19496,938.712825,925.356437,937.567148,944.498259,949.402088,918.677328,929.979884,937.88195,903.914177,945.497386,1,934.3195,945.0273,933.6371,944.0309,0.9988328,0.9991502
zipkin2.EndpointBenchmarks.parseIpv6_literal,7052165.44,7191103.73,7382114.21,7069712.63,7263775.18,7135783.94,7439136.36,6841491.9,7346397.11,6980989.33,7504059.2,7202084.9,7245933.35,6975151.47,7420558.12,7306170.2,7377565.45,7024483.3,7400534.18,7204453.96,7323705.31,7002682.6,7238118.32,7311007.76,7436332.45,6970874.27,7285442.71,7333069.4,7181945.48,7036199.44,7046403.34,7182773.49,7372436.85,7060903.82,7255073.55,7127653.2,7428950.41,6837952.6,7333258.19,6979168.08,7489690.49,7197327.2,7237130.28,6969362.48,7407210.09,7303543.66,7366877.99,7019837.44,7398290.23,7197913.86,7316178.72,6999241.71,7227119.37,7304825.06,7428619.39,6957898.95,7282883.42,7321801.57,7169587.16,7029539.35,1,7137682,7302108,7129124,7293594,0.9986028,0.9991849
