BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.codec.SpanBytesDecoderTest.errorSpanRoundTrip_JSON_V2,287913.973,288827.172,288336.877,288508.78,286324.025,288873.046,285285.76,280737.589,276392.431,288245.337,289667.025,286683.904,285027.998,283764.793,288010.297,287108.314,288956.797,288391.641,290217.826,286817.228,288506.408,285568.173,288025.878,286955.381,286574.825,286992.721,286770.42,286695.38,289612.157,288777.458,283860.8987,290044.5247,285874.2834,280961.1978,279236.905,289677.0208,284859.1096,274434.8056,273775.1036,289507.4881,286235.7079,284266.0348,283901.313,282660.6109,286407.2316,283682.1585,288064.7748,286314.6899,288376.702,283403.753,282820.2365,277867.1739,282369.6127,286325.3061,284243.7614,282650.0775,282706.3197,279541.3022,284255.9905,287846.5459,285294.2,288003.7,282000.3,285767.8,0.9884221,0.992252
zipkin2.codec.SpanBytesDecoderTest.localSpanRoundTrip_JSON_V2,267317.741,267125.892,265667.556,268200.942,267550.958,268214.202,269317.684,266298.434,262890.165,268124.875,264506.208,267735.337,266859.237,268618.028,268496.429,268492.852,269943.111,267910.435,267780.758,268939.225,269158.621,268296.155,268278.349,267090.637,267577.257,267975.514,269446.172,267855.964,267271.483,268763.92,266510.6838,265554.3861,262251.7654,263744.1684,263655.0892,266895.2111,267821.6644,263738.616,261151.0069,264865.4397,260385.077,267794.9535,264420.8559,266036.9928,266341.0965,265550.6289,265313.8359,269439.6052,266547.1557,268936.5057,264076.8182,263809.3427,264888.4359,264386.4117,264377.4771,263265.7258,266406.4738,264980.0413,267971.636,264295.955,266937.6,268325.7,264201.1,266264,0.9898012,0.9923187
zipkin2.codec.SpanBytesDecoderTest.niceErrorOnNull_annotationValue,114400.818,114673.541,114618.482,114646.131,114750.467,114807.646,116209.038,116144.824,115981.42,116148.872,116208.812,115052.562,116015.93,116065.487,115840.073,115807.583,116131.494,115837.214,116352.959,116031.531,115783.086,115162.298,115742.127,115934.846,116388.226,116053.519,116083.699,115862.554,116350.448,115877.873,112875.4897,113469.8597,113345.5408,113726.3598,112416.0385,113779.7181,114726.6341,114835.6915,114443.4382,115968.7446,114454.8756,112849.1104,115008.3715,114498.5753,114135.1822,114318.8358,115819.6529,113312.3944,115223.1209,113622.74,116157.7264,112517.4024,113293.2846,115172.4845,115099.3706,115001.8881,115690.3647,114535.5083,114457.2887,114153.6481,115405,115954.7,113821,114764.6,0.9862749,0.9897375
zipkin2.codec.SpanBytesEncoderTest.noAnnotations_rootServerSpan_JSON_V2_shared,671161.932,669893.05,672349.251,671220.901,669423.293,667873.12,669093.622,669391.713,665420.221,661528.224,660453.181,671488.245,670113.895,670756.892,671336.356,671506.092,671962.55,671114.648,671987.096,671803.257,671023.697,670657.741,671966.328,672021.325,671841.702,670744.694,670016.514,671182.529,671087.185,671162.755,653314.7689,673464.2864,669446.2907,666609.0853,662488.9695,661034.1598,665372.7461,662333.998,650923.6209,655483.6243,664617.27,664250.9024,658624.0788,661785.9578,651802.2276,665258.9827,668056.6699,663996.3432,662097.2291,665916.219,674699.4225,661977.7234,661244.3248,662687.0599,666665.2789,671024.4115,668243.6809,668540.855,663309.8746,658200.4855,668230.6,671082.2,660372.2,665663.6,0.9882363,0.9919237
zipkin2.codec.V1SpanBytesDecoderTest.ignoresNull_endpoint_topLevelFields,252613.152,251845.373,252093.926,252572.119,251365.89,252043.871,251990.954,250595.575,252975.758,250935.8,251078.519,251739.067,251850.717,251750.23,251381.65,252242.108,252498.729,252161.416,251437.674,252433.027,252249.333,251315.91,251344.78,251326.025,251356.464,251495.94,252016.512,252012.786,252244.381,252229.053,246836.1889,247360.0148,249947.6894,252024.9301,248329.5824,250082.5376,246825.5625,248526.1146,249920.112,248098.3744,250847.6007,251124.6438,247641.6101,247991.5744,246345.6976,248012.9263,249367.6458,249007.907,252616.9335,250196.2084,250064.8066,249447.0028,245787.5871,251074.4825,247804.9534,249048.9834,249592.6185,249549.5735,249986.0263,251031.7218,251570.9,252083.4,248289,249862,0.986953,0.991188
zipkin2.codec.V1SpanBytesDecoderTest.spanRoundTrip_noAnnotations_rootServerSpan_JSON_V1,127862.043,128097.363,128541.172,128185.661,127876.923,127846.884,128318.822,127848.737,128224.932,127972.95,128261.698,128343.887,128426.052,128183.522,128405.863,128202.059,128116.297,127964.336,128859.559,128019.999,128159.328,128374.17,128043.451,127614.137,127053.699,127826.996,128436.691,128029.821,127774.657,127406.241,125139.5443,125623.6861,125837.2566,126331.0467,125107.211,124787.9927,125905.8268,127490.4343,125144.9468,125705.4785,127453.6855,125525.0875,127626.943,127903.5007,125816.7945,129122.7745,124998.1609,126241.4451,128276.6205,127592.1228,128189.2819,127504.4859,126825.2791,127188.1758,127664.5407,125348.8499,126924.1851,125609.4481,125161.7092,126936.2311,127976.2,128274.8,126013.3,127160.8,0.9846656,0.9913125
zipkin2.EndpointTest.newBuilderWithPort_tooHighIsInvalid,347171.873,350257.72,349966.32,349538.977,349428.352,349776.411,357275.756,356471.302,356351.122,353526.806,356976.256,356380.973,356497.174,356441.475,355984.936,353951.911,357009.125,357010.526,357228.391,356326.945,357012.61,357284.858,356788.472,357345.832,356282.089,357240.187,356473.907,354220.349,354598.479,356011.57,346856.1693,345550.1942,351075.4806,348388.6958,346380.6442,344435.3386,351461.5281,355720.6752,349466.1255,349045.1908,352405.9859,353265.4861,350271.8669,356563.5901,354271.4923,346979.1758,352068.6929,358747.8965,356320.277,350504.7892,351514.4379,352173.9038,348246.7197,352265.1426,351340.7278,355194.5516,349344.2863,351691.0871,351838.6684,348251.4322,353477.4,356245.9,349657.5,352937,0.9891634,0.990727
zipkin2.internal.FilterTracesTest.doesntMutateInputWhenUnmatched,1351325.38,1356838.81,1356514.33,1356320.51,1354658.08,1352444.35,1361017.77,1360643.47,1359929.85,1358932.73,1360928.15,1360317.55,1352570.2,1345671.16,1359374.5,1360672.75,1359839.18,1360276.09,1361550.12,1358758.77,1361175.77,1360635.61,1358470.19,1363360.17,1357544.06,1360460.8,1352326.02,1353355.87,1348503.4,1347823.49,1347125.357,1318923.175,1342438.514,1335682.158,1354445.934,1350769.62,1327030.173,1346572.229,1342492.714,1320410.145,1367844.909,1330828.492,1349434.201,1322931.249,1326072.62,1339793.545,1354610.57,1349224.46,1347520.084,1353642.821,1321907.619,1338913.554,1352080.641,1337432.839,1351817.128,1370277.586,1336565.053,1339690.065,1337113.461,1357253.391,1355458,1359437,1335470,1347765,0.9852613,0.991414
zipkin2.internal.Proto3FieldsTest.wireType_unsupported,200123.621,201088.373,200370.347,200331.85,200389.756,200971.248,207537.373,207827.585,207948.137,207896.94,207860.629,207534.37,207459.177,207806.473,207906.85,207854.67,207873.026,207621.606,207382.425,207963.328,208059.968,208047.999,207645.186,207909.685,207553.749,207838.031,207609.354,207551.152,207448.636,208338.195,198973.8005,197265.0619,198774.8202,196261.6242,199107.8972,201132.7055,202886.167,205708.4512,202998.4194,203295.7133,206367.8295,205600.4475,205614.5261,209212.8241,205926.9925,207931.4778,206651.2329,202884.4967,203791.8536,206645.3481,208287.7034,204508.8954,205622.5323,208582.5162,204394.6856,204233.2405,204338.9812,207045.9742,205140.4403,206898.1826,204891.4,207561.1,202665.1,205744,0.9890885,0.9912217
zipkin2.internal.Proto3ZipkinFieldsTest.span_read_timestamp_duration,725470.186,726277.841,733938.292,732726.381,729926.451,726052.913,708955.458,733055.405,731730.302,732797.517,736418.117,733118.696,731908.002,728365.311,734630.914,734195.563,732627.122,730467.687,730242.311,730310.072,730135.911,732940.666,731760.955,732522.713,734839.397,731351.152,737613.894,730335.273,732887.88,732630.104,721434.9045,723812.7908,714712.2817,735689.7099,710189.5282,719061.8109,696205.0901,736191.9565,727034.3224,722139.2812,721161.9235,720584.1869,726537.4958,721944.6347,727845.7995,722255.9243,719321.4897,722736.9388,727204.211,715422.3681,719756.2074,720280.9824,717260.0311,717990.6812,730652.9945,724650.5658,726989.8116,710980.6903,725483.3717,731830.5104,728148.6,732808.3,717895.1,725164.2,0.9859184,0.9895687
