BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.codec.SpanBytesDecoderTest.errorSpanRoundTrip_JSON_V2,333198.131,334079.928,333484.343,333872.865,331275.976,334173.185,330131.114,324796.433,319891.763,333506.703,335094.557,331556.919,329811.188,328217.719,333101.76,332193.899,334275.756,333736.873,335679.261,331996.154,333934.378,330359.838,333194.101,332020.106,331469.945,332101.516,331748.202,331809.645,335176.721,334068.591,329351.8789,331227.9635,329600.9563,330494.0252,327614.8939,331236.119,328866.288,324461.0136,316196.8389,330136.892,333875.6299,327300.9378,329242.7083,325125.2278,329107.0227,329612.8145,329955.5147,330487.835,335095.7738,329874.6112,328686.5537,325757.8768,329820.5852,330485.1682,325694.9405,329884.5568,330540.0586,329361.1906,330564.1288,329746.8012,330052.6,333134.3,327093.5,330327.8,0.9909757,0.9915723
zipkin2.codec.SpanBytesDecoderTest.localSpanRoundTrip_JSON_V2,298082.53,297928.583,296481.223,299166.36,298568.353,299188.515,300495.624,296922.911,293098.308,299148.898,295193.5,298700.483,297569.024,299543.555,299533.479,299385.36,301100.756,298702.383,298624.117,299946.272,300137.284,299232.443,299272.615,297970.728,298520.328,298951.272,300675.312,298760.627,297987.34,299752.015,297672.048,296079.4139,295972.0356,297962.2188,294627.0198,294947.3585,294674.4167,295151.7259,292084.737,298591.2968,291687.5919,298593.3489,293976.6803,299391.7165,299385.258,296817.4466,299041.688,295419.0196,297842.1896,298968.2092,298937.9647,298187.5247,296964.0667,293613.007,294857.9506,298350.1016,295347.8947,295929.2019,292372.1374,295935.3048,297753.6,299294.6,295391,297558.6,0.9921074,0.9941997
zipkin2.codec.SpanBytesDecoderTest.niceErrorOnNull_annotationValue,128897.522,129162.777,129077.239,129097.058,129219.938,129362.864,130941.111,130879.764,130690.532,130854.678,130868.931,129556.249,130687.933,130679.337,130466.559,130457.335,130822.64,130494.331,131022.687,130687.435,130396.531,129761.414,130404.9,130562.833,131082.377,130760.004,130752.08,130476.066,131024.593,130556.184,127640.0827,128181.4122,128425.0082,127356.0985,128086.2363,127790.3977,129008.7452,129676.5781,130142.0739,130384.0645,129109.0194,127215.0474,129818.54,129042.7074,130228.0601,130368.7721,128920.3809,129063.6016,130646.7455,129932.067,128593.1044,127375.6756,128406.9253,130259.8356,130998.2212,130211.0328,129454.911,130391.7019,130017.5282,128395.3609,130002.7,130619,128651.8,129654.4,0.9896237,0.9925888
zipkin2.codec.SpanBytesEncoderTest.noAnnotations_rootServerSpan_JSON_V2_shared,756096.979,754948.364,757527.626,755982.418,754520.461,752808.69,754066.215,754200.158,749557.022,745445.33,743949.285,756214.033,755118.989,755497.318,756082.635,756651.378,757271.536,755868.8,756967.101,756854.981,756287.016,755506.075,756923.86,757471.633,756998.037,756090.29,754922.321,756049.968,756259.923,756362.107,742732.9267,748068.8405,747686.2945,753103.7758,741185.2981,746904.8429,752181.4904,752442.9435,742352.7982,731918.4218,731969.0666,756189.8609,747574.0524,753643.4757,750494.8851,755163.1943,749971.9122,741544.2158,755018.4677,754571.553,749644.0735,743925.0416,741673.687,750341.7468,756076.9519,754619.4899,742909.8556,752635.6806,748524.4945,752999.7327,752929,756054.9,744761.4,751016.5,0.9891566,0.9933302
zipkin2.codec.V1SpanBytesDecoderTest.ignoresNull_endpoint_topLevelFields,286828.985,285984.626,286440.4,286909.988,285414.355,286267.366,286049.097,284728.424,287215.639,284903.682,285121.437,285990.111,285953.436,285913.859,285631.023,286550.646,286829.117,286481.499,285514.633,286717.165,286454.294,285400.41,285589.386,285501.395,285396.169,285566.45,286104.597,286286.84,286439.127,286394.809,284542.3494,282272.0912,283950.6978,285513.8655,279937.9488,283229.6499,284966.4154,279195.3946,284402.2226,279595.293,280923.8006,280494.4156,283212.9327,283410.586,282629.2314,284533.3928,284970.784,283350.9281,282600.267,281166.2369,281060.4288,284409.8533,283968.8004,284994.9814,281644.8305,283338.1365,281984.9766,280735.6223,283368.5717,283229.4838,285706.8,286314.4,281951.8,283583.7,0.986853,0.9904585
zipkin2.codec.V1SpanBytesDecoderTest.spanRoundTrip_noAnnotations_rootServerSpan_JSON_V1,138176.214,138356.866,138866.469,138435.72,138197.118,138157.787,138662.71,138168.385,138478.38,138267.142,138530.093,138679.515,138768.839,138461.038,138713.976,138465.111,138465.505,138286.869,139211.197,138374.186,138497.687,138761.512,138280.297,137848.663,137258.825,138068.369,138743.516,138359.712,138049.432,137655.425,136825.4139,137050.6357,137229.1771,136108.4588,137741.4544,136197.1133,137412.5806,138000.246,138322.8342,135804.0095,136097.3423,136399.6394,136168.3217,138344.0536,138212.4659,137261.9519,137065.1306,137003.4371,137966.456,136038.83,137241.7936,137453.3501,135926.6301,135540.2597,137082.1551,137610.9965,136543.5917,135592.2233,135393.1125,135606.8057,138265.2,138586.7,136569.7,137365.3,0.9877367,0.9911933
zipkin2.EndpointTest.newBuilderWithPort_tooHighIsInvalid,398343.129,401845.572,401448.255,401209.211,401111.638,401394.526,409839.019,409069.432,408730.894,405827.123,409580.412,408922.693,409228.779,408886.784,408280.885,406020.839,409707.638,409524.398,410001.143,408805.065,409536.83,410128.257,409214.917,409918.461,408926.416,409853.584,408986.685,406268.377,406949.703,408346.214,398120.1014,395077.7854,399669.5304,399871.4885,397020.7328,398071.9445,408570.3157,405338.1462,404982.1857,398041.1556,402029.5591,404498.1507,405229.5171,408265.8569,402696.7595,398780.9118,403014.7044,407503.931,407051.138,404496.7681,405210.6362,407602.9969,404817.878,404220.4813,402553.3529,403703.3392,401564.5699,401786.8771,405341.4788,400735.2293,405621.4,408711.4,401306.1,404675.1,0.9893089,0.9901096
zipkin2.internal.FilterTracesTest.doesntMutateInputWhenUnmatched,1490273.32,1496836.54,1497321.34,1497128.81,1494898.86,1492149.46,1501208.41,1501122.08,1500502.92,1499714.6,1502049.39,1501472.93,1492248.74,1484484.39,1499928.88,1501554.67,1500306.06,1500995.32,1502615.62,1499464.57,1501471.33,1501280.73,1499389.79,1504679.42,1498164.09,1501029.58,1492124.59,1493381.47,1488578.3,1486971.08,1488918.96,1486610.105,1480839.491,1475987.322,1472691.641,1468337.121,1494669.489,1490836.495,1476630.156,1486299.204,1500253.112,1484461.081,1478374.595,1478090.584,1485371.359,1483292.258,1492239.02,1477735.853,1491168.3,1479079.656,1473387.904,1492916.065,1498521.151,1495856.395,1484267.235,1485677.632,1490818.965,1466776.585,1471947.514,1467523.08,1495722,1500115,1480125,1488252,0.989589,0.9920917
zipkin2.internal.Proto3FieldsTest.wireType_unsupported,230854.828,231790.029,230983.62,230951.837,231048.046,231752.352,239408.17,239606.598,239722.05,239800.601,239777.038,239340.062,239323.039,239610.618,239761.496,239691.633,239667.165,239507.637,239152.223,239773.174,239812.876,239950.6,239342.506,239638.291,239269.005,239671.583,239396.671,239279.85,239279.815,240237.467,230075.6818,230775.9556,229282.0815,228371.3656,229540.6947,227917.893,236138.9371,238836.8057,235487.9815,236375.5128,235252.3365,238976.2637,235705.3156,235080.4923,235105.2838,239016.3376,236928.0354,235734.4947,235430.67,237701.4398,235751.3603,239426.7916,236472.5394,237436.9287,237894.1356,238051.9347,236775.5007,238906.6461,235160.534,238776.6305,236321.4,239352.3,233749.6,236771.1,0.9886037,0.9893278
zipkin2.internal.Proto3ZipkinFieldsTest.span_read_timestamp_duration,862422.967,863309.816,872591.129,871207.455,867992.203,863476.424,842629.184,871534.299,870342.182,871273.291,875328.46,871661.791,870746.942,865785.252,873267.59,873418.564,870773.908,869047.051,868254.692,868120.214,868533.413,871628.528,870163.605,871107.611,873775.159,869327.293,876767.786,868395.287,871518.757,871356.65,846131.8422,849562.7196,870675.096,858098.1614,862737.3361,848309.1096,835295.5089,861156.2963,862032.6709,856385.8103,859272.9921,870744.4477,869878.797,864556.0437,872055.3225,863427.8964,854692.2311,856764.3175,859595.3374,857535.9281,865112.7664,863902.2998,853125.3799,859749.7132,857587.7139,860647.0381,861035.7899,861479.9388,854418.0552,855553.5891,865791.7,871276,855842.4,863131.2,0.9884626,0.9906465
zipkin2.internal.SpanNodeTest.constructsTraceTree_sharedId,371939.15,372053.118,371793.846,371347.675,372327.952,372293.883,373929.84,372855.074,371470.766,372405.439,371613.408,372505.875,372289.371,371931.96,372474.502,371704.454,372609.362,372265.242,372124.338,372586.429,371049.897,372367.452,372168.434,371503.814,372688.169,372410.773,372483.371,370985.726,371036.618,372622.194,367496.4263,366134.0465,369921.5686,369905.512,370414.0614,369371.1498,371814.2662,370388.45,366829.1402,366959.0486,365421.378,366944.5854,365528.4131,371669.4719,372061.4962,370742.6334,371428.2522,366503.3311,370953.0465,366557.2753,368805.2035,365202.587,365742.0503,370007.3651,371915.5762,366618.1029,365753.9745,367512.0777,366886.7591,368052.9211,371892.2,372435.1,367490.3,369664.2,0.9881634,0.9925505
zipkin2.internal.SpanNodeTest.ordersChildrenByTimestamp,378563.946,379245.391,379768.805,379661.663,380328.086,379936.001,379477.814,378048.682,378931.536,380652.992,379154.493,379769.674,376189.607,379009.221,380084.091,379206.729,379038.709,378383.712,372210.238,378429.14,379784.386,380512.975,378685.956,379071.233,379442.073,379838.318,379493.784,379654.479,378968.981,379334.145,373538.9271,372476.8647,374572.0015,372990.8457,378631.6636,378006.4314,375946.6034,370561.1629,373259.7811,380483.629,378955.7043,372892.8413,370306.8043,375862.8189,379429.2601,376062.7491,375098.0902,375990.8921,370612.5568,376750.417,377873.5647,373726.3296,375854.517,378203.2989,373926.2811,372315.5899,379588.7119,375254.4935,375125.5076,377589.7731,377986.1,379548.7,373983.7,376640.5,0.9894266,0.9923356
