BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.internal.Proto3ZipkinFieldsTest._Benchmark.benchmark_tag_sizeInBytes,927615.662,927665.831,929860.875,929695.679,929910.604,926837.7,926174.579,927294.894,929788.002,927899.254,926488.022,925834.34,907057.465,921219.34,923908.383,925917.577,923807.081,926116.184,931180.24,923960.456,922586.115,925550.473,926455.755,928565.006,925914.474,926136.196,928010.503,926032.485,927258.342,926901.709,245467.0023,245973.819,244373.5776,243241.5178,244130.2603,243400.252,246769.0661,243675.3245,246815.7132,246201.1538,246999.1809,245329.8661,243593.7163,244396.8367,243028.3247,247454.7678,245387.1219,247139.9504,247841.9956,245853.077,247057.4046,246851.3514,244469.8296,244044.5101,245072.8612,242977.7947,246900.4659,242773.6152,242828.7385,242766.806,1000,923147.3,927450.7,244563.3,246011.3,0.2649263,0.2652609
zipkin2.SpanTest._Benchmark.benchmark_shared_canUnset,1034826.77,1034057.08,1034636.32,1033594.9,1032773.04,1031325.73,1028424.8,1027355.77,1027535.66,1027534.17,1028588.58,1030136.85,1028308.38,1027242.6,1027606.63,1026621.54,1029924.72,1028063.78,1028430.42,1027629.91,1027499.51,1029802.93,1029447.35,1029784.68,1028548.71,1027724.25,1030371.9,1027830.89,1027926.08,1027814.77,503814.3084,508627.757,508683.0032,505717.6319,507598.1645,511166.7045,507166.4178,508452.9508,504401.431,510432.6486,504966.6961,508457.1629,502040.2083,502010.8309,502317.9136,510928.5949,507890.0481,508441.3197,507762.4133,505811.1183,511588.9559,508960.3511,503106.5413,509748.2096,510359.3017,510527.5066,502503.3095,502475.7436,504255.6817,511333.6712,200,1028297,1030457,505521.7,508394,0.4916104,0.4933673
zipkin2.internal.Proto3ZipkinFieldsTest._Benchmark.benchmark_span_read_tag_empty,615282.988,613507.782,616376.421,611764.11,603879.669,614617.945,615248.934,615309.753,614310.894,614636.332,616207.799,614643.059,612161.767,609028.071,615063.791,614765.273,616837.5,608332.818,596414.087,604564.655,617891.049,615484.32,614683.959,614116.194,612296.613,609566.333,614156.924,613511.271,613368.564,613509.771,517960.2944,519420.1526,519758.3874,515773.4208,512074.913,519879.1159,519661.0455,518341.8594,517537.9952,518988.167,516109.1288,522386.0409,515927.7016,515527.2621,516000.3508,513450.3791,517365.0506,516952.4822,505457.4692,507000.3488,519655.1033,519197.7456,515039.1569,513180.5703,513170.1142,517046.7451,514040.3895,513163.3443,517171.9969,519800.1659,100,610120.8,614530.5,514209.8,517831,0.8425927,0.842831
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_writeVarint_32,566326.139,566485.957,555876.381,568014.569,568575.148,565752.296,568514.284,562057.474,564999.224,568199.667,570467.568,569125.107,569577.226,566388.253,566546.619,567058.827,570046.568,570665.897,569771.632,569749.793,569339.458,568057.234,571799.597,570268.534,571096.454,569786.333,571152.116,569200.247,571113.511,567218.661,480130.8463,487607.8393,475608.9564,487204.5379,486915.46,478798.5022,489529.7475,480126.9594,485533.6716,487144.6051,489662.1824,484520.4119,484960.9064,488412.0449,486494.1624,480926.2948,489968.6326,488751.6257,487378.3968,484933.6251,484841.3176,481833.5008,487938.9615,487185.7931,484400.5874,482853.4244,488373.1821,485115.5576,483961.1967,485144.7465,100,566418.6,569223.7,483693.2,486940.2,0.8539295,0.8554614
zipkin2.EndpointTest._Benchmark.benchmark_newBuilderWithPort_highest,1371368.49,1373203.65,1373350.78,1370141.6,1369854.65,1375464.77,1370828.06,1369426.77,1371680.49,1371351.6,1372519.37,1372597.16,1368604.45,1370683.11,1371470.77,1372944.39,1370354.48,1373984.56,1372545.76,1371898.43,1373783.36,1372916.79,1371628.16,1363140.68,1370459.44,1373522.76,1373543.24,1371983.37,1370516.05,1369977.73,1209114.701,1201456.664,1203038.485,1200782.68,1197149.647,1196169.942,1215871.148,1199401.368,1200709.323,1196878.488,1201719.819,1212043.855,1190573.599,1195202.51,1206756.08,1206671.644,1213605.964,1214474.443,1195110.599,1194175.12,1217668.936,1197667.596,1201940.036,1201325.768,1216416.58,1201756.383,1211073.849,1205032.615,1207433.164,1206210.001,20,1370498,1372446,1200069,1207124,0.8756446,0.8795442
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_PROTO3,550735.422,550459.821,550112.46,550452.897,549867.352,549226.325,550245.04,549236.101,549949.659,550356.366,549694.501,550291.512,550521.751,549718.463,549401.469,550187.204,549578.612,548958.156,550245.087,550399.62,549984.225,549911.774,549213.496,549437.01,550128.13,549530.288,549742.579,549774.513,550020.905,549721.959,487521.2669,482900.5626,480596.031,486730.9565,483829.1145,487445.171,481904.722,480423.372,484151.8839,485560.3407,484178.562,481619.8449,488248.8676,482309.8651,478905.2134,487495.0312,480306.1081,482715.5258,480335.2433,482210.4525,487143.4204,483803.9114,482305.5195,480157.8207,483699.6734,478428.4225,482314.613,481961.012,481875.7289,482870.2189,50,549696.4,550116.8,482024.4,484582,0.87689,0.8808711
zipkin2.internal.V2SpanWriterTest._Benchmark.benchmark_writesAnnotationWithoutEndpoint,443274.765,444729.82,444960.942,444133.318,442352.663,442481.421,443856.421,443111.134,442709.065,442414.687,444272.468,443149.581,442293.826,441749.354,440388.478,439345.653,442418.678,443920.713,441063.545,439986.949,438258.95,433664.2,437382.867,436115.14,443987.63,441944.64,439878.784,441762.637,443271.494,441481.893,388840.1668,393865.0646,389151.5251,393333.9488,387876.5092,392997.9075,393268.6599,386901.1664,389043.5538,389844.4266,392889.6977,390169.5097,388654.3044,390071.586,384621.6829,390763.9922,393406.5321,392391.9639,387684.9812,386798.8495,384563.9209,382190.1288,388682.9318,388660.8185,393816.1199,386513.4973,386863.5827,386251.0334,392833.2154,393057.5586,100,440437.3,442777.3,388050.5,390887.4,0.8810449,0.8828081
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_JSON_V1_shared,459633.568,464298.941,464975.493,463639.656,459190.832,464447.822,460203.834,462055.653,465781.911,454923.142,460124.499,461484.554,453762.262,450823.485,457642.034,449355.75,460843.613,458535.061,463412.266,455473.839,464273.358,465689.731,455842.441,462207.849,465170.591,459609.661,455824.87,460858.891,457802.817,461875.81,441014.7503,447847.1017,448527.9478,440387.6076,444320.077,444166.7712,438570.8137,447324.2406,443732.396,440358.6625,441867.4836,446396.6132,431269.7572,434411.5527,440599.6546,433740.8756,440848.8627,439946.6312,440173.2353,436146.7966,447400.52,447649.4179,441013.2286,442890.1384,447149.7192,444264.7272,438434.6334,446274.0224,436037.6814,441567.2632,30,457398.2,461702.3,439240.5,443588.3,0.9602791,0.9608129
zipkin2.v1.SpanConverterTest._Benchmark.benchmark_redundantAddressAnnotations_client,581449.41,579382.994,577310.857,579691.735,578219.878,565467.5,576488.605,578965.583,581232.335,582729.271,582502.509,581820.827,581699.218,582703.737,581117.094,580367.387,580565.064,581730.095,581773.645,581440.556,582370.912,582717.906,581198.757,580168.833,580289.725,582180.059,582239.033,580880.358,576423.527,579122.909,555679.3553,557667.3295,558532.5085,559308.4212,555382.0585,543640.5625,560930.0638,557996.7948,562296.4303,561730.3305,560398.1016,566400.1524,563660.6205,565494.3432,565861.7287,565195.4196,555077.1711,556178.2013,558334.5751,561521.7804,566919.6412,561183.3824,563620.3163,556750.6623,555834.2394,563320.016,564583.1981,563919.2356,561471.6016,559852.2418,20,578603.6,581458.5,558090.3,562494.5,0.964619,0.9673856
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spanRoundTrip_noRemoteServiceName_JSON_V2,152513.933,152382.102,152355.402,152429.593,152655.548,152817.014,152619.22,152292.731,153053.772,152736.296,153031.831,152227.891,152317.796,152455.313,153025.531,152894.624,152030.512,152496.896,152213.943,152567.507,151225.416,151921.963,151617.913,152576.269,153665.573,153707.49,153108.642,153104.475,152605.888,153242.38,148790.9178,149590.2769,147734.6708,148005.4639,148253.9343,148474.1418,148797.4601,149801.2236,148912.8727,149130.6187,148978.8795,147323.126,148652.768,150148.6683,148110.0651,150137.881,148386.3004,147458.7296,149345.9489,148378.9887,147467.4239,148089.3625,147827.6915,148930.7616,149098.5537,149437.7079,149930.1262,150095.8141,149726.3618,150642.2061,50,152297,152765.2,148357.2,149142.9,0.9741211,0.9762884
