BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.internal.Proto3ZipkinFieldsTest._Benchmark.benchmark_tag_sizeInBytes,1105257.18,1105569.38,1108384.4,1108331.49,1108113.47,1104429.92,1103618.54,1105142.79,1107841.99,1106184.58,1104680.39,1102985.37,1081195.08,1097943.62,1101468.77,1103542.27,1100582.77,1103719.57,1109826.16,1101544.3,1099374.58,1103329,1104203.91,1106159.58,1103617.73,1104073.39,1106188.74,1103864.17,1105573.77,1104717.18,296506.2488,296284.7706,297773.6184,297264.3921,293027.007,294225.8023,295449.7739,295357.4164,297570.5308,297381.9059,296204.5663,292506.4219,292688.2745,294725.3487,293641.1474,297632.0155,293876.866,297714.1977,296526.7182,292792.4604,292483.6839,293234.8247,296405.7632,295450.3392,295801.6022,295544.0032,293944.1375,297661.6627,297721.8583,297893.315,1000,1100178,1105285,294440.6,296182.9,0.2676043,0.2679697
zipkin2.SpanTest._Benchmark.benchmark_shared_canUnset,1198878.31,1197826.91,1197481.78,1196794.95,1195780.38,1194079.43,1191131.88,1189875.62,1190406.1,1189375.84,1191069.06,1193374.84,1190808.81,1190043.38,1190186.05,1188298.89,1192782.47,1190659.67,1190409.32,1190113.6,1189830.69,1192421.78,1191961.39,1192887.41,1191525.63,1190081.05,1193652.99,1190769.68,1190851.02,1190163.96,596943.8159,593010.4793,592680.1711,598045.5555,599802.686,591146.7751,593799.3778,594083.9436,591952.5877,593230.4889,590746.7835,591968.6749,589991.8909,596484.8965,594910.6653,591607.8307,591274.0023,595862.5696,588245.0557,587207.7653,589941.7285,596783.6102,589905.3045,598226.7247,596287.7454,592367.3198,593453.5392,589585.1752,598713.0532,591646.7876,200,1190791,1193330,591674.4,594627.4,0.4968742,0.498292
zipkin2.internal.Proto3ZipkinFieldsTest._Benchmark.benchmark_span_read_tag_empty,732677.637,730300.383,734152.699,728507.334,718918.733,732019.848,732451.643,732443.707,731454.129,731802.743,734056.175,732155.935,728737.584,725503.847,732433.544,731952.162,734213.636,724150.052,710230.12,719783.977,735460.374,732823.966,732078.773,731331.24,729184.712,726137.789,731210.802,730306.802,730033.31,730736.247,630949.1173,624799.8691,627171.797,618912.6496,612254.9596,624466.103,623853.0583,619233.6071,624240.349,625080.9392,623827.6902,623787.8356,624192.5472,617630.1104,625382.5388,622112.6261,625942.9745,619061.544,603933.1438,617562.9795,623051.543,629941.6295,624284.5398,625297.1568,626838.461,623118.3873,628402.2075,619358.5283,628247.1244,621056.9684,100,726388.9,731754.1,619766,624739.1,0.8531012,0.8537385
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_writeVarint_32,676185.243,676358.606,663728.766,678267.219,678902.582,675137.872,679064.525,670962.64,674430.791,678543.693,681222.378,679476.729,679907.251,676348.437,676434.485,677059.791,680296.602,681611.49,680528.122,679909.287,679827.781,678288.582,682787.542,680494.335,682140.419,680434.814,681667.135,679664.954,682108.675,677318.653,583147.8508,581858.4312,574733.1537,579771.0119,582199.2379,585731.8718,581499.8298,580343.2471,579254.4686,587296.0769,584111.0848,585542.1423,591114.1424,588153.2841,580369.2228,586895.3682,582761.7912,589460.8887,587466.5962,589546.0029,585710.66,588755.0645,584089.0721,588285.0184,586628.5828,591558.351,588564.6782,587350.9603,590042.5147,585923.8589,100,676180.2,679626.9,583160.9,586875.6,0.8623756,0.8635117
zipkin2.EndpointTest._Benchmark.benchmark_newBuilderWithPort_highest,1579093.35,1580941.9,1581583.9,1577170.13,1577651.07,1583399.97,1578289.34,1575687.4,1578978.83,1578696.11,1579639.09,1580497.86,1575318.44,1577227.37,1579158.37,1579869.08,1577887.08,1582114.71,1579544.58,1578543.66,1581010.44,1579877.48,1578257.32,1569838.89,1577550.84,1581436.79,1580546.64,1578576.61,1578315.57,1576258.86,1397788.139,1393609.07,1397538.439,1386746.966,1394465.12,1406909.726,1399253.932,1397955.687,1415522.027,1394716.386,1391881.912,1407935.796,1403147.241,1412819.645,1389651.792,1405120.745,1403646.452,1397318.79,1410388.753,1402827.218,1404464.052,1416923.537,1405410.693,1398775.063,1394247.545,1401277.646,1391019.748,1407270.822,1392019.934,1391551.887,20,1577627,1579863,1397616,1404888,0.885883,0.8892465
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_PROTO3,581737.32,581238.926,581198.01,581424.29,580886.401,579965.887,581329.068,580323.908,580850.482,581639.15,580793.207,581184.849,581585.28,580427.821,580368.863,580986.535,580397.368,579609.434,581054.753,581672.589,581209.935,580886.312,579945.665,580357.921,581236.892,580579.224,580753.893,580579.444,580988.453,580713.053,517417.9051,519843.5698,510901.406,518338.7281,517092.7039,511403.5176,518528.6968,519295.5145,517494.1236,512045.4466,517962.6554,518331.5851,514285.719,512761.1852,515724.5425,512242.7606,516088.018,514217.5977,517673.7215,519766.2772,516400.9232,519161.6239,512356.782,518567.8759,517233.0752,513503.0562,510946.9887,511115.4761,513542.8432,514679.4741,50,580617.4,581125.4,514472.7,517136.3,0.8860788,0.8898876
zipkin2.internal.V2SpanWriterTest._Benchmark.benchmark_writesAnnotationWithoutEndpoint,527701.568,529165.27,529738.62,528327.908,526430.074,526676.299,528289.255,527504.397,526734.924,526508.997,528976.793,527217.68,526402.187,525788.314,524233.671,522854.665,526515.907,528482.332,525173.288,523808.034,521714.725,515930.748,520704.833,519104.362,528432.207,526047.221,523728.969,525869.929,527435.506,525209.229,468827.7831,473884.666,471721.9296,474231.2355,468947.9625,466698.6698,473817.0617,467297.0354,468931.955,466804.3323,469924.5051,470957.5402,469052.6665,471713.6966,471055.677,464400.3122,473896.8169,466848.3077,466397.799,462474.4855,462774.7771,457759.1098,468947.1015,463033.1372,466308.0901,471236.2175,469064.1194,469548.5292,473269.2194,467110.3199,100,524134,526979.9,466575.4,470212,0.8901963,0.8922789
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_JSON_V1_shared,547929.366,553048.963,554162.922,552417.174,547351.483,553523.073,548346.289,550818.001,554822.787,541921.351,548133.091,549806.77,540577.368,537484.916,545153.157,535582.502,549208.17,546666.362,552044.188,542930.418,553526.059,554854.965,543113.744,551054.601,554432.436,547890.673,543010.578,549014.6,545718.542,550576.955,527261.1696,533438.0408,542647.9682,539187.47,531425.4074,532608.6326,532568.7377,537677.6753,543172.4657,522770.671,534449.3122,535011.3942,519913.003,521212.9148,526564.8656,522351.173,532646.0482,530562.2006,532934.699,523852.84,534806.1255,535798.5781,529491.809,536529.7235,532894.5419,534621.6433,526941.7128,533758.8213,532507.3307,531865.6806,30,545123.7,550144.5,528229,534105,0.9691216,0.9708315
zipkin2.v1.SpanConverterTest._Benchmark.benchmark_redundantAddressAnnotations_client,638616.445,636319.364,633806.958,636710.414,634917.058,620709.365,632893.98,635764.824,638534.666,639855.11,639690.4,638915.394,638909.091,640103.629,638421.024,637077.291,637664.35,638798.503,638746.873,638488.992,639435.58,639821.121,637899.865,636870.744,637102.013,639022.889,639447.113,637769.871,632991.872,635780.178,626637.5246,616272.9034,617901.6845,623398.0214,621964.2787,607705.4006,622581.2127,619323.3988,628478.5068,629971.9772,624982.2931,628465.4623,626991.1082,624826.7988,619523.7656,619933.4236,623907.4312,628882.0527,626792.2182,624414.2338,620897.4915,622350.1812,628083.9634,622510.4443,625296.9266,627205.892,627900.1706,618077.6997,620967.1538,614974.8156,20,635284.9,638529.2,621104.5,625576.8,0.9776804,0.9797265
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spanRoundTrip_noRemoteServiceName_JSON_V2,175214.505,174916.963,175029.297,175117.664,175396.545,175490.603,175352.28,174963.773,175848.676,175419.161,175765.039,174772.916,174922.444,175043.093,175739.816,175605.359,174548.402,175176.237,174757.655,175152.224,173687.514,174525.924,174140.296,175224.762,176455.989,176476.554,175768.556,175900.281,175316.237,175945.417,173584.557,171205.0466,171799.9542,172337.3648,173373.9575,174718.3741,173769.0855,171088.1922,174935.341,174714.2491,174477.7977,172476.8748,173201.4296,174551.5768,175026.4244,172058.2832,172827.9809,171324.1844,172102.5005,171461.3408,172382.2898,173261.2343,171921.5535,174356.3061,174043.3029,173711.9355,173874.3719,173916.7175,172805.7737,175077.6564,50,174909.6,175457.2,172543.8,173714.4,0.9864739,0.9900673
