BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.AnnotationTest,820013.289,819128.0897,819461.7974,820320.3137,820214.9149,819421.6168,817842.7269,820132.9311,820323.6387,819986.1709,820018.765,819017.1206,819704.3739,819206.7158,817432.5564,820224.8339,817622.3021,820534.8744,819690.9501,821448.2232,817862.6321,819219.4971,817230.0038,817171.9181,819577.9772,820286.4625,818912.6554,819748.6872,819956.9193,819971.2563,624193.1463,619875.3165,625389.4115,619549.7688,615078.3547,618677.1322,616487.9626,624881.5058,623351.7566,615496.0662,624790.4343,622021.7613,619426.4574,617332.9557,616631.1449,615902.4625,618904.244,620008.8162,621755.7921,624112.0905,617131.4524,622271.0697,615833.2972,617069.32,619131.8771,621193.5566,621686.3351,618519.9885,618896.1021,624632.7619,818837.4,819858.9,618431.9,621378.8,0.755256,0.7579088
zipkin2.codec.SpanBytesDecoderTest_1,1805639.202,1802662.981,1804129.52,1799297.701,1805672.791,1801427.992,1801515.833,1801740.662,1800031.471,1802165.948,1802263.143,1804241.618,1805722.22,1800163.786,1802691.274,1804945.918,1803361.087,1804758.843,1802269.453,1804186.94,1807204.227,1799563.375,1804168.546,1799534.697,1804903.653,1806542.039,1805760.253,1801396.231,1803333.98,1807572.832,1684278.886,1685886.715,1693316.962,1708942.781,1698499.321,1686285.652,1708513.171,1702617.962,1702023.421,1687745.346,1687742.438,1703781.12,1688957.817,1681243.965,1697517.362,1710155.203,1707585.962,1716679.363,1695875.006,1689963.919,1708196.873,1699888.607,1698906.709,1684085.511,1704032.645,1707595.491,1707325.036,1703542.033,1688979.758,1716265.861,1802128,1804192,1693427,1702690,0.9396824,0.9437414
zipkin2.codec.SpanBytesDecoderTest_2,292281.9064,292432.9214,291739.4483,292171.7167,293047.7972,293013.2709,294704.6874,294032.4594,293866.4206,292886.6675,294184.5082,294461.1081,293529.6684,294610.0568,294173.2375,294264.021,294130.4138,294265.9212,294554.8362,294866.0857,294872.9895,294528.6479,293647.6798,294428.5635,294508.5129,294728.7286,294731.0185,294035.1039,294582.2709,294264.7415,275646.5353,275123.2106,278549.593,274983.875,276775.1171,278099.6815,280213.9853,278195.8957,277378.742,274081.8395,277781.5538,277383.9893,278195.0975,275200.981,278116.0086,278897.6352,277888.4527,278100.395,278715.5868,279629.3386,278760.8373,280009.2933,276579.4201,277118.7423,275218.6869,275863.7366,275505.1346,279261.7779,279914.855,279678.0057,293488,294282.2,276774.2,278270.4,0.9430516,0.9455917
zipkin2.codec.SpanBytesEncoderTest_1,951754.996,952896.2812,952600.3347,953920.0707,952617.2635,952660.574,948915.666,951049.4039,950679.1169,951073.1974,949661.2113,951479.0183,949805.2884,951719.8092,950300.9132,951661.2989,947856.8265,951314.0674,949415.7301,952871.3747,951200.8197,951454.4094,951420.4842,948666.8446,950489.9625,951454.4649,950554.6593,949915.5718,950621.3118,949485.2851,910982.1669,910149.5253,917491.1162,921412.0698,905452.1093,909778.8166,901352.3424,911572.0879,920192.1241,917148.5786,917872.5944,909795.4312,918959.5767,907973.3821,917995.8956,918617.9833,915595.4322,905179.6191,911923.1288,915657.7194,903625.7864,907645.8416,912845.784,913001.6607,910196.0611,904531.2779,905400.2302,912500.6511,902625.4745,907386.9889,950331.2,951634,909572.9,914765.9,0.9571115,0.9612581
zipkin2.codec.SpanBytesEncoderTest_2,1758562.61,1787682.164,1760839.684,1758910.397,1762811.137,1785687.749,1747472.398,1796695.21,1787406.17,1750357.293,1771156.081,1768084.573,1776816.115,1750879.013,1752673.046,1772118.275,1774248.229,1773678.084,1793211.818,1787913.76,1748383.93,1772910.71,1772069.219,1770820.042,1773421.428,1796033.325,1775482.53,1773298.698,1768815.032,1769854.302,1675642.721,1708975.603,1686517.07,1679915.52,1690217.432,1734619.851,1681293.805,1729455.636,1710489.654,1699051.506,1694415.805,1703360.004,1700360.419,1692474.885,1688063.262,1688285.946,1701385.28,1716063.346,1716144.411,1705546.587,1669617.207,1714911.271,1720549.572,1714408.367,1708107.526,1733808.128,1697545.125,1701508.666,1697720.902,1705194.529,1764098,1777419,1694184,1709031,0.9603444,0.9615273
zipkin2.codec.V1SpanBytesDecoderTest,1972933.672,1970512.354,1975650.691,1976256.474,1973996.676,1971852.45,1974599.068,1974489.964,1972019.729,1971723.4,1972345.138,1970978.319,1977659.126,1972838.987,1973142.705,1967256.335,1973688.763,1973779.567,1975396.347,1970954.817,1974499.87,1974085.226,1976036.224,1976415.068,1973327.77,1973298.47,1976200.484,1974633.667,1978819.511,1961367.963,1929828.549,1917148.656,1921408.941,1927087.404,1932254.284,1917177.611,1928857.824,1929332.824,1935589.114,1910101.052,1935031.6,1916730.722,1914032.03,1926504.392,1929680.206,1901937.65,1932172.154,1917354.275,1908694.94,1904870.557,1923006.514,1902774.992,1913308.809,1921878.435,1902052.452,1927249.396,1931898.788,1910040.572,1919172.257,1889496.891,1972012,1974518,1914804,1924929,0.9709899,0.9748859
zipkin2.EndpointTest,1105413.818,1106341.481,1103190.077,1101772.627,1103846.879,1106944.065,1105530.164,1102532.959,1100824.223,1104749.973,1100274.794,1102957.129,1101314.606,1082733.606,1101924.411,1104150.965,1100360.86,1098522.772,1102967.948,1101392.775,1098278.815,1100013.655,1103234.578,1099260.195,1102600.563,1107366.789,1103923.018,1106985.193,1101243.659,1104421.859,1071905.163,1068628.83,1066705.606,1080985.092,1067126.842,1083644.429,1075133.844,1072284.239,1065896.5,1074672.973,1079751.904,1079057.518,1066251.727,1046008.734,1074973.877,1072573.318,1084070.274,1062748.043,1076958.448,1064261.736,1079043.491,1079912.194,1081507.974,1074250.895,1072436.703,1082348.391,1076915.667,1069863.175,1069099.679,1085669.986,1099080,1103470,1068530,1076574,0.9722039,0.9756259
zipkin2.internal.DependenciesTest,1392320.616,1397254.345,1395648.226,1398698.096,1395742.409,1392633.688,1394445.34,1392589.376,1393735.241,1394817.297,1394744.504,1394382.2,1396743.034,1395629.718,1396839.017,1392052.254,1397011.412,1398947.773,1395582.904,1395424.042,1395804.94,1395719.994,1395048.865,1395149.597,1393514.606,1393362.292,1395007.607,1394902.51,1394629.967,1394184.818,1349613.314,1356098.668,1364034.646,1355682.38,1375908.167,1369496.669,1366795.885,1347678.684,1354032.087,1372637.72,1370531.208,1368914.9,1355011.09,1363139.855,1352513.143,1357994.25,1364869.999,1361894.457,1357390.52,1352249.623,1366263.873,1364997.112,1367310.247,1359788.864,1369011.151,1359031.152,1365969.719,1374265.867,1355404.443,1355675.826,1394401,1396006,1358174,1365112,0.974019,0.9778703
zipkin2.internal.HexCodecTest,408015.744,409090.5857,409630.0569,408502.6918,409055.2472,409184.3721,419345.0251,419646.6091,420285.0136,418998.3205,417282.7874,417358.5588,420479.8085,420760.6074,419618.7021,420484.1996,420182.3028,420774.4868,419636.8196,420560.0348,417896.5586,418348.0338,419908.7226,420801.5893,420872.1593,420671.2892,420378.1399,420454.4043,418906.2021,418680.2371,401225.2755,404397.5358,402002.8241,404451.842,401690.0965,401973.3029,409182.8628,412249.3081,409850.0197,415350.738,407289.9864,410272.3484,409637.5688,411304.2101,414364.2123,414458.6384,411364.959,409739.8135,415645.8982,412941.1501,413887.2134,413683.8828,413230.0342,416965.8903,412305.5495,410444.337,412232.9192,412186.4659,412208.4213,411112.9344,415451.7,419439.2,408177.3,412215.4,0.9824547,0.982785
zipkin2.internal.Proto3FieldsTest_1,282962.1501,282476.3418,282516.4754,282674.0104,281497.6156,282371.9458,282304.1405,280510.112,283251.4162,281130.14,281186.1992,281780.3312,282138.7989,282170.7305,281327.6304,282607.4374,282851.9292,282233.861,281615.8696,282598.9048,282434.7623,281519.8414,281559.7423,281494.8248,281692.4019,281879.026,282079.7928,282213.4818,282225.5226,282307.3818,276316.3063,279494.8988,278870.5449,278483.9442,279858.2263,280445.661,277618.5031,274563.4297,280129.4227,276343.308,279848.143,278101.7553,280297.2978,280597.0937,277065.3207,276154.9196,276466.3876,280266.5866,279354.3961,278460.962,279236.0978,276306,277050.8138,278767.4735,278005.0761,280437.9653,281353.187,277447.4657,276575.8674,280443.0103,281742.5,282334.8,277594,279200.5,0.9852758,0.9888985
zipkin2.internal.Proto3FieldsTest_2,472400.8153,476637.2262,475914.9813,475112.5237,475509.3914,475205.8314,485656.6814,484853.656,484247.5644,481307.5291,485240.2058,484656.3795,485010.1605,485500.5138,483709.9745,481766.2344,485937.5297,485689.3897,486108.7009,484775.6669,484984.2245,485551.2537,485868.5059,485843.3273,484520.7236,486042.5529,484523.4723,482310.6169,482493.4149,484082.9777,467790.7194,474868.6332,469246.2163,474465.2933,469050.5162,473427.8319,477968.0885,479123.4294,482622.9387,473454.313,482069.7915,477049.2069,483264.0769,477335.6962,479293.1842,473270.8287,481299.9136,482539.0436,477582.8664,479111.3358,475983.819,481125.1601,477483.1655,483239.2463,482908.633,482808.69,479278.1016,479517.556,473680.0921,476540.8731,480840.5,484544,475587.7,479628.3,0.9890567,0.9898565
