BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,584836.108,586036.326,584648.653,585471.13,583867.105,584873.154,585237.339,585458.609,586353.221,585770.889,585495.124,583340.566,585833.501,585019.762,585787.236,585372.522,585905.3,584991.115,586290.157,585339,585895.918,586012.409,585316.61,585810.802,584528.482,584051.494,587220.534,584542.723,584290.589,585601.122,551980.38,552905.467,551582.391,552410.192,551077.71,552199.505,552688.408,552731.421,553325.827,552711.67,552455.168,550833.939,553049.778,552378.231,552543.67,552493.478,553131.932,552153.078,553137.344,552453.284,552629.857,553081.002,552124.432,552877.158,551706.287,551155.944,554055.991,551841.284,551639.213,552871.323,2.00E+05,584960.3,585692.4,552116.3,552739.4,0.9437303,0.9438464
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,1.34085451,1.34101196,1.3303833,1.3303035,1.32032986,1.33023421,1.33038117,1.33108128,1.3302793,1.33085731,1.330237,1.33050659,1.33130778,1.34115534,1.33040844,1.33047826,1.33089016,1.34032387,1.34122221,1.33055274,1.33127467,1.33029379,1.33042945,1.33036229,1.32033633,1.3310088,1.33051537,1.33028887,1.34121672,1.34045399,1.2879059,1.28741535,1.27811373,1.27845012,1.26955758,1.27778767,1.27868147,1.27829441,1.27821459,1.27852896,1.27838727,1.27776823,1.27777291,1.28760248,1.27816379,1.27873976,1.27822258,1.28741758,1.28816226,1.27824533,1.27789443,1.27864432,1.27891502,1.2782414,1.26935276,1.27791952,1.2781018,1.27778102,1.28703315,1.28730772,10001,1.32988,1.334766,1.277666,1.282026,0.9604636,0.9607462
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32,4.70338729,4.71351648,4.70149413,4.71248735,4.70160269,4.70314947,4.71096366,4.71374727,4.71364695,4.70249899,4.70429157,4.71006829,4.7005546,4.71213928,4.71288723,4.70060159,4.71318113,4.71301063,4.71375716,4.71162495,4.70387984,4.71048842,4.71303465,4.71008572,4.7134967,4.70249616,4.71046299,4.71289994,4.70006251,4.71359514,4.59045641,4.60120268,4.58833282,4.59819091,4.58872542,4.5911007,4.600589,4.59923126,4.60080929,4.58885464,4.58972148,4.59926992,4.58929973,4.5987484,4.59850337,4.58834628,4.60135193,4.60038174,4.59830106,4.60090865,4.58914403,4.59910627,4.59975997,4.59843638,4.59783573,4.58807393,4.6012809,4.59863645,4.58821527,4.60006209,1.00E+02,4.706226,4.710879,4.593317,4.598085,0.9760057,0.9760554
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData,4.0600816,4.04168346,4.0009072,4.05249561,4.05284067,4.04194364,4.04235653,4.0430304,4.04249833,4.04100394,4.04016483,4.04051792,4.02062229,4.03147215,4.0038752,4.04340976,4.04352126,4.04305706,4.05016969,4.03375072,4.0338422,4.05130653,4.05003402,4.05312498,4.05249966,4.05154386,4.03351496,4.05198652,4.0522113,4.05198369,4.00749401,3.98800344,3.95249613,3.99937132,4.00098469,3.99102918,3.99110253,3.98817934,3.98863446,3.98859779,3.98942009,3.98840848,3.96905872,3.97866661,3.95051632,3.99118969,3.98882416,3.99151742,3.99962908,3.98069043,3.98131835,4.00022643,3.99872256,3.99937922,3.99896174,3.99897677,3.97819133,4.00110132,3.99822246,4.00041224,1.00E+03,4.033242,4.04574,3.980829,3.993572,0.9870201,0.9870997
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,607234.016,606979.33,607099.41,606357.419,606872.923,607825.742,606227.011,607174.566,607771.361,607319.176,606424.616,607001.094,606760.345,607518.076,606335.02,606083.005,606452.254,606920.161,607231.96,606687.978,606807.985,607478.095,606838.493,602185.101,606907.851,605310.301,606163.745,605513.194,605997.585,607316.265,602956.901,602504.725,602765.735,601745.417,602325.771,603711.467,601729.663,603142.084,603287.15,602870.155,602474.192,602765.887,602331.575,602964.289,602274.189,601946.678,602243.029,602732.415,603039.879,602006.94,602403.815,603261.371,602121.682,597814.797,602390.194,601353.471,601817.745,601137.237,602279.546,602809.648,20000,606181.9,607064.6,601890.6,602752.3,0.9928633,0.9929077
zipkin2.SpanBenchmarks.buildClientSpan_clone,1.09104956,1.09046717,1.11021001,1.10012496,1.07072257,1.10105819,1.08024202,1.10023957,1.08015012,1.10098549,1.11063503,1.09092715,1.11069408,1.10102277,1.09050641,1.10067804,1.0907933,1.07013546,1.10109329,1.12082062,1.10033032,1.09021342,1.09024165,1.12004323,1.08005389,1.08073191,1.11090465,1.09069836,1.10057772,1.1006534,1.08304194,1.08316734,1.10372091,1.09343125,1.06337287,1.09363569,1.07324264,1.09296123,1.07339212,1.09396829,1.10350256,1.08333737,1.10336885,1.09331843,1.08362828,1.0935283,1.08326686,1.06334905,1.09306449,1.11339333,1.09321028,1.08325726,1.08320076,1.1127598,1.07314435,1.07415274,1.10283598,1.08327182,1.09345573,1.09393043,10000,1.089891,1.101691,1.082468,1.094652,0.9931902,0.9935925
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,665568.194,665498.619,665360.377,665351.616,664994.008,664743.071,665029.964,665769.164,665457.57,665946.838,666160.77,665392.209,665667.412,666326.843,665814.182,665242.86,665753.326,665587.277,665740.42,665922.989,665290.742,665029.19,666698.894,666536.969,666052.988,665605.017,665306.583,666204.135,666577.313,666095.411,663069.648,662516.413,662872.044,661950.97,662047.686,661793.526,662356.924,662947.547,663161.307,663352.91,663329.003,662596.657,662980.357,663143.223,662954.17,662332.303,662594.636,662909.808,663092.417,662653.859,662422.543,662071.248,663689.917,663646.395,663051.718,662822.983,662259.534,663290.984,663248.619,663184.94,10000,665447.2,665869.8,662573.4,663011.9,0.9956789,0.9957097
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity,2.46007011,2.46204229,2.46088879,2.46107723,2.46144254,2.46214512,2.46186517,2.46036137,2.46204696,2.46011168,2.4618231,2.46044378,2.46105189,2.45121716,2.4609931,2.45155428,2.4622504,2.46158473,2.46168362,2.46084033,2.46009938,2.46233749,2.4613006,2.46066838,2.4600888,2.46225729,2.46047281,2.46004944,2.46005387,2.4615616,2.45168176,2.45295029,2.45279288,2.45318015,2.45222912,2.45254711,2.45289423,2.45352727,2.45394635,2.45180293,2.4517432,2.45313902,2.45208029,2.44260103,2.4532646,2.44218388,2.45222814,2.45154443,2.45212337,2.4521503,2.45315616,2.45286314,2.45381661,2.45170061,2.45168568,2.45373143,2.45227783,2.45332531,2.45329667,2.45244283,2.00E+01,2.458799,2.461368,2.450094,2.452773,0.9964536,0.9965061
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk,4290505.79,4289449.58,4295037.42,4258925.57,4298848.09,4294339,4216967.74,4298308.96,4289851.66,4298962.53,4296332.56,4292741.37,4293365.68,4284524.35,4291188.27,4294503.9,4295008.47,4290430.11,4291643.78,4289142.91,4292144.46,4286156.28,4290592.81,4295379.25,4292044.62,4294020.87,4293125.97,4293224.34,4288935.94,4290683.89,4278035.83,4279836.19,4283750.71,4251544.13,4286042.39,4282763.18,4208087.83,4286763.86,4277511.41,4289974.41,4285159.26,4282668.33,4281500.79,4277480.42,4278795.61,4283694.23,4282657.31,4282511.89,4281171.8,4280392.42,4284764.85,4275641.97,4282748.64,4284341.36,4283397.16,4284716.46,4284581.84,4281781.04,4282613.51,4282542.17,1.00E+03,4280183,4293758,4270660,4283347,0.997572,0.9977706
zipkin2.SpanBenchmarks.padLeft_31Chars,7.48590471,7.38564791,7.38249517,7.18360292,7.2469113,7.43489859,7.64276797,7.4666103,7.30146438,7.65710685,7.50657675,7.61722112,7.52473308,7.39734344,7.39191327,7.64674612,7.70303841,7.553587,7.37624533,7.59285383,7.24269907,7.47553527,7.45331971,7.55120347,7.36447193,7.22294214,7.5248707,7.54055192,7.65314797,7.55575461,7.4688086,7.37268552,7.3662016,7.16870814,7.22773939,7.41862713,7.62983597,7.44877968,7.28804156,7.64183116,7.49174763,7.59605568,7.51014189,7.38275933,7.38048593,7.6319749,7.6902734,7.53665911,7.36187555,7.57585138,7.22794753,7.45945471,7.43927695,7.53731849,7.34859425,7.20976165,7.51047665,7.53256985,7.63921222,7.53780003,2.50E+02,7.410229,7.539419,7.392397,7.520076,0.9973748,0.9980564
