BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_PROTO3,640635.382,640456.185,639692.775,640939.339,640600.722,639661.409,639259.26,640152.715,640685.637,640294.049,641088.422,640369.421,640586.218,639685.404,638683.053,640160.491,639342.832,640786.556,640063.523,641179.363,639530.759,640079.24,638524.793,638479.409,640039.279,641233.539,639775.512,640941.415,640143.243,640218.413,487163.7318,484471.3795,488927.7271,483926.4716,480193.8289,483583.3012,481198.1424,488188.6764,486701.5389,480567.9609,488606.133,485517.5352,483588.408,481857.6997,481550.4618,481559.0461,483470.5936,484478.7834,486184.2784,487295.1936,482133.9472,485760.6647,480831.2647,482374.8312,483213.5654,485453.102,486178.6279,483508.8463,483512.5798,488189.6211,10000,639740.1,640432.1,483063.1,485457.2,0.7550914,0.758015
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff,1219416.78,1218259.18,1218640.84,1215741.69,1220171.2,1218155.6,1218215,1218610.95,1215751.18,1216706.33,1218110.8,1219326.04,1219350.97,1216691.89,1218278.3,1219314.19,1217513.21,1219797.59,1218358.81,1219045.23,1219985.95,1216651.19,1218910.91,1216753.55,1219773.45,1219904.57,1219498.53,1217890.35,1218225.26,1221577.31,1138253.925,1138771.014,1144705.435,1155037.58,1146717.303,1138357.676,1153247.544,1150762.771,1150130.838,1141281.502,1139910.548,1152009.866,1141872.838,1135407.948,1147085.899,1156435.421,1154120.535,1159222.955,1146549.42,1142210.176,1154764.459,1148688.252,1147336.27,1137440.639,1151373.409,1154588.949,1152675.857,1149892.022,1141430.826,1159987.091,1000,1217786,1218958,1144245,1150513,0.9396098,0.9438487
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_malformed,196142.739,196067.638,195915.837,196127.626,196755.076,196515.641,197748.831,197396.44,197048.442,196745.304,197478.763,197684.21,197177.237,197527.343,197570.002,197315.048,197481.955,197336.038,197727.355,197738.511,197802.434,197591.197,197276.256,197484.572,197577.689,197863.875,197786.274,197299.536,197646.928,197671.019,184942.192,184480.4177,186796.5983,184589.8542,185717.9685,186588.1051,187969.0928,186764.6842,186327.9246,183855.6155,186430.573,186126.5259,186577.5149,184883.5285,186487.2009,187142.1925,186316.0013,186514.0006,187057.4408,187708.2387,187256.341,187982.0948,185809.5815,186041.5456,184655.1316,185180.4835,184773.4335,187592.8456,187843.5344,187703.3595,10000,196967.4,197478.5,185713.9,186760.2,0.9428767,0.9457222
zipkin2.v1.V1SpanTest._Benchmark.benchmark_binaryAnnotationEndpoint_emptyToNull,1031845.28,1030009.59,1032997.38,1030434.87,1030741.3,1030299.45,1028457.55,1030225.63,1028177.1,1026410.28,1028828.88,1030292.68,1027464.97,1028511.07,1027183.92,1028541.41,1029055.85,1027849.22,1028425.21,1025354.94,1028497.02,1030375.03,1029536.98,1027837.33,1025256.72,1028815.36,1027195.5,1028173.58,1028823.14,1028594.41,986704.3035,980787.7999,980439.2766,979574.3992,969739.3792,978389.3947,970747.412,983042.0479,987027.6091,983758.821,978172.4231,980453.0983,971960.4896,975210.3875,985437.3744,978483.453,983839.9994,977423.2729,977103.2509,969720.7499,985819.101,972835.9542,969796.5834,984569.5683,976362.6581,970135.0406,969033.367,977678.1745,984651.1003,970450.1704,1000,1028028,1029582,975787.5,980930.8,0.94918,0.9527467
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6,835708.512,835539.715,836367.059,836688.323,836130.857,835834.337,833048.602,835088.952,833262.44,834107.913,833619.684,834046.885,833746.156,834007.93,834097.751,834540.251,831786.071,834486.024,833487.606,835183.936,834136.443,834192.035,834162.291,832913.521,833929.911,834776.135,833403.175,833092.655,833128.528,833548.668,799267.0174,798536.4839,804012.7559,808741.4464,794574.0659,798211.2358,791055.4772,798905.6234,807024.6689,803792.8834,805554.1757,797986.3691,806024.2894,797185.3459,805984.944,806127.6996,803957.8457,794573.4111,799612.724,803851.6071,793368.23,796180.5628,799941.9738,800318.4268,797938.8341,794163.2363,793417.311,801160.2118,792489.973,796033.1024,1000,833749.9,834797.1,798054.8,802494,0.9571873,0.961307
zipkin2.internal.HexCodecTest._Benchmark.benchmark_lowerHexToUnsignedLong_downgrades128bitIdsByDroppingHighBits,1283365.67,1305138.52,1286184.77,1284261.48,1285438.02,1303552.07,1276165.38,1310538.98,1303893.7,1277505.31,1292426.93,1291347.49,1297205.51,1276864.7,1278300.75,1293387.65,1295719.56,1295692.09,1309044.64,1304524.73,1277086.61,1294742.78,1293739.93,1292440.13,1295763.96,1309925.29,1296102.26,1293473.18,1292010.27,1292252.13,1222241.308,1248176.353,1230542.141,1226461,1234352.528,1265007.37,1227099.045,1261745.504,1248407.753,1240059.575,1236799.858,1242210.48,1240270.802,1235877.479,1231793.427,1232079.092,1242011.267,1251349.633,1253914.068,1245796.574,1219186.366,1250634.481,1255247.976,1251893.726,1247916.94,1265047.359,1239951.999,1242225.574,1239956.311,1243548.346,1000,1287484,1297272,1236745,1247529,0.9604875,0.9616223
zipkin2.EndpointTest._Benchmark.benchmark_missingIpv4IsNull,1378571.04,1378532.08,1381297.65,1381721.19,1381107.81,1378366.45,1382220.73,1381038.42,1379448.61,1380207.76,1378848.68,1379548.11,1382149.12,1379883.66,1381063.03,1376942.98,1381168.75,1380541.54,1381810.59,1379531.66,1380079.1,1380755.33,1381567.2,1380865.66,1379397.73,1379929,1382096.59,1382106.6,1382407.46,1371723.16,1348721.221,1340529.343,1343508.265,1346940.099,1352308.619,1341220.132,1349661.422,1350534.327,1352611.992,1335601.441,1353439.639,1341712.847,1338216.294,1348419.446,1349156.886,1329494.531,1350764.109,1340673.118,1335018.71,1331012.503,1345971.174,1329282.6,1338245.837,1343702.193,1331304.784,1346918.699,1350708.032,1335959.9,1343153.024,1321855.239,400,1379396,1380950,1338972,1346227,0.9706957,0.9748585
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_varint_sizeInBytes,869708.814,870612.657,868914.278,867450.757,869692.587,871173.913,870583.25,868396.707,867050.842,870665.468,865925.143,868557.036,866830.123,851779.545,867050.081,869410.209,866599.194,865411.266,868739.321,866978.312,865478.852,866759.216,869558.202,865645.773,869058.478,871506.6,868883.169,870771.113,867641.576,870494.005,843260.8784,841692.5316,840093.6927,851509.9679,839417.9375,853348.6643,846816.127,845163.4619,839540.4447,846537.8061,850623.6613,850246.7614,839232.5963,822806.1181,846266.8697,844630.3826,852831.0932,836224.1262,848847.6254,837415.1762,848876.5551,849814.6735,851495.9322,846036.0536,844438.3486,851902.0673,848474.1765,842411.9486,841390.0755,854345.6495,1000,865399.5,868922.2,841232.3,847632.3,0.9720586,0.9754945
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_THRIFT_shared,504260.6,503903.187,501007.873,500774.368,503461.984,503474.895,503054.457,502938.718,502698.603,503222.099,502549.122,502409.085,503091.955,503250.309,503059.173,502379.917,503460.137,502503.627,502834.394,502707.626,502263.271,503494.749,502753.805,502787.015,503130.881,502430.114,502489.673,503432.99,501495.407,502688.031,494454.9896,489430.1789,487143.5946,490413.4859,485845.2519,491515.1719,492987.8293,489746.206,487564.6422,485824.3975,485763.131,485912.5312,486412.0707,493422.5585,494386.2889,487447.7887,494442.322,488686.5368,491378.2417,485403.8229,491662.9245,491916.4213,489917.2271,491769.0342,494721.8594,487377.7671,487513.1479,494439.5571,490286.9494,488684.2822,1000,502496.4,503143.5,488366.6,491309.9,0.9718809,0.9764807
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readInt_byteBuff,1210592.52,1215125.29,1213364.48,1216137.6,1214660.78,1211955.38,1213531.99,1211553.06,1212671.29,1213855.69,1211730.75,1212748.81,1214073.53,1213712.43,1214278.34,1211328.15,1215886.83,1215382.48,1212701.46,1212927.04,1212894.4,1213669.56,1213207.29,1212203.8,1212843.39,1211134.93,1214021.31,1213808.37,1212600.45,1212577.14,1172873.071,1179924.188,1186354.355,1179325.974,1195485.496,1189676.991,1188755.912,1172363.453,1176360.482,1193836.784,1190575.692,1189290.421,1177328.65,1186050.635,1176098.385,1179802.743,1186487.531,1183309.402,1180693.79,1175869.237,1189006.747,1186479.418,1188015.02,1181834.182,1190920.848,1181411.796,1188631.798,1194774.843,1179674.266,1178023.928,400,1212657,1213950,1180851,1186894,0.9737722,0.977712
