BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_PROTO3,730310.681,730228.564,729724.859,730774.323,730353.093,729644.783,728965.82,729777.248,730188.752,730455.754,731150.986,729909.452,730709.408,729289.027,728526.758,729773.551,729050.325,730608.021,729879.147,730889.333,729122.642,729665.373,728245.711,727695.659,729597.256,731289.276,729547.583,730641.418,730121.296,729831.401,558485.6347,550347.2237,549691.9642,549822.1525,558022.3672,554571.3747,553643.0709,554324.266,550037.2285,551704.7142,548552.3517,553404.9566,556160.7786,556646.282,555354.3318,548874.2867,553891.806,548660.1082,554629.2843,558843.7387,552963.4756,549813.5514,552883.9812,557222.9339,549648.0535,557627.5774,555840.5012,556390.5541,552858.8688,555979.7722,10000,729464.6,730218.2,551803.3,554860,0.7564498,0.7598551
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_malformed,214911.181,214837.752,214616.874,215023.573,215716.178,215467.503,216692.727,216368.44,215938.574,215567.305,216334.12,216673.723,216004.561,216461.696,216433.962,216281.324,216355.59,216233.79,216660.76,216825.695,216794.606,216480.906,216150.501,216396.007,216459.715,216788.07,216870.586,216313.972,216668.511,216570.093,202306.8645,202256.8058,204836.103,203915.1877,202520.6087,202900.8573,205600.5049,205277.2218,205599.2601,201791.4564,205539.7826,203177.3019,202791.5752,204421.8654,205440.3872,202433.8475,206398.2116,205400.0149,205001.3799,205539.8691,203806.8791,204883.115,204885.2122,203089.4419,205292.2505,203018.6702,204442.6064,202355.0075,204115.104,206315.0765,10000,215847.5,216409.9,203582,204834.3,0.9431818,0.9465145
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff,1368346.59,1368043.6,1368319.16,1365061.47,1369576.74,1366897.04,1367523.03,1367449.87,1365156.1,1366375.94,1366836.78,1368810.37,1368401.61,1365401.64,1368165.09,1369121.64,1367322.83,1369264.79,1367614.4,1367892.55,1369065.57,1365654.27,1368883.34,1366402.32,1369418.26,1369348.98,1368727.6,1367129.05,1367455.05,1371700.95,1295074.689,1290089.062,1280142.486,1284169.948,1291880.243,1293005.468,1299130.128,1291604.938,1295200.998,1287457.563,1292791.843,1297814.952,1302895.556,1287036.07,1280070.816,1299443.266,1298360.569,1300499.916,1291211.419,1293645.383,1285839.235,1295554.814,1292580.558,1288311.741,1290821.822,1299495.475,1300498.524,1289438.412,1282110.591,1295692.109,1000,1367045,1368342,1289712,1295439,0.9434287,0.9467218
zipkin2.v1.V1SpanTest._Benchmark.benchmark_binaryAnnotationEndpoint_emptyToNull,1145338.79,1143700.38,1146909.89,1143491.06,1143478.23,1144109.76,1141760.49,1143536.53,1141129.56,1139779.24,1141884.81,1143623.19,1140671.56,1141479.2,1139570.89,1141259.54,1142060.5,1141195.51,1141033.64,1138153.81,1141603.52,1143979.37,1142277.55,1141214.73,1138169.23,1141648.85,1140536.2,1140775.93,1141859.25,1141743.71,1091772.775,1094667.107,1082030.396,1081750.551,1089796.707,1095169.153,1093172.821,1079793.17,1081197.369,1081377.042,1087858.471,1082462.395,1082360.03,1093915.877,1094919.217,1077400.04,1088337.953,1089042.839,1096799.899,1079976.106,1085219.131,1096936.357,1092808.888,1084754.471,1083594.718,1093416.812,1087931.611,1092918.835,1081814.734,1091879.066,1000,1141051,1142800,1084898,1090454,0.9507877,0.9541937
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6,971484.112,971141.859,971870.548,972072.625,972277.552,971614.148,967932.016,970464.9,967993.18,969243.641,969162.45,969393.661,968775.285,969700.136,969358.311,970146.91,966888.033,970242.625,968634.49,971166.344,969468.556,969290.563,969920.255,968079.767,969604.478,970462.282,968375.109,968029.121,967864.936,968820.313,923819.688,932754.9526,938289.3151,936959.987,937479.0325,924007.2454,933755.6941,937044.317,931308.0198,925448.3532,926440.2027,927978.2882,923117.1407,930795.6405,936485.4393,922688.2021,921729.9063,922344.8751,938537.5182,923109.8202,928653.6103,934527.1463,928349.9357,932774.3391,924364.0113,927515.2205,922336.5464,926036.3778,921980.0308,938613.3673,1000,969079.4,970304.5,926628.3,931938.9,0.9561945,0.9604602
zipkin2.internal.HexCodecTest._Benchmark.benchmark_lowerHexToUnsignedLong_downgrades128bitIdsByDroppingHighBits,1444249.52,1468879.39,1448078.94,1445043.75,1447285.53,1466705.24,1435667.08,1475366.58,1467278.43,1437518.85,1454947.9,1453280.66,1460562.83,1437399.41,1438125.77,1455893.4,1458163.34,1457828.53,1472776.19,1467434.18,1436856.6,1457055.64,1455327.48,1454713.61,1458072.8,1474216.55,1459307.81,1456107.51,1453396.91,1454309.65,1402394.372,1400469.198,1399813.81,1398718.32,1404134.368,1417876.989,1370344.627,1407357.897,1400995.152,1395303.038,1389756.087,1404166.202,1412256.838,1383797.124,1378659.565,1392108.789,1401597.402,1398695.379,1416039.1,1415345.487,1393561.68,1407199.549,1406692.06,1399220.054,1395971.286,1409082.659,1410409.361,1401936.746,1403377.777,1387200.058,1000,1449153,1460028,1394294,1404627,0.9620573,0.9623476
zipkin2.EndpointTest._Benchmark.benchmark_missingIpv4IsNull,1465546.82,1466438.95,1468743.1,1469165.37,1469162.62,1465634.85,1470052.03,1468903.78,1467487.32,1468639.77,1466671.27,1467989.39,1469835.12,1467319.62,1468697.47,1464576.21,1469610.9,1468278.77,1469812.28,1467889.82,1467166.62,1468866.42,1469942.53,1469343.21,1467462.26,1467023.35,1469516.29,1470166.41,1470779.91,1458669.62,1414308.052,1440264.412,1438223.279,1430808.663,1438934.203,1420700.139,1436322.865,1423361.922,1440071.565,1435247.719,1419124.876,1440985.034,1435176.573,1442550.516,1423355.415,1427503.358,1434108.983,1419518.394,1432624.681,1419834.021,1431029.476,1418559.142,1429868.874,1442987.25,1437115.255,1421764.66,1441810.125,1417711.682,1419229.546,1423635.869,400,1467156,1468836,1426138,1434396,0.9720434,0.9765524
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_varint_sizeInBytes,1020722.53,1022223.7,1019898.53,1018873.13,1021139.62,1023115.21,1022058.16,1019369.48,1018076.76,1021795.28,1016464.77,1020060.69,1017351.02,1000526.38,1018296.17,1020391.78,1017226.78,1015915.94,1019563.98,1018037.42,1016495.5,1017763.15,1020845.77,1016454.2,1020559.87,1022939.77,1020082.29,1022480.94,1018479.9,1021992.15,999575.732,992891.8453,990654.032,985414.5499,1000684.356,998555.6046,988923.1803,998913.652,999195.8763,987457.6616,991278.23,996307.1343,991870.8312,969347.7824,991974.2789,1000972.819,983211.9386,994179.3914,999307.671,993630.8864,996371.9117,984655.2354,999878.9679,980547.3606,989247.876,1007197.671,1000378.396,1005833.529,1000957.899,989165.0266,1000,1016041,1020129,988905.2,996288.5,0.9733081,0.9766302
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readInt_byteBuff,1406914.99,1412540.84,1410618.81,1413438.79,1411381.46,1409075.61,1410473.66,1407248.11,1409575.08,1410001.42,1408746.4,1409040.27,1411110.43,1410272.04,1410746.21,1407822.59,1412422.69,1411870.02,1409890.16,1410184.44,1409853.87,1410850.16,1409815.14,1408871.57,1408908.32,1407954.71,1411062.01,1409847.95,1408606.37,1409813.3,1375243.488,1366541.596,1367857.758,1374978.728,1374501.166,1373966.241,1386980.543,1385174.602,1385385.917,1386108.711,1386609.766,1378891.748,1382138.586,1370388.308,1371712.564,1381952.376,1381334.833,1376042.488,1386835.95,1363846.64,1365611.349,1366739.017,1373928.524,1374896.372,1376175.744,1363887.143,1370484.708,1370158.176,1378853.361,1371019.139,400,1409331,1410733,1372977,1379842,0.9742045,0.9781037
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_THRIFT_shared,572004.113,571733.226,568417.861,567988.933,571280.469,571191.099,570573.802,570629.738,570631.908,570976.281,570142.523,569796.981,570542.146,570732.185,570935.614,570175.03,571410.225,570018.235,570370.496,570329.194,569626.021,571515.238,570263.102,570588.664,570634.325,570305.064,570122.937,571400.559,568807.092,570401.006,555524.2206,555289.1439,559758.137,559317.4569,559597.6655,553338.3375,555947.3482,553031.7244,556608.4433,559431.5075,558970.3755,555462.8236,557493.7581,560481.7604,561596.5994,554612.6919,554759.7086,558175.7616,553111.6391,558030.2831,560782.0223,555830.895,560451.8845,557432.5166,554167.4483,553865.7986,561169.1024,557161.1684,549424.5613,551868.5621,1000,570055.9,570849.8,555728.4,558378.1,0.9748664,0.9781482
