BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscape,243724.382,246820.9,250604.385,255448.514,255768.991,255365.875,257484.775,254713.448,253204.59,251650.764,253609.107,256393.832,255034.642,255974.645,249890.313,253379.189,254887.661,257104.756,256890.632,241805.521,248013.253,250528.148,251859.439,255515.692,251733.335,256001.781,253723.988,245992.544,249677.318,249179.507,225374.745,229762.878,228160.167,225709.741,223024.595,223556.599,230662.893,231143.307,230793.833,231496.599,231048.491,231324.11,230747.356,229851.982,231328.019,230102.877,231269.366,230016.778,230499.779,231225.406,229680.519,229711.435,232914.143,231221.841,232247.076,231059.028,232503.62,233222.474,231156.509,229793.957,10,250739.4,254445.6,228759.5,230947.2,0.9076481,0.9123404
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscapedSizeInBytes,337408.992,334446.497,340571.52,339793.75,339716.95,336197.974,331502.322,329006.037,330080.775,332075.074,329304.191,330829.719,333389.853,325944.025,334949.389,334347.39,330861.084,328000.738,326239.763,333855.012,319194.167,317315.722,320644.178,320815.81,318025.775,319266.263,324407.45,328767.837,338339.637,339609.591,302261.128,301960.927,302368.7,268025.579,303129.072,299967.148,305936.686,306042.827,302134.257,302604.532,304282.118,306331.77,305717.609,302563.315,307173.287,305027.882,306589.115,305887.083,302952.36,304649.188,301889.253,304343.751,301017.112,301838.22,300256.95,303571.338,305206.258,304962.981,303979.863,299945.946,10,327126.3,333075.6,298882.6,304664.3,0.9136777,0.9177293
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_annotationQuery_annotation,97847.195,111720.443,114814.874,114885.436,114694.479,98777.886,112151.918,96857.321,95278.109,94910.546,96511.028,113871.779,114861.27,114928.34,115367.095,98310.904,113342.679,116236.125,116034.125,114962.823,115130.457,101543.172,109949.376,102029.077,95317.475,95177.7,108205.144,101810.641,109157.047,102448.535,104851.132,93012.534,104608.664,104604.693,92507.181,101193.489,94409.51,93795.074,93704.108,90914.821,75043.953,104114.66,95566.136,100223.323,105509.276,105620.739,104362.292,105490.109,106671.758,98578.74,100741.12,103953.547,100951.454,101226.793,108036.016,108732.166,109418.083,107390.634,108582.682,108470.026,1,103620.5,111256.5,96456.83,103296.9,0.9284609,0.9319725
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_wrongServiceName,187279.312,187179.891,184400.349,188866.88,189081.132,184208.934,186277.971,185311.107,186590.97,186880.75,188503.02,185739.437,186392.788,189424.654,188211.349,183524.105,188915.885,188464.149,187780.839,189251.362,185292.248,187976.63,189546.354,187535.152,188906.22,189703.171,189425.044,186920.748,186897.456,188330.371,177815.444,178750.056,177473.549,180334.308,179929.107,179851.143,180581.272,181391.55,159437.672,177535.322,177807.852,178689.719,177630.521,175255.989,178132.57,150723.065,177565.894,152520.598,178716.94,177504.64,176295.42,177576.365,178340.649,177627.385,155185.177,153358.211,172778.064,178273.976,177630.227,155358.707,100,186485.4,188110.9,168852.5,177542,0.9054635,0.9438185
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_spanName,169901.99,176836.228,178852.846,177090.629,175710.229,177136.621,173973.023,173113.797,174145.595,178550.309,177754.192,177447.561,176837.683,176535.632,175318.61,175017.34,176435.483,172562.197,175107.036,176032.416,176518.724,176423.868,174695.401,177566.2,178426.522,175185.333,176035.655,175315.546,175510.351,175267.534,168509.398,167034.726,163554.31,150966.445,169650.338,164899.825,144121.337,147034.408,167656.184,144096.608,144949.592,170224.156,166562.022,145371.666,168008.908,168296.659,170535.443,170603.023,171166.6,169335.962,148831.858,164259.245,172020.706,172065.043,169237.064,169597.845,169676.207,168478.958,172548.226,167217.305,220,174899.6,176665.8,157655.4,167054.3,0.901405,0.9455951
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_noTimestamp,189267.473,187393.476,186458.927,189402.673,189041.748,190528.632,190950.577,187108.343,187492.266,187115.591,185921.678,185905.527,187061.593,186085.355,187436.998,188246.139,188040.807,189474.279,186919.102,188388.05,187809.542,187178.446,187497.768,186405.915,187281.556,188882.221,187974.44,188103.363,188821.295,188037.165,105686.177,176695.432,176438.968,179216.125,178704.06,178316.724,179697.552,180139.318,180765.6,180244.666,179107.233,164854.412,172598.413,165090.577,170206.566,179580.957,179777.576,177137.584,177257.252,176443.5,180024.199,183462.302,182736.251,183391.796,182629.906,183159.678,183529.011,182808.772,182964.398,180085.154,1,187214.5,188409.7,167135.2,179536.4,0.8927469,0.9528893
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_rootSpanNotFirst,179229.564,181038.981,178788.532,180454.964,181713.653,180608.299,180298.933,179509.659,179771.856,183495.541,180463.758,182518.814,182525.079,180743.858,181447.909,180260.11,181205.032,178293.898,178154.072,181091.715,182053.876,180339.879,180720.062,179815.412,180570.263,179959.023,181161.887,181365.503,181089.765,181932.682,173660.836,170647.453,154203.923,175496.283,175319.375,174427.442,175170.746,176371.123,174409.008,175086.849,174149.907,171565.439,174888.067,173431.043,175540.9,172525.973,174696.3,170815.931,174474.566,154494.303,167248.526,153707.847,147948.152,173500.62,173205.097,174487.493,171444.223,172484.489,157791.265,163416.988,1,180069.7,181266.3,166714.3,173550.3,0.9258321,0.9574327
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_minDuration,167614.184,166795.487,165809.992,164184.947,167156.903,167046.067,167152.801,167576.117,166788.18,166425.195,164413.02,166325.982,166789.77,164273.918,164811.711,165236.356,165513.952,163389.718,163647.445,166656.987,168507.42,166166.228,166805.829,167312.841,167324.287,168057.643,167403.916,167622.629,167208.342,166721.745,158252.109,160169.477,160705.189,161987.084,162123.688,162381.73,162199.477,163017.045,161106.191,163687.881,161216.556,161748.017,157522.304,141493.259,161308.328,161678.479,160553.599,148682.635,160204.016,160685.945,160453.06,159919.219,158033.66,159081.701,159553.514,161044.467,159442.89,159151.35,138891.53,160863.978,1,165462.7,166774.6,156122,161081,0.9435489,0.9658401
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_lookbackMustBePositive,75296.236,65450.524,74820.768,66722.588,72027.124,75878.088,76247.775,75142.031,75888.137,76041.612,68992.186,64420.803,65457.737,63573.275,63981.273,64990.955,63911.942,69442.594,76869.424,75976.143,71790.419,70359.998,76660.595,77413.571,77312.662,77265.078,76839.141,73547.103,65729.825,76394.45,68371.24,68889.932,69740.952,68441.716,68419.899,68202.364,68674.062,69455.15,69514.794,69600.337,68885.248,68909.582,69347.308,68775.799,69308.291,70097.495,69529.372,69107.088,68717.038,68989.613,68754.025,69452.195,69301.9,70081.571,69161.826,67954.6,68691.084,68354.925,68178.9,68322.139,10,68716.31,73545.68,68816.12,69299.42,0.9423873,1.001436
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_annotationQuery_twoAnnotation,87918.03,98694.695,90298.915,81937.93,91701.236,98981.775,90991.909,89680.836,99356.997,99469.797,100079.588,99176.213,99979.019,98748.904,98745.166,94246.914,83267.331,84460.483,86974.796,99096.88,99258.001,95830.804,87238.888,96605.92,83696.984,84118.756,99401.328,84740.214,99558.934,98682.907,69145.198,91059.144,86393.356,95891.002,95613.307,94841.071,93091.881,84770.026,96300.996,95327.252,94542.898,95986.055,95917.971,96392.643,96823.616,96019.648,95862.721,96375.137,94714.178,92101.121,94323.617,95163.042,95732.94,95330.436,93977.894,94398.174,94228.958,94494.872,94723.522,94453.622,1010,90669.17,96487.19,90722.07,95391.16,0.9886299,1.001788
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_remoteServiceName,163525.557,165391.28,167064.512,169191.925,171642.38,168633.575,165999.145,165985.429,165831.195,167831.206,165575.06,164906.719,168676.555,169127.421,167455.837,170254.237,169363.372,168734.048,166707.026,166322.272,170381.171,168791.858,164164.423,168938.02,169676.027,167946.232,167966.95,166749.485,163522.995,166562.542,148683.924,174066.674,175359.569,173615.485,169336.093,149581.593,166332.064,149259.202,165187.9,155822.597,147559.669,144861.435,163402.517,152999.216,161323.303,172962.293,172602.547,170467.225,168785.971,173227.562,175431.584,175252.856,172201.506,175299.177,172251.852,170776.672,168306.837,130348.895,160762.687,151566.553,100,166614.2,168467.4,158548.8,168859.5,0.9515922,1.002287
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_timestampPastLookback,192057.364,191573.227,192272.054,185628.752,188080.902,187063.804,187280.389,187885.549,186722.053,189920.465,186287.834,188980.244,186338.279,186256.753,187198.551,189206.711,187101.764,187985.426,188793.483,188786.107,190813.648,189509.847,191028.157,191563.676,187565.049,187086.633,187468.554,189251.916,192053.624,190618.996,190051.494,188473.436,190601.454,191643.824,190991.454,193032.196,191260.827,190146.462,187191.879,188305.539,165119.296,190789.767,189108.823,189707.794,188726.594,193037.611,190279.551,191253.711,191818.651,192041.143,190595.454,188703.967,192118.498,189772.608,191597.529,165821.211,162867.309,164244.253,183466.658,190427.118,1,187685.7,189469.8,183722.8,190754.7,0.9788853,1.006812
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_maxDuration,136479.942,164022.469,140957.6,165665.835,168629.944,169818.236,169494.359,169621.924,169284.288,170447.309,149949.573,137687.948,138376.826,136959.271,135482.663,137986.941,137763.785,157655.83,170569.714,153820.673,139272.145,154707.685,165352.865,152566.072,154987.249,168120.361,168744.125,167027.27,159025.242,137983.159,145037.245,155972.519,158120.743,156361.899,158586.476,160094.345,157773.308,156216.134,157486.665,155991.483,156640.789,154599.683,153855.673,138088.291,157376.783,160168.603,157783.004,158083.616,158263.798,155283.358,132725.26,155846.105,156799.181,156020.385,137238.148,134452.492,134642.864,135959.255,134869.633,153343.003,1,147384.1,159913.6,148543.7,156422.4,0.9782137,1.008326
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_noRootSpanLeastWins,161197.596,163953.294,162581.785,162329.79,162832.977,161052.342,161811.254,162241.773,162632.738,161991.718,163001.342,161188.192,162341.892,161900.069,163062.198,162799.677,162076.522,163252.508,160878.338,161680.999,161630.124,161101.653,161262.671,163058.554,164221.484,164629.753,163609.338,163773.409,162556.133,160815.29,164922.8,164553.705,165791.392,165146.695,166435.597,156872.086,153749.358,164808.119,165553.126,166196.958,166568.144,165714.406,166328.116,165075.618,168047.696,166941.629,161046.252,144138.619,149012.141,163960.436,166303.913,165608.441,167045.118,165136.419,165094.508,166572.431,166787.882,167811.189,166629.212,167825.436,1,161881.9,162746.8,160104,165661.1,0.9890157,1.017907
