BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscape,291197.923,294988.881,299494.879,305271.287,305614.828,305089.161,307688.172,304294.23,302445.115,300722.624,303041.319,306279.607,304720.383,305995.077,298482.698,302804.175,304409.909,307149.722,306926.717,288868.213,296276.242,299356.301,300986.111,305346.314,300712.783,305993.699,303219.902,293927.764,298304.842,297819.753,269461.723,274927.839,272857.724,270063.911,266625.158,267257.907,275889.899,276370.702,275910.332,276740.404,276330.195,276605.41,275915.923,274806.813,276755.789,275336.68,276718.738,275202.722,275674.964,276650.328,274717.625,274796.535,278685.413,276675.777,277690.694,276444.967,278093.518,278848.667,276443.715,274804.685,10,299655.9,304029.3,273572.4,276221.1,0.9085235,0.9130534
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscapedSizeInBytes,358952.676,355936.098,362513.136,361740.975,361531.382,357657.998,352750.577,350226.393,351212.714,353286,350398.194,351927.106,354981.669,347012.975,356609.86,355702.888,352206.583,349221.423,347367.639,355336.254,339826.264,337698.347,341252.35,341394.192,338565.757,339928.516,345287.371,349740.632,360175.289,361461.028,321864.362,321777.954,322212.972,285629.146,323071.726,319588.938,325929.644,326172.482,321761.69,322218.406,324236.836,326493.412,325680.365,322271.842,327356.037,325088.734,326627.713,325725.088,322887.517,324519.31,321610.961,324352.61,320591.396,321691.129,320005.821,323471.427,325064.812,324766.09,323831.155,319646.608,10,348141.7,354578.5,318394.2,324614,0.9144756,0.918653
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_annotationQuery_annotation,107821.558,123028.792,126529.699,126524.428,126321.458,108789.842,123520.926,106732.935,105001.979,104516.496,106319.324,125501.247,126533.301,126653.311,127066.837,108346.18,124827.336,128113.618,127782.277,126600.797,126827.926,111814.102,121143.064,112373.582,105026.031,104823.719,119223.224,112201.442,120260.06,112819.397,115632.314,102539.171,115309.418,115377.865,101977.857,111568.608,104072.247,103415.725,103339.587,100256.887,82761.0943,114783.415,105436.694,110528.966,116388.182,116455.279,115137.267,116378.585,117581.072,108676.528,111060.986,114623.404,111368.577,111663.179,119147.383,119881.717,120723.948,118392.762,119765.604,119635.965,1,114373.8,122698.8,106322.7,113921,0.9283841,0.9329004
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_wrongServiceName,199580.614,199402.368,196362.677,201165.396,201372.843,196162.045,198419.577,197401.543,198799.491,199159.358,200741.861,197866.291,198464.583,201814.301,200563.28,195463.78,201320.093,200775.205,200092.048,201662.914,197419.211,200204.734,201870.551,199680.413,201280.098,202022.562,201797.436,199107.219,199186.324,200595.536,189533.797,190645.428,189186.11,192201.188,191872.989,191699.071,192487.479,193445.83,169954.736,189311.655,189599.325,190618.04,189462.39,186880.494,189891.224,160678.134,189354.398,162554.567,190644.945,189274.681,187937.049,189434.472,190114.559,189495.6,165417.216,163549.893,184267.581,190139.205,189380.294,165706.318,100,198655.4,200384.4,179910.6,189347,0.9056415,0.9449187
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_spanName,202249.167,210455.76,212938.004,210896.988,209157.989,210844.406,207148.24,206001.466,207271.888,212520.962,211717.354,211355.242,210506.402,210244.37,208794.837,208446.507,210033.132,205538.904,208389.331,209524.816,210118.915,210095.063,207946.506,211485.384,212349.735,208590.664,209682.704,208716.659,208871.812,208651.128,200843.586,199078.686,194929.379,179947.105,202175.001,196600.733,171751.857,175272.312,199821.761,171750.227,172696.913,202943.583,198427.984,173217.186,200319.684,200538.767,203246.248,203283.974,203898.709,201713.763,177413.065,195705.584,205040.151,205007,201630.648,202169.433,202127.654,200699.418,205707.013,199296.65,220,208274,210341.7,188148,199245.9,0.9033679,0.9472485
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_noTimestamp,219376.494,217207.202,216019.752,219426.768,219093.842,220702.741,221285.818,216840.067,217309.906,216723.685,215488.485,215378.445,216661.273,215666.779,217134.413,218164.727,217877.382,219571.738,216690.101,218399.084,217621.877,216799.654,217365.867,215917.728,216968.37,218963.547,217733.297,218074.409,218730.923,217861.063,122547.77,204915.562,204739.747,207932.419,207335.051,206877.534,208413.944,208977.787,209667.026,209028.24,207807.761,191249.822,200285.889,191441.498,197521.62,208382.358,208618.786,205532.862,205641.791,204592.443,208717.069,212846.147,211869.258,212740.003,211837.852,212458.487,212911.135,212131.075,212220.981,208795.548,1,216900,218330.1,194101.3,208245.8,0.8948887,0.953812
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_rootSpanNotFirst,209088.273,211130.24,208582.344,210516.702,211987.556,210741.074,210280.57,209371.594,209765.478,214035.768,210597.085,212848.565,212943.818,210772.35,211752.958,210243.413,211442.739,207962.038,207902.254,211260.923,212472.734,210343.481,210816.976,209767.9,210613.27,209969.945,211452.534,211609.538,211340.916,212150.465,202728.427,199338.099,180117.043,204949.201,204721.403,203622.636,204514.356,205957.275,203772.04,204430.568,203352.577,200422.34,204232.521,202588.738,205077.447,201456.068,203971.404,199455.529,203679.826,180383.51,195377.38,179520.937,172830.315,202702.598,202266.539,203763.085,200181.238,201467.383,184357.186,190774.413,1,210078,211484.8,194792.2,202782.7,0.9272376,0.9588524
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_minDuration,176219.263,175438.42,174258.574,172706.926,175773.585,175704.023,175715.133,176118.443,175432.313,175016.238,172779.664,174876.666,175397.071,172661.028,173365.598,173735.16,173993.501,171754.922,172026.446,175139.224,177251.434,174719.257,175337.139,175922.724,175883.522,176687.963,175968.211,176314.752,175813.112,175278.973,166569.489,168533.799,169143.265,170564.052,170604.336,170940.409,170663.257,171574.982,169579.609,172343.625,169672.613,170149.497,165761.592,148877.812,169762.292,170085.752,168913.879,156527.094,168587.533,169082.156,168940.618,168368.142,166289.953,167473.105,167856.935,169504.83,167780.421,167572.16,146140.619,169377.892,1,173998,175340.3,164412.3,169600.1,0.9449092,0.9672627
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_remoteServiceName,186781.22,188928.77,190794.188,193207.966,195958.957,192631.506,189556.315,189474.266,189418.769,191538.371,188979.987,188214.403,192550.649,193053.119,191259.959,194423.363,193316.064,192618.053,190390.762,189908.045,194610.418,192745.943,187489.787,192826.097,193725.273,191771.542,191740.973,190445.501,186740.783,190141.914,169972.27,198867.846,200454.975,198480.755,193572.991,170978.832,190112.852,170552.912,188755.512,178087.353,168711.995,165543.188,186766.068,174861.881,184445.738,197745.829,197356.659,194914.901,192916.268,197979.409,200582.93,200208.361,196779.124,200263.481,196972.945,195160.353,192291.842,149015.156,183671.546,173232.446,100,190225.9,192389.5,181057.3,192864,0.9518013,1.002485
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_annotationQuery_twoAnnotation,93019.5713,104388.917,95490.2921,86685.3572,97009.5472,104701.329,96294.7391,94929.6628,105111.464,105207.127,105877.24,104877.839,105794.752,104436.438,104518.007,99667.9991,88100.9935,89401.0379,91979.0801,104830.512,104985.71,101435.791,92282.303,102251.313,88585.604,88981.6845,105189.192,89618.4292,105360.453,104446.822,73213.2705,96390.5005,91452.5628,101583.047,101277.513,100462.149,98593.8761,89750.8335,101950.864,100972.705,100136.066,101678.967,101548.545,102072.193,102512.099,101734.169,101566.279,102116.782,100332.528,97518.4705,99896.1846,100803.757,101339.023,100973.747,99564.2273,100007.141,99841.1572,100085.359,100344.602,100053.256,1010,95807.7,102016.7,96128.18,101076.8,0.9907637,1.002889
