BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,96298000,96309250,96298000,96308330,0.9999905,1
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,96313920,96323830,96312000,96321420,0.9999749,0.9999801
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64,470510800,470606700,470553300,470646700,1.000085,1.000092
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32,470594200,470689200,470603300,470695800,1.000012,1.000021
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray,245871700,245927500,245880800,245936700,1.000034,1.000041
zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,245834200,245897500,245853300,245913300,1.000064,1.000078
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,665255.7,665345.9,665280.8,665373.8,1.000038,1.000042
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,498250,498326.9,498257.4,498331.6,1.000009,1.000016
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity,245917500,245961700,245902500,245950800,0.999939,0.9999593
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,957379,957531.3,957397.7,957553.3,1.000017,1.000024
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2,90377.43,90393.12,90376.36,90391.58,0.9999824,0.9999878
zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder,230.5777,230.6307,230.5677,230.6187,0.9999442,0.9999563
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,472357.9,472468.7,472327.4,472449.9,0.9999342,0.9999573
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,584920.5,585067.9,584941.3,585089.7,1.000034,1.000038
zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese,33205750,33215330,33206080,33215170,0.9999975,1.00001
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,606190.9,606367.6,606152.8,606347,0.9999397,0.9999633
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,13311920,13321830,13313750,13323830,1.000119,1.000175
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,1008285,1008734,1008394,1008805,1.000071,1.000103
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,96128080,96170580,96143000,96183580,1.000135,1.000149
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,332.8156,332.9949,332.8019,332.9922,0.9999569,0.9999933
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,24450.4,24465.48,24452.34,24466.36,1.000033,1.00008
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk,4284961,4287837,4285738,4288435,1.000139,1.000181
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData,40379580,40405750,40385420,40410750,1.000126,1.000157
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2,1143549,1144322,1143362,1144134,0.9998307,0.9998415
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder,231.0091,231.1988,230.9904,231.1819,0.9999111,0.9999353
zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder,228.5385,228.7431,228.566,228.7667,1.000106,1.000129
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder,199.6987,199.9085,199.7133,199.9235,1.000046,1.000091
zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder,395.6815,396.1074,395.7616,396.2109,1.000198,1.000267
zipkin2.EndpointBenchmarks.parseIpv4_literal,35421000,35463080,35427420,35466920,1.000103,1.000181
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute_overCapacity,72872.95,72968.04,72878.47,72976.78,1.000062,1.000119
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder,608.1882,609.219,608.2205,609.2387,1.000007,1.000074
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute,73259.73,73388.26,73251.55,73382.5,0.999873,0.9999473
zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3,776954.7,778359.2,776992.7,778425.3,1.000014,1.000091
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1,101240.3,101431.4,101180.3,101367.7,0.9993697,0.9994179
zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT,354239.6,354887.7,354125.3,354758,0.9996299,0.999682
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1,105907.8,106096.6,105930.4,106135.8,1.000218,1.000375
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_zipkinDecoder,876.2082,878.0352,875.9648,877.7638,0.9996738,0.9997374
zipkin2.SpanBenchmarks.buildClientSpan_clone,10941830,10965580,10940670,10965670,0.9998934,1.000015
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder,822.7749,824.3743,823.04,824.8111,1.000311,1.000523
zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3,982408.4,984562.2,982445.6,984406.8,0.9998301,0.9999979
zipkin2.SpanBenchmarks.padLeft_17Chars,76052000,76212080,76035000,76185500,0.9996664,0.999771
zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder,626.03,627.354,626.2164,627.4819,1.000207,1.000317
zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,425633,426545.5,426024.1,426882.8,1.000798,1.00092
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2,181459.2,181830.3,181551.5,181971.1,1.000506,1.000763
zipkin2.SpanBenchmarks.padLeft_15Chars,83592250,83782920,83581670,83775250,0.9998634,0.9999313
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2,178230.7,178623.9,178157.3,178565.7,0.9995537,0.9996852
zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder,937.1558,939.3291,937.0502,939.3101,0.9998387,0.9999731
zipkin2.EndpointBenchmarks.parseIpv4_addr,29366080,29440920,29370170,29449420,1.000136,1.000289
zipkin2.SpanBenchmarks.buildClientSpan,8652332,8676450,8655689,8679365,1.00028,1.000375
zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder,869.5292,872.0683,869.1571,871.6966,0.999547,0.9996399
zipkin2.SpanBenchmarks.buildClientSpan_longs,7995747,8019041,7996089,8018562,0.9999331,1.00003
zipkin2.SpanBenchmarks.padLeft_1Char,83568420,83817670,83592000,83841750,1.000264,1.000354
zipkin2.SpanBenchmarks.buildClientSpan_clear,6580442,6600984,6581089,6601236,1.000008,1.000087
zipkin2.SpanBenchmarks.padLeft_31Chars,74552000,74807330,74535250,74802080,0.9997475,0.9999365
zipkin2.EndpointBenchmarks.parseIpv6_literal,7194350,7225833,7201893,7232941,1.00093,1.001019
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData,3465486,3493000,3463695,3491596,0.9994877,0.9997344
zipkin2.EndpointBenchmarks.parseIpv4_bytes,18399830,18589170,18401670,18581500,0.9996279,1.000081
zipkin2.EndpointBenchmarks.parseIpv6_bytes,18717000,18951080,18747000,18991670,1.001664,1.002176
zipkin2.EndpointBenchmarks.parseIpv6_addr,27200330,28566250,27771250,29133500,1.019085,1.021046
