BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_startsWithSpanKeyAndLengthPrefix,447811.1,447864.3,447802.4,447855.1,0.9999722,0.9999823
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_matchesAscii,1094932,1095095,1094987,1095150,1.000042,1.000058
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_PROTO3,549612,549692.2,549623.4,549705.1,1.000019,1.000035
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLongLe_byteBuff,1212877,1213070,1212834,1213022,0.9999566,0.9999696
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_JSON_V1,331849.7,331909.7,331865,331923.5,1.000039,1.000051
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_multiple,321725.4,321777.1,321718.3,321776.3,0.9999836,0.9999979
zipkin2.SpanTest._Benchmark.benchmark_idFromLong,974341,974507.4,974375.1,974544.4,1.00003,1.000039
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscapedSizeInBytes,1056649,1056860,1056649,1056850,0.9999857,0.9999969
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_PROTO3,753678.3,753813,753672.4,753811,0.9999823,1.000001
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff,1217685,1217927,1217690,1217926,1,1.000017
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_proto3,544168.1,544281.6,544191.1,544290.3,1.000016,1.000043
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spanRoundTrip_noRemoteServiceName_PROTO3,343306,343375.6,343322.4,343394.6,1.000048,1.000063
zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_getTraces_filteringMatchesMostRecentTraces,30300.12,30306.44,30300.54,30306.46,1.000005,1.000021
zipkin2.internal.V1ThriftSpanWriterTest._Benchmark.benchmark_writesTraceAndSpanIds,142715.9,142744.9,142714.9,142743,0.9999872,0.999999
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readInt_byteBuff,1212574,1212817,1212553,1212788,0.9999772,0.9999899
zipkin2.internal.DateUtilTest._Benchmark.benchmark_getDays,515254.6,515358.5,515246.5,515356.4,0.9999843,1.000002
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_PROTO3,639706.4,639841.1,639728.1,639855.4,1.000021,1.000044
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4_compressed,358450,358518.2,358457.1,358524.6,1.000012,1.000022
zipkin2.v1.V1SpanTest._Benchmark.benchmark_annotationEndpoint_emptyToNull,1021428,1021627,1021418,1021641,0.9999889,1.000012
zipkin2.internal.SpanNodeTest._Benchmark.benchmark_constructsTraceTree_dedupes,721331.9,721489.5,721380.6,721529.7,1.000054,1.000075
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_addr,849033.9,849212.7,849005.7,849194.9,0.9999616,0.9999845
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_specialCharsInJson_PROTO3,346234.2,346305.2,346232.8,346310,0.999999,1.000015
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_minDuration,630949.7,631082.4,630976.9,631113.3,1.000035,1.000054
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4,367879.6,367961.7,367935.5,368013.6,1.000131,1.000154
zipkin2.storage.GroupByTraceIdTest._Benchmark.benchmark_map_modifiable,586948,587080.8,586936.7,587073.2,0.9999827,1.000001
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_json_v2_partial_tag,660607.3,660762.3,660581.2,660735.7,0.9999599,0.9999751
zipkin2.EndpointTest._Benchmark.benchmark_ipv6_notLocalhost,1085940,1086188,1085919,1086180,0.9999777,0.9999897
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6,833701.2,833891,833807,833991.7,1.000113,1.000134
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spansRoundTrip_PROTO3,48026.42,48037.26,48031.08,48042.87,1.000096,1.000116
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_64bitTraceId_THRIFT,416986.1,417088,416981.9,417089.8,0.9999913,1.00001
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_mappedIpv4,346620.3,346708.6,346594.4,346683.5,0.9999217,0.9999359
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_THRIFT_shared,502497.5,502615.9,502410.7,502545.6,0.9998366,0.9998656
zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_toStringContainsOnlySummaryInformation,1070836,1071113,1070858,1071150,1.000018,1.000039
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForMessage_thrift,570687.6,570828.9,570669.2,570818,0.9999673,0.9999841
zipkin2.internal.Proto3ZipkinFieldsTest._Benchmark.benchmark_span_read_tag,601877.9,602028.9,601808.9,601966.2,0.9998913,0.9999032
zipkin2.codec.EncodingTest._Benchmark.benchmark_multiItemList_json,1331485,1331807,1331482,1331803,0.9999847,1.000004
zipkin2.SpanTest._Benchmark.benchmark_shared_canDisable,990001.7,990260.6,990070.3,990319.2,1.000053,1.000069
zipkin2.codec.V1SpanBytesDecoderTest._Benchmark.benchmark_falseOnEmpty_inputSpans_JSON_V1,1399559,1399892,1399640,1399995,1.000064,1.000085
zipkin2.internal.TraceTest._Benchmark.benchmark_choosesBestTraceId,426095.6,426209.1,426105.8,426213.5,1.000006,1.000027
zipkin2.internal.TraceTest._Benchmark.benchmark_cleanupComparator_transitiveKindComparison,125753.2,125785.2,125754.6,125787,1.00001,1.000023
zipkin2.EndpointTest._Benchmark.benchmark_missingIpv4IsNull,1379475,1379778,1379162,1379515,0.999772,0.9998195
zipkin2.storage.GroupByTraceIdTest._Benchmark.benchmark_map_groupsEverythingWhenNotStrict,613045.9,613199.1,612989.1,613176.5,0.9998987,0.9999541
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_writeVarint_64,551109,551255.5,551203.7,551339.6,1.000154,1.00018
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_emptyListOk_PROTO3,1348960,1349310,1348943,1349310,0.9999869,1.000009
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_bytes,1279890,1280250,1279978,1280314,1.000051,1.000073
zipkin2.internal.DateUtilTest._Benchmark.benchmark_getDays_doesntLookEarlierThan1970,590233.3,590409.4,590212.9,590383.8,0.9999555,0.9999721
zipkin2.EndpointTest._Benchmark.benchmark_newBuilderWithPort_highest,1370703,1371082,1370653,1371070,0.9999698,0.9999926
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_minimum_JSON_V1,919082,919332,919111.3,919378.5,1.000018,1.000048
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_empty,1420728,1421144,1420711,1421102,0.999967,0.9999886
