BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_startsWithSpanKeyAndLengthPrefix,517477.2,517589.6,517509.2,517631.2,1.00003,1.00008
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_matchesAscii,1348387,1348850,1348365,1348743,0.99995,1
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_PROTO3,678641.2,678858.6,678607,678867.8,0.99993,1.00001
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLongLe_byteBuff,1405012,1405503,1405106,1405592,1.00006,1.00014
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_JSON_V1,404990,405119.7,405020.2,405168.5,1.00005,1.00012
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_multiple,394840.2,394992.3,394845.8,395010.9,0.99998,1.00007
zipkin2.SpanTest._Benchmark.benchmark_idFromLong,1201501,1201946,1201537,1202039,1.00001,1.00015
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscapedSizeInBytes,1304575,1305121,1304605,1305078,0.99998,1.00005
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_PROTO3,896906.7,897222.4,896866.1,897149.2,0.99993,1
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff,1491845,1492540,1491845,1492555,0.99994,1.00002
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_proto3,659065.1,659341.5,659199.6,659493.2,1.00015,1.00025
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spanRoundTrip_noRemoteServiceName_PROTO3,405439.2,405600.8,405479.2,405662.7,1.00005,1.00017
zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_getTraces_filteringMatchesMostRecentTraces,35896.65,35913.02,35892.53,35911.98,0.99989,0.99999
zipkin2.internal.V1ThriftSpanWriterTest._Benchmark.benchmark_writesTraceAndSpanIds,173990.7,174040,174003.3,174058.8,1.00007,1.00012
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readInt_byteBuff,1501523,1502044,1501467,1501976,0.99994,1.00002
zipkin2.internal.DateUtilTest._Benchmark.benchmark_getDays,612088.6,612306.5,612122.4,612308.4,1.00001,1.00007
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_PROTO3,775426.8,775689.2,775471.5,775777.2,1.00003,1.00011
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4_compressed,430279.7,430497,430306.4,430521.3,1.00006,1.00013
zipkin2.v1.V1SpanTest._Benchmark.benchmark_annotationEndpoint_emptyToNull,1260953,1261445,1260931,1261429,0.99998,1.00005
zipkin2.internal.SpanNodeTest._Benchmark.benchmark_constructsTraceTree_dedupes,834706,835107.8,834696.4,835063,0.99991,1.00001
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_addr,995464.3,995779.8,995548.2,995883,1.00007,1.00014
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_specialCharsInJson_PROTO3,428963.4,429175.4,428976.1,429185.2,1.00002,1.00012
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_minDuration,786288.5,786514.8,786235.3,786490.7,0.99993,1
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4,424875.1,425085,424838.6,425010,0.99985,0.99997
zipkin2.storage.GroupByTraceIdTest._Benchmark.benchmark_map_modifiable,701944.6,702357.1,702038.6,702392.5,1.00006,1.00016
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_json_v2_partial_tag,823361.6,823716.1,823309.7,823701.6,0.9999,1
zipkin2.EndpointTest._Benchmark.benchmark_ipv6_notLocalhost,1266649,1267155,1266483,1267154,0.99985,1
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6,1002692,1003078,1002483,1002904,0.99979,0.99989
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spansRoundTrip_PROTO3,56504.42,56540.03,56502.86,56530.67,0.99988,0.99999
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_64bitTraceId_THRIFT,522478.9,522787.7,522393,522646.1,0.99973,0.99987
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_mappedIpv4,434056.2,434233.2,433996.6,434201.6,0.99986,0.99997
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_THRIFT_shared,582895.6,583191,582941,583202.7,1.00002,1.00009
zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_toStringContainsOnlySummaryInformation,1264247,1264906,1263844,1264484,0.99965,0.99973
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForMessage_thrift,700234.6,700645,700340.9,700686,1.00008,1.00019
