BENCHMARK,ITERATION_1,ITERATION_2,ITERATION_3,ITERATION_4,ITERATION_5,ITERATION_6,ITERATION_7,ITERATION_8,ITERATION_9,ITERATION_10,ITERATION_11,ITERATION_12,ITERATION_13,ITERATION_14,ITERATION_15,ITERATION_16,ITERATION_17,ITERATION_18,ITERATION_19,ITERATION_20,ITERATION_21,ITERATION_22,ITERATION_23,ITERATION_24,ITERATION_25,ITERATION_26,ITERATION_27,ITERATION_28,ITERATION_29,ITERATION_30,RSD
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,9.64E+07,9.63E+07,9.63E+07,9.63E+07,9.63E+07,9.64E+07,9.64E+07,9.62E+07,9.63E+07,9.63E+07,9.63E+07,9.63E+07,9.62E+07,9.63E+07,9.64E+07,9.63E+07,9.63E+07,9.63E+07,9.63E+07,9.63E+07,9.64E+07,9.63E+07,9.63E+07,9.63E+07,9.63E+07,9.63E+07,9.62E+07,9.63E+07,9.63E+07,9.62E+07,5.77E-02
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,9.64E+07,9.63E+07,9.63E+07,9.63E+07,9.63E+07,9.64E+07,9.63E+07,9.63E+07,9.63E+07,9.64E+07,9.63E+07,9.63E+07,9.63E+07,9.62E+07,9.63E+07,9.63E+07,9.64E+07,9.63E+07,9.63E+07,9.63E+07,9.63E+07,9.64E+07,9.63E+07,9.63E+07,9.63E+07,9.63E+07,9.64E+07,9.62E+07,9.64E+07,9.63E+07,5.51E-02
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64,4.71E+08,4.71E+08,4.70E+08,4.71E+08,4.71E+08,4.71E+08,4.71E+08,4.70E+08,4.70E+08,4.71E+08,4.70E+08,4.70E+08,4.70E+08,4.71E+08,4.70E+08,4.71E+08,4.70E+08,4.71E+08,4.71E+08,4.71E+08,4.71E+08,4.71E+08,4.71E+08,4.70E+08,4.71E+08,4.71E+08,4.70E+08,4.70E+08,4.70E+08,4.70E+08,1.07E-01
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32,4.70E+08,4.71E+08,4.70E+08,4.71E+08,4.70E+08,4.70E+08,4.71E+08,4.71E+08,4.71E+08,4.70E+08,4.70E+08,4.71E+08,4.70E+08,4.71E+08,4.71E+08,4.70E+08,4.71E+08,4.71E+08,4.71E+08,4.71E+08,4.70E+08,4.71E+08,4.71E+08,4.71E+08,4.71E+08,4.70E+08,4.71E+08,4.71E+08,4.70E+08,4.71E+08,1.04E-01
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray,2.46E+08,2.45E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.45E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.45E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,1.24E-01
zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,2.46E+08,2.46E+08,2.46E+08,2.45E+08,2.45E+08,2.46E+08,2.46E+08,2.45E+08,2.45E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,1.41E-01
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,665288.6402,664910.174,665332.8328,664754.7994,664570.2125,664096.8391,664836.8293,665313.026,665430.0882,665667.8568,665692.5225,664816.4116,665512.681,665924.6252,665408.9482,665088.56,665206.8592,665420.9884,665411.0419,665427.712,664895.263,664539.4249,666130.0863,666121.9752,665693.9798,665275.8388,665115.0302,666090.6333,665963.4285,665484.8957,7.45E-02
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,498676.7118,497823.7372,498442.7718,499061.2011,498747.8673,497635.8518,498955.745,498057.7326,498420.8531,498540.8875,498380.6787,498674.0357,498135.6992,498579.2803,497857.2851,498258.4171,498463.4647,498162.4097,498577.3177,497678.7088,498380.0454,497622.1229,498023.4091,497877.8101,498462.8523,498014.6239,498168.0007,497925.1205,498896.3157,498104.1102,7.91E-02
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.45E+08,2.46E+08,2.45E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,1.03E-01
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,959846.9956,958701.4289,957802.493,956534.8047,957484.749,958907.8641,957248.8056,956625.7459,957569.2308,958399.3448,958365.2649,956974.8537,957540.8462,956801.377,957694.8793,957111.885,956847.4517,956806.7949,956555.935,958111.7798,957601.0392,957132.6503,956714.2338,956768.8595,956835.2241,958212.0994,957353.2162,956705.3201,956597.8599,957737.7294,8.49E-02
