BENCHMARK,ITERATION_1,ITERATION_2,ITERATION_3,ITERATION_4,ITERATION_5,ITERATION_6,ITERATION_7,ITERATION_8,ITERATION_9,ITERATION_10,ITERATION_11,ITERATION_12,ITERATION_13,ITERATION_14,ITERATION_15,ITERATION_16,ITERATION_17,ITERATION_18,ITERATION_19,ITERATION_20,ITERATION_21,ITERATION_22,ITERATION_23,ITERATION_24,ITERATION_25,ITERATION_26,ITERATION_27,ITERATION_28,ITERATION_29,ITERATION_30,RSD
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_startsWithSpanKeyAndLengthPrefix,447911.611,447565.912,447570.634,447502.99,448042.37,447434.201,448180.635,447425.055,447763.337,447759.191,447718.706,448000.554,448281.37,447736.793,448134.89,448116.066,447915.033,448154.059,447641.319,448075.258,447727.839,447197.427,447706.889,447921.291,448262.401,448399.601,447618.236,447802.062,447361.244,448049.013,0.067424994
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_matchesAscii,1094086.197,1094926.358,1094718.042,1095692.54,1095346.055,1095093.354,1095878.062,1094083.75,1095273.098,1096097.096,1094681.76,1095583.937,1095166.821,1095904.336,1091388.581,1093800.43,1094944.724,1095870.574,1095989.921,1095282.239,1095430.372,1095172.1,1095147.678,1095352.056,1094536.543,1094747.714,1094955.805,1094561.296,1095313.75,1096291.517,0.084020107
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_PROTO3,550629.812,550188.963,549579.314,550410.846,549796.539,549171.299,550050.873,548881.305,549627.743,550353.725,549390.304,549767.474,550059.921,549257.033,549191.02,550183.903,549552.948,548761.261,550230.506,550026.922,549652.4,549894.618,548982.649,549280.136,549602.71,549319.295,549444.945,549516.845,549548.019,549402.427,0.085420035
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLongLe_byteBuff,1211476.369,1214611.514,1214696.847,1213005.626,1211567.242,1211979.844,1213072.909,1214977.756,1212501.623,1212204.297,1213671.961,1214138.561,1213143.915,1213745.182,1212591.752,1211761.45,1212931.768,1212666.791,1213285.652,1211761.818,1211669.154,1214180.415,1213842.782,1213288.218,1211875.985,1212628.229,1212967.867,1211391.035,1214611.841,1211782.082,0.088406638
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_JSON_V1,331906.384,332504.102,331885.153,332612.195,331754.999,332210.516,331163.93,331711.554,331803.994,332012.665,331656.157,331919.664,331840.693,332284.264,331596.298,331625.368,331703.351,331433.288,331789.393,331547.307,332117.775,331897.641,332177.105,331425.471,331596.769,331819.627,332122.067,332126.315,332225.11,332092.002,0.097641087
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_multiple,321958.779,322093.186,321196.858,321696.828,321687.539,321193.731,321874.202,321499.526,321994.82,322074.025,322218.5,322040.768,321590.41,321284.706,322181.238,321508.028,321371.903,321655.546,322026.138,321701.232,322099.261,321924.884,322021.641,321338.563,321612.937,321445.715,321933.001,321336.603,322036.625,322007.568,0.098403667
zipkin2.SpanTest._Benchmark.benchmark_idFromLong,973791.134,973270.244,975069.159,973613.496,977213.1,973861.844,974572.893,974082.028,974484.381,974058.745,973925.228,973487.968,975883.565,973906.832,975826.314,973488.454,974495.598,974572.969,975481.412,974799.584,972328.513,975062.467,974557.42,974664.439,974208.723,973485.88,973679.122,975214.16,974599.24,975494.228,0.098977233
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscapedSizeInBytes,1055720.708,1057521.524,1056322.68,1057692.438,1057177.959,1057699.335,1056249.609,1056251.285,1057631.404,1056360.835,1057424.639,1059047.989,1054198.359,1057900.549,1056961.302,1056756.204,1057023.594,1054611.061,1056311.088,1057670.11,1057314.241,1057124.8,1054750.62,1055819.465,1056322.755,1058651.288,1056941.985,1055706.44,1056879.615,1057144.198,0.103873188
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_PROTO3,752365.104,752747.474,753952.635,753512.442,751535.528,753829.898,754322.999,753502.393,754897.292,753265.471,752430.967,753171.912,753961.025,754427.68,755064.977,753351.194,754718.538,754110.202,754475.115,754054.928,752895.213,753481.208,754804.212,753845.727,753558.942,753455.211,754411.18,754099.663,754426.349,753679.839,0.107647033
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff,1218622.974,1217766.841,1218203.147,1214614.412,1219119.351,1217697.625,1217357.619,1217624.561,1215349.757,1216456.352,1217736.719,1218729.723,1218586.676,1215686.644,1217566.273,1219180.333,1216478.476,1219086.505,1217774.526,1218320.939,1218974.817,1216588.18,1217980.987,1216293.552,1219037.884,1218955.134,1218967.311,1216796.943,1217825.209,1220508.88,0.107916919
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_proto3,543779.925,544250.323,545195.883,544457.325,545398.25,544730.26,544898.423,544245.976,544802.607,544654.016,544698.811,543890.701,543938.802,543514.084,544253.991,542503.989,543674.517,544460.879,544348.678,544240.244,544713.125,543936.74,544148.149,543127.989,544515.588,544057.688,544266.118,543716.253,545057.62,543830.144,0.112138244
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spanRoundTrip_noRemoteServiceName_PROTO3,343411.955,342977.232,343632.886,343054.819,343694.12,343309.282,343176.812,343993.055,343805.79,343143.059,343484.198,343281.509,343520.906,343687.234,343622.032,343163.327,343271.699,343159.574,343508.253,343818.426,343577.523,342896.414,343428.34,343034.715,342583.974,342475.548,343909.102,343341.116,343746.266,342682.39,0.112346037
zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_getTraces_filteringMatchesMostRecentTraces,30312.299,30360.528,30263.341,30305.135,30236.398,30313.142,30286.612,30347.698,30334.183,30302.47,30334.59,30282.446,30302.975,30356.357,30293.385,30294.362,30257.608,30366.491,30303.279,30340.957,30282.248,30249.785,30245.405,30276.062,30289.543,30312.447,30323.217,30325.925,30290.688,30318.817,0.112355648
zipkin2.internal.V1ThriftSpanWriterTest._Benchmark.benchmark_writesTraceAndSpanIds,142633.55,142888.231,142378.933,142827.099,142858.438,142665.254,142557.893,142393.539,142813.817,143022.879,142638.895,142614.944,142779.014,142767.204,142719.907,142611.849,142757.036,142588.791,142852.452,142900.265,142734.494,142550.271,142742.3,142922.544,142800.24,142907.164,142444.259,142730.643,142873.867,142834.968,0.112399392
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readInt_byteBuff,1210228.727,1214080.338,1212872.422,1215584.999,1213707.786,1211602.69,1213500.564,1210615.083,1211978.283,1213004.168,1211299.654,1212547.289,1213293.87,1213116.434,1214237.67,1210885.698,1214701.53,1215213.447,1211974.281,1212604.252,1212001.649,1213281.436,1212556.397,1211471.468,1212232.429,1210504.629,1213630.893,1213697.687,1211430.822,1212334.189,0.112725106
zipkin2.internal.DateUtilTest._Benchmark.benchmark_getDays,514807.266,514913.447,515342.917,515714.752,515283.03,514820.302,515487.362,515584.513,516314.268,515618.381,514845.512,516278.997,516083.468,515067.703,514426.586,514774.31,514849.149,514738.079,516302.162,515282.556,514686.61,515821.692,516009.04,515562.943,514834.277,514806.424,515417.837,515898.905,515386.286,514111.581,0.113449675
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_PROTO3,640179.191,640385.743,639416.164,640423.606,640133.681,639226.991,639000.721,640061.571,640180.087,640097.348,640535.704,639776.413,640369.71,639071.065,638518.635,639852.339,639064.52,640667.072,639993.316,640670.799,639494.628,639904.802,638068.256,638016.018,639965.108,640766.613,639382.484,640345.318,639768.403,640086.684,0.113623426
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4_compressed,358533.8,358419.425,358771.821,358797.21,359659.334,359070.314,359001.216,357844.139,358116.156,358613.57,358370.276,358868.664,358743.685,358481.312,358767.813,358712.291,358605.607,358009.807,358633.439,358326.718,358156.895,358231.706,357800.496,358612.304,358247.163,358221.992,358513.615,358358.514,357612.131,358345.547,0.115415531
zipkin2.v1.V1SpanTest._Benchmark.benchmark_annotationEndpoint_emptyToNull,1023743.101,1021017.661,1022781.799,1021797.467,1019673.258,1022490.931,1022709.708,1020894.747,1022194.767,1022123.997,1022260.655,1022429.241,1022055.453,1018060.724,1020214.631,1021605.401,1022135.998,1021930.935,1022369.079,1020598.812,1022566.474,1021144.171,1021259.021,1022953.044,1020281.991,1021849.606,1021023.93,1020602.549,1020910.48,1019503.072,0.117560622
zipkin2.internal.SpanNodeTest._Benchmark.benchmark_constructsTraceTree_dedupes,720953.617,720865.963,721119.336,720372.177,719580.813,719103.631,721124.531,722879.871,721823.315,721340.341,721608.883,722085.518,722519.825,721589.549,720911.608,722106.795,720969.526,722054.972,722167.685,721289.598,721916.302,722150.422,721171.553,721126.365,721057.984,722529.892,722594.098,721991.891,720896.753,721017.449,0.117691872
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_addr,847455.932,847455.36,847958.146,848561.083,847947.96,848385.832,849090.301,847937.327,849249.951,850547.765,849682.022,849445.093,849556.847,849673.084,849849.12,850166.485,850298.136,849542.067,848616.063,846937.786,849369.179,849158.443,848941.404,849266.754,849463.754,851197.756,848074.58,849730.434,849496.157,850506.693,0.119341336
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_specialCharsInJson_PROTO3,346442.373,346631.333,346489.234,346723.856,345974.74,346426.106,346103.942,346254.906,346351.788,346363.319,346542.204,346414.269,346286.653,346595.251,344639.343,345789.113,345873.552,346629.817,345583.222,346160.168,346347.213,346445.677,346400.609,346843.084,346290.524,346335.378,346008.545,346627.918,346402.395,346092.068,0.120671729
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_minDuration,630866.922,629931.726,631163.529,630428.922,631659.163,630263.936,631556.624,630963.735,630460.084,630882.798,631797.234,630459.682,631169.195,630106.818,630088.54,629851.879,630896.374,631266.737,631092.382,629895.497,632924.15,632236.529,631457.833,631179.394,630656.643,631409.522,632057.223,632195.432,630744.863,631431.166,0.120737954
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4,367893.739,367552.366,367456.413,367854.171,368009.515,367445.486,368808.536,367604.085,368257.26,368020.935,367999.563,368133.935,368008.521,367946.412,367431.165,367975.202,367873.915,367387.1,367867.82,367442.304,368511.107,368297.167,368217.382,367975.686,367642.085,368298.461,367920.005,366875.674,368791.369,368764.359,0.121262118
zipkin2.storage.GroupByTraceIdTest._Benchmark.benchmark_map_modifiable,587777.74,586886.163,587000.239,588094.011,588718.113,585924.085,585487.91,585723.611,587553.39,586775.613,587269.449,586264.416,585982.302,587202.943,586814.654,587801.005,587341.285,587201.224,586926.818,586594.115,587373.065,586769.791,587202.217,587392.964,586784.754,588103.216,587375.885,586709.33,587146.465,586138.651,0.124648917
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_json_v2_partial_tag,659381.254,659501.059,658761.644,660490.566,658879.512,660793.379,660109.039,660889.061,661423.163,660769.114,660710.038,660825.857,660971.383,661296.889,661065.025,660539.088,659546.926,660274.479,660910.902,661405.735,660881.96,661074.536,660940.986,662473.892,661534.367,662310.495,660369.032,659862.7,660682.653,661203.888,0.1305177
zipkin2.EndpointTest._Benchmark.benchmark_ipv6_notLocalhost,1085962.505,1085126.904,1087756.513,1087712.697,1087171.87,1086579.138,1085267.049,1085630.116,1086063.155,1080745.936,1084357.258,1084497.633,1086590.924,1087600.978,1085486.91,1086870.933,1084814.168,1087229.949,1086806.384,1087526.77,1084544.18,1085543.269,1086420.805,1086753.055,1086227.443,1086367.508,1084961.573,1087833.893,1086222.611,1086827.281,0.132358212
