BENCHMARK,ITERATION_1,ITERATION_2,ITERATION_3,ITERATION_4,ITERATION_5,ITERATION_6,ITERATION_7,ITERATION_8,ITERATION_9,ITERATION_10,ITERATION_11,ITERATION_12,ITERATION_13,ITERATION_14,ITERATION_15,ITERATION_16,ITERATION_17,ITERATION_18,ITERATION_19,ITERATION_20,ITERATION_21,ITERATION_22,ITERATION_23,ITERATION_24,ITERATION_25,ITERATION_26,ITERATION_27,ITERATION_28,ITERATION_29,ITERATION_30,RSD
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_startsWithSpanKeyAndLengthPrefix,517554.2015,516358.9149,516948.3274,516849.5297,517612.1723,517705.173,517461.414,516919.6683,517770.6275,517662.4332,517243.4209,517072.4479,518462.823,517941.5536,518267.5389,518468.2564,516761.6974,518444.9448,517128.1735,518762.5031,516995.4899,516594.7226,517974.1629,516722.3704,517286.6771,519231.2068,517344.4212,517789.5546,517553.6075,517304.2723,0.132517328
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_matchesAscii,1344844.528,1346887.122,1347277.064,1351076.943,1346810.713,1350055.291,1351898.68,1347855.352,1350236.476,1347680.257,1349534.407,1346928.057,1348341.161,1347429.776,1346722.739,1347048.978,1349050.68,1352199.404,1352575.793,1348564.077,1349231.427,1350354.391,1349395.008,1348596.158,1349220.78,1346048.082,1345644.139,1347959.087,1345666.473,1352476.136,0.156382519
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_PROTO3,679384.6007,678006.5606,679978.3641,679881.0355,679779.5506,676684.7891,679626.2183,676530.4177,677694.3288,679478.0924,678938.6979,677426.1676,677352.6174,678205.3322,679789.0087,679139.5821,678171.0814,678188.3791,680967.1753,679189.8637,679167.7508,677487.9469,678434.9162,676439.7687,680142.7939,679081.1463,678024.2568,679962.0307,678435.9369,679989.7435,0.173669134
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLongLe_byteBuff,1401145.366,1405811.078,1409478.892,1403966.429,1405749.335,1402470.722,1403903.979,1408792.913,1403102.563,1407512.138,1409019.716,1403929.408,1402231.979,1404892.614,1408032.154,1402512.368,1402730.406,1405888.853,1402423.878,1403339.822,1404662.175,1405255.936,1406339.526,1405093.508,1402953.345,1406685.794,1407023.659,1406904.16,1409548.86,1405465.937,0.167605375
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_JSON_V1,404805.9298,405806.2286,403830.2367,406286.4987,405934.3313,405290.1395,404836.0401,404911.6721,403695.118,404862.7757,404743.0777,404353.2409,405408.7658,405881.8837,404145.0643,405783.7923,405531.8183,405052.3072,404634.9593,405478.3209,405407.5355,405579.3853,406280.9182,403803.6714,404169.8674,405269.8844,404802.0427,404143.9003,405591.1525,405501.4458,0.180163807
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_multiple,394494.8092,395140.9051,393293.6516,394508.8359,394860.0159,394619.8339,394544.9653,394207.7967,395028.1202,394225.6639,395645.9666,394812.2627,395158.4127,394294.7036,396231.7401,395238.3693,395480.4885,394269.0613,395922.6374,394786.1768,395941.5115,395518.1313,394512.6575,394644.2431,393637.6416,394500.177,396293.2401,393405.7138,396018.3816,396246.9586,0.207418207
zipkin2.SpanTest._Benchmark.benchmark_idFromLong,1200765.561,1200039.402,1199184.964,1202595.785,1206212.019,1201991.524,1199042.471,1198618.393,1203167.713,1199345.081,1200079.773,1203914.578,1206865.206,1198798.404,1205605.29,1199601.488,1200710.619,1200374.1,1205263.223,1204216.809,1199129.582,1204061.487,1204085.591,1202010.376,1204961.824,1197285.705,1197655.205,1202112.144,1201438.127,1202433.36,0.221102162
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscapedSizeInBytes,1303759.485,1302633.319,1303461.244,1309075.74,1305324.553,1307715.337,1306300.499,1308633.093,1307957.266,1304250.524,1308587.884,1310727.359,1299046.692,1306581.874,1302790.096,1301573.38,1303114.431,1302831.111,1302027.716,1308565.731,1302782.008,1302770.103,1303107.526,1306406.228,1303148.844,1304651.303,1304590.232,1304678.797,1305073.427,1304031.923,0.205033858
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_PROTO3,894478.353,896649.1259,896204.6014,896039.2553,895321.5063,897517.7652,897549.5142,898836.7856,900859.2887,895691.9023,897362.142,897315.6854,894665.7339,896885.7343,896701.9476,897216.183,899292.7357,896033.7131,896225.4113,895421.8456,895260.5766,899079.9286,897799.4347,895665.7551,899154.7874,899299.4193,897358.8186,895421.2404,899804.5774,895576.0527,0.183662723
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff,1490241.913,1491323.548,1496101.681,1484107.605,1491906.954,1488217.249,1489899.823,1491164.19,1490770.119,1494105.097,1493459.852,1495318.266,1496855.712,1485417.739,1490824.917,1491981.582,1491143.5,1495517.597,1488251.693,1496663.321,1491849.28,1492898.896,1489322.843,1488389.392,1493565.551,1497159.311,1493896.283,1492783.238,1495101.633,1498649.945,0.231118909
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_proto3,656650.9767,659935.964,661214.3119,660331.7499,661308.1166,660998.5754,661630.7478,658187.3855,658083.4916,660530.801,658893.0402,659447.3071,660071.061,656894.9475,657611.5817,657405.3097,659270.6229,660020.1666,658390.5459,658022.5707,661445.2588,659319.0338,659187.225,658391.2469,660145.7234,657203.4102,657238.0875,660359.6271,661540.751,658591.6383,0.229089835
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spanRoundTrip_noRemoteServiceName_PROTO3,406477.1835,405522.0351,406544.2941,405080.0897,405227.3922,406533.681,405713.521,406710.9398,405306.3805,406162.9507,406882.4932,405258.7603,406278.2116,404883.0826,404709.0776,404811.8732,406432.5383,404188.6722,404530.5394,407331.0876,404814.5748,404379.8159,405318.7724,404215.4482,404273.7903,405837.0124,405833.4838,406518.7742,405669.6858,404321.2713,0.223689808
zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_getTraces_filteringMatchesMostRecentTraces,35991.90664,35876.62128,35863.33104,35807.22525,35888.92247,35961.74646,35857.26926,36028.91819,35863.41088,35863.87041,36015.14845,35981.14908,35890.96408,35904.69145,35864.93008,35762.99656,35748.20928,35987.72095,35890.96608,35959.25279,35914.36134,35840.47552,35880.3151,35862.66558,35767.32872,35914.71856,35970.47421,35996.26102,35867.10568,36002.15361,0.211580709
zipkin2.internal.V1ThriftSpanWriterTest._Benchmark.benchmark_writesTraceAndSpanIds,173388.2815,174711.4681,173851.406,174337.8136,174153.5751,173577.8418,173494.051,173538.3218,173861.118,173905.0633,173811.3097,174084.0585,174167.9361,174216.0655,174057.6312,173415.693,174101.1758,173436.2327,174784.1762,174122.8448,174302.9298,173864.6231,174013.7322,174054.3468,174232.0536,174555.5205,173776.9194,174115.8777,174222.7977,174449.9566,0.211138226
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readInt_byteBuff,1497223.889,1502753.781,1502891.828,1500321.423,1507015.612,1499986.37,1505858.853,1496565.261,1497232.344,1497450.744,1501975.485,1504136.663,1500626.205,1497229.667,1505003.534,1500265.498,1500041.326,1504321.445,1503455.804,1502185.037,1503549.644,1500221.131,1504327.713,1497414.403,1505857.605,1499090.524,1507204.996,1500316.01,1501808.891,1506088.85,0.213028051
zipkin2.internal.DateUtilTest._Benchmark.benchmark_getDays,611383.7318,610233.9583,613535.0878,611287.5412,613005.612,613468.3185,612221.9693,610882.5489,612493.9827,611381.1532,611087.3369,614527.1092,611492.0838,613909.6813,612413.6669,610355.9058,613026.5891,610752.3333,614897.4654,611752.6958,611643.1711,612038.073,611330.4845,611511.0145,611891.9002,611077.5624,612768.7934,612674.0431,614393.2752,612904.172,0.202223559
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_PROTO3,775030.708,774637.8586,775298.0167,775752.6587,774023.2391,775663.9988,777097.5782,776924.4559,777416.7681,775667.1555,775477.8147,775402.0646,776554.8944,775173.3214,776047.907,777452.1699,773093.7606,775450.8745,775827.5132,775711.1145,773057.1442,773692.3074,775979.0304,774703.8935,777194.4077,777555.4903,772619.9609,777230.1487,775020.9111,777287.8575,0.176659157
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4_compressed,430048.2165,429138.1387,431601.639,431894.3815,432712.4018,430670.2374,430415.3291,430579.9524,428882.2875,429241.7053,431483.5067,431855.7156,431228.2721,430023.9102,429804.5503,431521.4298,430417.8863,430517.67,429561.9385,429344.8011,429094.1227,428767.4677,429691.5877,431779.2084,428768.8011,429493.9728,429727.6533,431761.2758,430857.7266,430539.3356,0.254650158
zipkin2.v1.V1SpanTest._Benchmark.benchmark_annotationEndpoint_emptyToNull,1263704.552,1257661.139,1260665.746,1263191.028,1261796.02,1258594.134,1260274.512,1264062.149,1258456.25,1264652.406,1264544.434,1263820.909,1260311.871,1255084.911,1264162.653,1264438.66,1259227.554,1261983.785,1261441.7,1260477.048,1264607.805,1257816.971,1263896.716,1263094.765,1259457.309,1263998.198,1260964.349,1256307.425,1258447.223,1260944.89,0.216158347
zipkin2.internal.SpanNodeTest._Benchmark.benchmark_constructsTraceTree_dedupes,835932.3092,832600.1873,834633.5791,834592.5164,832212.9119,832666.0225,837629.6987,835093.2363,835139.903,833064.779,832899.8428,836727.6419,838557.7733,836686.3292,833460.5806,836260.2173,832220.1706,838351.8535,835555.0166,832906.206,836039.6104,837278.2781,837825.9196,832534.4752,832613.766,834338.4304,836891.3227,834417.6525,832252.7373,835689.8666,0.24309889
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_addr,992685.9356,993815.8527,997412.2372,992580.2959,992905.0482,996674.2636,997541.6122,993716.2124,994489.2458,999094.6351,995601.7627,996914.6594,996956.3364,997898.1548,994673.7219,994010.4573,995428.1218,995745.9699,992873.0206,996767.074,995265.0132,997492.4822,993949.1041,997709.161,996707.9185,998174.6987,997727.8371,993719.3979,996199.1659,994895.9307,0.188267566
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_specialCharsInJson_PROTO3,427987.7639,430521.048,429026.007,429599.2562,429013.0558,430420.2415,429763.3908,429642.821,428466.4025,428232.4588,430209.1102,428004.4058,428304.5333,430668.9382,426982.4289,428035.2125,429618.3339,429281.4504,428933.2014,428836.6789,429462.0893,430294.7411,429318.5831,428949.901,428574.5918,430183.4215,427374.8704,429493.2349,428460.5286,428183.5919,0.221129719
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_minDuration,787825.4752,785162.5336,785623.406,787364.6731,785306.2946,785192.854,785806.6365,788440.3215,786103.1219,785901.1268,787919.5417,786039.9474,788469.6143,785905.3672,787033.5127,786722.25,788544.2984,786967.7197,786460.2057,781931.7291,786265.529,786605.4626,784702.8972,786968.6371,786559.7941,787687.0935,786547.3108,786012.2863,784075.5445,787494.4002,0.17777532
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4,425502.1762,424167.1913,424839.7175,423697.4697,424571.7899,423387.6238,426356.2494,424485.2443,424242.3691,426577.9236,423695.3298,425839.3674,426351.5247,426432.1903,424099.2917,424896.8268,425508.9184,423062.1337,426141.8931,425187.5009,426267.1696,424653.2857,424675.8424,423939.1873,425609.2971,425842.9675,424070.04,424523.3682,424840.6803,424945.5302,0.231863332
zipkin2.storage.GroupByTraceIdTest._Benchmark.benchmark_map_modifiable,704514.5724,701604.5137,703988.8231,704416.5717,706547.7297,699210.1456,699814.2021,698523.699,702093.7447,703516.4226,703078.6085,700350.6623,701803.2861,700357.9777,701603.0353,701120.3746,701861.3119,704412.0023,703151.5514,699568.8449,704295.8058,703523.4426,702605.8203,702301.4776,699341.1777,703971.5527,703234.0632,700637.1755,702314.9623,700284.3352,0.276644613
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_json_v2_partial_tag,823223.008,821840.0627,823227.1182,823417.8597,820451.4518,823450.4928,824599.1938,825302.5728,821917.4935,825801.4586,824931.2275,822719.0607,825438.2288,823321.9242,821653.1773,820129.4098,823700.3093,824288.9504,821642.296,822701.2945,822756.0583,825608.1232,824784.2795,826343.1978,826141.2979,825217.6004,822938.1031,822454.7189,820644.2699,823740.2062,0.207539051
zipkin2.EndpointTest._Benchmark.benchmark_ipv6_notLocalhost,1264580.783,1267267.959,1269681.049,1272716.874,1271919.672,1269191.444,1269249.349,1262653.193,1271456.282,1262679.596,1269522.247,1263013.725,1270342.672,1268702.538,1268471.182,1262996.508,1265174.091,1264438.02,1264918.773,1265554.83,1265906.232,1262223.902,1267389.031,1265122.151,1267504.584,1269437.046,1263200.686,1264697.549,1266121.82,1265840.62,0.237145773
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6,1001786.193,1005450.207,1006216.335,1006540.786,1002978.777,1004399.14,1000903.819,1003014.844,999366.0223,999497.2269,1003695.237,1003324.556,1004898.667,1002067.618,999943.8715,1001893.716,1002283.957,1004586.054,999128.0002,1000929.285,1002124.994,1002562.634,1004363.979,1003508.279,1003580.956,1004132.864,1001585.924,1003589.246,1000386.371,1004338.298,0.1978854
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spansRoundTrip_PROTO3,56523.56957,56367.9897,56603.39906,56415.90442,56538.9388,56691.64437,56553.79472,56668.83824,56240.45755,56588.06741,56625.19705,56337.78699,56539.23234,56605.04353,56367.48413,56352.47247,56739.27198,56652.80382,56571.32863,56745.69447,56528.22326,56316.37473,56578.06271,56468.62983,56434.63922,56400.42451,56466.8411,56588.23874,56697.00487,56267.09908,0.248210832
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_64bitTraceId_THRIFT,519819.328,521028.5051,521462.5676,523340.6911,522120.7905,520257.5842,522036.2007,521591.5308,522195.7536,525049.2214,522749.0628,521939.9729,523116.6429,523757.2671,522983.1879,520976.1327,523684.394,521095.8867,523685.268,521977.8347,523912.6091,524986.5065,523818.6549,522984.3895,519403.7001,520833.0146,525209.3605,523439.8089,524244.0709,522963.4135,0.292580167
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_mappedIpv4,435597.483,433723.6674,433184.154,435931.9889,435397.0589,434556.3455,434932.5791,434571.6041,436462.3531,432618.1072,434487.3859,434116.261,433311.8473,433443.5964,433318.9392,432409.3311,434794.3596,435130.7826,434220.7636,433064.8708,433049.5921,433494.8718,432620.1045,435605.9829,435078.1656,433216.1134,435025.8261,433550.3651,432203.3427,433468.555,0.26118948
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_THRIFT_shared,584154.4693,584196.9859,580641.4576,579665.7606,583078.6234,585762.4332,581547.6407,583459.5053,580623.5541,584806.0571,583621.0282,580747.6479,581451.0944,584810.0401,584403.1539,581086.9089,584406.5146,584154.3466,584001.4889,582934.3028,583530.1333,582824.3681,581931.8595,583324.8282,584330.4097,581533.1584,580790.3129,585731.5721,582891.5842,584984.2344,0.286816628
